Orthogroup	Desulfotalea psychrophila LSv54	Desulforhopalus vacuolatus DSM 9700
OG0000653	WP_011189434.1	WP_205219060.1
OG0000654	WP_011188972.1	WP_205217423.1
OG0000655	WP_011188330.1	WP_205217444.1
OG0000656	WP_011189856.1	WP_205217793.1
OG0000657	WP_011189855.1	WP_205217794.1
OG0000658	WP_011189851.1	WP_205217799.1
OG0000659	WP_011189850.1	WP_205217800.1
OG0000660	WP_011188567.1	WP_205217770.1
OG0000661	WP_011188568.1	WP_205217771.1
OG0000662	WP_011190083.1	WP_205219263.1
OG0000663	WP_198408692.1	WP_205218622.1
OG0000664	WP_011188724.1	WP_205218676.1
OG0000665	WP_011188975.1	WP_275888932.1
OG0000666	WP_011190230.1	WP_205219657.1
OG0000667	WP_011187436.1	WP_205218606.1
OG0000670	WP_011190149.1	WP_205217618.1
OG0000671	WP_041277812.1	WP_205218683.1
OG0000672	WP_041277607.1	WP_205217501.1
OG0000673	WP_049785113.1	WP_240192152.1
OG0000674	WP_041278088.1	WP_205218740.1
OG0000675	WP_011189795.1	WP_205218692.1
OG0000676	WP_011189433.1	WP_205219061.1
OG0000677	WP_011188391.1	WP_205217919.1
OG0000678	WP_011188390.1	WP_205217920.1
OG0000679	WP_011190041.1	WP_205218924.1
OG0000680	WP_011188344.1	WP_205217962.1
OG0000681	WP_011188359.1	WP_205217948.1
OG0000682	WP_011188358.1	WP_205217949.1
OG0000684	WP_011188080.1	WP_205218432.1
OG0000685	WP_011188382.1	WP_205217925.1
OG0000686	WP_011188410.1	WP_205217901.1
OG0000687	WP_011188378.1	WP_205217930.1
OG0000688	WP_011188376.1	WP_205217932.1
OG0000689	WP_041277678.1	WP_205217933.1
OG0000690	WP_041278170.1	WP_205219394.1
OG0000691	WP_011188362.1	WP_205217945.1
OG0000692	WP_228130157.1	WP_205217519.1
OG0000693	WP_011187992.1	WP_205217532.1
OG0000694	WP_228130169.1	WP_240192014.1
OG0000695	WP_041277557.1	WP_205220187.1
OG0000696	WP_011187783.1	WP_205218821.1
OG0000697	WP_011188062.1	WP_205217482.1
OG0000698	WP_011190048.1	WP_205218917.1
OG0000699	WP_011188875.1	WP_205218967.1
OG0000700	WP_011189416.1	WP_205219191.1
OG0000701	WP_011189993.1	WP_205218997.1
OG0000702	WP_011190258.1	WP_205219051.1
OG0000704	WP_011190134.1	WP_205217636.1
OG0000705	WP_228130152.1	WP_205217635.1
OG0000706	WP_041278076.1	WP_205217634.1
OG0000707	WP_011190139.1	WP_205217631.1
OG0000708	WP_011190146.1	WP_205217624.1
OG0000709	WP_011189173.1	WP_205218732.1
OG0000710	WP_228130149.1	WP_240192073.1
OG0000711	WP_011187767.1	WP_205219390.1
OG0000712	WP_011189831.1	WP_205218133.1
OG0000713	WP_041277854.1	WP_205219117.1
OG0000714	WP_041278052.1	WP_205217749.1
OG0000715	WP_041277673.1	WP_205217963.1
OG0000716	WP_011188345.1	WP_205217961.1
OG0000717	WP_011188355.1	WP_205217952.1
OG0000718	WP_011188356.1	WP_205217951.1
OG0000719	WP_011188357.1	WP_205217950.1
OG0000720	WP_011188360.1	WP_205217947.1
OG0000721	WP_011188363.1	WP_205217944.1
OG0000722	WP_173362840.1	WP_240191960.1
OG0000723	WP_011188369.1	WP_205217939.1
OG0000724	WP_011188374.1	WP_205217934.1
OG0000725	WP_011188377.1	WP_205217931.1
OG0000726	WP_011188379.1	WP_205217929.1
OG0000727	WP_011188383.1	WP_205218008.1
OG0000728	WP_011188384.1	WP_205217924.1
OG0000729	WP_041277681.1	WP_240191959.1
OG0000730	WP_011188386.1	WP_205217923.1
OG0000731	WP_011188392.1	WP_205217918.1
OG0000732	WP_011188393.1	WP_205217917.1
OG0000733	WP_011188394.1	WP_205217916.1
OG0000734	WP_011189848.1	WP_205219096.1
OG0000735	WP_011188914.1	WP_205219189.1
OG0000737	WP_011189854.1	WP_205217796.1
OG0000738	WP_011187673.1	WP_205219331.1
OG0000739	WP_011189841.1	WP_205218143.1
OG0000740	WP_011188173.1	WP_275888967.1
OG0000741	WP_011188046.1	WP_205217496.1
OG0000742	WP_011189351.1	WP_205219631.1
OG0000743	WP_011188337.1	WP_205217968.1
OG0000744	WP_041277765.1	WP_205218674.1
OG0000745	WP_041278703.1	WP_205218152.1
OG0000746	WP_011189168.1	WP_205218726.1
OG0000747	WP_011189969.1	WP_205219812.1
OG0000748	WP_011189968.1	WP_205219814.1
OG0000749	WP_011190196.1	WP_205219618.1
OG0000750	WP_011187822.1	WP_205218595.1
OG0000751	WP_041277561.1	WP_240192028.1
OG0000753	WP_041278830.1	WP_205218989.1
OG0000754	WP_011188011.1	WP_205220236.1
OG0000755	WP_011188010.1	WP_205220237.1
OG0000756	WP_041277989.1	WP_205219133.1
OG0000758	WP_011187895.1	WP_240192022.1
OG0000759	WP_041278102.1	WP_205219052.1
OG0000760	WP_228130188.1	WP_205218807.1
OG0000761	WP_011187967.1	WP_205218558.1
OG0000762	WP_011190198.1	WP_205219620.1
OG0000763	WP_011190199.1	WP_205219621.1
OG0000764	WP_011188073.1	WP_205218425.1
OG0000765	WP_011187322.1, WP_011189819.1	WP_205219073.1
OG0000766	WP_011187956.1	WP_205220395.1
OG0000767	WP_011188486.1	WP_205218656.1
OG0000768	WP_011188930.1	WP_205218690.1
OG0000769	WP_011188396.1	WP_275888946.1
OG0000770	WP_011188398.1	WP_205217913.1
OG0000771	WP_156792213.1	WP_205217912.1
OG0000772	WP_011188400.1	WP_205217911.1
OG0000773	WP_011188401.1	WP_205217910.1
OG0000774	WP_011188402.1	WP_205217909.1
OG0000775	WP_156792175.1	WP_240191916.1
OG0000776	WP_041278880.1	WP_205218177.1
OG0000777	WP_011190185.1	WP_205218176.1
OG0000779	WP_011190173.1	WP_205218735.1
OG0000781	WP_011190291.1, WP_011190033.1	WP_205217743.1
OG0000782	WP_011188085.1	WP_205218434.1
OG0000783	WP_011189184.1	WP_205218487.1
OG0000784	WP_173362838.1	WP_205218810.1
OG0000785	WP_011188146.1	WP_205218811.1
OG0000787	WP_011190159.1	WP_205219764.1
OG0000788	WP_011189147.1	WP_205220268.1
OG0000789	WP_041278010.1	WP_205219178.1
OG0000790	WP_011188029.1	WP_205217512.1
OG0000791	WP_011187571.1	WP_205218403.1
OG0000792	WP_041278009.1	WP_205219179.1
OG0000793	WP_011189207.1	WP_205220169.1
OG0000794	WP_011189176.1	WP_205218734.1
OG0000795	WP_011190180.1	WP_205218172.1
OG0000796	WP_011189940.1	WP_205219826.1
OG0000797	WP_011189186.1	WP_205219772.1
OG0000799	WP_011190084.1	WP_205219260.1
OG0000800	WP_011187504.1	WP_205219395.1
OG0000801	WP_011190119.1	WP_205217648.1
OG0000802	WP_041278047.1	WP_205220123.1
OG0000803	WP_011188525.1	WP_205217659.1
OG0000804	WP_011189007.1	WP_205219572.1
OG0000806	WP_011187896.1	WP_205218541.1
OG0000807	WP_049785110.1	WP_205219808.1
OG0000808	WP_011188409.1	WP_275888952.1
OG0000809	WP_011189037.1	WP_205219281.1
OG0000810	WP_011187914.1	WP_205218840.1
OG0000811	WP_011189036.1	WP_205219367.1
OG0000812	WP_011188621.1	WP_205219470.1
OG0000813	WP_011190169.1	WP_205219801.1
OG0000815	WP_011188855.1	WP_205219613.1
OG0000816	WP_011187952.1	WP_205218540.1
OG0000817	WP_041277591.1	WP_205218505.1
OG0000818	WP_011189743.1	WP_205219800.1
OG0000819	WP_041277865.1	WP_205218728.1
OG0000822	WP_011188324.1	WP_205217451.1
OG0000823	WP_041277669.1	WP_205217448.1
OG0000824	WP_011187363.1	WP_205218778.1
OG0000825	WP_011188727.1	WP_205218679.1
OG0000826	WP_011189633.1	WP_205219491.1
OG0000827	WP_011188664.1	WP_205218948.1
OG0000828	WP_011188665.1	WP_205218949.1
OG0000829	WP_011188666.1	WP_205218950.1
OG0000830	WP_041277749.1	WP_205218951.1
OG0000831	WP_083818944.1	WP_205218952.1
OG0000832	WP_041278463.1	WP_205218953.1
OG0000833	WP_011188552.1	WP_205217756.1
OG0000834	WP_011190339.1	WP_205217358.1
OG0000835	WP_265588585.1	WP_205220188.1
OG0000836	WP_011190015.1	WP_205220071.1
OG0000837	WP_011189967.1	WP_205219815.1
OG0000838	WP_011190320.1	WP_205219040.1
OG0000839	WP_011189976.1	WP_205219122.1
OG0000841	WP_011187964.1	WP_205218340.1
OG0000842	WP_011189994.1	WP_205218996.1
OG0000843	WP_011189839.1	WP_205218141.1
OG0000844	WP_011190044.1	WP_205218921.1
OG0000845	WP_041278056.1	WP_275888983.1
OG0000846	WP_041278055.1	WP_205218925.1
OG0000848	WP_049785106.1	WP_240191979.1
OG0000849	WP_011188952.1	WP_240191947.1
OG0000851	WP_041277521.1	WP_205219317.1
OG0000852	WP_011188523.1	WP_205217657.1
OG0000853	WP_011188569.1	WP_205217772.1
OG0000854	WP_011189880.1	WP_205218958.1
OG0000855	WP_011188566.1	WP_205217769.1
OG0000856	WP_011189878.1	WP_205218960.1
OG0000857	WP_011188923.1	WP_205218681.1
OG0000858	WP_011187521.1	WP_205217517.1
OG0000859	WP_011188978.1	WP_205219545.1
OG0000860	WP_011188078.1	WP_205218430.1
OG0000861	WP_011188524.1	WP_205217658.1
OG0000862	WP_041278336.1	WP_205218442.1
OG0000863	WP_228130144.1	WP_205220211.1
OG0000864	WP_011188040.1	WP_205217502.1
OG0000865	WP_011187680.1	WP_205219324.1
OG0000866	WP_011187847.1	WP_205219407.1
OG0000867	WP_011188057.1	WP_205217488.1
OG0000868	WP_011189786.1	WP_205219182.1
OG0000869	WP_011188361.1	WP_205217946.1
OG0000870	WP_011187527.1	WP_205217521.1
OG0000871	WP_011189849.1	WP_205217801.1
OG0000872	WP_193763854.1	WP_240191904.1
OG0000873	WP_011189793.1	WP_205219176.1
OG0000874	WP_041278050.1	WP_205220074.1
OG0000875	WP_156792221.1	WP_205217774.1
OG0000876	WP_011189775.1	WP_205220208.1
OG0000877	WP_011190326.1	WP_205219035.1
OG0000878	WP_011187891.1	WP_205220135.1
OG0000879	WP_011189824.1	WP_205218122.1
OG0000881	WP_011187319.1	WP_205220014.1
OG0000882	WP_041278072.1	WP_205219246.1
OG0000884	WP_011188152.1	WP_205218815.1
OG0000885	WP_011187346.1	WP_205217479.1
OG0000886	WP_011190161.1	WP_275889010.1
OG0000889	WP_011187694.1	WP_205218536.1
OG0000891	WP_228130168.1	WP_240192013.1
OG0000893	WP_011190140.1	WP_205217630.1
OG0000894	WP_041278006.1	WP_205218892.1
OG0000895	WP_011187678.1	WP_205219326.1
OG0000896	WP_011188870.1	WP_205217667.1
OG0000898	WP_011187994.1	WP_275888936.1
OG0000899	WP_011188670.1	WP_205219137.1
OG0000900	WP_041278069.1	WP_205219251.1
OG0000902	WP_011188506.1	WP_205219847.1
OG0000903	WP_228130176.1	WP_205219846.1
OG0000904	WP_011188485.1	WP_205218653.1
OG0000905	WP_011189445.1	WP_205218151.1
OG0000906	WP_011190322.1	WP_205219038.1
OG0000907	WP_011188240.1	WP_205218271.1, WP_205217453.1
OG0000909	WP_011188214.1	WP_205219473.1
OG0000911	WP_041277909.1	WP_205218602.1
OG0000913	WP_011187576.1	WP_205217455.1
OG0000916	WP_041278060.1	WP_205219358.1
OG0000921	WP_011187292.1, WP_011187838.1	WP_205218751.1
OG0000922	WP_011187318.1	WP_205220011.1
OG0000923	WP_041277945.1, WP_011189003.1	WP_205219602.1
OG0000925	WP_011189980.1	WP_205219009.1
OG0000928	WP_011188614.1, WP_011188615.1	WP_205220137.1
OG0000930	WP_041278638.1	WP_205218380.1
OG0000931	WP_011189193.1	WP_205220385.1, WP_205218075.1
OG0000935	WP_041277923.1	WP_205219071.1
OG0000937	WP_011188588.1, WP_011188587.1	WP_205218286.1
OG0000939	WP_041278059.1	WP_205218901.1
OG0000940	WP_011187514.1	WP_205218831.1
OG0000943	WP_011189192.1	WP_205218074.1, WP_205220386.1
OG0000944	WP_011187341.1	WP_205218943.1
OG0000946	WP_041277743.1	WP_205217980.1
OG0000952	WP_041277907.1, WP_041277650.1	WP_205218336.1
OG0000958	WP_011187497.1	WP_205219033.1
OG0000962	WP_011189457.1	WP_205218157.1
OG0000964	WP_011190012.1	WP_205220073.1
OG0000967	WP_011189189.1	WP_205218071.1
OG0000969	WP_011187545.1	WP_240191933.1
OG0000970	WP_011188328.1	WP_205217447.1
OG0000972	WP_011189519.1	WP_205218721.1
OG0000977	WP_011189873.1	WP_240191990.1
OG0000978	WP_011188367.1	WP_205217941.1
OG0000982	WP_011188025.1	WP_205217514.1
OG0000983	WP_011190063.1	WP_205218904.1
OG0000984	WP_011187941.1	WP_205218347.1
OG0000985	WP_011188560.1	WP_205217765.1
OG0000987	WP_011188857.1	WP_205219611.1
OG0000988	WP_011188973.1	WP_205217422.1
OG0000990	WP_156792200.1	WP_205218539.1
OG0000994	WP_083818937.1	WP_205217921.1
OG0000996	WP_041277423.1	WP_205219580.1
OG0000998	WP_011189982.1	WP_205219006.1
OG0001001	WP_041277663.1	WP_205218631.1
OG0001002	WP_011189853.1	WP_205217797.1
OG0001004	WP_011188129.1	WP_205218801.1
OG0001005	WP_011188130.1	WP_205218802.1
OG0001010	WP_011187750.1, WP_049784987.1	WP_205217410.1
OG0001011	WP_011187970.1	WP_205218109.1
OG0001012	WP_041277847.1	WP_205218851.1
OG0001013	WP_049785060.1	WP_205218845.1
OG0001015	WP_041278005.1	WP_205218893.1
OG0001016	WP_011189778.1	WP_205218894.1
OG0001019	WP_011190292.1, WP_228130207.1	WP_205217744.1
OG0001022	WP_011187306.1	WP_205219577.1
OG0001023	WP_156792191.1	WP_205220189.1
OG0001026	WP_011189405.1	WP_205219199.1
OG0001027	WP_011190117.1	WP_205219238.1
OG0001028	WP_083818998.1	WP_205217739.1
OG0001031	WP_011189151.1	WP_205220262.1
OG0001033	WP_041277794.1	WP_205220280.1
OG0001034	WP_041277590.1	WP_205218507.1
OG0001035	WP_011187889.1	WP_205218545.1
OG0001036	WP_041277818.1	WP_205218424.1
OG0001039	WP_011190060.1	WP_205218908.1
OG0001041	WP_011190017.1	WP_205219647.1
OG0001042	WP_083818927.1, WP_011189450.1	WP_240192027.1
OG0001043	WP_011187344.1	WP_205217477.1
OG0001044	WP_083818936.1	WP_205217954.1
OG0001045	WP_011189936.1	WP_205219830.1
OG0001046	WP_011190051.1	WP_205218915.1
OG0001048	WP_049785120.1	WP_205217646.1
OG0001050	WP_041277856.1	WP_205220040.1
OG0001051	WP_011188984.1	WP_205219548.1
OG0001052	WP_011188584.1	WP_205217782.1
OG0001053	WP_041277415.1	WP_205219767.1
OG0001055	WP_041277435.1	WP_205218790.1
OG0001056	WP_011188906.1	WP_205218713.1
OG0001057	WP_011188545.1	WP_240191907.1
OG0001058	WP_041278814.1	WP_205219829.1
OG0001063	WP_011187933.1	WP_205218344.1
OG0001067	WP_011190005.1	WP_240192064.1
OG0001068	WP_011188852.1	WP_240192112.1
OG0001070	WP_011189051.1	WP_205217344.1
OG0001073	WP_011188204.1	WP_205217389.1
OG0001074	WP_011190341.1	WP_205217321.1
OG0001075	WP_011187587.1	WP_205218414.1
OG0001076	WP_011190197.1	WP_205219619.1
OG0001081	WP_041277700.1	WP_205217896.1
OG0001082	WP_041277998.1	WP_205218761.1
OG0001083	WP_011188005.1	WP_205219467.1
OG0001084	WP_011188002.1	WP_205219466.1
OG0001086	WP_011188189.1	WP_205218233.1
OG0001088	WP_011187879.1	WP_205219393.1
OG0001089	WP_011188964.1	WP_205218824.1
OG0001090	WP_041277583.1	WP_205220222.1
OG0001092	WP_011188888.1, WP_041277802.1	WP_205219348.1, WP_205220084.1
OG0001093	WP_011189705.1	WP_205219209.1
OG0001094	WP_011188981.1	WP_205219667.1
OG0001095	WP_011188408.1	WP_205217903.1
OG0001096	WP_228130173.1	WP_205217900.1
OG0001097	WP_011187452.1	WP_205219354.1
OG0001098	WP_041277489.1	WP_205218439.1
OG0001099	WP_041277763.1	WP_205220321.1
OG0001100	WP_011189979.1	WP_205219119.1
OG0001101	WP_011190028.1	WP_205217747.1
OG0001102	WP_011190069.1	WP_205220079.1
OG0001104	WP_011189835.1	WP_205218137.1
OG0001105	WP_011189561.1	WP_205218324.1
OG0001106	WP_011189562.1	WP_205218325.1
OG0001107	WP_011189182.1	WP_205219774.1
OG0001108	WP_011189190.1	WP_205218072.1
OG0001109	WP_011189191.1	WP_205218073.1
OG0001110	WP_011189194.1	WP_205218076.1
OG0001111	WP_011189652.1	WP_205220052.1
OG0001113	WP_011190127.1	WP_205217643.1
OG0001115	WP_011189846.1	WP_240192161.1
OG0001116	WP_011189508.1	WP_205218749.1
OG0001117	WP_011188962.1	WP_205218752.1
OG0001118	WP_011187917.1	WP_205219984.1
OG0001119	WP_011188639.1	WP_205219854.1
OG0001119	WP_041278058.1	WP_205218906.1
OG0001120	WP_011188572.1	WP_205217775.1
OG0001121	WP_011188932.1	WP_205218876.1
OG0001122	WP_011189826.1	WP_205218126.1
OG0001124	WP_011189560.1	WP_205218323.1
OG0001125	WP_011187916.1	WP_205219983.1
OG0001126	WP_011187700.1	WP_205220194.1
OG0001127	WP_011189411.1	WP_205219194.1
OG0001131	WP_011187408.1, WP_041277636.1	WP_205219088.1
OG0001132	WP_011189134.1	WP_205217979.1
OG0001136	WP_011189732.1	WP_205217366.1
OG0001139	WP_011188633.1, WP_049785025.1, WP_041277635.1, WP_011188963.1	WP_205219517.1
OG0001143	WP_265588575.1	WP_205218381.1
OG0001145	WP_011189970.1	WP_205219811.1
OG0001150	WP_041278064.1	WP_205219258.1
OG0001155	WP_011188483.1	WP_205218651.1
OG0001158	WP_011189947.1, WP_011187973.1	WP_205219231.1
OG0001159	WP_011189038.1	WP_205219280.1
OG0001161	WP_011190027.1	WP_205217748.1
OG0001162	WP_162096652.1	WP_205218244.1
OG0001163	WP_011188380.1	WP_205217928.1
OG0001164	WP_011188853.1	WP_205219342.1
OG0001165	WP_011188521.1	WP_205217655.1
OG0001168	WP_041277846.1	WP_205218850.1
OG0001169	WP_011189086.1	WP_205218846.1
OG0001175	WP_011189149.1	WP_240192166.1
OG0001179	WP_041277711.1	WP_205218693.1
OG0001182	WP_049785032.1	WP_205219128.1
OG0001183	WP_011189001.1	WP_205218555.1, WP_205219551.1
OG0001184	WP_011190441.1	WP_205218460.1
OG0001186	WP_011189391.1	WP_205219658.1
OG0001188	WP_041277859.1	WP_205220271.1
OG0001189	WP_011188586.1	WP_205217785.1
OG0001190	WP_049785029.1	WP_205219672.1
OG0001192	WP_011187771.1	WP_205218397.1
OG0001195	WP_228130192.1	WP_205217682.1
OG0001196	WP_041277791.1	WP_205218887.1
OG0001197	WP_011189852.1	WP_205217798.1
OG0001198	WP_041278650.1	WP_205217818.1
OG0001200	WP_041277710.1	WP_205219849.1
OG0001203	WP_011190358.1	WP_205217393.1
OG0001204	WP_011187324.1	WP_240192133.1
OG0001206	WP_011187584.1	WP_205218412.1
OG0001207	WP_011187585.1	WP_240192010.1
OG0001209	WP_041277637.1	WP_205217566.1
OG0001210	WP_041277861.1	WP_205218020.1
OG0001217	WP_228130211.1	WP_205218248.1
OG0001220	WP_011187358.1	WP_205218783.1
OG0001221	WP_011187362.1	WP_205218779.1
OG0001228	WP_265588574.1	WP_205220154.1
OG0001230	WP_011187958.1	WP_205218508.1
OG0001232	WP_011187878.1	WP_240192095.1
OG0001233	WP_011187456.1	WP_205219763.1
OG0001238	WP_011190350.1	WP_205217329.1
OG0001239	WP_041277965.1	WP_205218179.1
OG0001240	WP_011189039.1	WP_205217716.1
OG0001241	WP_011187365.1	WP_205217456.1
OG0001242	WP_011188030.1	WP_205217511.1
OG0001243	WP_011188044.1	WP_205217498.1
OG0001244	WP_011188050.1	WP_205217493.1
OG0001245	WP_049785003.1	WP_205217487.1
OG0001246	WP_011188074.1	WP_205218426.1
OG0001247	WP_156792206.1	WP_205217403.1
OG0001248	WP_011188158.1	WP_205218450.1
OG0001249	WP_041277427.1	WP_205220007.1
OG0001250	WP_041277766.1	WP_205218470.1
OG0001251	WP_011188731.1	WP_205218472.1
OG0001252	WP_011190111.1	WP_205219245.1
OG0001253	WP_011190107.1	WP_205219247.1
OG0001254	WP_041278070.1	WP_205219250.1
OG0001256	WP_011190179.1	WP_205218742.1
OG0001257	WP_011190174.1	WP_205218738.1
OG0001258	WP_011188880.1	WP_205219805.1
OG0001259	WP_041277800.1	WP_205219806.1
OG0001260	WP_011188713.1	WP_205219771.1
OG0001261	WP_011188718.1	WP_205218671.1
OG0001263	WP_011187459.1	WP_205219749.1
OG0001264	WP_011190206.1	WP_275888999.1
OG0001266	WP_011189961.1	WP_205219820.1
OG0001267	WP_011187707.1	WP_205218239.1, WP_205218238.1, WP_205218021.1
OG0001271	WP_011189823.1	WP_205218119.1
OG0001272	WP_011189196.1	WP_205218078.1
OG0001273	WP_011187990.1	WP_205219430.1
OG0001274	WP_228130163.1	WP_205219714.1
OG0001275	WP_011188920.1	WP_205218955.1
OG0001276	WP_011187464.1	WP_205219744.1
OG0001277	WP_041277468.1	WP_205219745.1
OG0001278	WP_011187469.1	WP_205219739.1
OG0001279	WP_011187468.1	WP_275889009.1
OG0001281	WP_011189654.1	WP_205220050.1
OG0001282	WP_011189655.1	WP_240192149.1
OG0001283	WP_041278031.1	WP_205218145.1
OG0001291	WP_011189782.1	WP_205219337.1
OG0001292	WP_041278007.1	WP_205220207.1
OG0001293	WP_011189639.1	WP_205220212.1
OG0001294	WP_011189444.1	WP_205218150.1
OG0001295	WP_011189506.1, WP_265588558.1	WP_205218750.1
OG0001298	WP_011190042.1	WP_205218923.1
OG0001300	WP_011187313.1	WP_205219583.1
OG0001301	WP_011188553.1	WP_205217757.1
OG0001303	WP_011190054.1	WP_205218912.1
OG0001304	WP_011188487.1	WP_205218657.1
OG0001305	WP_011188988.1	WP_205219550.1
OG0001306	WP_156792220.1	WP_205217773.1
OG0001308	WP_011188075.1	WP_205218427.1
OG0001309	WP_011189454.1	WP_205218154.1
OG0001310	WP_011189366.1	WP_205218116.1
OG0001311	WP_011189760.1	WP_205219264.1
OG0001314	WP_011188928.1	WP_205217407.1
OG0001320	WP_011189485.1, WP_011187780.1	WP_205217974.1
OG0001322	WP_011187738.1, WP_011187731.1, WP_011187728.1	WP_205217369.1
OG0001330	WP_011188919.1	WP_205219098.1
OG0001332	WP_011190181.1	WP_205218173.1
OG0001333	WP_011189294.1	WP_205218224.1
OG0001339	WP_011190118.1	WP_275888943.1
OG0001340	WP_011190080.1	WP_205219265.1
OG0001341	WP_041277703.1	WP_205218652.1
OG0001344	WP_011187522.1	WP_205217518.1
OG0001345	WP_011188990.1	WP_205219300.1
OG0001347	WP_011190171.1	WP_275888977.1
OG0001348	WP_156792209.1	WP_240192042.1
OG0001350	WP_156792166.1	WP_240192040.1
OG0001351	WP_011187354.1	WP_205218787.1
OG0001353	WP_228130197.1	WP_205218857.1
OG0001354	WP_011189092.1	WP_205218852.1
OG0001355	WP_011189174.1	WP_205218733.1
OG0001356	WP_011187543.1	WP_205217577.1
OG0001357	WP_011187805.1	WP_205218368.1
OG0001360	WP_011189297.1	WP_205219306.1
OG0001361	WP_011190037.1	WP_205217738.1
OG0001362	WP_011188686.1	WP_240191949.1
OG0001363	WP_011190055.1	WP_205218911.1
OG0001364	WP_049785165.1	WP_205219802.1
OG0001367	WP_011187892.1	WP_205218543.1
OG0001368	WP_011188122.1	WP_205217563.1
OG0001378	WP_011189459.1	WP_240191981.1
OG0001379	WP_156792165.1	WP_205218788.1
OG0001382	WP_011187546.1	WP_205217580.1
OG0001385	WP_011189099.1	WP_205218858.1
OG0001387	WP_011189607.1	WP_205217692.1
OG0001389	WP_041277825.1	WP_240192109.1
OG0001390	WP_011189963.1	WP_205219818.1
OG0001394	WP_162096642.1	WP_205219100.1
OG0001395	WP_011189860.1	WP_205219653.1
OG0001397	WP_011188549.1	WP_205217754.1
OG0001399	WP_156792316.1	WP_205217809.1
OG0001401	WP_228130177.1	WP_205217654.1
OG0001403	WP_011190311.1	WP_205219048.1
OG0001404	WP_011190314.1	WP_205219046.1
OG0001405	WP_011190316.1	WP_205219044.1
OG0001406	WP_011190317.1	WP_205219043.1
OG0001407	WP_011190349.1	WP_205217328.1
OG0001408	WP_041278124.1	WP_240191903.1
OG0001409	WP_011190359.1	WP_205217398.1
OG0001411	WP_011187982.1	WP_240191973.1
OG0001414	WP_011189737.1	WP_205220113.1
OG0001416	WP_011190334.1	WP_205219021.1
OG0001418	WP_011188131.1	WP_205218803.1
OG0001421	WP_011187997.1	WP_205218511.1
OG0001427	WP_011188927.1	WP_240192037.1
OG0001428	WP_011187984.1	WP_240192023.1
OG0001429	WP_041277589.1	WP_205218509.1
OG0001434	WP_011187298.1	WP_205219276.1
OG0001435	WP_041277741.1	WP_205219074.1
OG0001436	WP_011187924.1	WP_205220221.1
OG0001440	WP_011187606.1	WP_205218095.1
OG0001441	WP_011189324.1	WP_205217343.1
OG0001442	WP_011188543.1	WP_205219869.1
OG0001443	WP_011188909.1	WP_205219626.1
OG0001444	WP_011188675.1	WP_205217458.1
OG0001445	WP_011187528.1	WP_205217522.1
OG0001446	WP_011188042.1	WP_205217500.1
OG0001447	WP_011188043.1	WP_205217499.1
OG0001448	WP_011188061.1	WP_205217484.1
OG0001450	WP_011188609.1, WP_011188068.1	WP_205218423.1
OG0001451	WP_011188087.1	WP_205218436.1
OG0001452	WP_011188101.1	WP_205218447.1
OG0001454	WP_041278085.1	WP_205218453.1
OG0001458	WP_011188347.1	WP_205217960.1
OG0001459	WP_041277674.1	WP_205217959.1
OG0001461	WP_011190116.1	WP_205219239.1
OG0001462	WP_041278068.1	WP_205219252.1
OG0001463	WP_011188107.1	WP_205218717.1, WP_205219871.1
OG0001464	WP_011190088.1	WP_205219256.1
OG0001467	WP_011187454.1	WP_240192093.1
OG0001469	WP_041277853.1, WP_041277446.1	WP_205218374.1
OG0001470	WP_011190170.1	WP_240192034.1
OG0001477	WP_041277414.1	WP_205219768.1
OG0001479	WP_011189977.1	WP_205219121.1
OG0001481	WP_011190038.1	WP_205217732.1
OG0001483	WP_011190016.1	WP_205219646.1, WP_205220442.1, WP_205220070.1
OG0001484	WP_049785117.1	WP_205220078.1
OG0001485	WP_041278046.1	WP_205218991.1
OG0001488	WP_011189517.1	WP_205218719.1
OG0001489	WP_041277935.1	WP_205218744.1
OG0001507	WP_011189417.1	WP_205220199.1
OG0001508	WP_011189424.1	WP_205219069.1
OG0001510	WP_011189458.1	WP_205218158.1
OG0001513	WP_011188907.1	WP_205218714.1
OG0001514	WP_011187467.1	WP_205219741.1
OG0001515	WP_011187466.1	WP_205219742.1
OG0001516	WP_011189380.1	WP_205219200.1
OG0001517	WP_011188933.1	WP_275888982.1
OG0001518	WP_011188929.1	WP_205218689.1
OG0001519	WP_011190183.1	WP_205218174.1
OG0001520	WP_041278083.1	WP_240192128.1
OG0001521	WP_011187862.1	WP_205218568.1
OG0001522	WP_041277716.1	WP_205217758.1
OG0001523	WP_265588560.1	WP_205217700.1
OG0001523	WP_265588559.1	WP_205220023.1
OG0001528	WP_011189418.1	WP_205220200.1
OG0001529	WP_011187465.1	WP_205219743.1
OG0001530	WP_011188098.1	WP_205218443.1
OG0001531	WP_011190062.1	WP_205218905.1
OG0001534	WP_011187932.1	WP_205219011.1
OG0001535	WP_228130195.1	WP_275888941.1
OG0001536	WP_228130153.1	WP_205219045.1
OG0001540	WP_041278121.1	WP_205217325.1
OG0001542	WP_011190079.1	WP_205219255.1
OG0001546	WP_011190344.1	WP_205217565.1
OG0001547	WP_011188028.1	WP_205217513.1
OG0001548	WP_041278042.1	WP_205219017.1
OG0001551	WP_011188849.1, WP_049785039.1	WP_205218621.1
