Orthogroup	Desulforhopalus vacuolatus DSM 9700	Acidithiobacillus ferrooxidans YNTRS-40
OG0000737	WP_205217796.1	WP_012536117.1
OG0000738	WP_205219331.1	WP_012536126.1
OG0000739	WP_205218143.1	WP_012536147.1
OG0000740	WP_275888967.1	WP_012536153.1
OG0000741	WP_205217496.1	WP_012536187.1
OG0000742	WP_205219631.1	WP_012536192.1
OG0000743	WP_205217968.1	WP_012536204.1
OG0000744	WP_205218674.1	WP_012536208.1
OG0000745	WP_205218152.1	WP_012536222.1
OG0000746	WP_205218726.1	WP_012536225.1
OG0000747	WP_205219812.1	WP_012536268.1
OG0000748	WP_205219814.1	WP_012536269.1
OG0000749	WP_205219618.1	WP_012536279.1
OG0000750	WP_205218595.1	WP_012536303.1
OG0000751	WP_240192028.1	WP_012536305.1
OG0000752	WP_205218564.1	WP_012536329.1
OG0000753	WP_205218989.1	WP_012536389.1
OG0000754	WP_205220236.1	WP_012536390.1
OG0000755	WP_205220237.1	WP_012536391.1
OG0000756	WP_205219133.1	WP_012536396.1
OG0000757	WP_205218455.1	WP_012536417.1
OG0000758	WP_240192022.1	WP_012536418.1
OG0000759	WP_205219052.1	WP_012536424.1
OG0000760	WP_205218807.1	WP_012536425.1
OG0000761	WP_205218558.1	WP_012536427.1
OG0000762	WP_205219620.1	WP_012536445.1
OG0000763	WP_205219621.1	WP_012536446.1
OG0000764	WP_205218425.1	WP_012536447.1
OG0000765	WP_205219073.1	WP_012536465.1
OG0000766	WP_205220395.1	WP_012536494.1
OG0000767	WP_205218656.1	WP_012536497.1
OG0000768	WP_205218690.1	WP_012536498.1
OG0000769	WP_275888946.1	WP_012536522.1
OG0000770	WP_205217913.1	WP_012536523.1
OG0000771	WP_205217912.1	WP_012536524.1
OG0000772	WP_205217911.1	WP_012536525.1
OG0000773	WP_205217910.1	WP_012536526.1
OG0000774	WP_205217909.1	WP_012536527.1
OG0000775	WP_240191916.1	WP_012536528.1
OG0000776	WP_205218177.1	WP_012536530.1
OG0000777	WP_205218176.1	WP_012536531.1
OG0000779	WP_205218735.1	WP_012536537.1
OG0000780	WP_205218094.1	WP_012536544.1
OG0000781	WP_205217743.1	WP_012536547.1
OG0000782	WP_205218434.1	WP_012536740.1
OG0000783	WP_205218487.1	WP_012536744.1
OG0000784	WP_205218810.1	WP_012536750.1
OG0000785	WP_205218811.1	WP_012536751.1
OG0000787	WP_205219764.1	WP_012536820.1
OG0000788	WP_205220268.1	WP_012536823.1
OG0000789	WP_205219178.1	WP_012536833.1
OG0000790	WP_205217512.1	WP_012536836.1
OG0000791	WP_205218403.1	WP_012536839.1
OG0000792	WP_205219179.1	WP_012536841.1
OG0000793	WP_205220169.1	WP_012536842.1
OG0000794	WP_205218734.1	WP_012536843.1
OG0000795	WP_205218172.1	WP_012536849.1
OG0000796	WP_205219826.1	WP_012536879.1
OG0000797	WP_205219772.1	WP_012536883.1
OG0000798	WP_205218814.1	WP_012536938.1
OG0000799	WP_205219260.1	WP_012536939.1
OG0000800	WP_205219395.1	WP_012536943.1
OG0000801	WP_205217648.1	WP_012536945.1
OG0000802	WP_205220123.1	WP_012536950.1
OG0000803	WP_205217659.1	WP_012536951.1
OG0000804	WP_205219572.1	WP_012536952.1
OG0000805	WP_205217347.1	WP_012536988.1
OG0000806	WP_205218541.1	WP_012536992.1
OG0000807	WP_205219808.1	WP_012537005.1
OG0000808	WP_275888952.1	WP_012537045.1
OG0000809	WP_205219281.1	WP_012537049.1
OG0000810	WP_205218840.1	WP_012537050.1
OG0000811	WP_205219367.1	WP_012537051.1
OG0000812	WP_205219470.1	WP_012537054.1
OG0000813	WP_205219801.1	WP_012537060.1
OG0000814	WP_205218306.1	WP_012537085.1
OG0000815	WP_205219613.1	WP_012537086.1
OG0000816	WP_205218540.1	WP_012537134.1
OG0000817	WP_205218505.1	WP_012537138.1
OG0000818	WP_205219800.1	WP_012537146.1
OG0000819	WP_205218728.1	WP_012537147.1
OG0000820	WP_205219113.1	WP_012537152.1
OG0000822	WP_205217451.1	WP_012537259.1
OG0000823	WP_205217448.1	WP_012537260.1
OG0000824	WP_205218778.1	WP_012537272.1
OG0000825	WP_205218679.1	WP_012537273.1
OG0000826	WP_205219491.1	WP_012537274.1
OG0000827	WP_205218948.1	WP_012537289.1
OG0000828	WP_205218949.1	WP_012537290.1
OG0000829	WP_205218950.1	WP_012537291.1
OG0000830	WP_205218951.1	WP_012537292.1
OG0000831	WP_205218952.1	WP_012537293.1
OG0000832	WP_205218953.1	WP_012537294.1
OG0000833	WP_205217756.1	WP_012537296.1
OG0000834	WP_205217358.1	WP_012537304.1
OG0000835	WP_205220188.1	WP_012537357.1
OG0000836	WP_205220071.1	WP_012537368.1
OG0000837	WP_205219815.1	WP_012537371.1
OG0000838	WP_205219040.1	WP_012537372.1
OG0000839	WP_205219122.1	WP_012537374.1
OG0000841	WP_205218340.1	WP_012537408.1
OG0000842	WP_205218996.1	WP_012537409.1
OG0000843	WP_205218141.1	WP_012537411.1
OG0000844	WP_205218921.1	WP_012537432.1
OG0000845	WP_275888983.1	WP_012537433.1
OG0000846	WP_205218925.1	WP_012537434.1
OG0000848	WP_240191979.1	WP_012537494.1
OG0000849	WP_240191947.1	WP_012537497.1
OG0000850	WP_205217326.1	WP_012537550.1
OG0000851	WP_205219317.1	WP_012537552.1
OG0000852	WP_205217657.1	WP_012537563.1
OG0000853	WP_205217772.1	WP_012537565.1
OG0000854	WP_205218958.1	WP_012537569.1
OG0000855	WP_205217769.1	WP_012537583.1
OG0000856	WP_205218960.1	WP_012537589.1
OG0000857	WP_205218681.1	WP_012537600.1
OG0000858	WP_205217517.1	WP_012537630.1
OG0000859	WP_205219545.1	WP_012537654.1
OG0000860	WP_205218430.1	WP_012537656.1
OG0000861	WP_205217658.1	WP_012537661.1
OG0000862	WP_205218442.1	WP_012537662.1
OG0000863	WP_205220211.1	WP_012537664.1
OG0000864	WP_205217502.1	WP_012537675.1
OG0000865	WP_205219324.1	WP_012537690.1
OG0000866	WP_205219407.1	WP_012537704.1
OG0000867	WP_205217488.1	WP_012537706.1
OG0000868	WP_205219182.1	WP_012606529.1
OG0000869	WP_205217946.1	WP_012606540.1
OG0000870	WP_205217521.1	WP_012606545.1
OG0000871	WP_205217801.1	WP_012606548.1
OG0000872	WP_240191904.1	WP_012606567.1
OG0000873	WP_205219176.1	WP_012606584.1
OG0000874	WP_205220074.1	WP_012606634.1
OG0000875	WP_205217774.1	WP_012607057.1
OG0000876	WP_205220208.1	WP_012607261.1
OG0000877	WP_205219035.1	WP_012607268.1
OG0000878	WP_205220135.1	WP_012607327.1
OG0000879	WP_205218122.1	WP_012607345.1
OG0000881	WP_205220014.1	WP_012607515.1
OG0000882	WP_205219246.1	WP_012607615.1
OG0000884	WP_205218815.1	WP_054608903.1
OG0000885	WP_205217479.1	WP_054608955.1
OG0000886	WP_275889010.1	WP_111122623.1
OG0000889	WP_205218536.1	WP_180830472.1
OG0000890	WP_205218159.1	WP_229129742.1, WP_225487046.1
OG0000891	WP_240192013.1	WP_225487353.1
OG0000892	WP_240191934.1	WP_225487354.1
OG0000893	WP_205217630.1	WP_225487399.1
OG0000894	WP_205218892.1	WP_225487425.1
OG0000895	WP_205219326.1	WP_225487673.1
OG0000896	WP_205217667.1	WP_229129796.1
OG0000898	WP_275888936.1	WP_230959348.1
OG0000899	WP_205219137.1	WP_233459568.1
OG0000900	WP_205219251.1	WP_233459589.1
OG0000962	WP_205218157.1	WP_009560842.1
OG0000964	WP_205220073.1	WP_009562365.1
OG0000967	WP_205218071.1	WP_009562412.1
OG0000968	WP_205218139.1	WP_009562431.1
OG0000969	WP_240191933.1	WP_009562478.1
OG0000970	WP_205217447.1	WP_009562604.1
OG0000972	WP_205218721.1	WP_009562817.1
OG0000976	WP_205220108.1	WP_009564598.1
OG0000977	WP_240191990.1	WP_009565186.1
OG0000978	WP_205217941.1	WP_009565431.1
OG0000979	WP_240192011.1	WP_009565766.1
OG0000981	WP_205218246.1	WP_009566150.1
OG0000982	WP_205217514.1	WP_009566264.1
OG0000983	WP_205218904.1	WP_009566310.1
OG0000984	WP_205218347.1	WP_009566634.1
OG0000985	WP_205217765.1	WP_009566652.1
OG0000987	WP_205219611.1	WP_009566940.1
OG0000988	WP_205217422.1	WP_009567245.1
OG0000990	WP_205218539.1	WP_009567611.1
OG0000992	WP_205217619.1	WP_009567692.1
OG0000993	WP_205217694.1	WP_012537116.1, WP_151528216.1, WP_009567937.1
OG0000994	WP_205217921.1	WP_009568281.1
OG0000995	WP_205217927.1	WP_009568793.1
OG0000996	WP_205219580.1	WP_009569413.1
OG0000998	WP_205219006.1	WP_012536029.1
OG0000999	WP_240191974.1	WP_012536037.1
OG0001000	WP_205217926.1	WP_012536092.1
OG0001001	WP_205218631.1	WP_012536104.1
OG0001002	WP_205217797.1	WP_012536118.1
OG0001003	WP_205219272.1	WP_012536142.1
OG0001004	WP_205218801.1	WP_012536177.1
OG0001005	WP_205218802.1	WP_012536178.1
OG0001006	WP_205218607.1	WP_012536194.1
OG0001008	WP_205219798.1	WP_012536223.1
OG0001009	WP_205219797.1	WP_012536260.1
OG0001010	WP_205217410.1	WP_012536315.1
OG0001011	WP_205218109.1	WP_012536340.1
OG0001012	WP_205218851.1	WP_012536366.1
OG0001013	WP_205218845.1	WP_012536367.1
OG0001015	WP_205218893.1	WP_012536429.1
OG0001016	WP_205218894.1	WP_012536430.1
OG0001018	WP_205219034.1	WP_012536499.1
OG0001019	WP_205217744.1	WP_012536546.1
OG0001020	WP_205217316.1	WP_012536567.1
OG0001022	WP_205219577.1	WP_012536747.1
OG0001023	WP_205220189.1	WP_012536748.1
OG0001024	WP_205218063.1	WP_012536778.1
OG0001026	WP_205219199.1	WP_012536813.1
OG0001027	WP_205219238.1	WP_012536830.1
OG0001028	WP_205217739.1	WP_230456346.1, WP_012536832.1
OG0001029	WP_205219136.1	WP_012536838.1
OG0001031	WP_205220262.1	WP_012536875.1
OG0001033	WP_205220280.1	WP_012536948.1
OG0001034	WP_205218507.1	WP_012536978.1
OG0001035	WP_205218545.1	WP_012536980.1
OG0001036	WP_205218424.1	WP_012537000.1
OG0001039	WP_205218908.1	WP_012537233.1
OG0001041	WP_205219647.1	WP_012537270.1
OG0001042	WP_240192027.1	WP_012537301.1
OG0001043	WP_205217477.1	WP_012537303.1
OG0001044	WP_205217954.1	WP_012537325.1
OG0001045	WP_205219830.1	WP_012537366.1
OG0001046	WP_205218915.1	WP_012537373.1
OG0001048	WP_205217646.1	WP_012537412.1
OG0001050	WP_205220040.1	WP_012537436.1
OG0001051	WP_205219548.1	WP_012537462.1
OG0001052	WP_205217782.1	WP_012537482.1
OG0001053	WP_205219767.1	WP_012537699.1, WP_012537517.1
OG0001055	WP_205218790.1	WP_012537572.1
OG0001056	WP_205218713.1	WP_012537679.1
OG0001057	WP_240191907.1	WP_012537685.1
OG0001058	WP_205219829.1	WP_012607518.1
OG0001063	WP_205218344.1	WP_054609074.1
OG0001065	WP_205218067.1	WP_111122554.1
OG0001066	WP_205217620.1	WP_180830462.1
OG0001067	WP_240192064.1	WP_180830476.1
OG0001068	WP_240192112.1	WP_215905492.1
OG0001070	WP_205217344.1	WP_225487646.1
OG0001143	WP_205218381.1	WP_009562222.1
OG0001145	WP_205219811.1	WP_009562646.1
OG0001148	WP_205219310.1	WP_009564270.1
OG0001150	WP_205219258.1	WP_009566070.1
OG0001152	WP_205218946.1	WP_009567032.1
OG0001153	WP_205217308.1	WP_009567147.1
OG0001154	WP_240192097.1	WP_009567191.1
OG0001155	WP_205218651.1	WP_009567240.1
OG0001157	WP_205217590.1	WP_009567494.1
OG0001158	WP_205219231.1	WP_009567865.1
OG0001159	WP_205219280.1	WP_009569566.1
OG0001161	WP_205217748.1	WP_012536071.1
OG0001162	WP_205218244.1	WP_012536076.1, WP_054608770.1, WP_225487358.1, WP_012537332.1
OG0001163	WP_205217928.1	WP_012536091.1
OG0001164	WP_205219342.1, WP_205220384.1	WP_012536188.1
OG0001165	WP_205217655.1	WP_012536313.1
OG0001166	WP_205218669.1	WP_012536317.1
OG0001167	WP_205218642.1	WP_012536339.1, WP_012536388.1
OG0001168	WP_205218850.1	WP_012536365.1
OG0001169	WP_205218846.1	WP_012536368.1
OG0001170	WP_240192184.1	WP_031572874.1, WP_012537156.1
OG0001170	WP_205220045.1	WP_054608636.1, WP_012537390.1, WP_054608634.1
OG0001171	WP_205217298.1	WP_012536576.1
OG0001172	WP_205217310.1	WP_012536579.1
OG0001173	WP_205217311.1	WP_012536580.1
OG0001174	WP_205217296.1	WP_012536582.1
OG0001175	WP_240192166.1	WP_012536763.1
OG0001179	WP_205218693.1	WP_012537135.1
OG0001182	WP_205219128.1	WP_012537327.1
OG0001183	WP_205218555.1, WP_205219551.1	WP_012537450.1
OG0001184	WP_205218460.1	WP_012537461.1
OG0001185	WP_240192105.1, WP_205219480.1, WP_205218928.1	WP_012537468.1
OG0001186	WP_205219658.1	WP_012537480.1
OG0001188	WP_205220271.1	WP_012606530.1
OG0001189	WP_205217785.1	WP_012607569.1
OG0001190	WP_205219672.1	WP_054608885.1, WP_180830413.1, WP_041646513.1
OG0001192	WP_205218397.1	WP_054609104.1
OG0001193	WP_205220242.1, WP_205217990.1	WP_054609108.1
OG0001193	WP_205220398.1, WP_205217868.1, WP_205220317.1	WP_155644725.1
OG0001194	WP_205220267.1	WP_225487413.1
OG0001195	WP_205217682.1	WP_226833861.1
OG0001196	WP_205218887.1	WP_226834138.1
OG0001329	WP_205219756.1	WP_012536692.1
OG0001330	WP_205219098.1	WP_009561098.1
OG0001332	WP_205218173.1	WP_009562825.1
OG0001333	WP_205218224.1	WP_009563432.1
OG0001334	WP_205218066.1	WP_009566618.1
OG0001338	WP_205219187.1	WP_012535780.1
OG0001339	WP_275888943.1	WP_012535993.1
OG0001340	WP_205219265.1	WP_012536045.1
OG0001341	WP_205218652.1	WP_012536069.1
OG0001343	WP_205219987.1	WP_012536185.1
OG0001344	WP_205217518.1	WP_012536212.1
OG0001345	WP_205219300.1	WP_012536237.1
OG0001346	WP_205218705.1	WP_012536242.1
OG0001347	WP_275888977.1	WP_012536259.1
OG0001348	WP_240192042.1	WP_012536270.1
OG0001350	WP_240192040.1	WP_012536321.1
OG0001351	WP_205218787.1	WP_012536322.1
OG0001353	WP_205218857.1	WP_012536359.1
OG0001354	WP_205218852.1	WP_012536369.1
OG0001355	WP_205218733.1	WP_012536419.1
OG0001356	WP_205217577.1	WP_012536480.1
OG0001357	WP_205218368.1	WP_012536503.1
OG0001359	WP_205217297.1	WP_012536575.1
OG0001360	WP_205219306.1	WP_031575560.1
OG0001361	WP_205217738.1	WP_012536831.1
OG0001362	WP_240191949.1	WP_012536863.1
OG0001363	WP_205218911.1	WP_012536866.1
OG0001364	WP_205219802.1	WP_012536867.1
OG0001365	WP_205218862.1	WP_054609095.1, WP_012536916.1
OG0001367	WP_205218543.1	WP_012537027.1
OG0001368	WP_205217563.1	WP_012537132.1
OG0001370	WP_205219115.1	WP_012537684.1, WP_012537154.1
OG0001371	WP_205217317.1	WP_012537243.1
OG0001371	WP_205219947.1	WP_012537473.1
OG0001374	WP_205218861.1	WP_012537419.1
OG0001375	WP_205218258.1	WP_012537478.1, WP_233459587.1, WP_233459586.1
OG0001378	WP_240191981.1	WP_012537574.1
OG0001379	WP_205218788.1	WP_012606632.1
OG0001382	WP_205217580.1	WP_041645355.1
OG0001385	WP_205218858.1	WP_054608759.1
OG0001387	WP_205217692.1	WP_081033195.1
OG0001388	WP_205218085.1, WP_205217417.1, WP_205217869.1, WP_205219504.1	WP_180830525.1
OG0001389	WP_240192109.1	WP_225487192.1
OG0001390	WP_205219818.1	WP_225487398.1
OG0001391	WP_205217592.1	WP_225487407.1
OG0001567	WP_205220239.1	WP_009560684.1
OG0001576	WP_205218579.1	WP_009565427.1
OG0001577	WP_205218837.1	WP_009565537.1
OG0001578	WP_205219201.1	WP_009565665.1
OG0001579	WP_205220417.1, WP_205219308.1	WP_054608786.1
OG0001579	WP_205218979.1	WP_009566298.1
OG0001580	WP_205219477.1	WP_009566740.1
OG0001582	WP_205219007.1	WP_009568083.1
OG0001589	WP_205218964.1	WP_012536033.1
OG0001591	WP_205218698.1	WP_012536282.1, WP_054608881.1
OG0001592	WP_205219476.1	WP_012536449.1
OG0001593	WP_205217578.1	WP_012536479.1
OG0001596	WP_205218190.1	WP_012536743.1
OG0001599	WP_205219269.1	WP_012536855.1
OG0001600	WP_205219889.1, WP_205218489.1	WP_012536880.1
OG0001601	WP_205220076.1	WP_012536890.1
OG0001602	WP_240191993.1	WP_012536895.1
OG0001603	WP_205218941.1	WP_180830470.1, WP_012536907.1
OG0001605	WP_205218860.1	WP_012536915.1
OG0001606	WP_205218781.1	WP_012536993.1
OG0001608	WP_205217539.1	WP_012537127.1
OG0001609	WP_205220015.1	WP_012537175.1
OG0001610	WP_205218577.1	WP_012537297.1
OG0001611	WP_205218582.1	WP_012537300.1
OG0001614	WP_205219905.1	WP_012537351.1
OG0001615	WP_205218799.1	WP_012537682.1
OG0001619	WP_205218574.1	WP_012607393.1
OG0001621	WP_205220345.1	WP_054608778.1
OG0001625	WP_205217381.1, WP_205219505.1	WP_180830481.1
OG0001626	WP_275888944.1	WP_225487043.1
OG0001822	WP_205218057.1	WP_009561113.1
OG0001827	WP_205220195.1	WP_009569096.1
OG0001829	WP_205220088.1	WP_054608787.1
OG0001829	WP_205219307.1	WP_012535782.1
OG0001834	WP_205219836.1	WP_012536120.1
OG0001837	WP_205217719.1	WP_012536168.1
OG0001838	WP_205217804.1	WP_012536176.1
OG0001840	WP_205217595.1	WP_012536245.1
OG0001842	WP_205219408.1	WP_012536262.1
OG0001843	WP_205218697.1	WP_054608883.1
OG0001850	WP_205220166.1	WP_012536771.1
OG0001855	WP_205219019.1	WP_012537247.1, WP_226833921.1, WP_012537250.1
OG0001860	WP_205217334.1	WP_012537559.1, WP_012537670.1
OG0001862	WP_240192047.1, WP_205220461.1	WP_054608718.1, WP_180830437.1
OG0001866	WP_240191987.1, WP_205218640.1	WP_261989782.1
OG0002104	WP_205218939.1	WP_009562763.1
OG0002108	WP_205219311.1	WP_009564272.1
OG0002119	WP_205219716.1	WP_012536216.1
OG0002121	WP_205218254.1	WP_012536283.1, WP_012536384.1
OG0002122	WP_205218479.1	WP_012536318.1
OG0002123	WP_205220042.1	WP_012537387.1, WP_054608631.1
OG0002123	WP_205218641.1	WP_012536387.1
OG0002124	WP_205219977.1	WP_012536515.1, WP_012536850.1
OG0002125	WP_205217468.1	WP_012536564.1
OG0002126	WP_205219219.1	WP_012536598.1
OG0002127	WP_205219351.1	WP_012536599.1
OG0002128	WP_205220130.1	WP_012536687.1
OG0002136	WP_240192035.1	WP_225487423.1, WP_012537159.1, WP_035210681.1
OG0002139	WP_205220041.1	WP_012537451.1
OG0002143	WP_205218327.1	WP_012537575.1
OG0002144	WP_205218488.1	WP_012537587.1
OG0002151	WP_205220043.1	WP_157293221.1
OG0002152	WP_205219676.1, WP_205220185.1	WP_229129753.1
OG0002439	WP_240192050.1	WP_009562802.1
OG0002440	WP_205217338.1	WP_009562842.1
OG0002446	WP_205217322.1	WP_009567344.1
OG0002455	WP_205219980.1	WP_012536111.1
OG0002457	WP_205218694.1	WP_012536199.1
OG0002462	WP_205217546.1	WP_012536804.1, WP_012536458.1
OG0002469	WP_205218663.1	WP_012536815.1
OG0002483	WP_205219865.1	WP_012607620.1, WP_012607157.1
OG0002486	WP_240192086.1	WP_031575563.1
OG0002491	WP_205217614.1	WP_054608773.1
OG0002819	WP_205218829.1	WP_009561100.1
OG0002822	WP_205218417.1	WP_009562419.1
OG0002823	WP_205219484.1	WP_009562631.1
OG0002837	WP_205218560.1	WP_009569366.1
OG0002861	WP_205219794.1	WP_012537029.1
OG0002865	WP_205220174.1	WP_012537084.1
OG0002873	WP_205219483.1	WP_012537467.1
OG0002874	WP_205219595.1	WP_012537519.1
OG0002889	WP_205220351.1, WP_205220218.1	WP_054609112.1
OG0002894	WP_275889037.1, WP_240192085.1	WP_146235817.1
OG0002895	WP_205220044.1	WP_226833924.1, WP_146235835.1
OG0002903	WP_205220371.1, WP_205218247.1	WP_226834201.1
OG0003341	WP_205217863.1	WP_009562016.1, WP_054608934.1
OG0003354	WP_205219891.1	WP_009564726.1
OG0003420	WP_205217446.1	WP_012537082.1
OG0003421	WP_205217445.1	WP_012537083.1
OG0003424	WP_205218049.1	WP_012537119.1
OG0003434	WP_205219786.1	WP_012537602.1
OG0003453	WP_205217989.1	WP_054609107.1
OG0003456	WP_205220141.1	WP_180830379.1
OG0003457	WP_205218255.1, WP_205219885.1	WP_180830402.1
OG0003458	WP_205219884.1, WP_205218253.1	WP_180830403.1
OG0003460	WP_205219608.1, WP_205219609.1	WP_180830489.1
OG0003463	WP_205219223.1	WP_229129791.1
OG0004230	WP_205218822.1	WP_009561562.1
OG0004257	WP_205219072.1	WP_009565188.1
OG0004287	WP_205220367.1	WP_009567645.1
OG0004456	WP_205217986.1	WP_054609106.1
OG0004457	WP_205217985.1	WP_074874191.1
OG0004467	WP_205217836.1	WP_180830547.1
OG0004468	WP_205218533.1	WP_180830555.1
