Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa_13_biocide
OG0000743	WP_012536204.1	Utg857490_15
OG0000744	WP_012536208.1	Utg860006_53
OG0000745	WP_012536222.1	Utg859388_139
OG0000746	WP_012536225.1	Utg859098_235
OG0000747	WP_012536268.1	Utg857994_151
OG0000748	WP_012536269.1	Utg857994_150
OG0000749	WP_012536279.1	Utg857152_184
OG0000750	WP_012536303.1	Utg861744_131
OG0000751	WP_012536305.1	Utg861744_128
OG0000752	WP_012536329.1	Utg863716_108
OG0000753	WP_012536389.1	Utg859982_134
OG0000754	WP_012536390.1	Utg865370_30
OG0000755	WP_012536391.1	Utg865370_29
OG0000756	WP_012536396.1	Utg859098_377
OG0000757	WP_012536417.1	Utg857046_201
OG0000758	WP_012536418.1	Utg861744_34
OG0000759	WP_012536424.1	Utg863716_91
OG0000760	WP_012536425.1	Utg864866_56
OG0000761	WP_012536427.1	Utg865370_36
OG0000762	WP_012536445.1	Utg857152_182
OG0000763	WP_012536446.1	Utg857152_181
OG0000764	WP_012536447.1	Utg857152_103
OG0000765	WP_012536465.1	Utg857994_216
OG0000766	WP_012536494.1	Utg861744_46
OG0000767	WP_012536497.1	Utg860814_97
OG0000768	WP_012536498.1	Utg858432_125
OG0000769	WP_012536522.1	Utg858494_100
OG0000770	WP_012536523.1	Utg858494_98
OG0000771	WP_012536524.1	Utg858494_97
OG0000772	WP_012536525.1	Utg858494_95
OG0000773	WP_012536526.1	Utg858494_94
OG0000774	WP_012536527.1	Utg858494_93
OG0000775	WP_012536528.1	Utg857152_8
OG0000776	WP_012536530.1	Utg858432_16
OG0000777	WP_012536531.1	Utg858432_17
OG0000778	WP_012536536.1, WP_012536946.1	Utg859076_36
OG0000779	WP_012536537.1	Utg859236_39
OG0000780	WP_012536544.1	Utg857994_34
OG0000781	WP_012536547.1	Utg859388_66
OG0000782	WP_012536740.1	Utg857152_113
OG0000783	WP_012536744.1	Utg859098_319
OG0000784	WP_012536750.1	Utg864866_53
OG0000785	WP_012536751.1	Utg864866_52
OG0000786	WP_012537579.1, WP_012536775.1	Utg857682_63, Utg861744_80
OG0000787	WP_012536820.1	Utg858432_7
OG0000789	WP_012536833.1	Utg858432_136
OG0000790	WP_012536836.1	Utg857152_24
OG0000791	WP_012536839.1	Utg857152_172
OG0000792	WP_012536841.1	Utg858432_138
OG0000793	WP_012536842.1	Utg860814_257
OG0000794	WP_012536843.1	Utg859098_248
OG0000795	WP_012536849.1	Utg859236_57
OG0000796	WP_012536879.1	Utg859388_11
OG0000797	WP_012536883.1	Utg859098_321
OG0000798	WP_012536938.1	Utg864866_5
OG0000799	WP_012536939.1	Utg859236_84
OG0000800	WP_012536943.1	Utg857300_48
OG0000801	WP_012536945.1	Utg858432_94
OG0000802	WP_012536950.1	Utg859982_39
OG0000803	WP_012536951.1	Utg862138_37
OG0000804	WP_012536952.1	Utg857046_156, Utg857300_38
OG0000805	WP_012536988.1	Utg857994_194
OG0000806	WP_012536992.1	Utg861744_35
OG0000807	WP_012537005.1	Utg857994_156
OG0000808	WP_012537045.1	Utg858494_59
OG0000809	WP_012537049.1	Utg859076_29
OG0000810	WP_012537050.1	Utg859388_28
OG0000811	WP_012537051.1	Utg859076_28
OG0000812	WP_012537054.1	Utg859982_130
OG0000813	WP_012537060.1	Utg859236_28
OG0000814	WP_012537085.1	Utg860814_27, Utg860814_28
OG0000815	WP_012537086.1	Utg859098_270
OG0000816	WP_012537134.1	Utg861744_39
OG0000817	WP_012537138.1	Utg861744_55
OG0000818	WP_012537146.1	Utg859982_206
OG0000819	WP_012537147.1	Utg859098_237
OG0000820	WP_012537152.1	Utg861744_11, Utg857076_46
OG0000821	WP_012537254.1	Utg857076_59
OG0000822	WP_012537259.1	Utg857490_29
OG0000823	WP_012537260.1	Utg857490_26
OG0000825	WP_012537273.1	Utg860006_60
OG0000826	WP_012537274.1	Utg859098_398
OG0000827	WP_012537289.1	Utg857992_34
OG0000828	WP_012537290.1	Utg857992_33
OG0000829	WP_012537291.1	Utg857992_32
OG0000830	WP_012537292.1	Utg857992_31
OG0000831	WP_012537293.1	Utg857992_30
OG0000832	WP_012537294.1	Utg857992_29
OG0000833	WP_012537296.1	Utg862138_6
OG0000834	WP_012537304.1	Utg860814_211
OG0000835	WP_012537357.1	Utg861744_136
OG0000836	WP_012537368.1	Utg859982_37
OG0000837	WP_012537371.1	Utg857994_149
OG0000838	WP_012537372.1	Utg859750_78
OG0000839	WP_012537374.1	Utg857994_159
OG0000841	WP_012537408.1	Utg861744_104
OG0000842	WP_012537409.1	Utg859982_143
OG0000843	WP_012537411.1	Utg859098_186
OG0000844	WP_012537432.1	Utg866558_19
OG0000845	WP_012537433.1	Utg866558_18
OG0000846	WP_012537434.1	Utg866558_15
OG0000847	WP_012537472.1, WP_012537469.1	Utg857046_199, Utg857046_200
OG0000848	WP_012537494.1	Utg859098_198
OG0000849	WP_012537497.1	Utg860814_241
OG0000850	WP_012537550.1	Utg865370_6
OG0000851	WP_012537552.1	Utg859432_52
OG0000852	WP_012537563.1	Utg862138_31
OG0000853	WP_012537565.1	Utg862138_25
OG0000854	WP_012537569.1	Utg859098_156
OG0000855	WP_012537583.1	Utg862138_22
OG0000856	WP_012537589.1	Utg859098_158
OG0000857	WP_012537600.1	Utg866558_50, Utg860006_64
OG0000858	WP_012537630.1	Utg857152_16
OG0000860	WP_012537656.1	Utg857152_108
OG0000861	WP_012537661.1	Utg862138_32
OG0000862	WP_012537662.1	Utg857046_249
OG0000863	WP_012537664.1	Utg858498_11
OG0000864	WP_012537675.1	Utg857152_40
OG0000865	WP_012537690.1	Utg859432_45
OG0000866	WP_012537704.1	Utg861744_123
OG0000867	WP_012537706.1	Utg857152_66
OG0000868	WP_012606529.1	Utg858432_141
OG0000869	WP_012606540.1	Utg858494_136
OG0000870	WP_012606545.1	Utg857152_7
OG0000871	WP_012606548.1	Utg860814_295
OG0000872	WP_012606567.1	Utg859076_32
OG0000873	WP_012606584.1	Utg858432_134
OG0000874	WP_012606634.1	Utg859982_42
OG0000875	WP_012607057.1	Utg862138_27
OG0000876	WP_012607261.1	Utg858498_10
OG0000877	WP_012607268.1	Utg859750_69
OG0000878	WP_012607327.1	Utg861744_25
OG0000879	WP_012607345.1	Utg859098_208
OG0000881	WP_012607515.1	Utg857046_136
OG0000882	WP_012607615.1	Utg857076_30
OG0000883	WP_049759457.1	Utg857076_22
OG0000884	WP_054608903.1	Utg864866_4
OG0000886	WP_111122623.1	Utg857152_198
OG0000888	WP_157293193.1	Utg860814_318, Utg860814_18
OG0000889	WP_180830472.1	Utg857046_218
OG0000890	WP_229129742.1, WP_225487046.1	Utg859388_129
OG0000891	WP_225487353.1	Utg857046_227
OG0000892	WP_225487354.1	Utg858432_33, Utg858432_32
OG0000893	WP_225487399.1	Utg858432_44
OG0000894	WP_225487425.1	Utg857300_13
OG0000895	WP_225487673.1	Utg859432_42
OG0000896	WP_229129796.1	Utg862138_41
OG0000897	WP_230456312.1	Utg857076_60
OG0000898	WP_230959348.1	Utg857682_75
OG0000899	WP_233459568.1	Utg857992_27
OG0000900	WP_233459589.1	Utg857076_21
OG0000962	WP_009560842.1	Utg859388_132
OG0000963	WP_009561112.1	Utg857152_106
OG0000964	WP_009562365.1	Utg859982_41
OG0000966	WP_009562392.1	Utg857076_3, Utg859236_131
OG0000967	WP_009562412.1	Utg857994_90
OG0000968	WP_009562431.1	Utg859098_189
OG0000970	WP_009562604.1	Utg857490_24
OG0000971	WP_009562810.1	Utg859432_47
OG0000972	WP_009562817.1	Utg859098_228
OG0000973	WP_009563431.1, WP_012537580.1	Utg857682_62, Utg861744_79
OG0000974	WP_009563457.1	Utg866558_24
OG0000976	WP_009564598.1	Utg860006_128
OG0000977	WP_009565186.1	Utg859098_362
OG0000980	WP_009566066.1	Utg857992_22
OG0000981	WP_009566150.1	Utg861744_44
OG0000982	WP_009566264.1	Utg861744_47
OG0000983	WP_009566310.1	Utg858432_111
OG0000985	WP_009566652.1	Utg862138_15
OG0000986	WP_041838693.1, WP_009566930.1, WP_219629366.1, WP_012537013.1	Utg858432_104
OG0000987	WP_009566940.1	Utg859098_268
OG0000988	WP_009567245.1	Utg859750_14
OG0000989	WP_009567470.1	Utg859098_265
OG0000990	WP_009567611.1	Utg861744_40
OG0000991	WP_009567628.1	Utg859432_40
OG0000992	WP_009567692.1	Utg858432_34
OG0000994	WP_009568281.1	Utg858494_108
OG0000995	WP_009568793.1	Utg858494_117
OG0000996	WP_009569413.1	Utg857046_68
OG0000997	WP_012535779.1	Utg857994_173
OG0000997	WP_012607583.1	Utg857994_192, Utg857994_172
OG0000998	WP_012536029.1	Utg859982_156
OG0000999	WP_012536037.1	Utg857152_210
OG0001000	WP_012536092.1	Utg858494_116
OG0001001	WP_012536104.1	Utg857152_125
OG0001002	WP_012536118.1	Utg860814_291
OG0001003	WP_012536142.1	Utg860006_165
OG0001004	WP_012536177.1	Utg864866_85
OG0001005	WP_012536178.1	Utg864866_84
OG0001006	WP_012536194.1	Utg857300_4
OG0001007	WP_012536202.1	Utg858432_135
OG0001008	WP_012536223.1	Utg859982_204
OG0001009	WP_012536260.1	Utg859982_203
OG0001011	WP_012536340.1	Utg863716_109
OG0001012	WP_012536366.1	Utg860814_60
OG0001013	WP_012536367.1	Utg860814_19, Utg860814_20
OG0001014	WP_012536428.1	Utg858432_10
OG0001017	WP_012536443.1	Utg859388_91
OG0001018	WP_012536499.1	Utg859750_68
OG0001019	WP_012536546.1	Utg859388_67
OG0001020	WP_012536567.1	Utg861744_59
OG0001022	WP_012536747.1	Utg857046_31
OG0001023	WP_012536748.1	Utg861744_135
OG0001024	WP_012536778.1	Utg860006_134
OG0001025	WP_012536779.1	Utg860814_317, Utg860814_308
OG0001026	WP_012536813.1	Utg857994_126, Utg857994_125
OG0001027	WP_012536830.1	Utg857076_42
OG0001029	WP_012536838.1	Utg857992_28
OG0001030	WP_012536846.1	Utg861744_137
OG0001033	WP_012536948.1	Utg859098_260
OG0001034	WP_012536978.1	Utg861744_53
OG0001035	WP_012536980.1	Utg861744_22
OG0001036	WP_012537000.1	Utg857152_102, Utg857152_101
OG0001037	WP_012537016.1	Utg857994_137
OG0001038	WP_012537145.1	Utg857300_56
OG0001039	WP_012537233.1	Utg858432_117
OG0001040	WP_012537235.1	Utg858494_92
OG0001041	WP_012537270.1	Utg859388_87
OG0001042	WP_012537301.1	Utg859982_220
OG0001045	WP_012537366.1	Utg859388_15
OG0001046	WP_012537373.1	Utg866558_26
OG0001047	WP_012537401.1, WP_012537634.1	Utg865370_4
OG0001048	WP_012537412.1	Utg858432_90
OG0001049	WP_012537425.1	Utg859236_98
OG0001052	WP_012537482.1	Utg857152_158
OG0001053	WP_012537699.1, WP_012537517.1	Utg857994_209
OG0001054	WP_012537558.1	Utg858432_21
OG0001056	WP_012537679.1	Utg859098_437, Utg858498_1
OG0001057	WP_012537685.1	Utg857682_14
OG0001058	WP_012607518.1	Utg859388_14
OG0001059	WP_012607606.1	Utg857682_92
OG0001060	WP_012607619.1	Utg861448_4
OG0001061	WP_054608849.1, WP_055448984.1	Utg857682_6, Utg857682_7, Utg859982_88, Utg858432_143, Utg859982_87, Utg864866_118, Utg865370_45, Utg857682_8
OG0001062	WP_054608956.1	Utg859098_404, Utg859388_1, Utg857152_256, Utg857682_103, Utg857682_110, Utg859098_52, Utg859098_408
OG0001063	WP_054609074.1	Utg859982_72
OG0001065	WP_111122554.1	Utg859236_30, Utg859236_29
OG0001066	WP_180830462.1	Utg858432_35
OG0001067	WP_180830476.1	Utg859982_135, Utg859982_136
OG0001068	WP_215905492.1	Utg859098_273
OG0001069	WP_225487418.1	Utg859982_176
OG0001070	WP_225487646.1	Utg859076_33
OG0001142	WP_009561097.1	Utg858432_30
OG0001143	WP_009562222.1	Utg863716_34
OG0001144	WP_009562409.1	Utg864866_58
OG0001145	WP_009562646.1	Utg857994_153
OG0001148	WP_009564270.1	Utg858494_34
OG0001150	WP_009566070.1	Utg859236_99
OG0001152	WP_009567032.1	Utg857992_36
OG0001153	WP_009567147.1	Utg861744_68
OG0001154	WP_009567191.1	Utg857152_46
OG0001155	WP_009567240.1	Utg859098_278
OG0001156	WP_009567345.1	Utg859098_49, Utg857994_218
OG0001157	WP_009567494.1	Utg861744_62
OG0001158	WP_009567865.1	Utg857152_140
OG0001159	WP_009569566.1	Utg859076_30
OG0001160	WP_012535973.1	Utg859750_16
OG0001161	WP_012536071.1	Utg859388_73
OG0001162	WP_012536076.1, WP_054608770.1, WP_225487358.1, WP_012537332.1	Utg859098_386
OG0001164	WP_012536188.1	Utg859098_272
OG0001165	WP_012536313.1	Utg860814_188
OG0001166	WP_012536317.1	Utg860006_27
OG0001168	WP_012536365.1	Utg860814_59, Utg860814_58
OG0001169	WP_012536368.1	Utg860814_65
OG0001171	WP_012536576.1	Utg861744_94
OG0001172	WP_012536579.1	Utg861744_66
OG0001173	WP_012536580.1	Utg861744_65
OG0001174	WP_012536582.1	Utg861744_96
OG0001176	WP_261989780.1, WP_012536859.1	Utg859098_416
OG0001178	WP_012537133.1	Utg859098_86
OG0001179	WP_012537135.1	Utg860814_117
OG0001180	WP_012537263.1	Utg857682_67, Utg861744_89
OG0001181	WP_012537264.1	Utg857682_68, Utg861744_88
OG0001182	WP_012537327.1	Utg857300_43, Utg857300_42
OG0001183	WP_012537450.1	Utg857046_19
OG0001184	WP_012537461.1	Utg857046_171, Utg857046_170
OG0001189	WP_012607569.1	Utg857152_160
OG0001192	WP_054609104.1	Utg866558_38
OG0001195	WP_226833861.1	Utg862138_54
OG0001328	WP_009560969.1	Utg858494_64
OG0001330	WP_009561098.1	Utg860814_324
OG0001332	WP_009562825.1	Utg860006_156
OG0001333	WP_009563432.1	Utg861744_85
OG0001335	WP_012536693.1, WP_009566932.1, WP_012537014.1	Utg858432_103, Utg858432_102
OG0001338	WP_012535780.1	Utg857994_169
OG0001339	WP_012535993.1	Utg858432_95
OG0001340	WP_012536045.1	Utg859236_59
OG0001341	WP_012536069.1	Utg859098_277
OG0001342	WP_080513206.1	Utg859098_336
OG0001344	WP_012536212.1	Utg857152_14
OG0001345	WP_012536237.1	Utg859236_15
OG0001346	WP_012536242.1	Utg860006_68
OG0001347	WP_012536259.1	Utg859236_34
OG0001348	WP_012536270.1	Utg864866_27
OG0001352	WP_012536324.1	Utg857152_79
OG0001353	WP_012536359.1	Utg860814_78
OG0001354	WP_012536369.1	Utg860814_71
OG0001355	WP_012536419.1	Utg859098_246
OG0001357	WP_012536503.1	Utg860006_79
OG0001359	WP_012536575.1	Utg861744_95
OG0001362	WP_012536863.1	Utg862138_55
OG0001363	WP_012536866.1	Utg866558_33
OG0001364	WP_012536867.1	Utg859236_27
OG0001366	WP_012536925.1, WP_054608869.1	Utg857046_65
OG0001367	WP_012537027.1	Utg861744_31
OG0001369	WP_012537151.1	Utg857152_89
OG0001370	WP_012537684.1, WP_012537154.1	Utg861744_13
OG0001371	WP_012537243.1	Utg861744_58
OG0001372	WP_012537352.1	Utg857300_8
OG0001378	WP_012537574.1	Utg859388_130
OG0001384	WP_054608733.1	Utg861744_132
OG0001385	WP_054608759.1	Utg860814_76
OG0001387	WP_081033195.1	Utg861448_22, Utg863716_95
OG0001390	WP_225487398.1	Utg857994_145
OG0001391	WP_225487407.1	Utg857300_9
OG0001567	WP_009560684.1	Utg865370_27
OG0001569	WP_009560928.1	Utg858432_56
OG0001571	WP_009561085.1	Utg859750_36
OG0001573	WP_009562433.1	Utg859098_187
OG0001576	WP_009565427.1	Utg859982_216
OG0001578	WP_009565665.1	Utg857994_51
OG0001580	WP_009566740.1	Utg865370_25
OG0001581	WP_009567476.1	Utg859098_225
OG0001582	WP_009568083.1	Utg861744_100
OG0001586	WP_012535772.1	Utg859982_16
OG0001587	WP_219629361.1, WP_012536650.1, WP_012535936.1, WP_219629360.1	Utg858494_19
OG0001589	WP_012536033.1	Utg860006_149
OG0001591	WP_012536282.1, WP_054608881.1	Utg857682_105
OG0001592	WP_012536449.1	Utg865370_26
OG0001594	WP_012536520.1	Utg859098_300
OG0001596	WP_012536743.1	Utg863716_49
OG0001601	WP_012536890.1	Utg859982_44
OG0001603	WP_180830470.1, WP_012536907.1	Utg859098_357
OG0001609	WP_012537175.1	Utg857046_137
OG0001610	WP_012537297.1	Utg859982_214
OG0001611	WP_012537300.1	Utg859982_219
OG0001614	WP_012537351.1	Utg857994_242
OG0001615	WP_012537682.1	Utg864866_92
OG0001616	WP_012606527.1	Utg860006_142
OG0001618	WP_074874203.1, WP_012607079.1	Utg859098_249, Utg859098_250
OG0001621	WP_054608778.1	Utg857152_62
OG0001622	WP_054609027.1, WP_151528207.1, WP_233459588.1	Utg857046_12
OG0001821	WP_009560977.1	Utg857682_49
OG0001825	WP_009566502.1	Utg857152_81
OG0001833	WP_012536054.1	Utg857152_199
OG0001836	WP_012536139.1, WP_012536754.1	Utg860814_163
OG0001842	WP_012536262.1	Utg861744_122
OG0001843	WP_012536281.1	Utg857682_104
OG0001847	WP_012536510.1, WP_054608739.1	Utg859982_55
OG0001848	WP_012536667.1	Utg860006_118
OG0001851	WP_012536780.1	Utg858494_50
OG0001854	WP_012537136.1	Utg859098_120
OG0001857	WP_012537396.1, WP_012537637.1	Utg857994_47, Utg858432_58
OG0001858	WP_012537534.1	Utg859388_135
OG0001863	WP_054608732.1	Utg859388_182, Utg858498_26
OG0001865	WP_180830487.1	Utg859388_33
OG0002106	WP_009563284.1	Utg857046_83
OG0002108	WP_009564272.1	Utg858494_35
OG0002115	WP_012536651.1, WP_012535937.1	Utg858494_20
OG0002122	WP_012536318.1	Utg859388_101
OG0002135	WP_012537057.1	Utg861448_33
OG0002137	WP_012537353.1	Utg857300_7
OG0002141	WP_012537539.1	Utg858432_168
OG0002144	WP_012537587.1	Utg859098_318
OG0002145	WP_180830447.1, WP_012537648.1, WP_180830441.1, WP_233459572.1, WP_041838733.1	Utg861448_29
OG0002443	WP_009565530.1, WP_009566763.1	Utg857682_18
OG0002470	WP_012536969.1	Utg859098_434
OG0002481	WP_012537615.1	Utg864866_76
OG0002482	WP_012606651.1	Utg860814_68
OG0002488	WP_041838730.1	Utg857994_197
OG0002491	WP_054608773.1	Utg864866_43
OG0002836	WP_009568478.1	Utg862138_21
OG0002841	WP_012536066.1	Utg857682_122
OG0002844	WP_012536349.1	Utg859076_10
OG0002858	WP_012536860.1	Utg859098_427
OG0002867	WP_012537117.1	Utg857046_11
OG0002874	WP_012537519.1	Utg857994_204
OG0002883	WP_012607468.1	Utg857046_217
OG0002886	WP_054609030.1, WP_054608973.1	Utg859098_56, Utg857682_129
OG0002897	WP_196491152.1	Utg859098_411
OG0003340	WP_009561607.1	Utg860006_112
OG0003384	WP_012536284.1	Utg857682_106
OG0003423	WP_080513193.1, WP_012537107.1	Utg859750_44
OG0004228	WP_009561339.1	Utg858494_16
OG0004302	WP_012535982.1	Utg858494_18
OG0004303	WP_012535983.1	Utg858494_17
