Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523
OG0000702	WP_012536008.1	WP_015402520.1
OG0000704	WP_012536016.1	WP_015405679.1
OG0000705	WP_012536017.1	WP_015405680.1
OG0000706	WP_012536018.1	WP_015405681.1
OG0000707	WP_012536019.1	WP_015405684.1
OG0000708	WP_012536023.1	WP_015405691.1
OG0000709	WP_012536040.1	WP_015405104.1
OG0000710	WP_012536051.1	WP_015405606.1
OG0000711	WP_012536059.1	WP_015403495.1
OG0000712	WP_012536064.1	WP_015405026.1
OG0000713	WP_012536070.1	WP_015404795.1
OG0000714	WP_012536072.1	WP_083907296.1
OG0000715	WP_012536073.1	WP_015404259.1
OG0000716	WP_012536074.1	WP_015404261.1
OG0000717	WP_012536079.1	WP_015404270.1
OG0000718	WP_012536080.1	WP_015404271.1
OG0000719	WP_012536081.1	WP_015404272.1
OG0000720	WP_012536082.1	WP_015404275.1
OG0000721	WP_012536084.1	WP_015404278.1
OG0000722	WP_012536086.1	WP_015404280.1
OG0000723	WP_012536087.1	WP_015404283.1
OG0000724	WP_012536088.1	WP_015404288.1
OG0000725	WP_012536089.1	WP_015404291.1
OG0000726	WP_012536090.1	WP_015404293.1
OG0000727	WP_012536093.1	WP_015404297.1
OG0000728	WP_012536094.1	WP_015404298.1
OG0000729	WP_012536095.1	WP_015404299.1
OG0000730	WP_012536096.1	WP_015404300.1
OG0000731	WP_012536098.1	WP_015404306.1
OG0000732	WP_012536099.1	WP_015404307.1
OG0000733	WP_012536100.1	WP_015404308.1
OG0000734	WP_012536101.1	WP_015402298.1
OG0000735	WP_012536102.1	WP_041916957.1
OG0000736	WP_012536109.1	WP_015402311.1
OG0000737	WP_012536117.1	WP_015402304.1
OG0000738	WP_012536126.1	WP_015402949.1
OG0000739	WP_012536147.1	WP_015405016.1
OG0000740	WP_012536153.1	WP_015404023.1
OG0000741	WP_012536187.1	WP_015403887.1
OG0000742	WP_012536192.1, WP_012537512.1	WP_015404033.1
OG0000743	WP_012536204.1	WP_015404254.1
OG0000744	WP_012536208.1	WP_015404538.1
OG0000745	WP_012536222.1	WP_015405381.1
OG0000746	WP_012536225.1	WP_015405095.1
OG0000747	WP_012536268.1	WP_015404724.1
OG0000748	WP_012536269.1	WP_015404725.1
OG0000749	WP_012536279.1	WP_083907163.1
OG0000750	WP_012536303.1	WP_015403421.1
OG0000751	WP_012536305.1	WP_015403424.1
OG0000752	WP_012536329.1	WP_015402484.1
OG0000753	WP_012536389.1	WP_015404859.1
OG0000754	WP_012536390.1	WP_015403167.1
OG0000755	WP_012536391.1	WP_228130063.1
OG0000756	WP_012536396.1	WP_041916433.1
OG0000757	WP_012536417.1	WP_015404019.1
OG0000758	WP_012536418.1	WP_015403358.1
OG0000759	WP_012536424.1	WP_015402514.1
OG0000760	WP_012536425.1	WP_015402787.1
OG0000761	WP_012536427.1	WP_015403142.1
OG0000762	WP_012536445.1	WP_015402667.1
OG0000763	WP_012536446.1	WP_015402668.1
OG0000764	WP_012536447.1	WP_015403950.1
OG0000766	WP_012536494.1	WP_015403369.1
OG0000767	WP_012536497.1	WP_015402388.1
OG0000768	WP_012536498.1	WP_015405616.1
OG0000769	WP_012536522.1	WP_015404311.1
OG0000770	WP_012536523.1	WP_015404313.1
OG0000771	WP_012536524.1	WP_015404314.1
OG0000772	WP_012536525.1	WP_015404315.1
OG0000773	WP_012536526.1	WP_015404316.1
OG0000774	WP_012536527.1	WP_015404317.1
OG0000775	WP_012536528.1	WP_015403854.1
OG0000776	WP_012536530.1	WP_228130023.1
OG0000777	WP_012536531.1	WP_015405705.1
OG0000778	WP_012536536.1, WP_012536946.1	WP_015402473.1
OG0000779	WP_012536537.1	WP_015404446.1
OG0000780	WP_012536544.1	WP_015405473.1
OG0000781	WP_012536547.1	WP_015404789.1
OG0000782	WP_012536740.1	WP_015403960.1
OG0000783	WP_012536744.1	WP_015405149.1
OG0000784	WP_012536750.1	WP_015402790.1
OG0000785	WP_012536751.1	WP_015402791.1
OG0000787	WP_012536820.1	WP_228130090.1
OG0000788	WP_012536823.1	WP_015404156.1
OG0000789	WP_012536833.1	WP_015405607.1
OG0000790	WP_012536836.1	WP_015403866.1
OG0000791	WP_012536839.1	WP_015402492.1, WP_015402610.1
OG0000792	WP_012536841.1	WP_015405605.1
OG0000793	WP_012536842.1	WP_015402327.1
OG0000794	WP_012536843.1	WP_015405108.1
OG0000795	WP_012536849.1	WP_015404416.1
OG0000796	WP_012536879.1	WP_015404737.1
OG0000797	WP_012536883.1	WP_015405151.1
OG0000798	WP_012536938.1	WP_015402907.1
OG0000799	WP_012536939.1	WP_015404376.1
OG0000800	WP_012536943.1	WP_015403515.1
OG0000801	WP_012536945.1	WP_015405649.1
OG0000802	WP_012536950.1	WP_015404812.1
OG0000803	WP_012536951.1	WP_041917156.1
OG0000804	WP_012536952.1	WP_015403522.1
OG0000805	WP_012536988.1	WP_015402755.1, WP_015404212.1, WP_015403131.1
OG0000806	WP_012536992.1	WP_015403359.1
OG0000807	WP_012537005.1	WP_167320747.1
OG0000808	WP_012537045.1	WP_015404329.1
OG0000809	WP_012537049.1	WP_015402465.1
OG0000810	WP_012537050.1	WP_015404753.1
OG0000811	WP_012537051.1	WP_015402464.1
OG0000813	WP_012537060.1	WP_015404469.1
OG0000815	WP_012537086.1	WP_015405140.1
OG0000816	WP_012537134.1	WP_015403361.1
OG0000817	WP_012537138.1	WP_015403376.1
OG0000818	WP_012537146.1	WP_015404964.1
OG0000819	WP_012537147.1	WP_015405097.1
OG0000820	WP_012537152.1	WP_015403336.1
OG0000822	WP_012537259.1	WP_015404166.1
OG0000823	WP_012537260.1	WP_015404169.1
OG0000824	WP_012537272.1	WP_015403078.1
OG0000825	WP_012537273.1	WP_015404545.1
OG0000826	WP_012537274.1	WP_015402880.1
OG0000827	WP_012537289.1	WP_015405545.1
OG0000828	WP_012537290.1	WP_015405544.1
OG0000829	WP_012537291.1	WP_015405543.1
OG0000830	WP_012537292.1	WP_015405542.1
OG0000831	WP_012537293.1	WP_041916459.1
OG0000832	WP_012537294.1	WP_015405540.1
OG0000833	WP_012537296.1	WP_015405766.1
OG0000834	WP_012537304.1	WP_015402351.1
OG0000836	WP_012537368.1	WP_015404810.1
OG0000837	WP_012537371.1	WP_015404726.1
OG0000838	WP_012537372.1	WP_015402709.1
OG0000839	WP_012537374.1	WP_015404717.1
OG0000841	WP_012537408.1	WP_015403390.1
OG0000842	WP_012537409.1	WP_015404877.1
OG0000843	WP_012537411.1	WP_015405018.1
OG0000844	WP_012537432.1	WP_015405555.1
OG0000845	WP_012537433.1	WP_015405554.1
OG0000846	WP_012537434.1	WP_015405551.1
OG0000847	WP_012537472.1, WP_012537469.1	WP_015404020.1
OG0000848	WP_012537494.1	WP_015405029.1
OG0000849	WP_012537497.1	WP_015402337.1
OG0000850	WP_012537550.1	WP_015403211.1
OG0000851	WP_012537552.1	WP_015402964.1
OG0000852	WP_012537563.1	WP_015405742.1
OG0000853	WP_012537565.1	WP_015405748.1
OG0000854	WP_012537569.1	WP_015405223.1
OG0000855	WP_012537583.1	WP_015405751.1
OG0000856	WP_012537589.1	WP_015405221.1
OG0000857	WP_012537600.1	WP_015404548.1
OG0000858	WP_012537630.1	WP_015403860.1
OG0000859	WP_012537654.1	WP_015404144.1
OG0000860	WP_012537656.1	WP_015403955.1
OG0000861	WP_012537661.1	WP_015405741.1
OG0000862	WP_012537662.1	WP_015403992.1
OG0000863	WP_012537664.1	WP_015405347.1
OG0000864	WP_012537675.1	WP_015403880.1
OG0000865	WP_012537690.1	WP_015402957.1
OG0000866	WP_012537704.1	WP_015403430.1
OG0000867	WP_012537706.1	WP_015403911.1
OG0000868	WP_012606529.1	WP_015405602.1
OG0000869	WP_012606540.1	WP_015404276.1
OG0000870	WP_012606545.1	WP_167320732.1
OG0000871	WP_012606548.1	WP_015402299.1
OG0000872	WP_012606567.1	WP_153304786.1
OG0000873	WP_012606584.1	WP_015405609.1
OG0000874	WP_012606634.1	WP_041916421.1
OG0000875	WP_012607057.1	WP_015405746.1
OG0000876	WP_012607261.1	WP_015405346.1
OG0000877	WP_012607268.1	WP_167320708.1
OG0000878	WP_012607327.1	WP_015403349.1
OG0000879	WP_012607345.1	WP_015405036.1
OG0000881	WP_012607515.1	WP_015404074.1
OG0000882	WP_012607615.1	WP_015404351.1
OG0000883	WP_049759457.1	WP_015404359.1, WP_041916915.1
OG0000884	WP_054608903.1	WP_015402908.1
OG0000885	WP_054608955.1	WP_015403060.1
OG0000886	WP_111122623.1	WP_015402656.1
OG0000888	WP_157293193.1	WP_015402439.1
OG0000889	WP_180830472.1	WP_015404003.1
OG0000890	WP_229129742.1, WP_225487046.1	WP_015405391.1
OG0000891	WP_225487353.1	WP_041916368.1
OG0000892	WP_225487354.1	WP_265588656.1
OG0000893	WP_225487399.1	WP_015405685.1
OG0000894	WP_225487425.1	WP_015404989.1
OG0000895	WP_225487673.1	WP_015402954.1
OG0000896	WP_229129796.1	WP_015405732.1
OG0000898	WP_230959348.1	WP_015403096.1
OG0000899	WP_233459568.1	WP_208598530.1
OG0000900	WP_233459589.1	WP_015404360.1
OG0000963	WP_009561112.1	WP_015403953.1
OG0000964	WP_009562365.1	WP_015404814.1
OG0000966	WP_009562392.1	WP_015402855.1
OG0000968	WP_009562431.1	WP_015405021.1
OG0000970	WP_009562604.1	WP_015404174.1
OG0000971	WP_009562810.1	WP_015402959.1
OG0000972	WP_009562817.1	WP_015405054.1
OG0000974	WP_009563457.1	WP_041916461.1
OG0000975	WP_012536696.1, WP_009564036.1	WP_015405779.1, WP_015403443.1
OG0000976	WP_009564598.1	WP_153304895.1
OG0000977	WP_009565186.1	WP_015405209.1
OG0000978	WP_009565431.1	WP_015404281.1
OG0000979	WP_009565766.1	WP_015403935.1
OG0000980	WP_009566066.1	WP_015405535.1
OG0000981	WP_009566150.1	WP_015403367.1
OG0000982	WP_009566264.1	WP_015403370.1
OG0000983	WP_009566310.1	WP_015405627.1
OG0000984	WP_009566634.1	WP_015403398.1
OG0000985	WP_009566652.1	WP_153304930.1
OG0000986	WP_041838693.1, WP_009566930.1, WP_219629366.1, WP_012537013.1	WP_015405637.1
OG0000987	WP_009566940.1	WP_015405138.1
OG0000988	WP_009567245.1	WP_015402737.1
OG0000989	WP_009567470.1	WP_015405135.1
OG0000990	WP_009567611.1	WP_015403362.1
OG0000991	WP_009567628.1	WP_015402952.1
OG0000992	WP_009567692.1	WP_015405695.1
OG0000993	WP_012537116.1, WP_151528216.1, WP_009567937.1	WP_015403233.1
OG0000994	WP_009568281.1	WP_015404303.1
OG0000995	WP_009568793.1	WP_015404294.1
OG0000996	WP_009569413.1	WP_015404090.1
OG0000998	WP_012536029.1	WP_015404890.1
OG0000999	WP_012536037.1	WP_015404871.1, WP_153304944.1
OG0001000	WP_012536092.1	WP_015404295.1
OG0001001	WP_012536104.1	WP_015403965.1
OG0001002	WP_012536118.1	WP_015402303.1
OG0001003	WP_012536142.1	WP_015404627.1
OG0001004	WP_012536177.1	WP_015402764.1
OG0001005	WP_012536178.1	WP_015402765.1
OG0001006	WP_012536194.1	WP_015403630.1
OG0001007	WP_012536202.1	WP_015405608.1
OG0001008	WP_012536223.1	WP_015404961.1
OG0001009	WP_012536260.1	WP_015404960.1
OG0001010	WP_012536315.1	WP_015402489.1
OG0001011	WP_012536340.1	WP_015402483.1
OG0001012	WP_012536366.1	WP_041916502.1
OG0001013	WP_012536367.1	WP_052326942.1
OG0001014	WP_012536428.1	WP_015405709.1
OG0001015	WP_012536429.1	WP_015404990.1
OG0001016	WP_012536430.1	WP_015404991.1
OG0001017	WP_012536443.1	WP_015405424.1
OG0001018	WP_012536499.1	WP_015402717.1
OG0001019	WP_012536546.1	WP_015404790.1
OG0001020	WP_012536567.1	WP_015402612.1
OG0001022	WP_012536747.1	WP_015404097.1
OG0001023	WP_012536748.1	WP_015403416.1
OG0001024	WP_012536778.1	WP_015404583.1
OG0001026	WP_012536813.1	WP_015405482.1
OG0001027	WP_012536830.1	WP_015404342.1
OG0001028	WP_230456346.1, WP_012536832.1	WP_015404785.1
OG0001029	WP_012536838.1	WP_015405539.1
OG0001030	WP_012536846.1	WP_153304834.1
OG0001031	WP_012536875.1	WP_015404147.1
OG0001033	WP_012536948.1	WP_015405130.1
OG0001034	WP_012536978.1	WP_015403374.1
OG0001035	WP_012536980.1	WP_015403346.1
OG0001036	WP_012537000.1	WP_015403949.1
OG0001038	WP_012537145.1	WP_015403497.1
OG0001039	WP_012537233.1	WP_015405621.1
OG0001040	WP_012537235.1	WP_015404318.1
OG0001041	WP_012537270.1	WP_015404806.1
OG0001043	WP_012537303.1	WP_015403058.1
OG0001044	WP_012537325.1	WP_083907278.1
OG0001045	WP_012537366.1	WP_015404741.1
OG0001046	WP_012537373.1	WP_167320764.1
OG0001048	WP_012537412.1	WP_052327029.1
OG0001049	WP_012537425.1	WP_015404374.1
OG0001050	WP_012537436.1	WP_015402800.1
OG0001051	WP_012537462.1	WP_015404136.1
OG0001052	WP_012537482.1	WP_015402680.1
OG0001053	WP_012537699.1, WP_012537517.1	WP_015404629.1
OG0001054	WP_012537558.1	WP_015405702.1
OG0001055	WP_012537572.1	WP_015403066.1
OG0001056	WP_012537679.1	WP_015405405.1
OG0001057	WP_012537685.1	WP_015403900.1
OG0001058	WP_012607518.1	WP_015404740.1
OG0001059	WP_012607606.1	WP_015403083.1
OG0001060	WP_012607619.1	WP_015405522.1
OG0001063	WP_054609074.1	WP_015404826.1
OG0001065	WP_111122554.1	WP_015404468.1
OG0001066	WP_180830462.1	WP_015405694.1
OG0001067	WP_180830476.1	WP_228130016.1
OG0001068	WP_215905492.1	WP_015405143.1
OG0001069	WP_225487418.1	WP_015404898.1
OG0001070	WP_225487646.1	WP_015402470.1
OG0001142	WP_009561097.1	WP_015405698.1
OG0001143	WP_009562222.1	WP_015402577.1
OG0001144	WP_009562409.1	WP_015402786.1
OG0001145	WP_009562646.1	WP_167320748.1
OG0001148	WP_054608977.1	WP_015404459.1
OG0001148	WP_009564270.1	WP_015403121.1
OG0001149	WP_012537680.1	WP_228130077.1
OG0001150	WP_009566070.1	WP_015404373.1
OG0001152	WP_009567032.1	WP_015405547.1
OG0001153	WP_009567147.1	WP_015402622.1
OG0001154	WP_009567191.1	WP_015403886.1
OG0001155	WP_009567240.1	WP_015405636.1
OG0001156	WP_009567345.1	WP_015403195.1
OG0001157	WP_009567494.1	WP_015402616.1
OG0001159	WP_009569566.1	WP_015402466.1
OG0001160	WP_012535973.1	WP_015402735.1
OG0001160	WP_012536304.1	WP_015404667.1
OG0001161	WP_012536071.1	WP_015404796.1
OG0001163	WP_012536091.1	WP_083907279.1
OG0001164	WP_012536188.1	WP_015405142.1
OG0001165	WP_012536313.1	WP_015402362.1
OG0001166	WP_012536317.1	WP_015404513.1
OG0001167	WP_012536339.1	WP_167320694.1
OG0001168	WP_012536365.1	WP_015402423.1
OG0001169	WP_012536368.1	WP_015402417.1
OG0001171	WP_012536576.1	WP_015402630.1
OG0001172	WP_012536579.1	WP_228130030.1
OG0001173	WP_012536580.1	WP_015402619.1
OG0001174	WP_012536582.1	WP_015402632.1
OG0001175	WP_012536763.1	WP_015404151.1
OG0001178	WP_012537133.1	WP_015405308.1
OG0001179	WP_012537135.1	WP_015402373.1
OG0001182	WP_012537327.1	WP_015403519.1
OG0001183	WP_012537450.1	WP_167320739.1
OG0001184	WP_012537461.1	WP_015404058.1, WP_015404057.1
OG0001185	WP_012537468.1	WP_015402398.1, WP_015402400.1, WP_015402614.1
OG0001188	WP_012606530.1	WP_015404159.1
OG0001189	WP_012607569.1	WP_015402678.1
OG0001191	WP_054608826.1	WP_015403063.1
OG0001192	WP_054609104.1	WP_015405571.1
OG0001194	WP_225487413.1	WP_041916847.1
OG0001195	WP_226833861.1	WP_167320742.1
OG0001196	WP_226834138.1	WP_015404987.1
OG0001331	WP_009565818.1, WP_009561663.1	WP_167320709.1
OG0001332	WP_009562825.1	WP_052326998.1
OG0001334	WP_009566618.1	WP_041916672.1
OG0001335	WP_012536693.1, WP_009566932.1, WP_012537014.1	WP_015405638.1
OG0001336	WP_009566995.1	WP_015404620.1
OG0001338	WP_012535780.1	WP_015404706.1, WP_015404240.1
OG0001339	WP_012535993.1	WP_015405648.1
OG0001340	WP_012536045.1	WP_015404407.1
OG0001341	WP_012536069.1	WP_015405635.1
OG0001342	WP_080513206.1	WP_167320758.1
OG0001344	WP_012536212.1	WP_015403859.1
OG0001345	WP_012536237.1	WP_015404126.1, WP_208598465.1
OG0001346	WP_012536242.1	WP_015404661.1, WP_015404552.1
OG0001347	WP_012536259.1	WP_015404452.1
OG0001348	WP_012536270.1	WP_015402882.1
OG0001349	WP_012536309.1	WP_015403139.1
OG0001350	WP_012536321.1	WP_015403070.1
OG0001351	WP_012536322.1	WP_015403069.1
OG0001352	WP_012536324.1	WP_083907249.1
OG0001353	WP_012536359.1	WP_015402407.1
OG0001354	WP_012536369.1	WP_015402411.1
OG0001355	WP_012536419.1	WP_015405106.1
OG0001358	WP_012536542.1	WP_015403757.1
OG0001359	WP_012536575.1	WP_015402631.1
OG0001361	WP_012536831.1	WP_015404784.1
OG0001362	WP_012536863.1	WP_015404426.1
OG0001363	WP_012536866.1	WP_153304920.1
OG0001364	WP_012536867.1	WP_015404470.1
OG0001365	WP_054609095.1, WP_012536916.1	WP_015402601.1
OG0001367	WP_012537027.1	WP_015403355.1
OG0001369	WP_012537151.1	WP_015403939.1
OG0001370	WP_012537684.1, WP_012537154.1	WP_015403338.1
OG0001371	WP_012537243.1	WP_015402611.1
OG0001374	WP_012537419.1	WP_015402596.1
OG0001377	WP_012537566.1	WP_015404675.1
OG0001378	WP_012537574.1	WP_015405390.1
OG0001379	WP_012606632.1	WP_015403068.1
OG0001380	WP_012607505.1	WP_015402538.1
OG0001381	WP_012607506.1	WP_167320697.1
OG0001384	WP_054608733.1	WP_015403420.1
OG0001385	WP_054608759.1	WP_015402409.1
OG0001386	WP_054608835.1	WP_015402937.1
OG0001387	WP_081033195.1	WP_015402510.1
OG0001389	WP_225487192.1	WP_015404135.1
OG0001390	WP_225487398.1	WP_015404729.1
OG0001391	WP_225487407.1	WP_015403664.1
OG0001392	WP_226834140.1	WP_015403848.1
OG0001393	WP_230456313.1	WP_015402537.1
OG0001567	WP_009560684.1	WP_015403170.1
OG0001569	WP_009560928.1	WP_015405675.1
OG0001573	WP_009562433.1	WP_015405019.1
OG0001575	WP_009565304.1	WP_015405270.1
OG0001577	WP_009565537.1	WP_265588638.1
OG0001578	WP_009565665.1	WP_015405480.1
OG0001580	WP_009566740.1	WP_015403593.1
OG0001581	WP_009567476.1	WP_015405052.1
OG0001585	WP_012535771.1	WP_015403064.1
OG0001586	WP_012535772.1	WP_015405446.1
OG0001589	WP_012536033.1	WP_015404597.1
OG0001591	WP_012536282.1, WP_054608881.1	WP_015403486.1
OG0001592	WP_012536449.1	WP_015403594.1
OG0001594	WP_012536520.1	WP_015402917.1
OG0001597	WP_229129777.1, WP_049756721.1, WP_054608875.1	WP_015402932.1
OG0001600	WP_012536880.1	WP_015403926.1
OG0001601	WP_012536890.1	WP_015404817.1
OG0001603	WP_180830470.1, WP_012536907.1	WP_015403052.1, WP_015403042.1
OG0001605	WP_012536915.1	WP_015403596.1
OG0001606	WP_012536993.1	WP_015403075.1
OG0001607	WP_012537007.1	WP_015403110.1
OG0001608	WP_012537127.1	WP_015402365.1
OG0001609	WP_012537175.1	WP_228130002.1
OG0001612	WP_012537342.1	WP_015402540.1
OG0001613	WP_012537343.1	WP_015402539.1
OG0001615	WP_012537682.1	WP_015402761.1
OG0001618	WP_074874203.1, WP_012607079.1	WP_015405109.1
OG0001621	WP_054608778.1	WP_015403608.1, WP_083907183.1
OG0001623	WP_080513197.1	WP_015403665.1
OG0001625	WP_180830481.1	WP_015402554.1
OG0001821	WP_009560977.1	WP_015402747.1
OG0001822	WP_009561113.1	WP_015403242.1
OG0001825	WP_009566502.1	WP_228130051.1
OG0001828	WP_012535747.1	WP_015402594.1
OG0001833	WP_012536054.1	WP_015404213.1, WP_167320712.1
OG0001835	WP_012536129.1	WP_015403755.1
OG0001840	WP_012536245.1	WP_015402446.1
OG0001842	WP_012536262.1	WP_015403431.1
OG0001848	WP_012536667.1	WP_052327045.1
OG0001851	WP_012536780.1	WP_015403559.1
OG0001852	WP_012536904.1, WP_012537402.1, WP_012607637.1	WP_015403702.1
OG0001853	WP_012537006.1	WP_015403109.1
OG0001854	WP_012537136.1	WP_015405276.1
OG0001858	WP_012537534.1	WP_015405384.1
OG0001860	WP_012537670.1	WP_015404617.1
OG0001863	WP_054608732.1	WP_015403397.1
OG0001864	WP_054609071.1	WP_015403617.1
OG0001865	WP_180830487.1	WP_015404758.1
OG0002104	WP_009562763.1	WP_015403054.1
OG0002105	WP_009562805.1	WP_015402573.1
OG0002106	WP_009563284.1	WP_015404084.1
OG0002107	WP_009563854.1	WP_015403331.1
OG0002108	WP_009564272.1	WP_015403120.1
OG0002110	WP_009565062.1	WP_015404039.1
OG0002118	WP_012536197.1	WP_015402909.1
OG0002119	WP_012536216.1	WP_015404200.1, WP_015404695.1
OG0002120	WP_012536236.1	WP_015404127.1
OG0002121	WP_012536283.1, WP_012536384.1	WP_015405725.1
OG0002122	WP_012536318.1	WP_015405398.1
OG0002126	WP_012536598.1	WP_041916281.1
OG0002127	WP_012536599.1	WP_015402827.1
OG0002128	WP_012536687.1	WP_015403278.1
OG0002131	WP_012537008.1	WP_015403111.1
OG0002132	WP_012537010.1	WP_015403113.1
OG0002133	WP_012537011.1	WP_015403115.1
OG0002143	WP_012537575.1	WP_208598481.1, WP_015405776.1
OG0002144	WP_012537587.1	WP_041916442.1
OG0002149	WP_041646305.1	WP_015403112.1
OG0002150	WP_151528200.1	WP_015404387.1
OG0002152	WP_229129753.1	WP_015405796.1
OG0002456	WP_012536159.1	WP_015403576.1
OG0002463	WP_012536472.1	WP_015404507.1
OG0002464	WP_012536489.1	WP_015405267.1
OG0002481	WP_012537615.1	WP_015402980.1
OG0002482	WP_012606651.1	WP_083907148.1
OG0002495	WP_229129765.1	WP_015405645.1
OG0002821	WP_009562387.1, WP_012536075.1, WP_009568482.1	WP_015403252.1
OG0002823	WP_009562631.1	WP_015402396.1
OG0002826	WP_081033191.1, WP_009565616.1	WP_208598466.1
OG0002829	WP_009566636.1	WP_015403691.1
OG0002833	WP_009567497.1	WP_015402623.1
OG0002835	WP_009568269.1	WP_015403409.1, WP_015405408.1
OG0002844	WP_012536349.1	WP_015403569.1
OG0002848	WP_012536541.1	WP_015403305.1
OG0002856	WP_012536819.1	WP_015402885.1
OG0002859	WP_012536897.1	WP_015403333.1
OG0002862	WP_012537056.1	WP_015404236.1
OG0002865	WP_012537084.1	WP_015403172.1
OG0002873	WP_012537467.1	WP_015402397.1
OG0002879	WP_012606500.1	WP_015403459.1
OG0002883	WP_012607468.1	WP_015404004.1
OG0002896	WP_180830410.1	WP_015404946.1
OG0002904	WP_230959340.1	WP_015403835.1
OG0003336	WP_009560737.1	WP_015403789.1
OG0003394	WP_012536505.1	WP_015404040.1
OG0003415	WP_012536986.1	WP_015404231.1
OG0003416	WP_012536995.1	WP_015405157.1
OG0003448	WP_054608980.1	WP_015404496.1
OG0003449	WP_054608981.1	WP_015404495.1
OG0003462	WP_229129786.1	WP_015403610.1
OG0003463	WP_229129791.1	WP_015403930.1
OG0004215	WP_009560733.1	WP_208598491.1
OG0004216	WP_009560734.1	WP_015403786.1
OG0004217	WP_009560735.1	WP_015403787.1
OG0004218	WP_009560736.1	WP_015403790.1
OG0004246	WP_009563016.1	WP_015403033.1
OG0004270	WP_009566760.1	WP_015403697.1
OG0004292	WP_009569260.1	WP_015402922.1
OG0004326	WP_012536335.1	WP_015405098.1
OG0004349	WP_012536764.1	WP_015405074.1
OG0004382	WP_012537099.1	WP_015403782.1
OG0004383	WP_012537100.1	WP_015403783.1
OG0004384	WP_012537101.1	WP_015403784.1
OG0004421	WP_041646595.1	WP_015402541.1
OG0004466	WP_180830494.1	WP_015403609.1
