Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfotalea psychrophila LSv54
OG0000771	WP_012536524.1	WP_156792213.1
OG0000772	WP_012536525.1	WP_011188400.1
OG0000773	WP_012536526.1	WP_011188401.1
OG0000774	WP_012536527.1	WP_011188402.1
OG0000775	WP_012536528.1	WP_156792175.1
OG0000776	WP_012536530.1	WP_041278880.1
OG0000777	WP_012536531.1	WP_011190185.1
OG0000778	WP_012536536.1, WP_012536946.1	WP_011189054.1
OG0000779	WP_012536537.1	WP_011190173.1
OG0000781	WP_012536547.1	WP_011190291.1, WP_011190033.1
OG0000782	WP_012536740.1	WP_011188085.1
OG0000783	WP_012536744.1	WP_011189184.1
OG0000784	WP_012536750.1	WP_173362838.1
OG0000785	WP_012536751.1	WP_011188146.1
OG0000786	WP_012537579.1, WP_012536775.1	WP_011190398.1, WP_011189336.1
OG0000787	WP_012536820.1	WP_011190159.1
OG0000788	WP_012536823.1	WP_011189147.1
OG0000789	WP_012536833.1	WP_041278010.1
OG0000790	WP_012536836.1	WP_011188029.1
OG0000791	WP_012536839.1	WP_011187571.1
OG0000792	WP_012536841.1	WP_041278009.1
OG0000793	WP_012536842.1	WP_011189207.1
OG0000794	WP_012536843.1	WP_011189176.1
OG0000795	WP_012536849.1	WP_011190180.1
OG0000796	WP_012536879.1	WP_011189940.1
OG0000797	WP_012536883.1	WP_011189186.1
OG0000799	WP_012536939.1	WP_011190084.1
OG0000800	WP_012536943.1	WP_011187504.1
OG0000801	WP_012536945.1	WP_011190119.1
OG0000802	WP_012536950.1	WP_041278047.1
OG0000803	WP_012536951.1	WP_011188525.1
OG0000804	WP_012536952.1	WP_011189007.1
OG0000806	WP_012536992.1	WP_011187896.1
OG0000807	WP_012537005.1	WP_049785110.1
OG0000808	WP_012537045.1	WP_011188409.1
OG0000809	WP_012537049.1	WP_011189037.1
OG0000810	WP_012537050.1	WP_011187914.1
OG0000811	WP_012537051.1	WP_011189036.1
OG0000812	WP_012537054.1	WP_011188621.1
OG0000813	WP_012537060.1	WP_011190169.1
OG0000815	WP_012537086.1	WP_011188855.1
OG0000816	WP_012537134.1	WP_011187952.1
OG0000817	WP_012537138.1	WP_041277591.1
OG0000818	WP_012537146.1	WP_011189743.1
OG0000819	WP_012537147.1	WP_041277865.1
OG0000822	WP_012537259.1	WP_011188324.1
OG0000823	WP_012537260.1	WP_041277669.1
OG0000824	WP_012537272.1	WP_011187363.1
OG0000825	WP_012537273.1	WP_011188727.1
OG0000826	WP_012537274.1	WP_011189633.1
OG0000827	WP_012537289.1	WP_011188664.1
OG0000828	WP_012537290.1	WP_011188665.1
OG0000829	WP_012537291.1	WP_011188666.1
OG0000830	WP_012537292.1	WP_041277749.1
OG0000831	WP_012537293.1	WP_083818944.1
OG0000832	WP_012537294.1	WP_041278463.1
OG0000833	WP_012537296.1	WP_011188552.1
OG0000834	WP_012537304.1	WP_011190339.1
OG0000835	WP_012537357.1	WP_265588585.1, WP_228130161.1
OG0000836	WP_012537368.1	WP_011190015.1
OG0000837	WP_012537371.1	WP_011189967.1
OG0000838	WP_012537372.1	WP_011190320.1
OG0000839	WP_012537374.1	WP_011189976.1
OG0000841	WP_012537408.1	WP_011187964.1
OG0000842	WP_012537409.1	WP_011189994.1
OG0000843	WP_012537411.1	WP_011189839.1
OG0000844	WP_012537432.1	WP_011190044.1
OG0000845	WP_012537433.1	WP_041278056.1
OG0000846	WP_012537434.1	WP_041278055.1
OG0000848	WP_012537494.1	WP_049785106.1
OG0000849	WP_012537497.1	WP_011188952.1
OG0000851	WP_012537552.1	WP_041277521.1
OG0000852	WP_012537563.1	WP_011188523.1
OG0000853	WP_012537565.1	WP_011188569.1
OG0000854	WP_012537569.1	WP_011189880.1
OG0000855	WP_012537583.1	WP_011188566.1
OG0000856	WP_012537589.1	WP_011189878.1
OG0000857	WP_012537600.1	WP_011188923.1
OG0000858	WP_012537630.1	WP_011187521.1
OG0000859	WP_012537654.1	WP_011188978.1
OG0000860	WP_012537656.1	WP_011188078.1
OG0000861	WP_012537661.1	WP_011188524.1
OG0000862	WP_012537662.1	WP_041278336.1
OG0000863	WP_012537664.1	WP_228130144.1
OG0000864	WP_012537675.1	WP_011188040.1
OG0000865	WP_012537690.1	WP_011187680.1
OG0000866	WP_012537704.1	WP_011187847.1
OG0000867	WP_012537706.1	WP_011188057.1
OG0000868	WP_012606529.1	WP_011190333.1, WP_011189786.1
OG0000869	WP_012606540.1	WP_011188361.1
OG0000870	WP_012606545.1	WP_011187527.1
OG0000871	WP_012606548.1	WP_011189849.1
OG0000872	WP_012606567.1	WP_193763854.1
OG0000873	WP_012606584.1	WP_011189793.1
OG0000874	WP_012606634.1	WP_041278050.1
OG0000875	WP_012607057.1	WP_156792221.1
OG0000876	WP_012607261.1	WP_011189775.1
OG0000877	WP_012607268.1	WP_011190326.1
OG0000878	WP_012607327.1	WP_011187891.1
OG0000879	WP_012607345.1	WP_011189824.1
OG0000880	WP_012607360.1	WP_049785018.1
OG0000881	WP_012607515.1	WP_011187319.1
OG0000882	WP_012607615.1	WP_041278072.1
OG0000884	WP_054608903.1	WP_011188152.1
OG0000885	WP_054608955.1	WP_011187346.1
OG0000886	WP_111122623.1	WP_011190161.1
OG0000889	WP_180830472.1	WP_011187694.1
OG0000891	WP_225487353.1	WP_228130168.1
OG0000893	WP_225487399.1	WP_011190140.1
OG0000894	WP_225487425.1	WP_041278006.1
OG0000895	WP_225487673.1	WP_011187678.1
OG0000896	WP_229129796.1	WP_011188870.1
OG0000898	WP_230959348.1	WP_011187994.1
OG0000899	WP_233459568.1	WP_011188670.1
OG0000900	WP_233459589.1	WP_041278069.1
OG0000962	WP_009560842.1	WP_011189457.1
OG0000963	WP_009561112.1	WP_011188076.1
OG0000964	WP_009562365.1	WP_011190012.1
OG0000965	WP_054609114.1	WP_228130206.1
OG0000967	WP_009562412.1	WP_011189189.1
OG0000969	WP_009562478.1	WP_011187545.1
OG0000970	WP_009562604.1	WP_011188328.1
OG0000971	WP_009562810.1	WP_011187682.1
OG0000972	WP_009562817.1	WP_011189519.1
OG0000973	WP_009563431.1, WP_012537580.1	WP_011189337.1, WP_011190397.1
OG0000974	WP_009563457.1	WP_011190049.1
OG0000975	WP_054608915.1	WP_011190362.1
OG0000977	WP_009565186.1	WP_011189873.1
OG0000978	WP_009565431.1	WP_011188367.1
OG0000980	WP_009566066.1	WP_011188680.1
OG0000982	WP_009566264.1	WP_011188025.1
OG0000983	WP_009566310.1	WP_011190063.1
OG0000984	WP_009566634.1	WP_011187941.1
OG0000985	WP_009566652.1	WP_011188560.1
OG0000987	WP_009566940.1	WP_011188857.1
OG0000988	WP_009567245.1	WP_011188973.1
OG0000989	WP_009567470.1	WP_011188859.1
OG0000990	WP_009567611.1	WP_156792200.1
OG0000991	WP_009567628.1	WP_041277519.1
OG0000994	WP_009568281.1	WP_083818937.1
OG0000996	WP_009569413.1	WP_041277423.1
OG0000998	WP_012536029.1	WP_011189982.1
OG0001001	WP_012536104.1	WP_041277663.1
OG0001002	WP_012536118.1	WP_011189853.1
OG0001004	WP_012536177.1	WP_011188129.1
OG0001005	WP_012536178.1	WP_011188130.1
OG0001007	WP_012536202.1	WP_011189792.1
OG0001010	WP_012536315.1	WP_011187750.1, WP_049784987.1
OG0001011	WP_012536340.1	WP_011187970.1
OG0001012	WP_012536366.1	WP_041277843.1, WP_041277847.1
OG0001013	WP_012536367.1	WP_049785060.1
OG0001014	WP_012536428.1	WP_011190157.1
OG0001015	WP_012536429.1	WP_041278005.1
OG0001016	WP_012536430.1	WP_011189778.1
OG0001017	WP_012536443.1	WP_011189511.1
OG0001019	WP_012536546.1	WP_011190292.1
OG0001021	WP_012536698.1, WP_012536699.1, WP_012536700.1	WP_011190275.1, WP_011190286.1
OG0001022	WP_012536747.1	WP_011187306.1
OG0001023	WP_012536748.1	WP_156792191.1
OG0001026	WP_012536813.1	WP_011189405.1
OG0001027	WP_012536830.1	WP_011190117.1
OG0001028	WP_230456346.1, WP_012536832.1	WP_083818998.1
OG0001030	WP_012536846.1	WP_011187816.1
OG0001031	WP_012536875.1	WP_011189151.1
OG0001033	WP_012536948.1	WP_041277794.1
OG0001034	WP_012536978.1	WP_041277590.1
OG0001035	WP_012536980.1	WP_011187889.1
OG0001036	WP_012537000.1	WP_041277818.1
OG0001037	WP_012537016.1	WP_011189128.1
OG0001038	WP_012537145.1	WP_011187949.1
OG0001039	WP_012537233.1	WP_011190060.1
OG0001040	WP_012537235.1	WP_011188403.1
OG0001041	WP_012537270.1	WP_011190017.1
OG0001042	WP_012537301.1	WP_083818927.1, WP_011189450.1
OG0001043	WP_012537303.1	WP_011187344.1
OG0001044	WP_012537325.1	WP_083818936.1
OG0001045	WP_012537366.1	WP_011189936.1
OG0001046	WP_012537373.1	WP_011190051.1
OG0001048	WP_012537412.1	WP_049785120.1
OG0001049	WP_012537425.1	WP_041277587.1
OG0001050	WP_012537436.1	WP_041277856.1
OG0001051	WP_012537462.1	WP_011188984.1
OG0001052	WP_012537482.1	WP_011188584.1
OG0001053	WP_012537699.1, WP_012537517.1	WP_041277415.1
OG0001054	WP_012537558.1	WP_011190182.1
OG0001055	WP_012537572.1	WP_041277435.1
OG0001056	WP_012537679.1	WP_011188906.1
OG0001057	WP_012537685.1	WP_011188545.1
OG0001058	WP_012607518.1	WP_041278814.1
OG0001059	WP_012607606.1	WP_011187902.1
OG0001060	WP_012607619.1	WP_049785045.1
OG0001063	WP_054609074.1	WP_011187933.1
OG0001067	WP_180830476.1	WP_011190005.1
OG0001068	WP_215905492.1	WP_011188852.1
OG0001070	WP_225487646.1	WP_011189051.1
OG0001142	WP_009561097.1	WP_011190150.1
OG0001143	WP_009562222.1	WP_265588575.1
OG0001145	WP_009562646.1	WP_011189970.1
OG0001150	WP_009566070.1	WP_041278064.1
OG0001155	WP_009567240.1	WP_011188483.1
OG0001158	WP_009567865.1	WP_011189947.1
OG0001159	WP_009569566.1	WP_011189038.1
OG0001161	WP_012536071.1	WP_011190027.1
OG0001162	WP_012536076.1, WP_054608770.1, WP_225487358.1, WP_012537332.1	WP_162096652.1
OG0001163	WP_012536091.1	WP_011188380.1
OG0001164	WP_012536188.1	WP_011188853.1
OG0001165	WP_012536313.1	WP_011188521.1
OG0001168	WP_012536365.1	WP_041277846.1
OG0001169	WP_012536368.1	WP_011189086.1
OG0001175	WP_012536763.1	WP_011189149.1
OG0001177	WP_012536989.1, WP_230456334.1	WP_162096618.1
OG0001178	WP_012537133.1	WP_011189919.1
OG0001179	WP_012537135.1	WP_041277711.1
OG0001180	WP_012537263.1	WP_011187542.1
OG0001181	WP_012537264.1	WP_011187541.1
OG0001182	WP_012537327.1	WP_049785032.1
OG0001183	WP_012537450.1	WP_011189001.1
OG0001184	WP_012537461.1	WP_011190441.1
OG0001186	WP_012537480.1	WP_011189391.1
OG0001188	WP_012606530.1	WP_041277859.1
OG0001189	WP_012607569.1	WP_011188586.1
OG0001190	WP_054608885.1, WP_180830413.1, WP_041646513.1	WP_049785029.1
OG0001191	WP_054608826.1	WP_041277434.1
OG0001192	WP_054609104.1	WP_011187771.1
OG0001195	WP_226833861.1	WP_228130192.1
OG0001196	WP_226834138.1	WP_041277791.1
OG0001326	WP_009560746.1, WP_041646078.1	WP_041277772.1
OG0001327	WP_012536401.1, WP_180830578.1, WP_009560918.1	WP_011187399.1
OG0001330	WP_009561098.1	WP_011188919.1
OG0001331	WP_009565818.1, WP_009561663.1	WP_011190348.1
OG0001332	WP_009562825.1	WP_011190181.1
OG0001333	WP_009563432.1	WP_011189294.1
OG0001336	WP_009566995.1	WP_011187561.1
OG0001337	WP_009567546.1	WP_011188779.1, WP_011188780.1
OG0001339	WP_012535993.1	WP_011190118.1
OG0001340	WP_012536045.1	WP_011190080.1
OG0001341	WP_012536069.1	WP_041277703.1
OG0001344	WP_012536212.1	WP_011187522.1
OG0001345	WP_012536237.1	WP_011188990.1
OG0001347	WP_012536259.1	WP_011190171.1
OG0001348	WP_012536270.1	WP_156792209.1
OG0001349	WP_012536309.1	WP_011188132.1
OG0001350	WP_012536321.1	WP_156792166.1
OG0001351	WP_012536322.1	WP_011187354.1
OG0001353	WP_012536359.1	WP_228130197.1
OG0001354	WP_012536369.1	WP_011189092.1
OG0001355	WP_012536419.1	WP_011189174.1
OG0001356	WP_012536480.1	WP_011187543.1
OG0001357	WP_012536503.1	WP_011187805.1
OG0001360	WP_031575560.1	WP_011189297.1
OG0001361	WP_012536831.1	WP_011190037.1
OG0001362	WP_012536863.1	WP_011188686.1
OG0001363	WP_012536866.1	WP_011190055.1
OG0001364	WP_012536867.1	WP_049785165.1
OG0001367	WP_012537027.1	WP_011187892.1
OG0001368	WP_012537132.1	WP_011188122.1
OG0001372	WP_012537352.1	WP_011187309.1
OG0001378	WP_012537574.1	WP_011189459.1
OG0001379	WP_012606632.1	WP_156792165.1
OG0001380	WP_012607505.1	WP_011188771.1
OG0001381	WP_012607506.1	WP_011188774.1
OG0001382	WP_041645355.1	WP_011187546.1
OG0001384	WP_054608733.1	WP_041277560.1
OG0001385	WP_054608759.1	WP_011189099.1
OG0001386	WP_054608835.1	WP_041277517.1
OG0001387	WP_081033195.1	WP_011189607.1
OG0001389	WP_225487192.1	WP_041277825.1
OG0001390	WP_225487398.1	WP_011189963.1
OG0001393	WP_230456313.1	WP_011188776.1
OG0001567	WP_009560684.1	WP_011188008.1
OG0001573	WP_009562433.1	WP_041278027.1
OG0001578	WP_009565665.1	WP_011189379.1
OG0001582	WP_009568083.1	WP_011189981.1
OG0001585	WP_012535771.1	WP_011187412.1
OG0001586	WP_012535772.1	WP_011187411.1
OG0001589	WP_012536033.1	WP_011187265.1
OG0001593	WP_012536479.1	WP_011187544.1
OG0001595	WP_012536540.1	WP_011188895.1
OG0001599	WP_012536855.1	WP_228130134.1
OG0001600	WP_012536880.1	WP_198408698.1
OG0001601	WP_012536890.1	WP_041278048.1
OG0001602	WP_012536895.1	WP_011187946.1
OG0001606	WP_012536993.1	WP_011187360.1
OG0001607	WP_012537007.1	WP_011188289.1
OG0001608	WP_012537127.1	WP_156792317.1
OG0001612	WP_012537342.1	WP_011188769.1
OG0001613	WP_012537343.1	WP_011188770.1
OG0001614	WP_012537351.1	WP_011189347.1
OG0001616	WP_012606527.1	WP_011189460.1
OG0001619	WP_012607393.1	WP_011189115.1
OG0001620	WP_054608831.1, WP_157293188.1, WP_054608652.1	WP_011190381.1
OG0001623	WP_080513197.1	WP_011187308.1
OG0001820	WP_054608962.1, WP_009560954.1	WP_011188528.1
OG0001826	WP_009567526.1, WP_009567525.1	WP_011190270.1, WP_041278112.1
OG0001827	WP_009569096.1	WP_011188432.1
OG0001835	WP_012536129.1	WP_011187373.1
OG0001837	WP_012536168.1	WP_041277649.1
OG0001838	WP_012536176.1	WP_011190262.1
OG0001839	WP_012536193.1	WP_011188161.1, WP_011188757.1
OG0001844	WP_012536310.1	WP_011187698.1
OG0001845	WP_012536332.1	WP_011187413.1
OG0001850	WP_012536771.1	WP_041277875.1
OG0001851	WP_012536780.1	WP_011188626.1
OG0001853	WP_012537006.1	WP_011188290.1
OG0001855	WP_012537247.1, WP_226833921.1, WP_012537250.1	WP_041279053.1, WP_041278683.1
OG0001856	WP_012537345.1	WP_011188772.1
OG0001857	WP_012537396.1, WP_012537637.1	WP_041277941.1
OG0001864	WP_054609071.1	WP_041277507.1
OG0001866	WP_261989782.1	WP_011189616.1, WP_041277958.1, WP_041279007.1
OG0001867	WP_267903943.1	WP_011189489.1, WP_011187737.1
OG0002114	WP_054608695.1, WP_012535917.1, WP_111122603.1, WP_054608805.1	WP_011190373.1
OG0002120	WP_012536236.1	WP_041277827.1
OG0002129	WP_012536708.1, WP_054608927.1, WP_054608702.1, WP_146235816.1	WP_011190379.1
OG0002130	WP_054608864.1, WP_012536858.1	WP_162096621.1
OG0002131	WP_012537008.1	WP_011188288.1
OG0002132	WP_012537010.1	WP_041277658.1
OG0002133	WP_012537011.1	WP_011188285.1
OG0002137	WP_012537353.1	WP_011187310.1
OG0002138	WP_012537360.1, WP_012537708.1	WP_011189388.1
OG0002139	WP_012537451.1	WP_011187450.1, WP_011187449.1, WP_041277686.1
OG0002144	WP_012537587.1	WP_041277868.1
OG0002149	WP_041646305.1	WP_011188287.1
OG0002153	WP_233459577.1	WP_011188773.1
OG0002437	WP_009562192.1	WP_011187913.1
OG0002443	WP_009565530.1, WP_009566763.1	WP_011188591.1
OG0002448	WP_012535746.1	WP_011187911.1
OG0002449	WP_012535781.1	WP_011189696.1
OG0002457	WP_012536199.1	WP_011190204.1
OG0002463	WP_012536472.1	WP_083818946.1
OG0002465	WP_012536643.1, WP_226834055.1, WP_054608680.1	WP_011189232.1
OG0002466	WP_054608700.1, WP_054608923.1, WP_012536665.1, WP_054608816.1	WP_162096676.1
OG0002469	WP_012536815.1	WP_228130191.1
OG0002475	WP_012537321.1	WP_011189611.1, WP_041277549.1
OG0002486	WP_031575563.1	WP_011189296.1
OG0002489	WP_157293189.1, WP_054608647.1, WP_225981998.1, WP_226834059.1	WP_011190384.1
OG0002492	WP_054608818.1, WP_054609015.1, WP_054608925.1, WP_229129760.1	WP_011190377.1
OG0002819	WP_009561100.1	WP_011187512.1
OG0002842	WP_012536246.1	WP_011189541.1
OG0002844	WP_012536349.1	WP_011189774.1
OG0002852	WP_054608691.1, WP_012536657.1, WP_054609042.1	WP_011190371.1
OG0002896	WP_180830410.1	WP_041277929.1, WP_011189159.1
OG0002902	WP_226834095.1	WP_011187285.1
OG0003340	WP_009561607.1	WP_011188965.1
OG0003388	WP_012536345.1	WP_011189322.1
OG0003389	WP_012536380.1	WP_011188225.1
OG0003397	WP_012536563.1	WP_011187806.1
OG0003429	WP_054608742.1, WP_012537309.1	WP_011188740.1
OG0003456	WP_180830379.1	WP_011187810.1
OG0003464	WP_257248174.1	WP_011187445.1
OG0004350	WP_012536769.1	WP_041277980.1
OG0004410	WP_012537644.1	WP_011189276.1
OG0004434	WP_054608817.1	WP_011190376.1
