Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfovibrio vulgaris DP4
OG0000719	WP_012536081.1	WP_010940185.1
OG0000720	WP_012536082.1	WP_011791613.1
OG0000721	WP_012536084.1	WP_010938594.1
OG0000722	WP_012536086.1	WP_010938597.1
OG0000723	WP_012536087.1	WP_011792455.1
OG0000724	WP_012536088.1	WP_010938605.1
OG0000725	WP_012536089.1	WP_010938608.1
OG0000726	WP_012536090.1	WP_010938610.1
OG0000727	WP_012536093.1	WP_010938615.1
OG0000728	WP_012536094.1	WP_010938616.1
OG0000729	WP_012536095.1	WP_010938617.1
OG0000730	WP_012536096.1	WP_010938618.1
OG0000731	WP_012536098.1	WP_010938623.1
OG0000732	WP_012536099.1	WP_010938624.1
OG0000733	WP_012536100.1	WP_010938625.1
OG0000734	WP_012536101.1	WP_011791926.1
OG0000735	WP_012536102.1	WP_011791344.1
OG0000736	WP_012536109.1	WP_011791987.1
OG0000737	WP_012536117.1	WP_011792849.1
OG0000738	WP_012536126.1	WP_010938947.1
OG0000739	WP_012536147.1	WP_011792507.1
OG0000740	WP_012536153.1	WP_010940646.1
OG0000741	WP_012536187.1	WP_010939720.1
OG0000742	WP_012536192.1, WP_012537512.1	WP_014524672.1
OG0000743	WP_012536204.1	WP_010937757.1
OG0000744	WP_012536208.1	WP_010940500.1
OG0000745	WP_012536222.1	WP_011792461.1
OG0000746	WP_012536225.1	WP_043629470.1
OG0000747	WP_012536268.1	WP_049758073.1
OG0000748	WP_012536269.1	WP_010940172.1
OG0000749	WP_012536279.1	WP_011792699.1
OG0000750	WP_012536303.1	WP_043629133.1
OG0000751	WP_012536305.1	WP_010937633.1
OG0000752	WP_012536329.1	WP_010938673.1
OG0000753	WP_012536389.1	WP_011792330.1
OG0000754	WP_012536390.1	WP_010938914.1
OG0000755	WP_012536391.1	WP_011792317.1
OG0000756	WP_012536396.1	WP_011792702.1
OG0000757	WP_012536417.1	WP_010937395.1
OG0000758	WP_012536418.1	WP_014524181.1
OG0000759	WP_012536424.1	WP_011792877.1
OG0000760	WP_012536425.1	WP_010940408.1
OG0000761	WP_012536427.1	WP_010938200.1
OG0000762	WP_012536445.1	WP_011792572.1
OG0000763	WP_012536446.1	WP_010938389.1
OG0000764	WP_012536447.1	WP_011792535.1
OG0000765	WP_012536465.1	WP_010937393.1
OG0000766	WP_012536494.1	WP_010939096.1
OG0000767	WP_012536497.1	WP_081428877.1
OG0000768	WP_012536498.1	WP_010937363.1
OG0000769	WP_012536522.1	WP_010938172.1
OG0000770	WP_012536523.1	WP_011792660.1
OG0000771	WP_012536524.1	WP_011792661.1
OG0000772	WP_012536525.1	WP_010938167.1
OG0000773	WP_012536526.1	WP_011792663.1
OG0000774	WP_012536527.1	WP_011792664.1
OG0000775	WP_012536528.1	WP_011791908.1
OG0000776	WP_012536530.1	WP_011791910.1
OG0000777	WP_012536531.1	WP_010939641.1
OG0000778	WP_012536536.1, WP_012536946.1	WP_010939500.1
OG0000779	WP_012536537.1	WP_011792378.1
OG0000780	WP_012536544.1	WP_011792658.1
OG0000782	WP_012536740.1	WP_011792254.1
OG0000783	WP_012536744.1	WP_010939719.1
OG0000784	WP_012536750.1	WP_010938343.1
OG0000785	WP_012536751.1	WP_010938342.1
OG0000787	WP_012536820.1	WP_011791423.1
OG0000788	WP_012536823.1	WP_011791827.1
OG0000789	WP_012536833.1	WP_011792483.1
OG0000790	WP_012536836.1	WP_011791446.1
OG0000792	WP_012536841.1	WP_011791774.1
OG0000793	WP_012536842.1	WP_011792862.1
OG0000794	WP_012536843.1	WP_011791622.1
OG0000795	WP_012536849.1	WP_011791453.1
OG0000796	WP_012536879.1	WP_011792441.1
OG0000797	WP_012536883.1	WP_043629431.1
OG0000798	WP_012536938.1	WP_011792740.1
OG0000799	WP_012536939.1	WP_011791345.1
OG0000800	WP_012536943.1	WP_010937472.1
OG0000801	WP_012536945.1	WP_043629175.1
OG0000802	WP_012536950.1	WP_010940307.1
OG0000803	WP_012536951.1	WP_011791590.1
OG0000804	WP_012536952.1	WP_010937892.1
OG0000806	WP_012536992.1	WP_011791474.1
OG0000807	WP_012537005.1	WP_010938864.1
OG0000808	WP_012537045.1	WP_010938952.1
OG0000809	WP_012537049.1	WP_011792736.1
OG0000811	WP_012537051.1	WP_010939094.1
OG0000813	WP_012537060.1	WP_011792341.1
OG0000814	WP_012537085.1	WP_011793113.1, WP_010937460.1, WP_011791388.1
OG0000815	WP_012537086.1	WP_011791424.1
OG0000816	WP_012537134.1	WP_011791479.1
OG0000817	WP_012537138.1	WP_011791536.1
OG0000818	WP_012537146.1	WP_011792705.1
OG0000819	WP_012537147.1	WP_010940202.1
OG0000821	WP_012537254.1	WP_010939675.1
OG0000822	WP_012537259.1	WP_010938089.1
OG0000823	WP_012537260.1	WP_010938086.1
OG0000824	WP_012537272.1	WP_010939184.1
OG0000825	WP_012537273.1	WP_011792161.1
OG0000827	WP_012537289.1	WP_011791788.1
OG0000828	WP_012537290.1	WP_010939804.1
OG0000829	WP_012537291.1	WP_010939805.1
OG0000830	WP_012537292.1	WP_010939806.1
OG0000831	WP_012537293.1	WP_010939807.1
OG0000832	WP_012537294.1	WP_010939808.1
OG0000834	WP_012537304.1	WP_011792463.1
OG0000835	WP_012537357.1	WP_010939342.1
OG0000836	WP_012537368.1	WP_010938824.1
OG0000837	WP_012537371.1	WP_010940174.1
OG0000838	WP_012537372.1	WP_011792377.1
OG0000839	WP_012537374.1	WP_011792343.1
OG0000841	WP_012537408.1	WP_010938881.1
OG0000842	WP_012537409.1	WP_011792613.1
OG0000843	WP_012537411.1	WP_010938257.1
OG0000844	WP_012537432.1	WP_010938137.1
OG0000845	WP_012537433.1	WP_010938138.1
OG0000846	WP_012537434.1	WP_011792681.1
OG0000847	WP_012537472.1, WP_012537469.1	WP_011792495.1
OG0000848	WP_012537494.1	WP_011792139.1
OG0000849	WP_012537497.1	WP_010937833.1
OG0000850	WP_012537550.1	WP_010938922.1
OG0000851	WP_012537552.1	WP_010938919.1
OG0000852	WP_012537563.1	WP_011792704.1
OG0000853	WP_012537565.1	WP_011792566.1
OG0000854	WP_012537569.1	WP_010937424.1
OG0000855	WP_012537583.1	WP_010937798.1
OG0000856	WP_012537589.1	WP_011792247.1
OG0000858	WP_012537630.1	WP_010939912.1
OG0000859	WP_012537654.1	WP_011791709.1
OG0000860	WP_012537656.1	WP_010938077.1
OG0000861	WP_012537661.1	WP_010938546.1
OG0000862	WP_012537662.1	WP_011792201.1
OG0000863	WP_012537664.1	WP_081428900.1
OG0000864	WP_012537675.1	WP_011791790.1
OG0000865	WP_012537690.1	WP_010938393.1
OG0000866	WP_012537704.1	WP_011792165.1
OG0000867	WP_012537706.1	WP_011791469.1
OG0000869	WP_012606540.1	WP_010940189.1
OG0000870	WP_012606545.1	WP_011792158.1
OG0000871	WP_012606548.1	WP_010937809.1
OG0000872	WP_012606567.1	WP_010939147.1
OG0000873	WP_012606584.1	WP_011792149.1
OG0000874	WP_012606634.1	WP_010938672.1
OG0000875	WP_012607057.1	WP_010940499.1
OG0000876	WP_012607261.1	WP_010938699.1
OG0000877	WP_012607268.1	WP_010939186.1
OG0000878	WP_012607327.1	WP_011792977.1
OG0000879	WP_012607345.1	WP_258312757.1
OG0000881	WP_012607515.1	WP_010939506.1
OG0000882	WP_012607615.1	WP_010938252.1
OG0000883	WP_049759457.1	WP_011791339.1, WP_011793109.1
OG0000884	WP_054608903.1	WP_010939107.1
OG0000885	WP_054608955.1	WP_011791792.1
OG0000886	WP_111122623.1	WP_011791527.1
OG0000888	WP_157293193.1	WP_010937584.1, WP_011176621.1
OG0000889	WP_180830472.1	WP_010938879.1
OG0000890	WP_229129742.1, WP_225487046.1	WP_011791978.1
OG0000891	WP_225487353.1	WP_014524309.1
OG0000892	WP_225487354.1	WP_011791971.1
OG0000893	WP_225487399.1	WP_010939776.1
OG0000894	WP_225487425.1	WP_011792451.1
OG0000895	WP_225487673.1	WP_011792181.1
OG0000896	WP_229129796.1	WP_011791906.1
OG0000897	WP_230456312.1	WP_010939676.1
OG0000898	WP_230959348.1	WP_011792843.1
OG0000899	WP_233459568.1	WP_011791448.1
OG0000900	WP_233459589.1	WP_010938197.1
OG0000961	WP_012536435.1, WP_009560716.1	WP_010940497.1
OG0000962	WP_009560842.1	WP_010938550.1
OG0000963	WP_009561112.1	WP_010938079.1
OG0000964	WP_009562365.1	WP_011791593.1
OG0000965	WP_009562391.1	WP_010938115.1
OG0000966	WP_009562392.1	WP_011792905.1
OG0000967	WP_009562412.1	WP_010939606.1
OG0000968	WP_009562431.1	WP_010938255.1
OG0000969	WP_009562478.1	WP_010938719.1
OG0000971	WP_009562810.1	WP_010938395.1
OG0000972	WP_009562817.1	WP_010937628.1
OG0000974	WP_009563457.1	WP_081428990.1
OG0000976	WP_009564598.1	WP_011792778.1
OG0000978	WP_009565431.1	WP_010938598.1
OG0000979	WP_009565766.1	WP_011791977.1
OG0000980	WP_009566066.1	WP_011792367.1
OG0000981	WP_009566150.1	WP_011791340.1
OG0000983	WP_009566310.1	WP_010940191.1
OG0000984	WP_009566634.1	WP_011792238.1
OG0000985	WP_009566652.1	WP_011791955.1
OG0000986	WP_041838693.1, WP_009566930.1, WP_219629366.1, WP_012537013.1	WP_011792967.1
OG0000987	WP_009566940.1	WP_010938679.1
OG0000988	WP_009567245.1	WP_011792649.1
OG0000989	WP_009567470.1	WP_010939182.1
OG0000990	WP_009567611.1	WP_011791537.1
OG0000991	WP_009567628.1	WP_010938900.1
OG0000992	WP_009567692.1	WP_011791972.1
OG0000994	WP_009568281.1	WP_010938620.1
OG0000995	WP_009568793.1	WP_010938612.1
OG0000996	WP_009569413.1	WP_010937452.1
OG0000998	WP_012536029.1	WP_011792690.1
OG0000999	WP_012536037.1	WP_011793046.1
OG0001000	WP_012536092.1	WP_010938613.1
OG0001001	WP_012536104.1	WP_043629039.1
OG0001003	WP_012536142.1	WP_010939733.1
OG0001004	WP_012536177.1	WP_011792332.1
OG0001005	WP_012536178.1	WP_010938892.1
OG0001006	WP_012536194.1	WP_010939262.1
OG0001007	WP_012536202.1	WP_010939214.1
OG0001008	WP_012536223.1	WP_011792606.1
OG0001009	WP_012536260.1	WP_010940563.1
OG0001014	WP_012536428.1	WP_010940203.1
OG0001015	WP_012536429.1	WP_010938630.1
OG0001016	WP_012536430.1	WP_010938631.1
OG0001017	WP_012536443.1	WP_011793104.1
OG0001018	WP_012536499.1	WP_010939185.1
OG0001020	WP_012536567.1	WP_011787310.1
OG0001022	WP_012536747.1	WP_011792252.1
OG0001023	WP_012536748.1	WP_011792196.1
OG0001024	WP_012536778.1	WP_010939119.1
OG0001028	WP_230456346.1, WP_012536832.1	WP_010938505.1
OG0001029	WP_012536838.1	WP_010940458.1
OG0001030	WP_012536846.1	WP_011791335.1
OG0001031	WP_012536875.1	WP_011792176.1
OG0001032	WP_012536888.1	WP_011792177.1
OG0001033	WP_012536948.1	WP_011792872.1
OG0001034	WP_012536978.1	WP_010939171.1
OG0001035	WP_012536980.1	WP_010938110.1
OG0001038	WP_012537145.1	WP_010938913.1
OG0001039	WP_012537233.1	WP_010940375.1
OG0001040	WP_012537235.1	WP_011792665.1
OG0001043	WP_012537303.1	WP_010938965.1
OG0001044	WP_012537325.1	WP_010940181.1
OG0001045	WP_012537366.1	WP_011792372.1
OG0001046	WP_012537373.1	WP_011792338.1
OG0001047	WP_012537401.1, WP_012537634.1	WP_011792791.1
OG0001048	WP_012537412.1	WP_010939514.1
OG0001049	WP_012537425.1	WP_010938069.1
OG0001050	WP_012537436.1	WP_011792256.1
OG0001051	WP_012537462.1	WP_011791463.1
OG0001053	WP_012537699.1, WP_012537517.1	WP_011792885.1
OG0001054	WP_012537558.1	WP_011792948.1
OG0001055	WP_012537572.1	WP_011791624.1
OG0001056	WP_012537679.1	WP_010938831.1
OG0001058	WP_012607518.1	WP_010938868.1
OG0001059	WP_012607606.1	WP_010939072.1
OG0001060	WP_012607619.1	WP_010938821.1
OG0001063	WP_054609074.1	WP_011791498.1
OG0001064	WP_074874141.1	WP_011791726.1, WP_011792241.1
OG0001065	WP_111122554.1	WP_011791629.1
OG0001066	WP_180830462.1	WP_010939530.1
OG0001067	WP_180830476.1	WP_011792243.1
OG0001068	WP_215905492.1	WP_043629168.1
OG0001070	WP_225487646.1	WP_010939146.1
OG0001142	WP_009561097.1	WP_010939535.1
OG0001144	WP_009562409.1	WP_010939197.1
OG0001147	WP_009563004.1, WP_012537369.1, WP_012536861.1	WP_011792541.1
OG0001149	WP_012537680.1, WP_009564866.1	WP_011792240.1
OG0001150	WP_009566070.1	WP_010938957.1
OG0001152	WP_009567032.1	WP_011791789.1
OG0001153	WP_009567147.1	WP_011787307.1
OG0001154	WP_009567191.1	WP_010937910.1
OG0001155	WP_009567240.1	WP_011791562.1
OG0001157	WP_009567494.1	WP_011176593.1
OG0001158	WP_009567865.1	WP_011791493.1
OG0001160	WP_012535973.1, WP_012536304.1	WP_043629368.1
OG0001163	WP_012536091.1	WP_010938611.1
OG0001164	WP_012536188.1	WP_010938296.1
OG0001167	WP_012536339.1, WP_012536388.1	WP_011792456.1
OG0001171	WP_012536576.1	WP_011787306.1
OG0001172	WP_012536579.1	WP_011787308.1
OG0001173	WP_012536580.1	WP_011787309.1
OG0001174	WP_012536582.1	WP_011787304.1
OG0001175	WP_012536763.1	WP_010939611.1
OG0001178	WP_012537133.1	WP_010940487.1
OG0001180	WP_012537263.1	WP_010938205.1
OG0001181	WP_012537264.1	WP_011792642.1
OG0001187	WP_012537666.1	WP_010940539.1
OG0001188	WP_012606530.1	WP_010938894.1
OG0001191	WP_054608826.1	WP_081428954.1
OG0001194	WP_225487413.1	WP_010940003.1
OG0001195	WP_226833861.1	WP_223294667.1
OG0001196	WP_226834138.1	WP_011792172.1
OG0001329	WP_009561009.1	WP_010939420.1
OG0001331	WP_009565818.1, WP_009561663.1	WP_011792692.1
OG0001334	WP_009566618.1	WP_010938040.1
OG0001336	WP_009566995.1	WP_190275056.1
OG0001337	WP_009567546.1	WP_011792071.1, WP_010939393.1
OG0001343	WP_012536185.1	WP_010938287.1
OG0001346	WP_012536242.1	WP_010938652.1
OG0001352	WP_012536324.1	WP_011792853.1
OG0001356	WP_012536480.1	WP_010938717.1
OG0001358	WP_012536542.1	WP_011792890.1
OG0001359	WP_012536575.1	WP_011787305.1
OG0001360	WP_031575560.1	WP_011792303.1, WP_011792258.1
OG0001361	WP_012536831.1	WP_010938506.1
OG0001368	WP_012537132.1	WP_010939079.1
OG0001372	WP_012537352.1	WP_010940207.1, WP_010937606.1
OG0001374	WP_012537419.1	WP_011791946.1
OG0001375	WP_233459586.1	WP_010938510.1
OG0001380	WP_012607505.1	WP_223294683.1
OG0001381	WP_012607506.1	WP_011791349.1, WP_011792062.1
OG0001382	WP_041645355.1	WP_011792239.1
OG0001387	WP_081033195.1	WP_010940624.1
OG0001393	WP_230456313.1	WP_010939396.1
OG0001568	WP_009560719.1	WP_011792712.1, WP_010937489.1
OG0001569	WP_009560928.1	WP_011792860.1
OG0001570	WP_009561084.1, WP_012536248.1	WP_011792206.1
OG0001571	WP_009561085.1	WP_011792209.1
OG0001575	WP_009565304.1	WP_010937794.1
OG0001577	WP_009565537.1	WP_011792366.1
OG0001579	WP_009566298.1	WP_043629411.1, WP_011792270.1
OG0001581	WP_009567476.1	WP_011792561.1
OG0001583	WP_054609006.1	WP_011791321.1
OG0001584	WP_012535764.1, WP_012607602.1	WP_010939073.1
OG0001585	WP_012535771.1	WP_010939928.1
OG0001586	WP_012535772.1	WP_011791716.1
OG0001590	WP_233459584.1, WP_012536251.1	WP_011792210.1
OG0001591	WP_012536282.1, WP_054608881.1	WP_011791876.1
OG0001593	WP_012536479.1	WP_011792394.1
OG0001596	WP_012536743.1	WP_011791526.1
OG0001602	WP_012536895.1	WP_011792223.1
OG0001604	WP_012536910.1	WP_081428804.1
OG0001607	WP_012537007.1	WP_010937740.1
OG0001612	WP_012537342.1	WP_011792065.1
OG0001613	WP_012537343.1	WP_011792066.1
OG0001616	WP_012606527.1	WP_011792659.1
OG0001617	WP_012606628.1	WP_010939226.1, WP_010939942.1
OG0001619	WP_012607393.1	WP_010940552.1
OG0001620	WP_054608831.1, WP_157293188.1, WP_054608652.1, WP_051690639.1	WP_011791382.1
OG0001624	WP_088775924.1	WP_150100254.1
OG0001625	WP_180830481.1	WP_010939886.1
OG0001626	WP_225487043.1	WP_011792047.1
OG0001627	WP_257246173.1	WP_010938695.1
OG0001823	WP_009561155.1	WP_010938920.1
OG0001827	WP_009569096.1	WP_011792533.1
OG0001828	WP_012535747.1	WP_011792757.1
OG0001829	WP_054608787.1, WP_012535782.1	WP_043629397.1
OG0001831	WP_012535966.1	WP_258312739.1
OG0001832	WP_012535988.1	WP_011791608.1
OG0001835	WP_012536129.1	WP_011792551.1
OG0001841	WP_012536249.1	WP_011792207.1
OG0001843	WP_054608883.1, WP_012536281.1	WP_011791872.1
OG0001844	WP_012536310.1	WP_011791985.1
OG0001845	WP_012536332.1	WP_010938262.1
OG0001846	WP_012536416.1	WP_011792856.1
OG0001856	WP_012537345.1	WP_010939398.1
OG0001858	WP_012537534.1	WP_010937903.1
OG0001859	WP_012537547.1	WP_011792685.1
OG0001865	WP_180830487.1	WP_223294607.1
OG0002103	WP_009560818.1	WP_011792907.1
OG0002104	WP_009562763.1	WP_011176601.1
OG0002109	WP_009564525.1	WP_011792246.1
OG0002111	WP_009566821.1, WP_012536761.1	WP_010939254.1
OG0002112	WP_009566952.1	WP_011792242.1
OG0002116	WP_012536301.1, WP_012535965.1	WP_011791779.1
OG0002117	WP_012536115.1	WP_081428847.1
OG0002125	WP_012536564.1	WP_011793080.1
OG0002137	WP_012537353.1	WP_010937607.1
OG0002140	WP_041646660.1, WP_012537511.1	WP_011792348.1
OG0002142	WP_012537551.1	WP_011792313.1
OG0002146	WP_012537692.1	WP_011793033.1, WP_010937838.1
OG0002147	WP_012537693.1	WP_010937837.1, WP_010937573.1
OG0002152	WP_229129753.1	WP_011793051.1, WP_011791891.1
OG0002153	WP_233459577.1	WP_011791348.1
OG0002431	WP_009560940.1	WP_010940240.1
OG0002440	WP_009562842.1	WP_011793173.1
OG0002442	WP_009565421.1	WP_011792156.1
OG0002445	WP_009567100.1	WP_011791803.1
OG0002447	WP_009568900.1	WP_010939267.1
OG0002449	WP_012535781.1	WP_010937589.1
OG0002450	WP_012535786.1, WP_012536802.1	WP_011792525.1
OG0002451	WP_012535796.1	WP_011791501.1
OG0002452	WP_012535987.1	WP_010940391.1
OG0002454	WP_012536009.1	WP_010939127.1
OG0002456	WP_012536159.1	WP_011791440.1
OG0002458	WP_012536211.1	WP_010940204.1
OG0002459	WP_012536326.1, WP_012537131.1	WP_011792218.1
OG0002461	WP_012537061.1, WP_012536442.1	WP_011792234.1
OG0002472	WP_012537036.1	WP_011792084.1, WP_010937848.1
OG0002473	WP_012537044.1	WP_010939688.1
OG0002474	WP_012537068.1, WP_012537216.1, WP_012537217.1	WP_011791350.1
OG0002475	WP_012537321.1	WP_011791962.1
OG0002476	WP_012537458.1	WP_011792126.1
OG0002478	WP_012537503.1	WP_223294616.1
OG0002479	WP_012537516.1, WP_012537698.1	WP_011792949.1
OG0002480	WP_012537567.1	WP_010938337.1
OG0002484	WP_012607171.1	WP_010938692.1
OG0002486	WP_031575563.1	WP_011792259.1
OG0002487	WP_041647457.1	WP_011792739.1
OG0002819	WP_009561100.1	WP_011792356.1
OG0002825	WP_009562838.1	WP_011792876.1
OG0002835	WP_009568269.1	WP_010937898.1
OG0002838	WP_009569544.1	WP_010938889.1
OG0002841	WP_012536066.1	WP_043629042.1
OG0002848	WP_012536541.1	WP_010938635.1
OG0002863	WP_012537214.1, WP_012537070.1	WP_011791351.1
OG0002869	WP_111122614.1, WP_012537215.1	WP_010940594.1
OG0002870	WP_012537324.1	WP_011792696.1
OG0002875	WP_012537541.1	WP_043629579.1, WP_011792958.1
OG0002876	WP_012537549.1	WP_010938923.1
OG0002877	WP_012537573.1	WP_010940329.1
OG0002879	WP_012606500.1	WP_011791506.1, WP_010937686.1
OG0002881	WP_012606555.1	WP_011792868.1
OG0002882	WP_012606683.1	WP_011792253.1
OG0002887	WP_054609024.1	WP_043629647.1
OG0002888	WP_054609025.1, WP_151528209.1	WP_011791519.1
OG0002895	WP_226833924.1, WP_146235835.1	WP_011791873.1
OG0002899	WP_225487408.1	WP_223294591.1
OG0003344	WP_009562418.1	WP_010939951.1
OG0003351	WP_009564309.1	WP_010938251.1
OG0003362	WP_009566687.1	WP_011792864.1
OG0003368	WP_009567395.1, WP_012536639.1	WP_011792306.1
OG0003379	WP_012536191.1	WP_011792046.1
OG0003401	WP_012536640.1, WP_012537180.1	WP_011792305.1
OG0003408	WP_012536772.1	WP_043629535.1
OG0003412	WP_012536914.1	WP_010938024.1
OG0003419	WP_012537067.1	WP_011791352.1
OG0003432	WP_012537542.1	WP_011792959.1
OG0003440	WP_012537663.1	WP_190275039.1
OG0003443	WP_012607580.1	WP_011792944.1
OG0004262	WP_009566240.1	WP_010937913.1
OG0004306	WP_012536039.1	WP_011793098.1
