Orthogroup	Desulfocapsa_13_biocide	Acidithiobacillus ferrooxidans YNTRS-40
OG0000743	Utg857490_15	WP_012536204.1
OG0000744	Utg860006_53	WP_012536208.1
OG0000745	Utg859388_139	WP_012536222.1
OG0000746	Utg859098_235	WP_012536225.1
OG0000747	Utg857994_151	WP_012536268.1
OG0000748	Utg857994_150	WP_012536269.1
OG0000749	Utg857152_184	WP_012536279.1
OG0000750	Utg861744_131	WP_012536303.1
OG0000751	Utg861744_128	WP_012536305.1
OG0000752	Utg863716_108	WP_012536329.1
OG0000753	Utg859982_134	WP_012536389.1
OG0000754	Utg865370_30	WP_012536390.1
OG0000755	Utg865370_29	WP_012536391.1
OG0000756	Utg859098_377	WP_012536396.1
OG0000757	Utg857046_201	WP_012536417.1
OG0000758	Utg861744_34	WP_012536418.1
OG0000759	Utg863716_91	WP_012536424.1
OG0000760	Utg864866_56	WP_012536425.1
OG0000761	Utg865370_36	WP_012536427.1
OG0000762	Utg857152_182	WP_012536445.1
OG0000763	Utg857152_181	WP_012536446.1
OG0000764	Utg857152_103	WP_012536447.1
OG0000765	Utg857994_216	WP_012536465.1
OG0000766	Utg861744_46	WP_012536494.1
OG0000767	Utg860814_97	WP_012536497.1
OG0000768	Utg858432_125	WP_012536498.1
OG0000769	Utg858494_100	WP_012536522.1
OG0000770	Utg858494_98	WP_012536523.1
OG0000771	Utg858494_97	WP_012536524.1
OG0000772	Utg858494_95	WP_012536525.1
OG0000773	Utg858494_94	WP_012536526.1
OG0000774	Utg858494_93	WP_012536527.1
OG0000775	Utg857152_8	WP_012536528.1
OG0000776	Utg858432_16	WP_012536530.1
OG0000777	Utg858432_17	WP_012536531.1
OG0000778	Utg859076_36	WP_012536536.1, WP_012536946.1
OG0000779	Utg859236_39	WP_012536537.1
OG0000780	Utg857994_34	WP_012536544.1
OG0000781	Utg859388_66	WP_012536547.1
OG0000782	Utg857152_113	WP_012536740.1
OG0000783	Utg859098_319	WP_012536744.1
OG0000784	Utg864866_53	WP_012536750.1
OG0000785	Utg864866_52	WP_012536751.1
OG0000786	Utg857682_63, Utg861744_80	WP_012537579.1, WP_012536775.1
OG0000787	Utg858432_7	WP_012536820.1
OG0000789	Utg858432_136	WP_012536833.1
OG0000790	Utg857152_24	WP_012536836.1
OG0000791	Utg857152_172	WP_012536839.1
OG0000792	Utg858432_138	WP_012536841.1
OG0000793	Utg860814_257	WP_012536842.1
OG0000794	Utg859098_248	WP_012536843.1
OG0000795	Utg859236_57	WP_012536849.1
OG0000796	Utg859388_11	WP_012536879.1
OG0000797	Utg859098_321	WP_012536883.1
OG0000798	Utg864866_5	WP_012536938.1
OG0000799	Utg859236_84	WP_012536939.1
OG0000800	Utg857300_48	WP_012536943.1
OG0000801	Utg858432_94	WP_012536945.1
OG0000802	Utg859982_39	WP_012536950.1
OG0000803	Utg862138_37	WP_012536951.1
OG0000804	Utg857046_156, Utg857300_38	WP_012536952.1
OG0000805	Utg857994_194	WP_012536988.1
OG0000806	Utg861744_35	WP_012536992.1
OG0000807	Utg857994_156	WP_012537005.1
OG0000808	Utg858494_59	WP_012537045.1
OG0000809	Utg859076_29	WP_012537049.1
OG0000810	Utg859388_28	WP_012537050.1
OG0000811	Utg859076_28	WP_012537051.1
OG0000812	Utg859982_130	WP_012537054.1
OG0000813	Utg859236_28	WP_012537060.1
OG0000814	Utg860814_27, Utg860814_28	WP_012537085.1
OG0000815	Utg859098_270	WP_012537086.1
OG0000816	Utg861744_39	WP_012537134.1
OG0000817	Utg861744_55	WP_012537138.1
OG0000818	Utg859982_206	WP_012537146.1
OG0000819	Utg859098_237	WP_012537147.1
OG0000820	Utg861744_11, Utg857076_46	WP_012537152.1
OG0000821	Utg857076_59	WP_012537254.1
OG0000822	Utg857490_29	WP_012537259.1
OG0000823	Utg857490_26	WP_012537260.1
OG0000825	Utg860006_60	WP_012537273.1
OG0000826	Utg859098_398	WP_012537274.1
OG0000827	Utg857992_34	WP_012537289.1
OG0000828	Utg857992_33	WP_012537290.1
OG0000829	Utg857992_32	WP_012537291.1
OG0000830	Utg857992_31	WP_012537292.1
OG0000831	Utg857992_30	WP_012537293.1
OG0000832	Utg857992_29	WP_012537294.1
OG0000833	Utg862138_6	WP_012537296.1
OG0000834	Utg860814_211	WP_012537304.1
OG0000835	Utg861744_136	WP_012537357.1
OG0000836	Utg859982_37	WP_012537368.1
OG0000837	Utg857994_149	WP_012537371.1
OG0000838	Utg859750_78	WP_012537372.1
OG0000839	Utg857994_159	WP_012537374.1
OG0000841	Utg861744_104	WP_012537408.1
OG0000842	Utg859982_143	WP_012537409.1
OG0000843	Utg859098_186	WP_012537411.1
OG0000844	Utg866558_19	WP_012537432.1
OG0000845	Utg866558_18	WP_012537433.1
OG0000846	Utg866558_15	WP_012537434.1
OG0000847	Utg857046_199, Utg857046_200	WP_012537472.1, WP_012537469.1
OG0000848	Utg859098_198	WP_012537494.1
OG0000849	Utg860814_241	WP_012537497.1
OG0000850	Utg865370_6	WP_012537550.1
OG0000851	Utg859432_52	WP_012537552.1
OG0000852	Utg862138_31	WP_012537563.1
OG0000853	Utg862138_25	WP_012537565.1
OG0000854	Utg859098_156	WP_012537569.1
OG0000855	Utg862138_22	WP_012537583.1
OG0000856	Utg859098_158	WP_012537589.1
OG0000857	Utg866558_50, Utg860006_64	WP_012537600.1
OG0000858	Utg857152_16	WP_012537630.1
OG0000860	Utg857152_108	WP_012537656.1
OG0000861	Utg862138_32	WP_012537661.1
OG0000862	Utg857046_249	WP_012537662.1
OG0000863	Utg858498_11	WP_012537664.1
OG0000864	Utg857152_40	WP_012537675.1
OG0000865	Utg859432_45	WP_012537690.1
OG0000866	Utg861744_123	WP_012537704.1
OG0000867	Utg857152_66	WP_012537706.1
OG0000868	Utg858432_141	WP_012606529.1
OG0000869	Utg858494_136	WP_012606540.1
OG0000870	Utg857152_7	WP_012606545.1
OG0000871	Utg860814_295	WP_012606548.1
OG0000872	Utg859076_32	WP_012606567.1
OG0000873	Utg858432_134	WP_012606584.1
OG0000874	Utg859982_42	WP_012606634.1
OG0000875	Utg862138_27	WP_012607057.1
OG0000876	Utg858498_10	WP_012607261.1
OG0000877	Utg859750_69	WP_012607268.1
OG0000878	Utg861744_25	WP_012607327.1
OG0000879	Utg859098_208	WP_012607345.1
OG0000881	Utg857046_136	WP_012607515.1
OG0000882	Utg857076_30	WP_012607615.1
OG0000883	Utg857076_22	WP_049759457.1
OG0000884	Utg864866_4	WP_054608903.1
OG0000886	Utg857152_198	WP_111122623.1
OG0000888	Utg860814_318, Utg860814_18	WP_157293193.1
OG0000889	Utg857046_218	WP_180830472.1
OG0000890	Utg859388_129	WP_229129742.1, WP_225487046.1
OG0000891	Utg857046_227	WP_225487353.1
OG0000892	Utg858432_33, Utg858432_32	WP_225487354.1
OG0000893	Utg858432_44	WP_225487399.1
OG0000894	Utg857300_13	WP_225487425.1
OG0000895	Utg859432_42	WP_225487673.1
OG0000896	Utg862138_41	WP_229129796.1
OG0000897	Utg857076_60	WP_230456312.1
OG0000898	Utg857682_75	WP_230959348.1
OG0000899	Utg857992_27	WP_233459568.1
OG0000900	Utg857076_21	WP_233459589.1
OG0000962	Utg859388_132	WP_009560842.1
OG0000963	Utg857152_106	WP_009561112.1
OG0000964	Utg859982_41	WP_009562365.1
OG0000966	Utg857076_3, Utg859236_131	WP_009562392.1
OG0000967	Utg857994_90	WP_009562412.1
OG0000968	Utg859098_189	WP_009562431.1
OG0000970	Utg857490_24	WP_009562604.1
OG0000971	Utg859432_47	WP_009562810.1
OG0000972	Utg859098_228	WP_009562817.1
OG0000973	Utg857682_62, Utg861744_79	WP_009563431.1, WP_012537580.1
OG0000974	Utg866558_24	WP_009563457.1
OG0000976	Utg860006_128	WP_009564598.1
OG0000977	Utg859098_362	WP_009565186.1
OG0000980	Utg857992_22	WP_009566066.1
OG0000981	Utg861744_44	WP_009566150.1
OG0000982	Utg861744_47	WP_009566264.1
OG0000983	Utg858432_111	WP_009566310.1
OG0000985	Utg862138_15	WP_009566652.1
OG0000986	Utg858432_104	WP_041838693.1, WP_009566930.1, WP_219629366.1, WP_012537013.1
OG0000987	Utg859098_268	WP_009566940.1
OG0000988	Utg859750_14	WP_009567245.1
OG0000989	Utg859098_265	WP_009567470.1
OG0000990	Utg861744_40	WP_009567611.1
OG0000991	Utg859432_40	WP_009567628.1
OG0000992	Utg858432_34	WP_009567692.1
OG0000994	Utg858494_108	WP_009568281.1
OG0000995	Utg858494_117	WP_009568793.1
OG0000996	Utg857046_68	WP_009569413.1
OG0000997	Utg857994_173	WP_012535779.1
OG0000997	Utg857994_192, Utg857994_172	WP_012607583.1
OG0000998	Utg859982_156	WP_012536029.1
OG0000999	Utg857152_210	WP_012536037.1
OG0001000	Utg858494_116	WP_012536092.1
OG0001001	Utg857152_125	WP_012536104.1
OG0001002	Utg860814_291	WP_012536118.1
OG0001003	Utg860006_165	WP_012536142.1
OG0001004	Utg864866_85	WP_012536177.1
OG0001005	Utg864866_84	WP_012536178.1
OG0001006	Utg857300_4	WP_012536194.1
OG0001007	Utg858432_135	WP_012536202.1
OG0001008	Utg859982_204	WP_012536223.1
OG0001009	Utg859982_203	WP_012536260.1
OG0001011	Utg863716_109	WP_012536340.1
OG0001012	Utg860814_60	WP_012536366.1
OG0001013	Utg860814_19, Utg860814_20	WP_012536367.1
OG0001014	Utg858432_10	WP_012536428.1
OG0001017	Utg859388_91	WP_012536443.1
OG0001018	Utg859750_68	WP_012536499.1
OG0001019	Utg859388_67	WP_012536546.1
OG0001020	Utg861744_59	WP_012536567.1
OG0001022	Utg857046_31	WP_012536747.1
OG0001023	Utg861744_135	WP_012536748.1
OG0001024	Utg860006_134	WP_012536778.1
OG0001025	Utg860814_317, Utg860814_308	WP_012536779.1
OG0001026	Utg857994_126, Utg857994_125	WP_012536813.1
OG0001027	Utg857076_42	WP_012536830.1
OG0001029	Utg857992_28	WP_012536838.1
OG0001030	Utg861744_137	WP_012536846.1
OG0001033	Utg859098_260	WP_012536948.1
OG0001034	Utg861744_53	WP_012536978.1
OG0001035	Utg861744_22	WP_012536980.1
OG0001036	Utg857152_102, Utg857152_101	WP_012537000.1
OG0001037	Utg857994_137	WP_012537016.1
OG0001038	Utg857300_56	WP_012537145.1
OG0001039	Utg858432_117	WP_012537233.1
OG0001040	Utg858494_92	WP_012537235.1
OG0001041	Utg859388_87	WP_012537270.1
OG0001042	Utg859982_220	WP_012537301.1
OG0001045	Utg859388_15	WP_012537366.1
OG0001046	Utg866558_26	WP_012537373.1
OG0001047	Utg865370_4	WP_012537401.1, WP_012537634.1
OG0001048	Utg858432_90	WP_012537412.1
OG0001049	Utg859236_98	WP_012537425.1
OG0001052	Utg857152_158	WP_012537482.1
OG0001053	Utg857994_209	WP_012537699.1, WP_012537517.1
OG0001054	Utg858432_21	WP_012537558.1
OG0001056	Utg859098_437, Utg858498_1	WP_012537679.1
OG0001057	Utg857682_14	WP_012537685.1
OG0001058	Utg859388_14	WP_012607518.1
OG0001059	Utg857682_92	WP_012607606.1
OG0001060	Utg861448_4	WP_012607619.1
OG0001061	Utg857682_6, Utg857682_7, Utg859982_88, Utg858432_143, Utg859982_87, Utg864866_118, Utg865370_45, Utg857682_8	WP_054608849.1, WP_055448984.1
OG0001062	Utg859098_404, Utg859388_1, Utg857152_256, Utg857682_103, Utg857682_110, Utg859098_52, Utg859098_408	WP_054608956.1
OG0001063	Utg859982_72	WP_054609074.1
OG0001065	Utg859236_30, Utg859236_29	WP_111122554.1
OG0001066	Utg858432_35	WP_180830462.1
OG0001067	Utg859982_135, Utg859982_136	WP_180830476.1
OG0001068	Utg859098_273	WP_215905492.1
OG0001069	Utg859982_176	WP_225487418.1
OG0001070	Utg859076_33	WP_225487646.1
OG0001142	Utg858432_30	WP_009561097.1
OG0001143	Utg863716_34	WP_009562222.1
OG0001144	Utg864866_58	WP_009562409.1
OG0001145	Utg857994_153	WP_009562646.1
OG0001148	Utg858494_34	WP_009564270.1
OG0001150	Utg859236_99	WP_009566070.1
OG0001152	Utg857992_36	WP_009567032.1
OG0001153	Utg861744_68	WP_009567147.1
OG0001154	Utg857152_46	WP_009567191.1
OG0001155	Utg859098_278	WP_009567240.1
OG0001156	Utg859098_49, Utg857994_218	WP_009567345.1
OG0001157	Utg861744_62	WP_009567494.1
OG0001158	Utg857152_140	WP_009567865.1
OG0001159	Utg859076_30	WP_009569566.1
OG0001160	Utg859750_16	WP_012535973.1
OG0001161	Utg859388_73	WP_012536071.1
OG0001162	Utg859098_386	WP_012536076.1, WP_054608770.1, WP_225487358.1, WP_012537332.1
OG0001164	Utg859098_272	WP_012536188.1
OG0001165	Utg860814_188	WP_012536313.1
OG0001166	Utg860006_27	WP_012536317.1
OG0001168	Utg860814_59, Utg860814_58	WP_012536365.1
OG0001169	Utg860814_65	WP_012536368.1
OG0001171	Utg861744_94	WP_012536576.1
OG0001172	Utg861744_66	WP_012536579.1
OG0001173	Utg861744_65	WP_012536580.1
OG0001174	Utg861744_96	WP_012536582.1
OG0001176	Utg859098_416	WP_261989780.1, WP_012536859.1
OG0001178	Utg859098_86	WP_012537133.1
OG0001179	Utg860814_117	WP_012537135.1
OG0001180	Utg857682_67, Utg861744_89	WP_012537263.1
OG0001181	Utg857682_68, Utg861744_88	WP_012537264.1
OG0001182	Utg857300_43, Utg857300_42	WP_012537327.1
OG0001183	Utg857046_19	WP_012537450.1
OG0001184	Utg857046_171, Utg857046_170	WP_012537461.1
OG0001189	Utg857152_160	WP_012607569.1
OG0001192	Utg866558_38	WP_054609104.1
OG0001195	Utg862138_54	WP_226833861.1
OG0001328	Utg858494_64	WP_009560969.1
OG0001330	Utg860814_324	WP_009561098.1
OG0001332	Utg860006_156	WP_009562825.1
OG0001333	Utg861744_85	WP_009563432.1
OG0001335	Utg858432_103, Utg858432_102	WP_012536693.1, WP_009566932.1, WP_012537014.1
OG0001338	Utg857994_169	WP_012535780.1
OG0001339	Utg858432_95	WP_012535993.1
OG0001340	Utg859236_59	WP_012536045.1
OG0001341	Utg859098_277	WP_012536069.1
OG0001342	Utg859098_336	WP_080513206.1
OG0001344	Utg857152_14	WP_012536212.1
OG0001345	Utg859236_15	WP_012536237.1
OG0001346	Utg860006_68	WP_012536242.1
OG0001347	Utg859236_34	WP_012536259.1
OG0001348	Utg864866_27	WP_012536270.1
OG0001352	Utg857152_79	WP_012536324.1
OG0001353	Utg860814_78	WP_012536359.1
OG0001354	Utg860814_71	WP_012536369.1
OG0001355	Utg859098_246	WP_012536419.1
OG0001357	Utg860006_79	WP_012536503.1
OG0001359	Utg861744_95	WP_012536575.1
OG0001362	Utg862138_55	WP_012536863.1
OG0001363	Utg866558_33	WP_012536866.1
OG0001364	Utg859236_27	WP_012536867.1
OG0001366	Utg857046_65	WP_012536925.1, WP_054608869.1
OG0001367	Utg861744_31	WP_012537027.1
OG0001369	Utg857152_89	WP_012537151.1
OG0001370	Utg861744_13	WP_012537684.1, WP_012537154.1
OG0001371	Utg861744_58	WP_012537243.1
OG0001372	Utg857300_8	WP_012537352.1
OG0001378	Utg859388_130	WP_012537574.1
OG0001384	Utg861744_132	WP_054608733.1
OG0001385	Utg860814_76	WP_054608759.1
OG0001387	Utg861448_22, Utg863716_95	WP_081033195.1
OG0001390	Utg857994_145	WP_225487398.1
OG0001391	Utg857300_9	WP_225487407.1
OG0001567	Utg865370_27	WP_009560684.1
OG0001569	Utg858432_56	WP_009560928.1
OG0001571	Utg859750_36	WP_009561085.1
OG0001573	Utg859098_187	WP_009562433.1
OG0001576	Utg859982_216	WP_009565427.1
OG0001578	Utg857994_51	WP_009565665.1
OG0001580	Utg865370_25	WP_009566740.1
OG0001581	Utg859098_225	WP_009567476.1
OG0001582	Utg861744_100	WP_009568083.1
OG0001586	Utg859982_16	WP_012535772.1
OG0001587	Utg858494_19	WP_219629361.1, WP_012536650.1, WP_012535936.1, WP_219629360.1
OG0001589	Utg860006_149	WP_012536033.1
OG0001591	Utg857682_105	WP_012536282.1, WP_054608881.1
OG0001592	Utg865370_26	WP_012536449.1
OG0001594	Utg859098_300	WP_012536520.1
OG0001596	Utg863716_49	WP_012536743.1
OG0001601	Utg859982_44	WP_012536890.1
OG0001603	Utg859098_357	WP_180830470.1, WP_012536907.1
OG0001609	Utg857046_137	WP_012537175.1
OG0001610	Utg859982_214	WP_012537297.1
OG0001611	Utg859982_219	WP_012537300.1
OG0001614	Utg857994_242	WP_012537351.1
OG0001615	Utg864866_92	WP_012537682.1
OG0001616	Utg860006_142	WP_012606527.1
OG0001618	Utg859098_249, Utg859098_250	WP_074874203.1, WP_012607079.1
OG0001621	Utg857152_62	WP_054608778.1
OG0001622	Utg857046_12	WP_054609027.1, WP_151528207.1, WP_233459588.1
OG0001821	Utg857682_49	WP_009560977.1
OG0001825	Utg857152_81	WP_009566502.1
OG0001833	Utg857152_199	WP_012536054.1
OG0001836	Utg860814_163	WP_012536139.1, WP_012536754.1
OG0001842	Utg861744_122	WP_012536262.1
OG0001843	Utg857682_104	WP_012536281.1
OG0001847	Utg859982_55	WP_012536510.1, WP_054608739.1
OG0001848	Utg860006_118	WP_012536667.1
OG0001851	Utg858494_50	WP_012536780.1
OG0001854	Utg859098_120	WP_012537136.1
OG0001857	Utg857994_47, Utg858432_58	WP_012537396.1, WP_012537637.1
OG0001858	Utg859388_135	WP_012537534.1
OG0001863	Utg859388_182, Utg858498_26	WP_054608732.1
OG0001865	Utg859388_33	WP_180830487.1
OG0002106	Utg857046_83	WP_009563284.1
OG0002108	Utg858494_35	WP_009564272.1
OG0002115	Utg858494_20	WP_012536651.1, WP_012535937.1
OG0002122	Utg859388_101	WP_012536318.1
OG0002135	Utg861448_33	WP_012537057.1
OG0002137	Utg857300_7	WP_012537353.1
OG0002141	Utg858432_168	WP_012537539.1
OG0002144	Utg859098_318	WP_012537587.1
OG0002145	Utg861448_29	WP_180830447.1, WP_012537648.1, WP_180830441.1, WP_233459572.1, WP_041838733.1
OG0002443	Utg857682_18	WP_009565530.1, WP_009566763.1
OG0002470	Utg859098_434	WP_012536969.1
OG0002481	Utg864866_76	WP_012537615.1
OG0002482	Utg860814_68	WP_012606651.1
OG0002488	Utg857994_197	WP_041838730.1
OG0002491	Utg864866_43	WP_054608773.1
OG0002836	Utg862138_21	WP_009568478.1
OG0002841	Utg857682_122	WP_012536066.1
OG0002844	Utg859076_10	WP_012536349.1
OG0002858	Utg859098_427	WP_012536860.1
OG0002867	Utg857046_11	WP_012537117.1
OG0002874	Utg857994_204	WP_012537519.1
OG0002883	Utg857046_217	WP_012607468.1
OG0002886	Utg859098_56, Utg857682_129	WP_054609030.1, WP_054608973.1
OG0002897	Utg859098_411	WP_196491152.1
OG0003340	Utg860006_112	WP_009561607.1
OG0003384	Utg857682_106	WP_012536284.1
OG0003423	Utg859750_44	WP_080513193.1, WP_012537107.1
OG0004228	Utg858494_16	WP_009561339.1
OG0004302	Utg858494_18	WP_012535982.1
OG0004303	Utg858494_17	WP_012535983.1
