Orthogroup	Desulfocapsa_13_biocide	Geobacter sulfurreducens PCA
OG0000566	Utg857152_97	WP_010941728.1, WP_010941185.1
OG0000567	Utg859098_173	WP_010944028.1, WP_010943381.1
OG0000567	Utg859076_62	WP_010941905.1
OG0000568	Utg859388_45, Utg859098_267	WP_010943959.1
OG0000569	Utg857992_12	WP_010941600.1
OG0000570	Utg857046_194	WP_010942880.1
OG0000571	Utg857300_49	WP_010941269.1
OG0000575	Utg859432_50	WP_010942534.1
OG0000576	Utg865370_28	WP_010942537.1
OG0000577	Utg857994_20	WP_010942510.1
OG0000578	Utg861744_32	WP_010940679.1
OG0000579	Utg861744_19	WP_010943242.1
OG0000580	Utg860814_282	WP_010943827.1
OG0000581	Utg858494_143	WP_010943499.1
OG0000582	Utg859750_11	WP_010944070.1
OG0000583	Utg857490_11	WP_010942332.1
OG0000584	Utg857046_225	WP_010944075.1
OG0000585	Utg857046_226	WP_010944076.1
OG0000586	Utg857046_228	WP_010944078.1
OG0000587	Utg859098_170	WP_010942289.1
OG0000588	Utg857046_250	WP_010942073.1
OG0000589	Utg859982_4	WP_010941392.1
OG0000590	Utg857046_196	WP_010942465.1
OG0000591	Utg859432_41	WP_010940835.1
OG0000592	Utg859098_167	WP_010941272.1
OG0000593	Utg858432_36	WP_010942349.1
OG0000594	Utg857152_39	WP_010943186.1
OG0000595	Utg860006_52	WP_010943920.1
OG0000596	Utg859098_222	WP_235044854.1
OG0000597	Utg859098_240	WP_010942643.1
OG0000598	Utg858432_39	WP_010943702.1
OG0000599	Utg859098_188	WP_010941327.1
OG0000600	Utg863716_90	WP_010942136.1
OG0000601	Utg859432_46	WP_010940829.1
OG0000602	Utg859098_243	WP_010942444.1
OG0000603	Utg860006_130	WP_010942707.1
OG0000604	Utg859750_70	WP_010940693.1
OG0000605	Utg863716_99	WP_010943003.1
OG0000606	Utg865370_35	WP_010941673.1
OG0000607	Utg857152_11	WP_010940800.1
OG0000608	Utg860814_195	WP_010940710.1
OG0000610	Utg858494_91	WP_010942105.1
OG0000611	Utg859098_165	WP_010941932.1
OG0000612	Utg866558_22	WP_010941310.1
OG0000613	Utg866558_21	WP_010941309.1
OG0000615	Utg858494_101	WP_010942566.1
OG0000616	Utg858494_99	WP_010942564.1
OG0000617	Utg858494_129	WP_010943485.1
OG0000618	Utg858494_127	WP_010943483.1
OG0000619	Utg858494_126	WP_010943482.1
OG0000620	Utg858494_125	WP_010943481.1
OG0000621	Utg858494_124	WP_010943480.1
OG0000622	Utg859236_96	WP_010941527.1
OG0000623	Utg857994_147	WP_010943723.1
OG0000624	Utg859098_193	WP_010943850.1
OG0000625	Utg859098_192	WP_010943851.1
OG0000626	Utg861744_118	WP_010940760.1
OG0000627	Utg858494_90	WP_010942106.1
OG0000628	Utg859076_34	WP_010942919.1
OG0000630	Utg857152_31	WP_041914001.1
OG0000631	Utg857152_28	WP_276524825.1
OG0000632	Utg859388_81	WP_010943180.1
OG0000633	Utg861448_58, Utg861448_57, Utg860814_165	WP_010942373.1
OG0000634	Utg857994_128	WP_010943241.1
OG0000635	Utg859236_17	WP_010942450.1
OG0000636	Utg859982_221	WP_010944053.1
OG0000637	Utg859388_63	WP_010942245.1
OG0000638	Utg857076_19	WP_010942878.1
OG0000639	Utg859982_5	WP_010942898.1
OG0000640	Utg860006_133	WP_010942897.1
OG0000642	Utg857046_24	WP_010940715.1
OG0000643	Utg857994_157	WP_010941323.1
OG0000644	Utg857152_22	WP_010941325.1
OG0000645	Utg857046_27	WP_010943691.1
OG0000646	Utg858432_47	WP_010943692.1
OG0000647	Utg858432_46	WP_010943693.1
OG0000648	Utg858432_43	WP_010943697.1
OG0000649	Utg857994_158	WP_010941322.1
OG0000650	Utg857992_20	WP_010943006.1
OG0000651	Utg859098_261	WP_010943016.1
OG0000652	Utg859388_12	WP_010942410.1
OG0000653	Utg859098_160	WP_010941921.1
OG0000654	Utg859750_12, Utg859750_13	WP_010942463.1
OG0000655	Utg857490_21	WP_010941209.1
OG0000656	Utg860814_287	WP_010942230.1
OG0000657	Utg860814_288	WP_010942231.1
OG0000658	Utg860814_293	WP_010942236.1
OG0000659	Utg860814_294	WP_010942237.1
OG0000660	Utg862138_23	WP_010943504.1
OG0000661	Utg862138_24	WP_010943505.1
OG0000664	Utg860006_55	WP_010943342.1
OG0000665	Utg859750_18	WP_010943897.1
OG0000667	Utg857300_3	WP_010943951.1
OG0000668	Utg861448_16	WP_010943747.1
OG0000670	Utg858432_31	WP_010941735.1
OG0000671	Utg860006_65	WP_010942874.1
OG0000672	Utg857152_41	WP_010941965.1
OG0000673	Utg859982_38	WP_010941900.1
OG0000674	Utg859236_45	WP_010941793.1
OG0000675	Utg858432_131	WP_010942418.1
OG0000676	Utg859098_162	WP_010941316.1
OG0000677	Utg858494_106	WP_010943461.1
OG0000678	Utg858494_107	WP_010943462.1
OG0000679	Utg866558_16	WP_164930419.1
OG0000680	Utg857490_9	WP_010942334.1
OG0000681	Utg858494_138	WP_010943494.1
OG0000682	Utg858494_139	WP_010943495.1
OG0000684	Utg857152_110	WP_010940790.1
OG0000685	Utg858494_115	WP_010943470.1
OG0000686	Utg858494_58	WP_010941171.1
OG0000687	Utg858494_119	WP_010943475.1
OG0000688	Utg858494_121	WP_010943477.1
OG0000689	Utg858494_122	WP_010943478.1
OG0000690	Utg857300_51	WP_010943978.1
OG0000691	Utg858494_135	WP_010943491.1
OG0000692	Utg857152_13	WP_010940678.1
OG0000693	Utg857682_77	WP_010940806.1
OG0000694	Utg857046_223	WP_010944074.1
OG0000695	Utg861744_138	WP_010942109.1
OG0000696	Utg857682_78	WP_010941175.1
OG0000697	Utg857152_72	WP_010943823.1
OG0000698	Utg866558_23	WP_010941311.1
OG0000699	Utg857992_14	WP_010941314.1
OG0000700	Utg857994_23	WP_010942509.1
OG0000701	Utg859982_145	WP_010942457.1
OG0000702	Utg863716_85	WP_010942686.1
OG0000704	Utg858432_50	WP_010943688.1
OG0000705	Utg858432_49	WP_010943689.1
OG0000706	Utg858432_48	WP_010943690.1
OG0000707	Utg858432_45	WP_010943694.1
OG0000708	Utg858432_38	WP_010943703.1
OG0000709	Utg859098_244	WP_010941854.1
OG0000710	Utg858432_137	WP_010942229.1
OG0000711	Utg857300_58	WP_010942353.1
OG0000712	Utg859098_194	WP_010943831.1
OG0000713	Utg859388_72	WP_010942252.1
OG0000714	Utg859388_74	WP_010942331.1
OG0000715	Utg857490_10	WP_010942333.1
OG0000716	Utg857490_8	WP_010942335.1
OG0000717	Utg858494_142	WP_010943498.1
OG0000718	Utg858494_141	WP_010943497.1
OG0000719	Utg858494_140	WP_010943496.1
OG0000720	Utg858494_137	WP_010943493.1
OG0000721	Utg858494_134	WP_010943490.1
OG0000722	Utg858494_130	WP_010943487.1
OG0000723	Utg858494_128	WP_010943484.1
OG0000724	Utg858494_123	WP_010943479.1
OG0000725	Utg858494_120	WP_010943476.1
OG0000726	Utg858494_118	WP_010943474.1
OG0000727	Utg858494_114	WP_010943469.1
OG0000728	Utg858494_113	WP_010943468.1
OG0000729	Utg858494_112	WP_010943467.1
OG0000730	Utg858494_111	WP_010943466.1
OG0000731	Utg858494_105	WP_010943460.1
OG0000732	Utg858494_104	WP_010943459.1
OG0000733	Utg858494_103	WP_010943458.1
OG0000734	Utg860814_296	WP_010942240.1
OG0000735	Utg857994_165	WP_010941785.1
OG0000737	Utg860814_290	WP_010942233.1
OG0000738	Utg859432_37	WP_010943606.1
OG0000739	Utg859098_184	WP_010942849.1
OG0000740	Utg857046_195	WP_010942479.1
OG0000741	Utg857152_47	WP_010942525.1
OG0000743	Utg857490_15	WP_010942133.1
OG0000744	Utg860006_53	WP_010942877.1
OG0000745	Utg859388_139	WP_010940804.1
OG0000746	Utg859098_235	WP_010942838.1
OG0000747	Utg857994_151	WP_010943729.1
OG0000748	Utg857994_150	WP_010943728.1
OG0000749	Utg857152_184	WP_010943205.1
OG0000750	Utg861744_131	WP_010940975.1
OG0000751	Utg861744_128	WP_010940978.1
OG0000752	Utg863716_108	WP_010942554.1
OG0000753	Utg859982_134	WP_010943874.1
OG0000754	Utg865370_30	WP_010942540.1
OG0000755	Utg865370_29	WP_010942539.1
OG0000756	Utg859098_377	WP_010943890.1
OG0000757	Utg857046_201	WP_010943990.1
OG0000758	Utg861744_34	WP_010940682.1
OG0000759	Utg863716_91	WP_010943243.1
OG0000760	Utg864866_56	WP_010943240.1
OG0000761	Utg865370_36	WP_010942107.1
OG0000762	Utg857152_182	WP_010940819.1
OG0000763	Utg857152_181	WP_010940821.1
OG0000764	Utg857152_103	WP_010940824.1
OG0000765	Utg857994_216	WP_010941053.1, WP_010940752.1
OG0000766	Utg861744_46	WP_010942471.1
OG0000767	Utg860814_97	WP_010942868.1
OG0000768	Utg858432_125	WP_193360270.1
OG0000769	Utg858494_100	WP_010942565.1
OG0000770	Utg858494_98	WP_010942563.1
OG0000771	Utg858494_97	WP_010942562.1
OG0000772	Utg858494_95	WP_010942561.1
OG0000773	Utg858494_94	WP_010942560.1
OG0000774	Utg858494_93	WP_010942559.1
OG0000775	Utg857152_8	WP_010942908.1
OG0000776	Utg858432_16	WP_010942906.1
OG0000777	Utg858432_17	WP_010942905.1
OG0000778	Utg859076_36	WP_010942051.1, WP_010943005.1
OG0000779	Utg859236_39	WP_010942455.1
OG0000780	Utg857994_34	WP_010941248.1
OG0000781	Utg859388_66	WP_010943501.1, WP_010943424.1
OG0000782	Utg857152_113	WP_010942467.1
OG0000783	Utg859098_319	WP_010942350.1
OG0000784	Utg864866_53	WP_010942835.1
OG0000785	Utg864866_52	WP_010942834.1
OG0000786	Utg857682_63	WP_010943294.1
OG0000786	Utg861744_80	WP_010943646.1
OG0000787	Utg858432_7	WP_010941674.1
OG0000789	Utg858432_136	WP_010942247.1
OG0000790	Utg857152_24	WP_010942870.1
OG0000791	Utg857152_172	WP_010941878.1
OG0000792	Utg858432_138	WP_010942227.1
OG0000793	Utg860814_257	WP_010942644.1
OG0000794	Utg859098_248	WP_010941772.1
OG0000795	Utg859236_57	WP_010942865.1
OG0000796	Utg859388_11	WP_010942409.1
OG0000797	Utg859098_321	WP_010942411.1
OG0000798	Utg864866_5	WP_010943257.1, WP_010941835.1
OG0000799	Utg859236_84	WP_010943258.1
OG0000800	Utg857300_48	WP_010942281.1
OG0000801	Utg858432_94	WP_010943004.1
OG0000802	Utg859982_39	WP_010943507.1
OG0000803	Utg862138_37	WP_010943508.1
OG0000804	Utg857046_156, Utg857300_38	WP_010943769.1
OG0000805	Utg857994_194	WP_010941347.1
OG0000806	Utg861744_35	WP_010940684.1
OG0000807	Utg857994_156	WP_010941324.1
OG0000808	Utg858494_59	WP_010942568.1
OG0000809	Utg859076_29	WP_010942688.1
OG0000810	Utg859388_28	WP_010942940.1
OG0000811	Utg859076_28	WP_010942581.1
OG0000812	Utg859982_130	WP_010942021.1, WP_010943943.1
OG0000813	Utg859236_28	WP_010943976.1
OG0000815	Utg859098_270	WP_010941271.1
OG0000816	Utg861744_39	WP_010942438.1
OG0000817	Utg861744_55	WP_010940708.1
OG0000818	Utg859982_206	WP_010942733.1
OG0000819	Utg859098_237	WP_010942277.1
OG0000820	Utg861744_11	WP_010941062.1
OG0000821	Utg857076_59	WP_010940768.1
OG0000822	Utg857490_29	WP_010942723.1
OG0000823	Utg857490_26	WP_010942720.1
OG0000825	Utg860006_60	WP_010941242.1
OG0000827	Utg857992_34	WP_010942167.1
OG0000828	Utg857992_33	WP_010942166.1
OG0000829	Utg857992_32	WP_010942165.1
OG0000830	Utg857992_31	WP_010942164.1
OG0000831	Utg857992_30	WP_010942163.1
OG0000832	Utg857992_29	WP_193360261.1
OG0000833	Utg862138_6	WP_010941018.1
OG0000834	Utg860814_211	WP_235044855.1
OG0000835	Utg861744_136	WP_010942522.1
OG0000836	Utg859982_37	WP_010941899.1
OG0000837	Utg857994_149	WP_010943725.1
OG0000838	Utg859750_78	WP_010943895.1
OG0000839	Utg857994_159	WP_010941321.1
OG0000840	Utg860006_92	WP_010941368.1
OG0000841	Utg861744_104	WP_010940957.1
OG0000842	Utg859982_143	WP_010941268.1
OG0000843	Utg859098_186	WP_010941329.1
OG0000844	Utg866558_19	WP_010941307.1
OG0000845	Utg866558_18	WP_200858943.1
OG0000846	Utg866558_15	WP_010941303.1
OG0000847	Utg857046_199, Utg857046_200	WP_010941608.1
OG0000848	Utg859098_198	WP_010943828.1
OG0000849	Utg860814_241	WP_010943181.1
OG0000850	Utg865370_6	WP_010942529.1
OG0000851	Utg859432_52	WP_010942532.1
OG0000852	Utg862138_31	WP_010943721.1
OG0000853	Utg862138_25	WP_010943719.1
OG0000854	Utg859098_156	WP_010942178.1
OG0000855	Utg862138_22	WP_010943503.1
OG0000856	Utg859098_158	WP_010943641.1
OG0000857	Utg866558_50, Utg860006_64	WP_010941275.1
OG0000858	Utg857152_16	WP_010943026.1
OG0000860	Utg857152_108	WP_010940788.1
OG0000861	Utg862138_32	WP_010944072.1
OG0000862	Utg857046_249	WP_010944073.1
OG0000863	Utg858498_11	WP_010943343.1
OG0000864	Utg857152_40	WP_010943985.1
OG0000865	Utg859432_45	WP_010940832.1
OG0000866	Utg861744_123	WP_010943896.1
OG0000867	Utg857152_66	WP_010941005.1
OG0000868	Utg858432_141	WP_010943265.1
OG0000869	Utg858494_136	WP_010943492.1
OG0000870	Utg857152_7	WP_010940695.1
OG0000871	Utg860814_295	WP_041914012.1
OG0000872	Utg859076_32	WP_010942918.1
OG0000873	Utg858432_134	WP_010943758.1
OG0000874	Utg859982_42	WP_010942555.1
OG0000875	Utg862138_27	WP_010940803.1
OG0000876	Utg858498_10	WP_010942402.1
OG0000877	Utg859750_69	WP_010941776.1
OG0000878	Utg861744_25	WP_010941797.1
OG0000879	Utg859098_208	WP_010942567.1
OG0000881	Utg857046_136	WP_010941168.1
OG0000882	Utg857076_30	WP_010941800.1
OG0000884	Utg864866_4	WP_010943256.1
OG0000886	Utg857152_198	WP_010941176.1
OG0000887	Utg857682_127	WP_010940850.1
OG0000888	Utg860814_18	WP_010940920.1, WP_010942624.1
OG0000889	Utg857046_218	WP_010941682.1
OG0000890	Utg859388_129	WP_010942994.1
OG0000891	Utg857046_227	WP_010944077.1
OG0000892	Utg858432_33, Utg858432_32	WP_010941736.1
OG0000893	Utg858432_44	WP_010943696.1
OG0000894	Utg857300_13	WP_010942437.1
OG0000895	Utg859432_42	WP_193360259.1
OG0000896	Utg862138_41	WP_010942911.1
OG0000897	Utg857076_60	WP_010940769.1
OG0000898	Utg857682_75	WP_010940818.1
OG0000899	Utg857992_27	WP_010940772.1
OG0000900	Utg857076_21	WP_010942879.1
OG0000901	Utg857076_69, Utg860814_111	WP_010942380.1, WP_010942379.1
OG0000902	Utg860814_108	WP_010942383.1
OG0000903	Utg860814_106	WP_010942384.1
OG0000904	Utg860814_95	WP_010943253.1
OG0000905	Utg859388_147	WP_010942398.1
OG0000906	Utg859750_75, Utg859750_76	WP_010943893.1
OG0000913	Utg857076_64	WP_010943338.1
OG0000917	Utg857152_100	WP_010941186.1, WP_010941729.1, WP_010942987.1, WP_010941731.1
OG0000919	Utg857046_215	WP_010941525.1
OG0000920	Utg859098_42	WP_274377819.1, WP_010942885.1
OG0000922	Utg857046_134	WP_010942658.1
OG0000924	Utg857994_207, Utg857994_213	WP_010942150.1
OG0000929	Utg857994_22, Utg857994_21	WP_010941058.1
OG0000930	Utg859098_247	WP_010943684.1
OG0000931	Utg859098_329	WP_010943639.1
OG0000932	Utg857046_234, Utg859098_126	WP_010941448.1
OG0000932	Utg857046_154	WP_010941442.1
OG0000933	Utg859098_74, Utg859098_75, Utg859076_46	WP_010943669.1
OG0000934	Utg859076_51, Utg859098_66, Utg859098_67	WP_010943664.1
OG0000935	Utg859388_184, Utg858498_24	WP_010943604.1
OG0000936	Utg859982_80	WP_010943877.1, WP_010942004.1
OG0000937	Utg857994_136	WP_235044965.1
OG0000940	Utg857076_11	WP_010943154.1
OG0000941	Utg857490_16	WP_275450052.1
OG0000943	Utg859098_328	WP_010943638.1
OG0000944	Utg858432_128, Utg861448_35	WP_010940881.1
OG0000946	Utg864866_90	WP_010942981.1
OG0000946	Utg858494_6	WP_010941361.1
OG0000949	Utg857152_163	WP_010943353.1
OG0000951	Utg859982_106	WP_010941232.1
OG0000955	Utg863716_21, Utg859388_38	WP_010941480.1, WP_010942128.1
OG0000956	Utg857992_41	WP_235044856.1, WP_010942502.1, WP_010942488.1, WP_010941635.1, WP_010943350.1, WP_010943223.1
OG0000962	Utg859388_132	WP_010943826.1
OG0000963	Utg857152_106	WP_010940786.1
OG0000964	Utg859982_41	WP_010942553.1
OG0000966	Utg857076_3, Utg859236_131	WP_010943173.1
OG0000967	Utg857994_90	WP_010941771.1
OG0000968	Utg859098_189	WP_010941326.1
OG0000970	Utg857490_24	WP_010943924.1
OG0000971	Utg859432_47	WP_010940828.1
OG0000972	Utg859098_228	WP_010942579.1
OG0000973	Utg857682_62	WP_010943293.1
OG0000973	Utg861744_79	WP_010943082.1
OG0000974	Utg866558_24	WP_010940791.1
OG0000976	Utg860006_128	WP_010942094.1
OG0000980	Utg857992_22	WP_010940742.1
OG0000981	Utg861744_44	WP_010940783.1
OG0000982	Utg861744_47	WP_010944067.1
OG0000983	Utg858432_111	WP_010941478.1
OG0000985	Utg862138_15	WP_010941008.1
OG0000986	Utg858432_104	WP_010942803.1
OG0000987	Utg859098_268	WP_010941925.1
OG0000988	Utg859750_14	WP_010942336.1
OG0000989	Utg859098_265	WP_010942846.1
OG0000990	Utg861744_40	WP_010941742.1
OG0000991	Utg859432_40	WP_010940836.1
OG0000992	Utg858432_34	WP_010941737.1
OG0000994	Utg858494_108	WP_010943463.1
OG0000995	Utg858494_117	WP_010943472.1
OG0000996	Utg857046_68	WP_010942478.1
OG0000998	Utg859982_156	WP_010942692.1
OG0001000	Utg858494_116	WP_010943471.1
OG0001001	Utg857152_125	WP_197714222.1
OG0001002	Utg860814_291	WP_010942234.1
OG0001003	Utg860006_165	WP_010942706.1
OG0001006	Utg857300_4	WP_010943952.1
OG0001007	Utg858432_135	WP_010943757.1
OG0001008	Utg859982_204	WP_010941108.1
OG0001009	Utg859982_203	WP_010941109.1
OG0001012	Utg860814_60	WP_010940916.1
OG0001013	Utg860814_19, Utg860814_20	WP_010941123.1
OG0001014	Utg858432_10	WP_010942282.1
OG0001017	Utg859388_91	WP_010943812.1
OG0001018	Utg859750_68	WP_010941240.1
OG0001019	Utg859388_67	WP_010943423.1
OG0001020	Utg861744_59	WP_010941605.1
OG0001022	Utg857046_31	WP_010942226.1
OG0001023	Utg861744_135	WP_010943862.1
OG0001024	Utg860006_134	WP_010941469.1
OG0001026	Utg857994_126, Utg857994_125	WP_010940973.1
OG0001027	Utg857076_42	WP_010943098.1
OG0001029	Utg857992_28	WP_010940773.1
OG0001030	Utg861744_137	WP_010942303.1
OG0001033	Utg859098_260	WP_010943014.1
OG0001034	Utg861744_53	WP_010943991.1
OG0001035	Utg861744_22	WP_010943994.1
OG0001036	Utg857152_102, Utg857152_101	WP_010941667.1
OG0001037	Utg857994_137	WP_010941788.1
OG0001038	Utg857300_56	WP_010942280.1
OG0001039	Utg858432_117	WP_010940814.1
OG0001040	Utg858494_92	WP_010942558.1
OG0001041	Utg859388_87	WP_010940776.1
OG0001042	Utg859982_220	WP_010941011.1, WP_010943356.1, WP_010944051.1
OG0001046	Utg866558_26	WP_010942079.1
OG0001049	Utg859236_98	WP_010943554.1
OG0001052	Utg857152_158	WP_010942180.1
OG0001053	Utg857994_209	WP_010941289.1
OG0001054	Utg858432_21	WP_010942612.1
OG0001057	Utg857682_14	WP_010940846.1
OG0001059	Utg857682_92	WP_010940872.1
OG0001060	Utg861448_4	WP_010942549.1
OG0001062	Utg859098_404, Utg859388_1, Utg857152_256, Utg857682_103, Utg857682_110, Utg859098_52, Utg859098_408	WP_041914004.1
OG0001065	Utg859236_30, Utg859236_29	WP_010942474.1
OG0001066	Utg858432_35	WP_010941738.1
OG0001068	Utg859098_273	WP_010941152.1
OG0001072	Utg860814_262	WP_010941057.1
OG0001073	Utg859982_126	WP_010941065.1
OG0001074	Utg859432_79	WP_010940885.1
OG0001076	Utg857152_183	WP_010943204.1
OG0001080	Utg857152_222	WP_235045026.1
OG0001083	Utg865370_14	WP_010941934.1, WP_010943634.1
OG0001084	Utg865370_12	WP_010943632.1, WP_010941935.1
OG0001085	Utg859098_389	WP_010943537.1
OG0001085	Utg864866_113	WP_010943586.1
OG0001086	Utg864866_114	WP_010943587.1
OG0001088	Utg857300_53	WP_010943706.1
OG0001089	Utg860006_113	WP_010940878.1
OG0001093	Utg857046_261	WP_010941431.1
OG0001096	Utg858494_56	WP_010942440.1
OG0001098	Utg859098_10	WP_010943628.1
OG0001100	Utg857994_163	WP_010943977.1
OG0001101	Utg859388_71	WP_010942251.1
OG0001102	Utg859982_77	WP_010943298.1, WP_010943860.1
OG0001104	Utg859098_190	WP_010941834.1
OG0001105	Utg859098_253	WP_010942115.1
OG0001106	Utg859098_254	WP_010942114.1
OG0001108	Utg859098_326	WP_010943620.1
OG0001109	Utg859098_327	WP_010943619.1
OG0001110	Utg859098_330	WP_010943640.1
OG0001111	Utg859098_353	WP_010942343.1, WP_010940704.1
OG0001112	Utg857046_155	WP_010941443.1
OG0001112	Utg857046_233	WP_010941449.1
OG0001113	Utg858432_78	WP_010940774.1
OG0001114	Utg859098_97	WP_010941088.1
OG0001116	Utg859982_18	WP_010941299.1
OG0001118	Utg857992_11	WP_010941601.1
OG0001119	Utg858432_116	WP_010942058.1
OG0001120	Utg862138_29	WP_010941817.1
OG0001121	Utg861448_2	WP_010943980.1
OG0001123	Utg857046_119	WP_010941279.1
OG0001123	Utg858432_149, Utg857046_125	WP_010943142.1
OG0001124	Utg859098_252	WP_010942116.1
OG0001125	Utg863716_62	WP_010941213.1
OG0001126	Utg860814_1	WP_010943591.1
OG0001127	Utg857994_16, Utg857682_169	WP_010941204.1
OG0001136	Utg857994_83, Utg857994_84	WP_010944006.1
OG0001143	Utg863716_34	WP_010943899.1
OG0001144	Utg864866_58	WP_010942446.1
OG0001145	Utg857994_153	WP_010941181.1
OG0001148	Utg858494_34	WP_010943075.1
OG0001152	Utg857992_36	WP_041914011.1
OG0001154	Utg857152_46	WP_010942520.1
OG0001155	Utg859098_278	WP_010943078.1
OG0001156	Utg859098_49, Utg857994_218	WP_010941291.1
OG0001157	Utg861744_62	WP_010943447.1
OG0001159	Utg859076_30	WP_010941902.1
OG0001160	Utg859750_16	WP_010942729.1
OG0001161	Utg859388_73	WP_010942330.1
OG0001165	Utg860814_188	WP_010944063.1
OG0001166	Utg860006_27	WP_010942668.1
OG0001169	Utg860814_65	WP_010941125.1
OG0001171	Utg861744_94	WP_010943433.1
OG0001172	Utg861744_66	WP_010943445.1
OG0001173	Utg861744_65	WP_010943446.1
OG0001174	Utg861744_96	WP_010943426.1
OG0001178	Utg859098_86	WP_010943678.1
OG0001179	Utg860814_117	WP_010942439.1
OG0001180	Utg857682_67, Utg861744_89	WP_010943071.1
OG0001181	Utg857682_68, Utg861744_88	WP_010941048.1
OG0001182	Utg857300_43, Utg857300_42	WP_010942518.1
OG0001183	Utg857046_19	WP_010941787.1
OG0001189	Utg857152_160	WP_010942182.1
OG0001192	Utg866558_38	WP_010942370.1
OG0001197	Utg860814_292	WP_010942235.1
OG0001198	Utg860814_255	WP_010943183.1
OG0001199	Utg860814_226	WP_010943761.1
OG0001199	Utg860814_227	WP_010943762.1
OG0001200	Utg860814_110	WP_010942381.1
OG0001209	Utg864866_66	WP_010943158.1
OG0001212	Utg863716_133, Utg857076_2, Utg859236_130	WP_010943175.1
OG0001213	Utg863716_132, Utg857076_1, Utg859236_129	WP_010943174.1
OG0001214	Utg857300_16, Utg860814_225	WP_010942387.1
OG0001223	Utg857682_168, Utg857682_76	WP_010940817.1
OG0001229	Utg857994_82, Utg861744_26	WP_010941716.1
OG0001230	Utg861744_52	WP_010940809.1
OG0001232	Utg857300_52	WP_235044919.1
OG0001233	Utg860006_75	WP_041914028.1
OG0001239	Utg860006_48	WP_010941096.1
OG0001242	Utg857152_25	WP_010942871.1
OG0001244	Utg857152_55	WP_193360256.1
OG0001245	Utg857152_67	WP_010941004.1
OG0001246	Utg857152_104	WP_010940784.1
OG0001247	Utg857046_254	WP_010943502.1
OG0001248	Utg857046_211	WP_010943712.1
OG0001249	Utg857046_131	WP_010941536.1, WP_010940985.1
OG0001252	Utg857076_31	WP_010941798.1
OG0001253	Utg857076_28	WP_010941550.1
OG0001254	Utg857076_24	WP_010942907.1
OG0001255	Utg860814_252, Utg859236_60	WP_010941959.1
OG0001256	Utg859236_47	WP_010941722.1
OG0001257	Utg859236_42	WP_010940778.1
OG0001258	Utg859236_19	WP_010942452.1
OG0001259	Utg859236_18	WP_010942451.1
OG0001262	Utg860006_58	WP_010943865.1
OG0001264	Utg860006_166	WP_010941103.1
OG0001268	Utg859982_36	WP_010943564.1
OG0001269	Utg859982_196	WP_010941842.1
OG0001273	Utg859098_180	WP_235044901.1
OG0001274	Utg859098_242	WP_010942443.1
OG0001276	Utg859098_323	WP_010943629.1
OG0001277	Utg859098_324	WP_010943636.1
OG0001278	Utg859098_332	WP_010943622.1
OG0001279	Utg859098_333	WP_010943623.1
OG0001281	Utg859098_355	WP_010940701.1
OG0001282	Utg859098_356	WP_010942068.1
OG0001284	Utg859098_108	WP_010941079.1
OG0001285	Utg859098_107	WP_010941080.1
OG0001286	Utg859098_106	WP_010941081.1
OG0001287	Utg859098_103	WP_010941084.1
OG0001288	Utg859098_102	WP_010941085.1
OG0001289	Utg859098_90	WP_010941095.1
OG0001290	Utg859098_89	WP_010943681.1
OG0001293	Utg858498_12	WP_010942578.1
OG0001296	Utg857076_63	WP_010943339.1
OG0001297	Utg857076_62	WP_010943340.1
OG0001298	Utg866558_17	WP_010941305.1
OG0001299	Utg866558_35	WP_010941598.1
OG0001302	Utg857152_58, Utg857682_170	WP_010940816.1
OG0001303	Utg866558_30	WP_010943854.1
OG0001304	Utg860814_98	WP_010942867.1
OG0001305	Utg860814_105	WP_010943918.1
OG0001308	Utg857152_105	WP_010940785.1
OG0001314	Utg860814_151	WP_010943404.1
OG0001317	Utg857152_139	WP_010941865.1
OG0001318	Utg857076_9	WP_010941174.1
OG0001324	Utg859982_194	WP_010941238.1
OG0001328	Utg858494_64	WP_010941339.1, WP_010941233.1
OG0001330	Utg860814_324	WP_010941918.1
OG0001333	Utg861744_85	WP_010941967.1
OG0001339	Utg858432_95	WP_010942712.1
OG0001341	Utg859098_277	WP_010943101.1
OG0001344	Utg857152_14	WP_010940690.1
OG0001352	Utg857152_79	WP_010941717.1
OG0001354	Utg860814_71	WP_010940917.1
OG0001357	Utg860006_79	WP_010943960.1
OG0001366	Utg857046_65	WP_010941495.1, WP_010944009.1, WP_010942782.1, WP_010941984.1
OG0001367	Utg861744_31	WP_010942690.1
OG0001369	Utg857152_89	WP_010941064.1
OG0001370	Utg861744_13	WP_010941618.1, WP_235044950.1
OG0001371	Utg861744_58	WP_010941604.1
OG0001384	Utg861744_132	WP_010940797.1
OG0001390	Utg857994_145	WP_010942140.1
OG0001395	Utg860814_281	WP_010942338.1
OG0001397	Utg862138_4	WP_010940986.1
OG0001398	Utg860814_238	WP_010941162.1
OG0001399	Utg860814_228	WP_010940946.1
OG0001402	Utg860814_80	WP_010940921.1, WP_010940879.1
OG0001408	Utg863716_55	WP_010941752.1
OG0001411	Utg859388_52	WP_010941021.1
OG0001412	Utg863716_75, Utg857152_204	WP_010940959.1, WP_010941360.1
OG0001417	Utg857994_196	WP_010941287.1
OG0001418	Utg864866_83	WP_010942847.1
OG0001424	Utg865370_15	WP_010943609.1
