Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulforhopalus vacuolatus DSM 9700
OG0000620	WP_015404286.1	WP_205217936.1
OG0000621	WP_015404287.1	WP_205217935.1
OG0000622	WP_015404375.1	WP_205219259.1
OG0000623	WP_015404728.1	WP_205219817.1
OG0000624	WP_015405025.1	WP_205218135.1
OG0000625	WP_015405024.1	WP_205218136.1
OG0000626	WP_015403434.1	WP_205219413.1
OG0000627	WP_015404320.1	WP_205217906.1
OG0000628	WP_015402471.1	WP_240191905.1
OG0000629	WP_015404142.1	WP_205219678.1, WP_205219665.1
OG0000630	WP_015403871.1	WP_205217508.1
OG0000631	WP_015403869.1	WP_205217509.1
OG0000632	WP_015404802.1	WP_205219650.1
OG0000633	WP_015404414.1	WP_205218065.1
OG0000634	WP_015405484.1	WP_205219197.1
OG0000635	WP_015404478.1	WP_205219807.1
OG0000637	WP_015404786.1	WP_205217740.1
OG0000638	WP_015404362.1	WP_205219253.1
OG0000639	WP_015405456.1	WP_205219776.1
OG0000640	WP_015404578.1	WP_205218166.1
OG0000641	WP_015405619.1	WP_205218910.1
OG0000642	WP_015404104.1	WP_205219556.1
OG0000643	WP_015404719.1	WP_205219124.1
OG0000644	WP_015403865.1	WP_205220191.1
OG0000645	WP_153304871.1	WP_205219573.1
OG0000646	WP_015405682.1	WP_205217633.1
OG0000647	WP_015405683.1	WP_240191938.1
OG0000648	WP_015405686.1	WP_205217629.1
OG0000649	WP_015404718.1	WP_205219123.1
OG0000650	WP_015405533.1	WP_205219129.1
OG0000651	WP_015405131.1	WP_205220279.1
OG0000652	WP_015404738.1	WP_205219827.1
OG0000653	WP_041917055.1	WP_205219060.1
OG0000654	WP_015402738.1	WP_205217423.1
OG0000655	WP_015404177.1	WP_205217444.1
OG0000656	WP_015402306.1	WP_205217793.1
OG0000657	WP_015402305.1	WP_205217794.1
OG0000658	WP_015402301.1	WP_205217799.1
OG0000659	WP_015402300.1	WP_205217800.1
OG0000660	WP_015405750.1	WP_205217770.1
OG0000661	WP_015405749.1	WP_205217771.1
OG0000662	WP_015404379.1	WP_205219263.1
OG0000663	WP_015403013.1	WP_205218622.1
OG0000664	WP_015404540.1	WP_205218676.1
OG0000665	WP_015402733.1	WP_275888932.1
OG0000666	WP_015402799.1	WP_205219657.1
OG0000667	WP_015403629.1	WP_205218606.1
OG0000669	WP_015402625.1	WP_240191924.1
OG0000670	WP_015405697.1	WP_205217618.1
OG0000671	WP_015404549.1	WP_205218683.1
OG0000672	WP_015403881.1	WP_205217501.1
OG0000673	WP_015404811.1	WP_240192152.1
OG0000674	WP_015404432.1	WP_205218740.1
OG0000675	WP_015405612.1	WP_205218692.1
OG0000676	WP_015405218.1	WP_205219061.1
OG0000677	WP_015404305.1	WP_205217919.1
OG0000678	WP_015404304.1	WP_205217920.1
OG0000679	WP_015405552.1	WP_205218924.1
OG0000680	WP_015404260.1	WP_205217962.1
OG0000681	WP_208598517.1	WP_205217948.1
OG0000682	WP_015404273.1	WP_205217949.1
OG0000684	WP_015403957.1	WP_205218432.1
OG0000685	WP_015404296.1	WP_205217925.1
OG0000686	WP_015404330.1	WP_205217901.1
OG0000687	WP_015404292.1	WP_205217930.1
OG0000688	WP_015404290.1	WP_205217932.1
OG0000689	WP_015404289.1	WP_205217933.1
OG0000690	WP_015403507.1	WP_205219394.1
OG0000691	WP_015404277.1	WP_205217945.1
OG0000692	WP_015403857.1	WP_205217519.1
OG0000693	WP_015403094.1	WP_205217532.1
OG0000694	WP_015404000.1	WP_240192014.1
OG0000695	WP_153304833.1	WP_205220187.1
OG0000696	WP_015403092.1	WP_205218821.1
OG0000697	WP_015403917.1	WP_205217482.1
OG0000698	WP_228130088.1	WP_205218917.1
OG0000699	WP_015405529.1	WP_205218967.1
OG0000700	WP_015404849.1	WP_205219191.1
OG0000701	WP_015404878.1	WP_205218997.1
OG0000702	WP_015402520.1	WP_205219051.1
OG0000703	WP_015403823.1	WP_205217726.1
OG0000704	WP_015405679.1	WP_205217636.1
OG0000705	WP_015405680.1	WP_205217635.1
OG0000706	WP_015405681.1	WP_205217634.1
OG0000707	WP_015405684.1	WP_205217631.1
OG0000708	WP_015405691.1	WP_205217624.1
OG0000709	WP_015405104.1	WP_205218732.1
OG0000710	WP_015405606.1	WP_240192073.1
OG0000711	WP_015403495.1	WP_205219390.1
OG0000712	WP_015405026.1	WP_205218133.1
OG0000713	WP_015404795.1	WP_205219117.1
OG0000714	WP_083907296.1	WP_205217749.1
OG0000715	WP_015404259.1	WP_205217963.1
OG0000716	WP_015404261.1	WP_205217961.1
OG0000717	WP_015404270.1	WP_205217952.1
OG0000718	WP_015404271.1	WP_205217951.1
OG0000719	WP_015404272.1	WP_205217950.1
OG0000720	WP_015404275.1	WP_205217947.1
OG0000721	WP_015404278.1	WP_205217944.1
OG0000722	WP_015404280.1	WP_240191960.1
OG0000723	WP_015404283.1	WP_205217939.1
OG0000724	WP_015404288.1	WP_205217934.1
OG0000725	WP_015404291.1	WP_205217931.1
OG0000726	WP_015404293.1	WP_205217929.1
OG0000727	WP_015404297.1	WP_205218008.1
OG0000728	WP_015404298.1	WP_205217924.1
OG0000729	WP_015404299.1	WP_240191959.1
OG0000730	WP_015404300.1	WP_205217923.1
OG0000731	WP_015404306.1	WP_205217918.1
OG0000732	WP_015404307.1	WP_205217917.1
OG0000733	WP_015404308.1	WP_205217916.1
OG0000734	WP_015402298.1	WP_205219096.1
OG0000735	WP_041916957.1	WP_205219189.1
OG0000736	WP_015402311.1	WP_205220122.1
OG0000737	WP_015402304.1	WP_205217796.1
OG0000738	WP_015402949.1	WP_205219331.1
OG0000739	WP_015405016.1	WP_205218143.1
OG0000740	WP_015404023.1	WP_275888967.1
OG0000741	WP_015403887.1	WP_205217496.1
OG0000742	WP_015404033.1	WP_205219631.1
OG0000743	WP_015404254.1	WP_205217968.1
OG0000744	WP_015404538.1	WP_205218674.1
OG0000745	WP_015405381.1	WP_205218152.1
OG0000746	WP_015405095.1	WP_205218726.1
OG0000747	WP_015404724.1	WP_205219812.1
OG0000748	WP_015404725.1	WP_205219814.1
OG0000749	WP_083907163.1	WP_205219618.1
OG0000750	WP_015403421.1	WP_205218595.1
OG0000751	WP_015403424.1	WP_240192028.1
OG0000752	WP_015402484.1	WP_205218564.1
OG0000753	WP_015404859.1	WP_205218989.1
OG0000754	WP_015403167.1	WP_205220236.1
OG0000755	WP_228130063.1	WP_205220237.1
OG0000756	WP_041916433.1	WP_205219133.1
OG0000757	WP_015404019.1	WP_205218455.1
OG0000758	WP_015403358.1	WP_240192022.1
OG0000759	WP_015402514.1	WP_205219052.1
OG0000760	WP_015402787.1	WP_205218807.1
OG0000761	WP_015403142.1	WP_205218558.1
OG0000762	WP_015402667.1	WP_205219620.1
OG0000763	WP_015402668.1	WP_205219621.1
OG0000764	WP_015403950.1	WP_205218425.1
OG0000766	WP_015403369.1	WP_205220395.1
OG0000767	WP_015402388.1	WP_205218656.1
OG0000768	WP_015405616.1	WP_205218690.1
OG0000769	WP_015404311.1	WP_275888946.1
OG0000770	WP_015404313.1	WP_205217913.1
OG0000771	WP_015404314.1	WP_205217912.1
OG0000772	WP_015404315.1	WP_205217911.1
OG0000773	WP_015404316.1	WP_205217910.1
OG0000774	WP_015404317.1	WP_205217909.1
OG0000775	WP_015403854.1	WP_240191916.1
OG0000776	WP_228130023.1	WP_205218177.1
OG0000777	WP_015405705.1	WP_205218176.1
OG0000779	WP_015404446.1	WP_205218735.1
OG0000780	WP_015405473.1	WP_205218094.1
OG0000781	WP_015404789.1	WP_205217743.1
OG0000782	WP_015403960.1	WP_205218434.1
OG0000783	WP_015405149.1	WP_205218487.1
OG0000784	WP_015402790.1	WP_205218810.1
OG0000785	WP_015402791.1	WP_205218811.1
OG0000787	WP_228130090.1	WP_205219764.1
OG0000788	WP_015404156.1	WP_205220268.1
OG0000789	WP_015405607.1	WP_205219178.1
OG0000790	WP_015403866.1	WP_205217512.1
OG0000791	WP_015402492.1, WP_015402610.1	WP_205218403.1
OG0000792	WP_015405605.1	WP_205219179.1
OG0000793	WP_015402327.1	WP_205220169.1
OG0000794	WP_015405108.1	WP_205218734.1
OG0000795	WP_015404416.1	WP_205218172.1
OG0000796	WP_015404737.1	WP_205219826.1
OG0000797	WP_015405151.1	WP_205219772.1
OG0000798	WP_015402907.1	WP_205218814.1
OG0000799	WP_015404376.1	WP_205219260.1
OG0000800	WP_015403515.1	WP_205219395.1
OG0000801	WP_015405649.1	WP_205217648.1
OG0000802	WP_015404812.1	WP_205220123.1
OG0000803	WP_041917156.1	WP_205217659.1
OG0000804	WP_015403522.1	WP_205219572.1
OG0000805	WP_015402755.1, WP_015404212.1, WP_015403131.1	WP_205217347.1
OG0000806	WP_015403359.1	WP_205218541.1
OG0000807	WP_167320747.1	WP_205219808.1
OG0000808	WP_015404329.1	WP_275888952.1
OG0000809	WP_015402465.1	WP_205219281.1
OG0000810	WP_015404753.1	WP_205218840.1
OG0000811	WP_015402464.1	WP_205219367.1
OG0000813	WP_015404469.1	WP_205219801.1
OG0000815	WP_015405140.1	WP_205219613.1
OG0000816	WP_015403361.1	WP_205218540.1
OG0000817	WP_015403376.1	WP_205218505.1
OG0000818	WP_015404964.1	WP_205219800.1
OG0000819	WP_015405097.1	WP_205218728.1
OG0000820	WP_015403336.1	WP_205219113.1
OG0000822	WP_015404166.1	WP_205217451.1
OG0000823	WP_015404169.1	WP_205217448.1
OG0000824	WP_015403078.1	WP_205218778.1
OG0000825	WP_015404545.1	WP_205218679.1
OG0000826	WP_015402880.1	WP_205219491.1
OG0000827	WP_015405545.1	WP_205218948.1
OG0000828	WP_015405544.1	WP_205218949.1
OG0000829	WP_015405543.1	WP_205218950.1
OG0000830	WP_015405542.1	WP_205218951.1
OG0000831	WP_041916459.1	WP_205218952.1
OG0000832	WP_015405540.1	WP_205218953.1
OG0000833	WP_015405766.1	WP_205217756.1
OG0000834	WP_015402351.1	WP_205217358.1
OG0000836	WP_015404810.1	WP_205220071.1
OG0000837	WP_015404726.1	WP_205219815.1
OG0000838	WP_015402709.1	WP_205219040.1
OG0000839	WP_015404717.1	WP_205219122.1
OG0000841	WP_015403390.1	WP_205218340.1
OG0000842	WP_015404877.1	WP_205218996.1
OG0000843	WP_015405018.1	WP_205218141.1
OG0000844	WP_015405555.1	WP_205218921.1
OG0000845	WP_015405554.1	WP_275888983.1
OG0000846	WP_015405551.1	WP_205218925.1
OG0000848	WP_015405029.1	WP_240191979.1
OG0000849	WP_015402337.1	WP_240191947.1
OG0000850	WP_015403211.1	WP_205217326.1
OG0000851	WP_015402964.1	WP_205219317.1
OG0000852	WP_015405742.1	WP_205217657.1
OG0000853	WP_015405748.1	WP_205217772.1
OG0000854	WP_015405223.1	WP_205218958.1
OG0000855	WP_015405751.1	WP_205217769.1
OG0000856	WP_015405221.1	WP_205218960.1
OG0000857	WP_015404548.1	WP_205218681.1
OG0000858	WP_015403860.1	WP_205217517.1
OG0000859	WP_015404144.1	WP_205219545.1
OG0000860	WP_015403955.1	WP_205218430.1
OG0000861	WP_015405741.1	WP_205217658.1
OG0000862	WP_015403992.1	WP_205218442.1
OG0000863	WP_015405347.1	WP_205220211.1
OG0000864	WP_015403880.1	WP_205217502.1
OG0000865	WP_015402957.1	WP_205219324.1
OG0000866	WP_015403430.1	WP_205219407.1
OG0000867	WP_015403911.1	WP_205217488.1
OG0000868	WP_015405602.1	WP_205219182.1
OG0000869	WP_015404276.1	WP_205217946.1
OG0000870	WP_167320732.1	WP_205217521.1
OG0000871	WP_015402299.1	WP_205217801.1
OG0000872	WP_153304786.1	WP_240191904.1
OG0000873	WP_015405609.1	WP_205219176.1
OG0000874	WP_041916421.1	WP_205220074.1
OG0000875	WP_015405746.1	WP_205217774.1
OG0000876	WP_015405346.1	WP_205220208.1
OG0000877	WP_167320708.1	WP_205219035.1
OG0000878	WP_015403349.1	WP_205220135.1
OG0000879	WP_015405036.1	WP_205218122.1
OG0000881	WP_015404074.1	WP_205220014.1
OG0000882	WP_015404351.1	WP_205219246.1
OG0000884	WP_015402908.1	WP_205218815.1
OG0000885	WP_015403060.1	WP_205217479.1
OG0000886	WP_015402656.1	WP_275889010.1
OG0000889	WP_015404003.1	WP_205218536.1
OG0000890	WP_015405391.1	WP_205218159.1
OG0000891	WP_041916368.1	WP_240192013.1
OG0000892	WP_265588656.1	WP_240191934.1
OG0000893	WP_015405685.1	WP_205217630.1
OG0000894	WP_015404989.1	WP_205218892.1
OG0000895	WP_015402954.1	WP_205219326.1
OG0000896	WP_015405732.1	WP_205217667.1
OG0000898	WP_015403096.1	WP_275888936.1
OG0000899	WP_208598530.1	WP_205219137.1
OG0000900	WP_015404360.1	WP_205219251.1
OG0000902	WP_015402382.1	WP_205219847.1
OG0000903	WP_015402383.1	WP_205219846.1
OG0000904	WP_015402389.1	WP_205218653.1
OG0000905	WP_015405378.1	WP_205218151.1
OG0000906	WP_015402711.1	WP_205219038.1
OG0000907	WP_015402730.1	WP_205218271.1, WP_205217453.1
OG0000909	WP_015403808.1	WP_205219473.1
OG0000911	WP_153304782.1, WP_015403276.1, WP_015403277.1	WP_205218602.1
OG0000913	WP_015405502.1, WP_015403521.1	WP_205217455.1
OG0000916	WP_015403614.1	WP_205217529.1
OG0000921	WP_015404062.1	WP_205218751.1
OG0000922	WP_015404076.1	WP_205220011.1
OG0000923	WP_015404106.1	WP_205219602.1
OG0000924	WP_015404218.1	WP_240192029.1
OG0000925	WP_167320729.1, WP_015404894.1, WP_015404577.1	WP_205219009.1
OG0000928	WP_015404804.1	WP_205220137.1
OG0000930	WP_015405107.1	WP_205218380.1
OG0000931	WP_015405170.1	WP_205220385.1, WP_205218075.1
OG0000935	WP_015405361.1	WP_205219071.1
OG0000937	WP_015405491.1	WP_205218286.1
OG0000939	WP_015405631.1	WP_205218901.1
OG0000940	WP_052326950.1	WP_205218831.1
OG0000941	WP_052326989.1	WP_205219442.1
OG0000943	WP_153304907.1	WP_205218074.1, WP_205220386.1
OG0000944	WP_265588652.1	WP_205218943.1
OG0000964	WP_015404814.1	WP_205220073.1
OG0000968	WP_015405021.1	WP_205218139.1
OG0000970	WP_015404174.1	WP_205217447.1
OG0000972	WP_015405054.1	WP_205218721.1
OG0000976	WP_153304895.1	WP_205220108.1
OG0000977	WP_015405209.1	WP_240191990.1
OG0000978	WP_015404281.1	WP_205217941.1
OG0000979	WP_015403935.1	WP_240192011.1
OG0000981	WP_015403367.1	WP_205218246.1
OG0000982	WP_015403370.1	WP_205217514.1
OG0000983	WP_015405627.1	WP_205218904.1
OG0000984	WP_015403398.1	WP_205218347.1
OG0000985	WP_153304930.1	WP_205217765.1
OG0000987	WP_015405138.1	WP_205219611.1
OG0000988	WP_015402737.1	WP_205217422.1
OG0000990	WP_015403362.1	WP_205218539.1
OG0000992	WP_015405695.1	WP_205217619.1
OG0000993	WP_015403233.1	WP_205217694.1
OG0000994	WP_015404303.1	WP_205217921.1
OG0000995	WP_015404294.1	WP_205217927.1
OG0000996	WP_015404090.1	WP_205219580.1
OG0000998	WP_015404890.1	WP_205219006.1
OG0000999	WP_015404871.1, WP_153304944.1	WP_240191974.1
OG0001000	WP_015404295.1	WP_205217926.1
OG0001001	WP_015403965.1	WP_205218631.1
OG0001002	WP_015402303.1	WP_205217797.1
OG0001003	WP_015404627.1	WP_205219272.1
OG0001004	WP_015402764.1	WP_205218801.1
OG0001005	WP_015402765.1	WP_205218802.1
OG0001006	WP_015403630.1	WP_205218607.1
OG0001008	WP_015404961.1	WP_205219798.1
OG0001009	WP_015404960.1	WP_205219797.1
OG0001010	WP_015402489.1	WP_205217410.1
OG0001011	WP_015402483.1	WP_205218109.1
OG0001012	WP_041916502.1	WP_205218851.1
OG0001013	WP_052326942.1	WP_205218845.1
OG0001015	WP_015404990.1	WP_205218893.1
OG0001016	WP_015404991.1	WP_205218894.1
OG0001018	WP_015402717.1	WP_205219034.1
OG0001019	WP_015404790.1	WP_205217744.1
OG0001020	WP_015402612.1	WP_205217316.1
OG0001022	WP_015404097.1	WP_205219577.1
OG0001023	WP_015403416.1	WP_205220189.1
OG0001024	WP_015404583.1	WP_205218063.1
OG0001026	WP_015405482.1	WP_205219199.1
OG0001027	WP_015404342.1	WP_205219238.1
OG0001028	WP_015404785.1	WP_205217739.1
OG0001029	WP_015405539.1	WP_205219136.1
OG0001031	WP_015404147.1	WP_205220262.1
OG0001033	WP_015405130.1	WP_205220280.1
OG0001034	WP_015403374.1	WP_205218507.1
OG0001035	WP_015403346.1	WP_205218545.1
OG0001036	WP_015403949.1	WP_205218424.1
OG0001039	WP_015405621.1	WP_205218908.1
OG0001041	WP_015404806.1	WP_205219647.1
OG0001043	WP_015403058.1	WP_205217477.1
OG0001044	WP_083907278.1	WP_205217954.1
OG0001045	WP_015404741.1	WP_205219830.1
OG0001046	WP_167320764.1	WP_205218915.1
OG0001048	WP_052327029.1	WP_205217646.1
OG0001050	WP_015402800.1	WP_205220040.1
OG0001051	WP_015404136.1	WP_205219548.1
OG0001052	WP_015402680.1	WP_205217782.1
OG0001053	WP_015404629.1	WP_205219767.1
OG0001055	WP_015403066.1	WP_205218790.1
OG0001056	WP_015405405.1	WP_205218713.1
OG0001057	WP_015403900.1	WP_240191907.1
OG0001058	WP_015404740.1	WP_205219829.1
OG0001063	WP_015404826.1	WP_205218344.1
OG0001065	WP_015404468.1	WP_205218067.1
OG0001066	WP_015405694.1	WP_205217620.1
OG0001067	WP_228130016.1	WP_240192064.1
OG0001068	WP_015405143.1	WP_240192112.1
OG0001070	WP_015402470.1	WP_205217344.1
OG0001073	WP_015402549.1	WP_205219270.1, WP_205217389.1
OG0001074	WP_015405057.1	WP_205217321.1
OG0001075	WP_015402659.1	WP_205218414.1
OG0001076	WP_015402666.1	WP_205219619.1
OG0001080	WP_015402899.1	WP_205218033.1
OG0001081	WP_015403050.1, WP_015405493.1	WP_205217896.1
OG0001082	WP_015403197.1	WP_205218761.1
OG0001083	WP_015403203.1	WP_205219467.1
OG0001084	WP_015403205.1	WP_205219466.1
OG0001085	WP_015403452.1	WP_205218232.1
OG0001086	WP_015403453.1	WP_205218233.1
OG0001088	WP_015403505.1	WP_205219393.1
OG0001089	WP_015403555.1	WP_205218824.1
OG0001090	WP_015403573.1	WP_205220222.1
OG0001092	WP_015403753.1	WP_205220084.1
OG0001093	WP_015403966.1	WP_205219209.1
OG0001094	WP_015404140.1	WP_205219667.1
OG0001095	WP_015404324.1	WP_205217903.1
OG0001096	WP_015405070.1, WP_015404332.1	WP_205217900.1
OG0001097	WP_015404393.1	WP_205219354.1
OG0001098	WP_015404428.1	WP_205218439.1
OG0001099	WP_015404509.1	WP_205220321.1
OG0001100	WP_015404712.1	WP_205219119.1
OG0001101	WP_015404794.1	WP_205217747.1
OG0001102	WP_015404831.1	WP_205220079.1
OG0001104	WP_015405022.1	WP_205218137.1
OG0001105	WP_015405112.1	WP_205218324.1
OG0001106	WP_015405113.1	WP_205218325.1
OG0001107	WP_015405147.1	WP_205219774.1
OG0001108	WP_015405167.1	WP_205218072.1
OG0001109	WP_015405168.1	WP_205218073.1
OG0001110	WP_015405171.1	WP_205218076.1
OG0001111	WP_015405194.1	WP_205220052.1
OG0001112	WP_015405252.1	WP_205219025.1
OG0001113	WP_015405271.1, WP_015405669.1	WP_205217643.1
OG0001115	WP_015405341.1	WP_205218647.1, WP_240192161.1
OG0001116	WP_015405443.1	WP_205218749.1
OG0001117	WP_015405447.1	WP_205218752.1
OG0001118	WP_015405526.1	WP_205219984.1
OG0001119	WP_015405622.1	WP_205218906.1
OG0001120	WP_015405744.1	WP_205217775.1
OG0001121	WP_041916456.1	WP_205218876.1
OG0001122	WP_041916785.1	WP_205218126.1
OG0001124	WP_228130020.1	WP_205218323.1
OG0001125	WP_228130028.1	WP_205219983.1
OG0001126	WP_228130033.1, WP_228130032.1	WP_205220194.1
OG0001127	WP_228130080.1	WP_205219194.1
OG0001143	WP_015402577.1	WP_205218381.1
OG0001145	WP_167320748.1	WP_205219811.1
OG0001148	WP_015403121.1	WP_205219310.1
OG0001150	WP_015404373.1	WP_205219258.1
OG0001152	WP_015405547.1	WP_205218946.1
OG0001153	WP_015402622.1	WP_205217308.1
OG0001154	WP_015403886.1	WP_240192097.1
OG0001155	WP_015405636.1	WP_205218651.1
OG0001157	WP_015402616.1	WP_205217590.1
OG0001159	WP_015402466.1	WP_205219280.1
OG0001161	WP_015404796.1	WP_205217748.1
OG0001163	WP_083907279.1	WP_205217928.1
OG0001164	WP_015405142.1	WP_205219342.1
OG0001165	WP_015402362.1	WP_205217655.1
OG0001166	WP_015404513.1	WP_205218669.1
OG0001167	WP_167320694.1	WP_205218642.1
OG0001168	WP_015402423.1	WP_205218850.1
OG0001169	WP_015402417.1	WP_205218846.1
OG0001171	WP_015402630.1	WP_205217298.1
OG0001172	WP_228130030.1	WP_205217310.1
OG0001173	WP_015402619.1	WP_205217311.1
OG0001174	WP_015402632.1	WP_205217296.1
OG0001175	WP_015404151.1	WP_240192166.1
OG0001179	WP_015402373.1	WP_205218693.1
OG0001182	WP_015403519.1	WP_205219128.1
OG0001183	WP_167320739.1	WP_205218555.1, WP_205219551.1
OG0001184	WP_015404058.1, WP_015404057.1	WP_205218460.1
OG0001185	WP_015402398.1	WP_240192105.1
OG0001185	WP_015402400.1	WP_205219480.1
OG0001185	WP_015402614.1	WP_205218928.1
OG0001188	WP_015404159.1	WP_205220271.1
OG0001189	WP_015402678.1	WP_205217785.1
OG0001192	WP_015405571.1	WP_205218397.1
OG0001194	WP_041916847.1	WP_205220267.1
OG0001195	WP_167320742.1	WP_205217682.1
OG0001196	WP_015404987.1	WP_205218887.1
OG0001197	WP_015402302.1	WP_205217798.1
OG0001198	WP_015402329.1	WP_205217818.1
OG0001200	WP_015402380.1	WP_205219849.1
OG0001202	WP_015402523.1	WP_205219047.1
OG0001203	WP_015402569.1	WP_205217393.1
OG0001204	WP_015402635.1	WP_240192133.1
OG0001205	WP_015402636.1	WP_205219792.1
OG0001206	WP_015402660.1	WP_205218412.1
OG0001207	WP_015402661.1	WP_240192010.1
OG0001209	WP_015402781.1	WP_205217566.1
OG0001210	WP_015403728.1	WP_205218020.1
OG0001214	WP_015402862.1, WP_015402871.1	WP_205218599.1
OG0001216	WP_015404868.1, WP_015402902.1	WP_205218030.1
OG0001217	WP_015402924.1	WP_205218248.1
OG0001218	WP_041916470.1, WP_015403005.1	WP_205219508.1
OG0001219	WP_015403044.1	WP_205218068.1
OG0001220	WP_015403073.1	WP_205218783.1
OG0001221	WP_015403077.1	WP_205218779.1
OG0001226	WP_015403178.1, WP_015403646.1	WP_205219343.1
OG0001228	WP_015403737.1	WP_205220154.1
OG0001230	WP_015403373.1	WP_205218508.1
OG0001232	WP_015403506.1	WP_240192095.1
OG0001233	WP_015403549.1	WP_205219763.1
OG0001235	WP_015403602.1, WP_015404027.1	WP_205220215.1, WP_205220047.1
OG0001238	WP_015403638.1	WP_205217329.1
OG0001239	WP_015403722.1	WP_205218179.1
OG0001240	WP_015403774.1	WP_205217716.1
OG0001241	WP_015403818.1	WP_205217456.1
OG0001242	WP_015403867.1	WP_205217511.1
OG0001243	WP_015403884.1	WP_205217498.1
OG0001244	WP_015403893.1	WP_205217493.1
OG0001245	WP_015403912.1	WP_205217487.1
OG0001246	WP_015403951.1	WP_205218426.1
OG0001247	WP_015403971.1	WP_205217403.1
OG0001248	WP_015404010.1	WP_205218450.1
OG0001249	WP_015404079.1	WP_205220007.1
OG0001250	WP_015404185.1	WP_205218470.1
OG0001251	WP_015404188.1	WP_205218472.1
OG0001252	WP_015404350.1	WP_205219245.1
OG0001253	WP_015404353.1	WP_205219247.1
OG0001254	WP_015404357.1	WP_205219250.1
OG0001256	WP_015404430.1	WP_205218742.1
OG0001257	WP_015404435.1	WP_205218738.1
OG0001258	WP_015404476.1	WP_205219805.1
OG0001259	WP_015404477.1	WP_205219806.1
OG0001260	WP_015404512.1	WP_205219771.1
OG0001261	WP_015404532.1	WP_205218671.1
OG0001262	WP_015404543.1	WP_205220033.1
OG0001263	WP_015404564.1	WP_205219749.1
OG0001264	WP_015404628.1	WP_275888999.1
OG0001265	WP_015404683.1	WP_205217336.1
OG0001266	WP_015404731.1	WP_205219820.1
OG0001267	WP_015404755.1	WP_205218239.1, WP_205218238.1, WP_205218021.1
OG0001269	WP_015404954.1	WP_205219757.1
OG0001270	WP_015405462.1, WP_015404970.1	WP_275888994.1
OG0001271	WP_015405038.1	WP_205218119.1
OG0001272	WP_015405050.1	WP_205218078.1
OG0001273	WP_015405065.1	WP_205219430.1
OG0001274	WP_015405102.1	WP_205219714.1
OG0001275	WP_015405144.1	WP_205218955.1
OG0001276	WP_015405165.1	WP_205219744.1
OG0001277	WP_015405166.1	WP_205219745.1
OG0001278	WP_015405173.1	WP_205219739.1
OG0001279	WP_015405174.1	WP_275889009.1
OG0001281	WP_015405196.1	WP_205220050.1
OG0001282	WP_015405197.1	WP_240192149.1
OG0001283	WP_015405206.1	WP_205218145.1
OG0001291	WP_015405344.1	WP_205219337.1
OG0001292	WP_015405345.1	WP_205220207.1
OG0001293	WP_015405348.1	WP_205220212.1
OG0001294	WP_015405377.1	WP_205218150.1
OG0001295	WP_015405445.1	WP_205218750.1
OG0001298	WP_015405553.1	WP_205218923.1
OG0001300	WP_015405639.1, WP_228130004.1	WP_205219583.1
OG0001301	WP_015405765.1	WP_205217757.1
OG0001303	WP_041916463.1	WP_205218912.1
OG0001304	WP_052326940.1	WP_205218657.1
OG0001305	WP_083907266.1	WP_205219550.1
OG0001306	WP_153304929.1	WP_205217773.1
OG0001308	WP_167320735.1	WP_205218427.1
OG0001309	WP_208598477.1	WP_205218154.1
OG0001310	WP_228130019.1	WP_205218116.1
OG0001332	WP_052326998.1	WP_205218173.1
OG0001334	WP_041916672.1	WP_205218066.1
OG0001338	WP_015404706.1, WP_015404240.1	WP_205219187.1
OG0001339	WP_015405648.1	WP_275888943.1
OG0001340	WP_015404407.1	WP_205219265.1
OG0001341	WP_015405635.1	WP_205218652.1
OG0001344	WP_015403859.1	WP_205217518.1
OG0001345	WP_208598465.1	WP_205219300.1
OG0001346	WP_015404661.1, WP_015404552.1	WP_205218705.1
OG0001347	WP_015404452.1	WP_275888977.1
OG0001348	WP_015402882.1	WP_240192042.1
OG0001350	WP_015403070.1	WP_240192040.1
OG0001351	WP_015403069.1	WP_205218787.1
OG0001353	WP_015402407.1	WP_205218857.1
OG0001354	WP_015402411.1	WP_205218852.1
OG0001355	WP_015405106.1	WP_205218733.1
OG0001359	WP_015402631.1	WP_205217297.1
OG0001361	WP_015404784.1	WP_205217738.1
OG0001362	WP_015404426.1	WP_240191949.1
OG0001363	WP_153304920.1	WP_205218911.1
OG0001364	WP_015404470.1	WP_205219802.1
OG0001365	WP_015402601.1	WP_205218862.1
OG0001367	WP_015403355.1	WP_205218543.1
OG0001370	WP_015403338.1	WP_205219115.1
OG0001371	WP_015402611.1	WP_205217317.1
OG0001374	WP_015402596.1	WP_205218861.1
OG0001378	WP_015405390.1	WP_240191981.1
OG0001379	WP_015403068.1	WP_205218788.1
OG0001385	WP_015402409.1	WP_205218858.1
OG0001387	WP_015402510.1	WP_205217692.1
OG0001389	WP_015404135.1	WP_240192109.1
OG0001390	WP_015404729.1	WP_205219818.1
OG0001391	WP_015403664.1	WP_205217592.1
OG0001394	WP_015402293.1	WP_205219100.1
OG0001395	WP_015402310.1	WP_205219653.1
OG0001397	WP_015402330.1	WP_205217754.1
OG0001399	WP_041916246.1, WP_015402347.1	WP_205217809.1
OG0001400	WP_015402356.1, WP_015402357.1	WP_205218046.1
OG0001401	WP_015402363.1	WP_205217654.1
OG0001403	WP_015402522.1	WP_205219048.1
