Orthogroup	Desulfovibrio vulgaris DP4	Desulfocapsa_13_biocide
OG0000639	WP_043629256.1	Utg859982_5
OG0000640	WP_010937959.1	Utg860006_133
OG0000641	WP_010938000.1	Utg858432_119
OG0000642	WP_011793050.1	Utg857046_24
OG0000643	WP_010938865.1	Utg857994_157
OG0000644	WP_011792392.1	Utg857152_22
OG0000645	WP_011792997.1	Utg857046_27
OG0000646	WP_011791805.1	Utg858432_47
OG0000647	WP_010939773.1	Utg858432_46
OG0000648	WP_010939777.1	Utg858432_43
OG0000649	WP_010938866.1	Utg857994_158
OG0000650	WP_011792870.1	Utg857992_20
OG0000651	WP_011792873.1	Utg859098_261
OG0000652	WP_010938643.1	Utg859388_12
OG0000653	WP_043629518.1	Utg859098_160
OG0000654	WP_011792650.1	Utg859750_12, Utg859750_13
OG0000655	WP_011792855.1	Utg857490_21
OG0000656	WP_010937817.1	Utg860814_287
OG0000657	WP_010937816.1	Utg860814_288
OG0000658	WP_011792851.1	Utg860814_293
OG0000659	WP_181409373.1	Utg860814_294
OG0000660	WP_010939789.1	Utg862138_23
OG0000661	WP_010939788.1	Utg862138_24
OG0000662	WP_011792821.1	Utg859236_80
OG0000664	WP_223294688.1	Utg860006_55
OG0000665	WP_010938035.1	Utg859750_18
OG0000667	WP_010939263.1	Utg857300_3
OG0000670	WP_011791970.1	Utg858432_31
OG0000671	WP_010938507.1	Utg860006_65
OG0000672	WP_011791432.1	Utg857152_41
OG0000673	WP_010938823.1	Utg859982_38
OG0000674	WP_011791534.1	Utg859236_45
OG0000675	WP_011791332.1	Utg858432_131
OG0000676	WP_010938875.1	Utg859098_162
OG0000677	WP_010938622.1	Utg858494_106
OG0000678	WP_010938621.1	Utg858494_107
OG0000679	WP_010938140.1	Utg866558_16
OG0000680	WP_010938494.1	Utg857490_9
OG0000681	WP_010940187.1	Utg858494_138
OG0000682	WP_043629159.1	Utg858494_139
OG0000683	WP_010939599.1	Utg860006_24
OG0000684	WP_010938075.1	Utg857152_110
OG0000685	WP_010938614.1	Utg858494_115
OG0000686	WP_010938890.1	Utg858494_58
OG0000687	WP_010938609.1	Utg858494_119
OG0000688	WP_010938607.1	Utg858494_121
OG0000689	WP_010938606.1	Utg858494_122
OG0000690	WP_010938747.1	Utg857300_51
OG0000691	WP_010938593.1	Utg858494_135
OG0000692	WP_049758104.1	Utg857152_13
OG0000693	WP_011791337.1	Utg857682_77
OG0000694	WP_011792542.1	Utg857046_223
OG0000695	WP_011791336.1	Utg861744_138
OG0000696	WP_011791441.1	Utg857682_78
OG0000697	WP_011791481.1	Utg857152_72
OG0000698	WP_010938134.1	Utg866558_23
OG0000699	WP_011792683.1	Utg857992_14
OG0000700	WP_011792217.1	Utg857994_23
OG0000701	WP_011792484.1	Utg859982_145
OG0000702	WP_011792477.1	Utg863716_85
OG0000704	WP_010939769.1	Utg858432_50
OG0000705	WP_010939770.1	Utg858432_49
OG0000706	WP_223294677.1	Utg858432_48
OG0000707	WP_011791804.1	Utg858432_45
OG0000708	WP_010939783.1	Utg858432_38
OG0000709	WP_043629306.1	Utg859098_244
OG0000710	WP_011791775.1	Utg858432_137
OG0000711	WP_010938129.1	Utg857300_58
OG0000712	WP_010938228.1	Utg859098_194
OG0000713	WP_010938499.1	Utg859388_72
OG0000714	WP_011792505.1	Utg859388_74
OG0000715	WP_010938495.1	Utg857490_10
OG0000716	WP_010938493.1	Utg857490_8
OG0000717	WP_010940183.1	Utg858494_142
OG0000718	WP_010940184.1	Utg858494_141
OG0000719	WP_010940185.1	Utg858494_140
OG0000720	WP_011791613.1	Utg858494_137
OG0000721	WP_010938594.1	Utg858494_134
OG0000722	WP_010938597.1	Utg858494_130
OG0000723	WP_011792455.1	Utg858494_128
OG0000724	WP_010938605.1	Utg858494_123
OG0000725	WP_010938608.1	Utg858494_120
OG0000726	WP_010938610.1	Utg858494_118
OG0000727	WP_010938615.1	Utg858494_114
OG0000728	WP_010938616.1	Utg858494_113
OG0000729	WP_010938617.1	Utg858494_112
OG0000730	WP_010938618.1	Utg858494_111
OG0000731	WP_010938623.1	Utg858494_105
OG0000732	WP_010938624.1	Utg858494_104
OG0000733	WP_010938625.1	Utg858494_103
OG0000734	WP_011791926.1	Utg860814_296
OG0000735	WP_011791344.1	Utg857994_165
OG0000736	WP_011791987.1	Utg860814_280
OG0000737	WP_011792849.1	Utg860814_290
OG0000738	WP_010938947.1	Utg859432_37
OG0000739	WP_011792507.1	Utg859098_184
OG0000740	WP_010940646.1	Utg857046_195
OG0000741	WP_010939720.1	Utg857152_47
OG0000742	WP_014524672.1	Utg857046_188
OG0000743	WP_010937757.1	Utg857490_15
OG0000744	WP_010940500.1	Utg860006_53
OG0000745	WP_011792461.1	Utg859388_139
OG0000746	WP_043629470.1	Utg859098_235
OG0000747	WP_049758073.1	Utg857994_151
OG0000748	WP_010940172.1	Utg857994_150
OG0000749	WP_011792699.1	Utg857152_184
OG0000750	WP_043629133.1	Utg861744_131
OG0000751	WP_010937633.1	Utg861744_128
OG0000752	WP_010938673.1	Utg863716_108
OG0000753	WP_011792330.1	Utg859982_134
OG0000754	WP_010938914.1	Utg865370_30
OG0000755	WP_011792317.1	Utg865370_29
OG0000756	WP_011792702.1	Utg859098_377
OG0000757	WP_010937395.1	Utg857046_201
OG0000758	WP_014524181.1	Utg861744_34
OG0000759	WP_011792877.1	Utg863716_91
OG0000760	WP_010940408.1	Utg864866_56
OG0000761	WP_010938200.1	Utg865370_36
OG0000762	WP_011792572.1	Utg857152_182
OG0000763	WP_010938389.1	Utg857152_181
OG0000764	WP_011792535.1	Utg857152_103
OG0000765	WP_010937393.1	Utg857994_216
OG0000766	WP_010939096.1	Utg861744_46
OG0000767	WP_081428877.1	Utg860814_97
OG0000768	WP_010937363.1	Utg858432_125
OG0000769	WP_010938172.1	Utg858494_100
OG0000770	WP_011792660.1	Utg858494_98
OG0000771	WP_011792661.1	Utg858494_97
OG0000772	WP_010938167.1	Utg858494_95
OG0000773	WP_011792663.1	Utg858494_94
OG0000774	WP_011792664.1	Utg858494_93
OG0000775	WP_011791908.1	Utg857152_8
OG0000776	WP_011791910.1	Utg858432_16
OG0000777	WP_010939641.1	Utg858432_17
OG0000778	WP_010939500.1	Utg859076_36
OG0000779	WP_011792378.1	Utg859236_39
OG0000780	WP_011792658.1	Utg857994_34
OG0000782	WP_011792254.1	Utg857152_113
OG0000783	WP_010939719.1	Utg859098_319
OG0000784	WP_010938343.1	Utg864866_53
OG0000785	WP_010938342.1	Utg864866_52
OG0000787	WP_011791423.1	Utg858432_7
OG0000789	WP_011792483.1	Utg858432_136
OG0000790	WP_011791446.1	Utg857152_24
OG0000792	WP_011791774.1	Utg858432_138
OG0000793	WP_011792862.1	Utg860814_257
OG0000794	WP_011791622.1	Utg859098_248
OG0000795	WP_011791453.1	Utg859236_57
OG0000796	WP_011792441.1	Utg859388_11
OG0000797	WP_043629431.1	Utg859098_321
OG0000798	WP_011792740.1	Utg864866_5
OG0000799	WP_011791345.1	Utg859236_84
OG0000800	WP_010937472.1	Utg857300_48
OG0000801	WP_043629175.1	Utg858432_94
OG0000802	WP_010940307.1	Utg859982_39
OG0000803	WP_011791590.1	Utg862138_37
OG0000804	WP_010937892.1	Utg857046_156, Utg857300_38
OG0000806	WP_011791474.1	Utg861744_35
OG0000807	WP_010938864.1	Utg857994_156
OG0000808	WP_010938952.1	Utg858494_59
OG0000809	WP_011792736.1	Utg859076_29
OG0000811	WP_010939094.1	Utg859076_28
OG0000813	WP_011792341.1	Utg859236_28
OG0000814	WP_011793113.1	Utg860814_27, Utg860814_28
OG0000815	WP_011791424.1	Utg859098_270
OG0000816	WP_011791479.1	Utg861744_39
OG0000817	WP_011791536.1	Utg861744_55
OG0000818	WP_011792705.1	Utg859982_206
OG0000819	WP_010940202.1	Utg859098_237
OG0000821	WP_010939675.1	Utg857076_59
OG0000822	WP_010938089.1	Utg857490_29
OG0000823	WP_010938086.1	Utg857490_26
OG0000825	WP_011792161.1	Utg860006_60
OG0000827	WP_011791788.1	Utg857992_34
OG0000828	WP_010939804.1	Utg857992_33
OG0000829	WP_010939805.1	Utg857992_32
OG0000830	WP_010939806.1	Utg857992_31
OG0000831	WP_010939807.1	Utg857992_30
OG0000832	WP_010939808.1	Utg857992_29
OG0000834	WP_011792463.1	Utg860814_211
OG0000835	WP_010939342.1	Utg861744_136
OG0000836	WP_010938824.1	Utg859982_37
OG0000837	WP_010940174.1	Utg857994_149
OG0000838	WP_011792377.1	Utg859750_78
OG0000839	WP_011792343.1	Utg857994_159
OG0000840	WP_011791360.1	Utg860006_92
OG0000841	WP_010938881.1	Utg861744_104
OG0000842	WP_011792613.1	Utg859982_143
OG0000843	WP_010938257.1	Utg859098_186
OG0000844	WP_010938137.1	Utg866558_19
OG0000845	WP_010938138.1	Utg866558_18
OG0000846	WP_011792681.1	Utg866558_15
OG0000847	WP_011792495.1	Utg857046_199, Utg857046_200
OG0000848	WP_011792139.1	Utg859098_198
OG0000849	WP_010937833.1	Utg860814_241
OG0000850	WP_010938922.1	Utg865370_6
OG0000851	WP_010938919.1	Utg859432_52
OG0000852	WP_011792704.1	Utg862138_31
OG0000853	WP_011792566.1	Utg862138_25
OG0000854	WP_010937424.1	Utg859098_156
OG0000855	WP_010937798.1	Utg862138_22
OG0000856	WP_011792247.1	Utg859098_158
OG0000858	WP_010939912.1	Utg857152_16
OG0000860	WP_010938077.1	Utg857152_108
OG0000861	WP_010938546.1	Utg862138_32
OG0000862	WP_011792201.1	Utg857046_249
OG0000863	WP_081428900.1	Utg858498_11
OG0000864	WP_011791790.1	Utg857152_40
OG0000865	WP_010938393.1	Utg859432_45
OG0000866	WP_011792165.1	Utg861744_123
OG0000867	WP_011791469.1	Utg857152_66
OG0000869	WP_010940189.1	Utg858494_136
OG0000870	WP_011792158.1	Utg857152_7
OG0000871	WP_010937809.1	Utg860814_295
OG0000872	WP_010939147.1	Utg859076_32
OG0000873	WP_011792149.1	Utg858432_134
OG0000874	WP_010938672.1	Utg859982_42
OG0000875	WP_010940499.1	Utg862138_27
OG0000876	WP_010938699.1	Utg858498_10
OG0000877	WP_010939186.1	Utg859750_69
OG0000878	WP_011792977.1	Utg861744_25
OG0000879	WP_258312757.1	Utg859098_208
OG0000881	WP_010939506.1	Utg857046_136
OG0000882	WP_010938252.1	Utg857076_30
OG0000883	WP_011791339.1	Utg857076_22
OG0000884	WP_010939107.1	Utg864866_4
OG0000886	WP_011791527.1	Utg857152_198
OG0000887	WP_011793162.1, WP_011792895.1	Utg857682_127
OG0000888	WP_010937584.1, WP_011176621.1	Utg860814_18
OG0000889	WP_010938879.1	Utg857046_218
OG0000890	WP_011791978.1	Utg859388_129
OG0000891	WP_014524309.1	Utg857046_227
OG0000892	WP_011791971.1	Utg858432_33, Utg858432_32
OG0000893	WP_010939776.1	Utg858432_44
OG0000894	WP_011792451.1	Utg857300_13
OG0000895	WP_011792181.1	Utg859432_42
OG0000896	WP_011791906.1	Utg862138_41
OG0000897	WP_010939676.1	Utg857076_60
OG0000898	WP_011792843.1	Utg857682_75
OG0000899	WP_011791448.1	Utg857992_27
OG0000900	WP_010938197.1	Utg857076_21
OG0000902	WP_010939236.1	Utg860814_108
OG0000903	WP_011792142.1	Utg860814_106
OG0000904	WP_010939849.1	Utg860814_95
OG0000906	WP_011792375.1	Utg859750_75, Utg859750_76
OG0000907	WP_010940042.1	Utg859750_22
OG0000909	WP_010938537.1	Utg857682_174, Utg859982_46
OG0000910	WP_011793179.1	Utg865370_34
OG0000912	WP_011793160.1	Utg857152_122, Utg857152_121
OG0000913	WP_011792729.1	Utg857076_64
OG0000915	WP_011792400.1	Utg857300_28
OG0000917	WP_011792886.1	Utg857152_100
OG0000922	WP_010939520.1	Utg857046_134
OG0000923	WP_010937348.1	Utg857046_22
OG0000924	WP_223294698.1	Utg857994_207, Utg857994_213
OG0000928	WP_011792891.1	Utg859388_85
OG0000929	WP_010939086.1	Utg857994_22, Utg857994_21
OG0000931	WP_011791399.1	Utg859098_329
OG0000932	WP_011792842.1	Utg857046_234, Utg859098_126
OG0000933	WP_011792845.1	Utg859098_74, Utg859098_75, Utg859076_46
OG0000934	WP_011792666.1	Utg859076_51, Utg859098_66, Utg859098_67
OG0000935	WP_010938927.1	Utg859388_184, Utg858498_24
OG0000936	WP_010938888.1	Utg859982_80
OG0000937	WP_011791842.1	Utg857994_136
OG0000938	WP_011792162.1	Utg859388_174
OG0000939	WP_011791844.1	Utg858432_107
OG0000940	WP_011792354.1	Utg857076_11
OG0000941	WP_223294582.1	Utg857490_16
OG0000943	WP_011792636.1	Utg859098_328
OG0000944	WP_011793146.1	Utg858432_128
OG0000944	WP_011787409.1	Utg861448_35
OG0000946	WP_011792382.1	Utg864866_90
OG0000946	WP_223294697.1	Utg858494_6
OG0000951	WP_010940476.1	Utg859982_106
OG0000952	WP_010940285.1, WP_011791833.1	Utg857682_53
OG0000954	WP_010937682.1	Utg858432_121, Utg858432_120
OG0000955	WP_010940356.1	Utg863716_21, Utg859388_38
OG0000956	WP_011792474.1	Utg857992_41
OG0000962	WP_010938550.1	Utg859388_132
OG0000963	WP_010938079.1	Utg857152_106
OG0000964	WP_011791593.1	Utg859982_41
OG0000966	WP_011792905.1	Utg857076_3, Utg859236_131
OG0000967	WP_010939606.1	Utg857994_90
OG0000968	WP_010938255.1	Utg859098_189
OG0000971	WP_010938395.1	Utg859432_47
OG0000972	WP_010937628.1	Utg859098_228
OG0000974	WP_081428990.1	Utg866558_24
OG0000976	WP_011792778.1	Utg860006_128
OG0000980	WP_011792367.1	Utg857992_22
OG0000981	WP_011791340.1	Utg861744_44
OG0000983	WP_010940191.1	Utg858432_111
OG0000985	WP_011791955.1	Utg862138_15
OG0000986	WP_011792967.1	Utg858432_104
OG0000987	WP_010938679.1	Utg859098_268
OG0000988	WP_011792649.1	Utg859750_14
OG0000989	WP_010939182.1	Utg859098_265
OG0000990	WP_011791537.1	Utg861744_40
OG0000991	WP_010938900.1	Utg859432_40
OG0000992	WP_011791972.1	Utg858432_34
OG0000994	WP_010938620.1	Utg858494_108
OG0000995	WP_010938612.1	Utg858494_117
OG0000996	WP_010937452.1	Utg857046_68
OG0000998	WP_011792690.1	Utg859982_156
OG0000999	WP_011793046.1	Utg857152_210
OG0001000	WP_010938613.1	Utg858494_116
OG0001001	WP_043629039.1	Utg857152_125
OG0001003	WP_010939733.1	Utg860006_165
OG0001004	WP_011792332.1	Utg864866_85
OG0001005	WP_010938892.1	Utg864866_84
OG0001006	WP_010939262.1	Utg857300_4
OG0001007	WP_010939214.1	Utg858432_135
OG0001008	WP_011792606.1	Utg859982_204
OG0001009	WP_010940563.1	Utg859982_203
OG0001014	WP_010940203.1	Utg858432_10
OG0001017	WP_011793104.1	Utg859388_91
OG0001018	WP_010939185.1	Utg859750_68
OG0001020	WP_011787310.1	Utg861744_59
OG0001022	WP_011792252.1	Utg857046_31
OG0001023	WP_011792196.1	Utg861744_135
OG0001024	WP_010939119.1	Utg860006_134
OG0001029	WP_010940458.1	Utg857992_28
OG0001030	WP_011791335.1	Utg861744_137
OG0001033	WP_011792872.1	Utg859098_260
OG0001034	WP_010939171.1	Utg861744_53
OG0001035	WP_010938110.1	Utg861744_22
OG0001038	WP_010938913.1	Utg857300_56
OG0001039	WP_010940375.1	Utg858432_117
OG0001040	WP_011792665.1	Utg858494_92
OG0001045	WP_011792372.1	Utg859388_15
OG0001046	WP_011792338.1	Utg866558_26
OG0001047	WP_011792791.1	Utg865370_4
OG0001048	WP_010939514.1	Utg858432_90
OG0001049	WP_010938069.1	Utg859236_98
OG0001053	WP_011792885.1	Utg857994_209
OG0001054	WP_011792948.1	Utg858432_21
OG0001056	WP_010938831.1	Utg859098_437, Utg858498_1
OG0001058	WP_010938868.1	Utg859388_14
OG0001059	WP_010939072.1	Utg857682_92
OG0001060	WP_010938821.1	Utg861448_4
OG0001063	WP_011791498.1	Utg859982_72
OG0001065	WP_011791629.1	Utg859236_30, Utg859236_29
OG0001066	WP_010939530.1	Utg858432_35
OG0001067	WP_011792243.1	Utg859982_135, Utg859982_136
OG0001068	WP_043629168.1	Utg859098_273
OG0001070	WP_010939146.1	Utg859076_33
OG0001071	WP_011791395.1	Utg860814_250, Utg860814_268, Utg860814_269
OG0001072	WP_010939581.1	Utg860814_262
OG0001075	WP_010939385.1	Utg859098_419
OG0001076	WP_011792646.1	Utg857152_183
OG0001080	WP_010937870.1	Utg857152_222
OG0001082	WP_011791611.1	Utg863716_40
OG0001083	WP_011792557.1	Utg865370_14
OG0001084	WP_011792558.1	Utg865370_12
OG0001085	WP_011792257.1	Utg864866_113
OG0001088	WP_011792380.1	Utg857300_53
OG0001089	WP_043629731.1	Utg860006_113
OG0001091	WP_010938477.1	Utg857076_49, Utg857300_21
OG0001093	WP_011793176.1	Utg857046_261
OG0001094	WP_011792090.1	Utg857994_67
OG0001096	WP_010937763.1	Utg858494_56
OG0001098	WP_011791374.1, WP_011792631.1	Utg859098_10
OG0001100	WP_011791602.1	Utg857994_163
OG0001101	WP_010938871.1	Utg859388_71
OG0001102	WP_010939814.1	Utg859982_77
OG0001104	WP_011792513.1	Utg859098_190
OG0001105	WP_011792143.1	Utg859098_253
OG0001106	WP_010939231.1	Utg859098_254
OG0001108	WP_011791983.1	Utg859098_326
OG0001109	WP_011792694.1	Utg859098_327
OG0001110	WP_010938306.1	Utg859098_330
OG0001111	WP_010940360.1	Utg859098_353
OG0001112	WP_010937840.1	Utg857046_155, Utg857046_233, Utg859098_125
OG0001113	WP_010940284.1	Utg858432_78
OG0001114	WP_011793169.1	Utg859098_97
OG0001115	WP_011792562.1	Utg858498_5
OG0001116	WP_223294612.1	Utg859982_18
OG0001117	WP_011793095.1	Utg859982_15
OG0001118	WP_010938324.1	Utg857992_11
OG0001120	WP_011791315.1	Utg862138_29
OG0001121	WP_043629650.1	Utg861448_2
OG0001122	WP_223294614.1	Utg857046_148
OG0001124	WP_010939233.1	Utg859098_252
OG0001127	WP_011791607.1	Utg857994_16, Utg857682_169
OG0001132	WP_010939281.1	Utg858494_7
OG0001134	WP_011791389.1, WP_011791996.1	Utg861744_97
OG0001136	WP_011791366.1	Utg857994_83, Utg857994_84
OG0001142	WP_010939535.1	Utg858432_30
OG0001144	WP_010939197.1	Utg864866_58
OG0001150	WP_010938957.1	Utg859236_99
OG0001152	WP_011791789.1	Utg857992_36
OG0001153	WP_011787307.1	Utg861744_68
OG0001154	WP_010937910.1	Utg857152_46
OG0001155	WP_011791562.1	Utg859098_278
OG0001157	WP_011176593.1	Utg861744_62
OG0001158	WP_011791493.1	Utg857152_140
OG0001160	WP_043629368.1	Utg859750_16
OG0001164	WP_010938296.1	Utg859098_272
OG0001171	WP_011787306.1	Utg861744_94
OG0001172	WP_011787308.1	Utg861744_66
OG0001173	WP_011787309.1	Utg861744_65
OG0001174	WP_011787304.1	Utg861744_96
OG0001178	WP_010940487.1	Utg859098_86
OG0001180	WP_010938205.1	Utg857682_67, Utg861744_89
OG0001181	WP_011792642.1	Utg857682_68, Utg861744_88
OG0001195	WP_223294667.1	Utg862138_54
OG0001197	WP_011792850.1	Utg860814_292
OG0001198	WP_011791925.1	Utg860814_255
OG0001199	WP_011791416.1	Utg860814_226
OG0001200	WP_010938903.1	Utg860814_110
OG0001202	WP_010938583.1, WP_010937996.1	Utg863716_82
OG0001203	WP_011791984.1	Utg863716_48
OG0001206	WP_011792081.1	Utg859098_422
OG0001207	WP_010939380.1	Utg859098_421
OG0001208	WP_011792398.1, WP_011792695.1	Utg859750_84
OG0001209	WP_010938959.1	Utg864866_66
OG0001212	WP_011792904.1	Utg863716_133, Utg857076_2, Utg859236_130
OG0001213	WP_011792903.1	Utg863716_132, Utg857076_1, Utg859236_129
OG0001215	WP_223294587.1	Utg864866_15
OG0001216	WP_011793044.1	Utg857152_219
OG0001223	WP_043629194.1	Utg857682_168, Utg857682_76
OG0001230	WP_011791831.1	Utg861744_52
OG0001232	WP_010938748.1	Utg857300_52
OG0001233	WP_011792786.1	Utg860006_75
OG0001236	WP_010938476.1	Utg857076_53, Utg857300_20
OG0001237	WP_223294583.1	Utg857076_52, Utg857300_17
OG0001242	WP_011792112.1	Utg857152_25
OG0001243	WP_010937711.1	Utg857152_44
OG0001244	WP_010938666.1	Utg857152_55
OG0001245	WP_011792632.1	Utg857152_67
OG0001246	WP_011792709.1	Utg857152_104
OG0001247	WP_011791848.1	Utg857046_254
OG0001248	WP_010938481.1	Utg857046_211
OG0001252	WP_010939940.1	Utg857076_31
OG0001253	WP_011792403.1	Utg857076_28
OG0001254	WP_010939643.1	Utg857076_24
OG0001256	WP_010938142.1	Utg859236_47
OG0001257	WP_010937806.1	Utg859236_42
OG0001258	WP_010938576.1	Utg859236_19
OG0001259	WP_010938577.1	Utg859236_18
OG0001260	WP_010938590.1	Utg860006_26
OG0001261	WP_011791573.1	Utg860006_46, Utg860006_47
OG0001262	WP_010937569.1, WP_010937449.1	Utg860006_58
OG0001263	WP_011792781.1, WP_010937994.1	Utg860006_85
OG0001264	WP_011792534.1	Utg860006_166
OG0001266	WP_081428952.1	Utg857994_143
OG0001269	WP_011791483.1	Utg859982_196
OG0001271	WP_011792191.1	Utg859098_211
OG0001272	WP_011792498.1, WP_011791995.1	Utg859098_223
OG0001274	WP_010939200.1	Utg859098_242
OG0001275	WP_010938274.1	Utg859098_312
OG0001276	WP_011791515.1	Utg859098_323
OG0001277	WP_011791516.1	Utg859098_324
OG0001278	WP_011791467.1	Utg859098_332
OG0001279	WP_011791468.1	Utg859098_333
OG0001280	WP_043629792.1	Utg859098_338, Utg859098_339
OG0001281	WP_011792104.1	Utg859098_355
OG0001282	WP_010940171.1	Utg859098_356
OG0001283	WP_011792342.1	Utg859098_359
OG0001284	WP_011793006.1, WP_011791847.1	Utg859098_108
OG0001285	WP_011787394.1, WP_011793007.1	Utg859098_107
OG0001286	WP_011176697.1, WP_010937617.1	Utg859098_106
OG0001287	WP_010938738.1	Utg859098_103
OG0001288	WP_010938737.1	Utg859098_102
OG0001289	WP_011787378.1, WP_010940491.1	Utg859098_90
OG0001290	WP_011176682.1, WP_011791425.1	Utg859098_89
OG0001292	WP_010940433.1	Utg858498_9
OG0001293	WP_010938180.1	Utg858498_12
OG0001296	WP_011792728.1	Utg857076_63
OG0001297	WP_011792727.1	Utg857076_62
OG0001298	WP_010938139.1	Utg866558_17
OG0001300	WP_011792711.1	Utg857046_102
OG0001302	WP_011792553.1	Utg857152_58, Utg857682_170
OG0001303	WP_011792389.1	Utg866558_30
OG0001304	WP_011792915.1	Utg860814_98
OG0001305	WP_010940448.1	Utg860814_105
OG0001306	WP_011792567.1	Utg862138_26
OG0001308	WP_011792710.1	Utg857152_105
OG0001309	WP_011792536.1	Utg859388_136
OG0001311	WP_011791669.1	Utg857994_43
OG0001312	WP_011787398.1	Utg858494_8
OG0001314	WP_010937896.1	Utg860814_151
OG0001317	WP_011791708.1	Utg857152_139
OG0001318	WP_011791692.1	Utg857076_9
OG0001324	WP_010937902.1, WP_011792809.1	Utg859982_194
OG0001346	WP_010938652.1	Utg860006_68
OG0001352	WP_011792853.1	Utg857152_79
OG0001359	WP_011787305.1	Utg861744_95
OG0001372	WP_010940207.1, WP_010937606.1	Utg857300_8
OG0001387	WP_010940624.1	Utg861448_22, Utg863716_95
OG0001396	WP_043629066.1	Utg860814_266
OG0001398	WP_223294642.1	Utg860814_238
OG0001401	WP_010937640.1	Utg860814_187
OG0001403	WP_011792459.1	Utg863716_83
OG0001404	WP_010938584.1	Utg863716_81
OG0001405	WP_010938586.1	Utg863716_79
OG0001406	WP_010938587.1	Utg863716_78
OG0001412	WP_010937797.1	Utg863716_75, Utg857152_204
OG0001414	WP_011793010.1	Utg857152_178
OG0001415	WP_010939693.1	Utg859750_82
OG0001416	WP_011791841.1	Utg859750_62
OG0001419	WP_011793041.1	Utg857152_217
OG0001420	WP_010937557.1	Utg857152_218
OG0001424	WP_010940151.1	Utg865370_15
OG0001427	WP_011791846.1	Utg863716_67
OG0001429	WP_010939729.1	Utg861744_51
OG0001433	WP_223294685.1	Utg859098_6
OG0001434	WP_011792497.1	Utg857300_55
OG0001437	WP_043629457.1	Utg864866_14
OG0001438	WP_011792706.1	Utg864866_71, Utg860006_124
OG0001446	WP_010937709.1	Utg857152_42
OG0001447	WP_010937710.1	Utg857152_43
OG0001448	WP_011792634.1	Utg857152_70
OG0001452	WP_010938377.1	Utg857046_224
OG0001453	WP_011792163.1	Utg857046_210
OG0001454	WP_011792758.1	Utg857046_204
OG0001455	WP_010939726.1	Utg857994_179, Utg857994_174
OG0001458	WP_010938146.1	Utg857490_5
OG0001459	WP_011792679.1	Utg857490_4
OG0001461	WP_010939487.1	Utg857076_39
OG0001462	WP_010938198.1	Utg857076_20
OG0001464	WP_010938762.1	Utg857076_17
OG0001465	WP_011791464.1	Utg859236_83
OG0001466	WP_043629201.1	Utg859236_81
OG0001468	WP_011791975.1	Utg857046_86
OG0001470	WP_010940431.1	Utg859236_33
OG0001473	WP_011792544.1	Utg860006_125
OG0001474	WP_010939529.1	Utg860006_138
OG0001475	WP_011791921.1	Utg860006_146, Utg857994_217
OG0001477	WP_011793139.1	Utg857994_212
OG0001478	WP_011792085.1	Utg857994_167
OG0001479	WP_010937799.1	Utg857994_160
OG0001482	WP_010939113.1	Utg859388_79
OG0001484	WP_223294610.1	Utg859982_76
OG0001485	WP_011792912.1	Utg859982_137
OG0001486	WP_011791686.1	Utg859982_199
OG0001489	WP_011791365.1	Utg859098_341
OG0001490	WP_011793004.1	Utg859098_112
OG0001491	WP_010937622.1	Utg859098_111
OG0001492	WP_010937621.1	Utg859098_110
OG0001493	WP_011793005.1	Utg859098_109
OG0001494	WP_010938209.1	Utg859098_96
OG0001495	WP_010937357.1	Utg859098_95
OG0001496	WP_014524186.1	Utg859098_93
OG0001497	WP_010937354.1	Utg859098_92
OG0001498	WP_010940492.1	Utg859098_91
OG0001499	WP_010937818.1	Utg859098_84
OG0001500	WP_010937819.1	Utg859098_83
OG0001501	WP_223294608.1	Utg859098_82
OG0001502	WP_010937821.1	Utg859098_81
OG0001503	WP_010937822.1	Utg859098_80
OG0001504	WP_010937827.1	Utg859098_72
OG0001505	WP_011792667.1	Utg859098_65
OG0001507	WP_010940608.1	Utg858498_17
OG0001508	WP_010940144.1	Utg859388_180
OG0001510	WP_010938301.1	Utg859388_131
OG0001512	WP_010937552.1	Utg859388_96
OG0001517	WP_011791682.1	Utg861448_3
OG0001518	WP_011791442.1	Utg858432_124
OG0001519	WP_011791912.1	Utg858432_20
OG0001524	WP_010939130.1	Utg857046_21
OG0001527	WP_011791687.1	Utg859982_198
OG0001531	WP_011791612.1	Utg858432_112
OG0001532	WP_010940024.1	Utg859982_202
OG0001533	WP_010938036.1	Utg857682_41
OG0001536	WP_010938585.1	Utg863716_80
OG0001539	WP_011791322.1	Utg857994_99
OG0001540	WP_011791324.1	Utg859982_177
OG0001541	WP_011792796.1	Utg859982_67
OG0001542	WP_010939181.1	Utg863716_18
OG0001547	WP_043629705.1	Utg857152_23
OG0001549	WP_011791870.1	Utg858494_41
OG0001551	WP_223294648.1	Utg857682_45
OG0001552	WP_011791563.1, WP_011787354.1	Utg859098_45
OG0001569	WP_011792860.1	Utg858432_56
OG0001571	WP_011792209.1	Utg859750_36
OG0001581	WP_011792561.1	Utg859098_225
OG0001586	WP_011791716.1	Utg859982_16
OG0001591	WP_011791876.1	Utg857682_105
OG0001596	WP_011791526.1	Utg863716_49
OG0001616	WP_011792659.1	Utg860006_142
OG0001638	WP_010939501.1	Utg859076_35
OG0001640	WP_223294595.1	Utg863716_96
OG0001645	WP_010938290.1	Utg863716_38
