user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
concoct_sample03.txt.048	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_002848135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__Hydrogenovibrio sp002848135	82.08	0.71	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002779995.1, s__Hydrogenovibrio sp002779995, 95.0, 79.16, 0.48; GCF_001507555.1, s__Hydrogenovibrio sp001507555, 95.0, 78.04, 0.1; GCF_009296185.1, s__Hydrogenovibrio sp009296185, 95.0, 77.86, 0.1; GCF_013340845.1, s__Hydrogenovibrio marinus, 95.0, 77.7, 0.11; GCF_000526715.1, s__Hydrogenovibrio kuenenii, 95.0, 77.54, 0.12; GCF_000012605.1, s__Hydrogenovibrio crunogenus_A, 95.0, 77.52, 0.18; GCF_004786015.1, s__Hydrogenovibrio crunogenus_B, 95.0, 77.52, 0.21; GCF_000384235.1, s__Hydrogenovibrio halophilus, 95.0, 77.38, 0.05; GCF_004028275.1, s__Hydrogenovibrio thermophilus, 95.0, 77.38, 0.12; GCF_000744875.1, s__Hydrogenovibrio sp000744875, 95.0, 76.95, 0.08; GCF_001507535.1, s__Hydrogenovibrio sp001507535, 95.0, 76.87, 0.06; GCA_015484555.1, s__Hydrogenovibrio sp015484555, 95.0, 76.52, 0.06; GCA_002299585.1, s__Hydrogenovibrio sp002299585, 95.0, 76.23, 0.03	47.04	11	0.9843845931137255	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample04.txt.003_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__	N/A	N/A	N/A	N/A	N/A	GCA_016929955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__UBA12170 sp016929955	86.13	0.51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016933745.1, s__UBA12170 sp016933745, 95.0, 77.99, 0.14; GCA_003445975.1, s__UBA12170 sp003445975, 95.0, 77.14, 0.16; GCF_013166655.1, s__UBA12170 sp013166655, 95.0, 76.64, 0.04; GCA_016744655.1, s__UBA12170 sp016744655, 95.0, 75.88, 0.03	63.92	11	0.9886962767620797	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 11.7% of markers with multiple hits
concoct_sample10.txt.012	d__Bacteria;p__Planctomycetota;c__J132;o__SRT547;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__J132;o__SRT547;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	69.16	11	0.7280897247691108	N/A
concoct_sample10.txt.016	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__BN30871;s__	N/A	N/A	N/A	N/A	N/A	GCA_016937775.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__BN30871;s__BN30871 sp016937775	85.14	0.85	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__BN30871;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001493195.1, s__BN30871 sp001493195, 95.0, 77.36, 0.13; GCA_011372825.1, s__BN30871 sp011372825, 95.0, 76.95, 0.17; GCA_016937075.1, s__BN30871 sp016937075, 95.0, 76.83, 0.13; GCA_002483605.1, s__BN30871 sp002483605, 95.0, 76.79, 0.13; GCA_002412865.1, s__BN30871 sp002412865, 95.0, 76.75, 0.09; GCA_002424475.1, s__BN30871 sp002424475, 95.0, 76.64, 0.14	87.63	11	0.9720828783464692	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample10.txt.017	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.84	11	0.8094160546034381	N/A
concoct_sample13.txt.033	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas sp002869685	GCA_002869685.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas sp002869685	96.14	0.94	GCA_002869685.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas sp002869685	96.14	0.94	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000167355.1, s__Desulfuromonas acetoxidans, 95.0, 82.84, 0.64; GCA_002084665.1, s__Desulfuromonas sp002084665, 95.0, 76.81, 0.13; GCA_001751155.1, s__Desulfuromonas sp001751155, 95.0, 76.69, 0.16; GCA_002084705.1, s__Desulfuromonas sp002084705, 95.0, 76.52, 0.17	21.09	11	N/A	Genome has more than 47.5% of markers with multiple hits
concoct_sample13.txt.036	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	ANI	classification based on placement in class-level tree	GCF_000023445.1, s__Maridesulfovibrio salexigens, 95.0, 80.64, 0.38; GCF_010470675.1, s__Maridesulfovibrio sp010470675, 95.0, 80.39, 0.41; GCF_010470665.1, s__Maridesulfovibrio sp010470665, 95.0, 80.32, 0.38; GCF_004923195.1, s__Maridesulfovibrio sp004923195, 95.0, 80.0, 0.39; GCA_002340305.1, s__Maridesulfovibrio sp002340305, 95.0, 79.55, 0.29; GCF_000425265.1, s__Maridesulfovibrio zosterae, 95.0, 79.32, 0.29; GCF_000331025.1, s__Maridesulfovibrio hydrothermalis, 95.0, 79.26, 0.35; GCA_006210265.1, s__Maridesulfovibrio sp006210265, 95.0, 78.15, 0.14; GCF_000711735.1, s__Maridesulfovibrio frigidus, 95.0, 78.11, 0.15; GCF_900177375.1, s__Maridesulfovibrio gilichinskyi, 95.0, 78.07, 0.17; GCF_900101105.1, s__Maridesulfovibrio ferrireducens, 95.0, 77.99, 0.19; GCF_000429985.1, s__Maridesulfovibrio bastinii, 95.0, 77.88, 0.11	51.51	11	0.9636717240727003	N/A
concoct_sample13.txt.037	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Denitrovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCA_002869145.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Denitrovibrio;s__Denitrovibrio sp002869145	79.27	0.45	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Denitrovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002869185.1, s__Denitrovibrio sp002869185, 95.0, 78.18, 0.27; GCF_000025725.1, s__Denitrovibrio acetiphilus, 95.0, 78.12, 0.27	38.6	11	0.9637264774885145	N/A
concoct_sample13.txt.045	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249645.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__SZUA-575 sp003249645	80.1	0.34	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002747805.1, s__SZUA-575 sp002747805, 95.0, 76.34, 0.06	72.9	11	0.9492036693372304	N/A
concoct_sample13.txt.049	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	40.47	11	0.7943245047089412	N/A
concoct_sample13.txt.051	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_002848135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__Hydrogenovibrio sp002848135	82.33	0.66	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002779995.1, s__Hydrogenovibrio sp002779995, 95.0, 79.67, 0.52; GCF_013340845.1, s__Hydrogenovibrio marinus, 95.0, 78.63, 0.11; GCF_000012605.1, s__Hydrogenovibrio crunogenus_A, 95.0, 78.25, 0.21; GCF_004028275.1, s__Hydrogenovibrio thermophilus, 95.0, 78.16, 0.14; GCF_000526715.1, s__Hydrogenovibrio kuenenii, 95.0, 78.11, 0.14; GCF_004786015.1, s__Hydrogenovibrio crunogenus_B, 95.0, 78.1, 0.21; GCF_000384235.1, s__Hydrogenovibrio halophilus, 95.0, 78.09, 0.07; GCF_001507555.1, s__Hydrogenovibrio sp001507555, 95.0, 77.92, 0.13; GCF_000744875.1, s__Hydrogenovibrio sp000744875, 95.0, 77.8, 0.13; GCF_009296185.1, s__Hydrogenovibrio sp009296185, 95.0, 77.78, 0.12; GCF_001507535.1, s__Hydrogenovibrio sp001507535, 95.0, 76.88, 0.08; GCA_015484555.1, s__Hydrogenovibrio sp015484555, 95.0, 76.39, 0.1; GCA_002299585.1, s__Hydrogenovibrio sp002299585, 95.0, 76.05, 0.04	95.87	11	0.9856049345098039	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample01.txt.002	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__2-02-FULL-48-14;g__JABHVW01;s__	N/A	N/A	N/A	N/A	N/A	GCA_018658105.1	95.0	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__2-02-FULL-48-14;g__JABHVW01;s__JABHVW01 sp018658105	77.3	0.14	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__2-02-FULL-48-14;g__JABHVW01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	80.52	11	0.8567796696409343	N/A
maxbin_sample01.txt.011	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__	N/A	N/A	N/A	N/A	N/A	GCA_016929955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__UBA12170 sp016929955	85.97	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016933745.1, s__UBA12170 sp016933745, 95.0, 77.88, 0.28; GCA_003445975.1, s__UBA12170 sp003445975, 95.0, 77.32, 0.24; GCF_013166655.1, s__UBA12170 sp013166655, 95.0, 76.32, 0.06; GCA_016744655.1, s__UBA12170 sp016744655, 95.0, 75.62, 0.05	93.57	11	0.9857380350211311	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample01.txt.012	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__Hydrogenovibrio sp002848135	GCF_002848135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__Hydrogenovibrio sp002848135	95.15	0.89	GCF_002848135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__Hydrogenovibrio sp002848135	95.15	0.89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002779995.1, s__Hydrogenovibrio sp002779995, 95.0, 80.71, 0.59; GCF_000384235.1, s__Hydrogenovibrio halophilus, 95.0, 78.62, 0.07; GCF_013340845.1, s__Hydrogenovibrio marinus, 95.0, 78.52, 0.1; GCF_004786015.1, s__Hydrogenovibrio crunogenus_B, 95.0, 78.35, 0.23; GCF_004028275.1, s__Hydrogenovibrio thermophilus, 95.0, 78.35, 0.16; GCF_000012605.1, s__Hydrogenovibrio crunogenus_A, 95.0, 78.22, 0.23; GCF_000526715.1, s__Hydrogenovibrio kuenenii, 95.0, 78.21, 0.13; GCF_001507555.1, s__Hydrogenovibrio sp001507555, 95.0, 78.12, 0.16; GCF_000744875.1, s__Hydrogenovibrio sp000744875, 95.0, 78.08, 0.12; GCF_009296185.1, s__Hydrogenovibrio sp009296185, 95.0, 77.76, 0.12; GCF_001507535.1, s__Hydrogenovibrio sp001507535, 95.0, 76.88, 0.08; GCA_015484555.1, s__Hydrogenovibrio sp015484555, 95.0, 76.44, 0.1; GCA_002299585.1, s__Hydrogenovibrio sp002299585, 95.0, 76.23, 0.04	85.35	11	N/A	N/A
maxbin_sample01.txt.014_sub	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Alkalibacteraceae;g__M08DMB;s__	N/A	N/A	N/A	N/A	N/A	GCF_009362815.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Alkalibacteraceae;g__M08DMB;s__M08DMB sp009362815	78.07	0.25	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Alkalibacteraceae;g__M08DMB;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	21.84	11	0.9101287560561613	N/A
maxbin_sample02.txt.001	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013201825.1, s__Halarcobacter ebronensis, 95.0, 81.71, 0.65; GCF_005771535.1, s__Halarcobacter arenosus, 95.0, 81.39, 0.58; GCF_006459125.1, s__Halarcobacter anaerophilus, 95.0, 81.36, 0.62; GCA_003252105.1, s__Halarcobacter sp003252105, 95.0, 81.21, 0.51; GCA_004118855.1, s__Halarcobacter sp004118855, 95.0, 80.99, 0.53; GCA_013373175.1, s__Halarcobacter sp013373175, 95.0, 80.86, 0.54; GCF_004116625.1, s__Halarcobacter mediterraneus, 95.0, 80.77, 0.51; GCA_001895145.1, s__Halarcobacter sp001895145, 95.0, 80.62, 0.56; GCF_003346815.1, s__Halarcobacter bivalviorum, 95.0, 80.57, 0.55; GCA_004116455.1, s__Halarcobacter sp004116455, 95.0, 80.56, 0.49; GCA_002869565.1, s__Halarcobacter sp002869565, 95.0, 80.41, 0.58	84.65	11	0.9532398447805525	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample03.txt.003	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000597725.1, s__Sulfurospirillum_A arcachonense, 95.0, 80.34, 0.53; GCA_015662785.1, s__Sulfurospirillum_A arcachonense_A, 95.0, 79.69, 0.57; GCA_016744795.1, s__Sulfurospirillum_A sp016744795, 95.0, 79.67, 0.47; GCA_016735235.1, s__Sulfurospirillum_A sp016735235, 95.0, 77.64, 0.42; GCA_002742765.1, s__Sulfurospirillum_A sp002742765, 95.0, 77.53, 0.32; GCA_002469305.1, s__Sulfurospirillum_A sp002469305, 95.0, 77.38, 0.25; GCA_014859685.1, s__Sulfurospirillum_A sp014859685, 95.0, 76.36, 0.17	75.71	11	0.9270420101103863	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample04.txt.001_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_013389365.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__Desulfobacter latus	87.49	0.45	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004319545.1, s__Desulfobacter hydrogenophilus, 95.0, 86.93, 0.51; GCA_003252055.1, s__Desulfobacter postgatei_B, 95.0, 85.98, 0.36; GCF_000233695.2, s__Desulfobacter postgatei, 95.0, 85.58, 0.44; GCF_000745975.1, s__Desulfobacter vibrioformis, 95.0, 85.31, 0.42; GCF_000373985.1, s__Desulfobacter curvatus, 95.0, 85.14, 0.48; GCA_002747145.1, s__Desulfobacter postgatei_A, 95.0, 84.52, 0.36; GCA_003538835.1, s__Desulfobacter sp003538835, 95.0, 77.06, 0.1	26.87	11	0.986445098927783	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample10.txt.006	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018820855.1, s__Desulfocapsa sp018820855, 95.0, 82.59, 0.67; GCA_018817385.1, s__Desulfocapsa sp018817385, 95.0, 81.46, 0.6; GCF_000341395.1, s__Desulfocapsa sulfexigens, 95.0, 77.71, 0.12; GCA_015662865.1, s__Desulfocapsa sulfexigens_B, 95.0, 77.39, 0.15; GCA_016765495.1, s__Desulfocapsa sp016765495, 95.0, 77.1, 0.11; GCA_015661935.1, s__Desulfocapsa sulfexigens_A, 95.0, 76.6, 0.18	83.02	11	0.957609583055291	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample10.txt.007	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_015489035.1	95.0	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__S009-33;s__S009-33 sp015489035	75.25	0.12	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	66.74	4	0.800450833692075	N/A
maxbin_sample13.txt.002	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_005771535.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__Halarcobacter arenosus	86.56	0.74	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013201825.1, s__Halarcobacter ebronensis, 95.0, 81.1, 0.6; GCA_003252105.1, s__Halarcobacter sp003252105, 95.0, 80.78, 0.56; GCF_003346815.1, s__Halarcobacter bivalviorum, 95.0, 80.69, 0.55; GCA_004116455.1, s__Halarcobacter sp004116455, 95.0, 80.67, 0.55; GCA_001895145.1, s__Halarcobacter sp001895145, 95.0, 80.53, 0.58; GCA_004118855.1, s__Halarcobacter sp004118855, 95.0, 80.53, 0.59; GCA_013373175.1, s__Halarcobacter sp013373175, 95.0, 80.52, 0.56; GCF_004116625.1, s__Halarcobacter mediterraneus, 95.0, 80.4, 0.55; GCA_002869565.1, s__Halarcobacter sp002869565, 95.0, 80.35, 0.63; GCF_006459125.1, s__Halarcobacter anaerophilus, 95.0, 80.2, 0.58	45.43	4	0.9599632384788732	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
maxbin_sample13.txt.003	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__CAIJNA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__CAIJNA01;s__	ANI	classification based on placement in class-level tree	GCA_015663165.1, s__CAIJNA01 sp015663165, 95.0, 78.2, 0.27; GCA_903821805.1, s__CAIJNA01 sp903821805, 95.0, 77.47, 0.34; GCA_018399655.1, s__CAIJNA01 sp018399655, 95.0, 77.04, 0.18	77.1	11	0.8924437601726618	N/A
maxbin_sample13.txt.004	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	ANI	classification based on placement in class-level tree	GCA_014763885.1, s__Sulfurovum sp014763885, 95.0, 79.61, 0.44; GCA_011048515.1, s__Sulfurovum sp011048515, 95.0, 79.37, 0.41; GCA_003934925.1, s__Sulfurovum sp003934925, 95.0, 77.73, 0.17; GCF_000296775.1, s__Sulfurovum sp000296775, 95.0, 77.72, 0.22; GCA_014763895.1, s__Sulfurovum sp014763895, 95.0, 77.67, 0.23; GCF_014931715.1, s__Sulfurovum indicum, 95.0, 77.63, 0.18; GCF_000010345.1, s__Sulfurovum sp000010345, 95.0, 77.62, 0.19; GCA_004377245.1, s__Sulfurovum sp004377245, 95.0, 77.58, 0.21; GCA_002403155.1, s__Sulfurovum sp002403155, 95.0, 77.57, 0.11; GCF_001595645.1, s__Sulfurovum riftiae, 95.0, 77.51, 0.17; GCF_000987835.1, s__Sulfurovum lithotrophicum, 95.0, 77.5, 0.17; GCA_002742845.1, s__Sulfurovum sp002742845, 95.0, 77.44, 0.11; GCA_002281755.1, s__Sulfurovum sp002281755, 95.0, 77.13, 0.13; GCA_002085305.1, s__Sulfurovum sp002085305, 95.0, 77.09, 0.16; GCA_015493435.1, s__Sulfurovum sp015493435, 95.0, 77.02, 0.14; GCA_015490315.1, s__Sulfurovum sp015490315, 95.0, 76.96, 0.17; GCA_013607775.1, s__Sulfurovum sp013607775, 95.0, 76.93, 0.14; GCA_002733355.1, s__Sulfurovum sp002733355, 95.0, 76.91, 0.08; GCA_015663065.1, s__Sulfurovum sp015663065, 95.0, 76.9, 0.16; GCA_902727855.1, s__Sulfurovum sp902727855, 95.0, 76.85, 0.09; GCA_011391015.1, s__Sulfurovum sp011391015, 95.0, 76.77, 0.14; GCA_002733215.1, s__Sulfurovum sp002733215, 95.0, 76.75, 0.12; GCA_016744875.1, s__Sulfurovum sp016744875, 95.0, 76.75, 0.15; GCA_011330645.1, s__Sulfurovum sp011330645, 95.0, 76.69, 0.13; GCA_015661535.1, s__Sulfurovum sp015661535, 95.0, 76.58, 0.14; GCA_013139765.1, s__Sulfurovum sp013139765, 95.0, 76.52, 0.07; GCA_015493425.1, s__Sulfurovum sp015493425, 95.0, 76.47, 0.15; GCA_003646505.1, s__Sulfurovum sp003646505, 95.0, 76.41, 0.11; GCA_003978375.1, s__Sulfurovum sp003978375, 95.0, 76.4, 0.09; GCA_015661795.1, s__Sulfurovum sp015661795, 95.0, 76.39, 0.07	80.58	11	0.9440745435141112	N/A
maxbin_sample13.txt.006	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_002742765.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__Sulfurospirillum_A sp002742765	79.51	0.46	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002469305.1, s__Sulfurospirillum_A sp002469305, 95.0, 78.45, 0.41; GCF_000597725.1, s__Sulfurospirillum_A arcachonense, 95.0, 78.35, 0.37; GCA_015662785.1, s__Sulfurospirillum_A arcachonense_A, 95.0, 77.78, 0.35; GCA_016744795.1, s__Sulfurospirillum_A sp016744795, 95.0, 77.66, 0.33; GCA_014859685.1, s__Sulfurospirillum_A sp014859685, 95.0, 76.81, 0.21; GCA_016735235.1, s__Sulfurospirillum_A sp016735235, 95.0, 76.8, 0.28	71.23	11	0.9289804544923803	N/A
maxbin_sample13.txt.018	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__SABI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016938475.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__SABI01;s__SABI01 sp016938475	86.35	0.84	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__SABI01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009929055.1, s__SABI01 sp009929055, 95.0, 77.95, 0.08	35.68	11	0.9850977076346852	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
