Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa sulfexigens DSM 10523
OG0000549	WP_010941832.1	WP_015405349.1
OG0000550	WP_235045013.1	WP_015405518.1
OG0000553	WP_010943440.1	WP_015403748.1, WP_015402607.1, WP_015403152.1
OG0000555	WP_010941961.1	WP_015402671.1
OG0000557	WP_010940926.1	WP_015404678.1, WP_015402968.1, WP_015403490.1
OG0000560	WP_010943389.1	WP_015403201.1
OG0000561	WP_010941936.1	WP_015403206.1
OG0000562	WP_010942208.1	WP_015405527.1, WP_015403366.1, WP_041916336.1, WP_052326966.1
OG0000563	WP_010940852.1	WP_015403725.1
OG0000564	WP_010943575.1	WP_015403905.1
OG0000565	WP_010943576.1	WP_015403906.1
OG0000566	WP_010941728.1, WP_010941185.1	WP_015403945.1
OG0000567	WP_010944028.1, WP_010943381.1	WP_015405005.1
OG0000568	WP_010943959.1	WP_041916977.1, WP_015405137.1
OG0000569	WP_010941600.1	WP_015405528.1
OG0000570	WP_010942880.1	WP_015405597.1
OG0000571	WP_010941269.1	WP_083907217.1
OG0000575	WP_010942534.1	WP_015404467.1, WP_015402962.1
OG0000576	WP_010942537.1	WP_015403169.1
OG0000577	WP_010942510.1	WP_041916988.1
OG0000578	WP_010940679.1	WP_015403356.1
OG0000579	WP_010943242.1	WP_015403343.1
OG0000580	WP_010943827.1	WP_015402309.1
OG0000581	WP_010943499.1	WP_015404269.1
OG0000582	WP_010944070.1	WP_015402739.1
OG0000583	WP_010942332.1	WP_015404258.1
OG0000584	WP_010944075.1	WP_015403998.1
OG0000585	WP_010944076.1	WP_015403997.1
OG0000586	WP_010944078.1	WP_083907252.1
OG0000587	WP_010942289.1	WP_015405003.1
OG0000588	WP_010942073.1	WP_015403991.1
OG0000589	WP_010941392.1	WP_015405457.1
OG0000590	WP_010942465.1	WP_015404022.1
OG0000591	WP_010940835.1	WP_015402953.1
OG0000592	WP_010941272.1	WP_015405213.1
OG0000593	WP_010942349.1	WP_015405693.1
OG0000594	WP_010943186.1	WP_015403879.1
OG0000595	WP_010943920.1	WP_015404537.1
OG0000596	WP_235044854.1	WP_015405048.1
OG0000597	WP_010942643.1	WP_015405100.1
OG0000598	WP_010943702.1	WP_015405690.1
OG0000599	WP_010941327.1	WP_015405020.1
OG0000600	WP_010942136.1	WP_015402515.1
OG0000601	WP_010940829.1	WP_015402958.1
OG0000602	WP_010942444.1	WP_015405103.1
OG0000603	WP_010942707.1	WP_015404575.1
OG0000604	WP_010940693.1	WP_015402715.1
OG0000605	WP_010943003.1	WP_083907155.1
OG0000606	WP_010941673.1	WP_228130038.1
OG0000607	WP_010940800.1	WP_167320733.1
OG0000608	WP_010940710.1	WP_228130026.1
OG0000610	WP_010942105.1	WP_015404319.1
OG0000611	WP_010941932.1	WP_015405215.1
OG0000612	WP_010941310.1	WP_015405558.1
OG0000613	WP_010941309.1	WP_015405557.1
OG0000614	WP_010941719.1	WP_015403833.1
OG0000615	WP_010942566.1	WP_015404310.1
OG0000616	WP_010942564.1	WP_015404312.1
OG0000617	WP_010943485.1	WP_015404282.1
OG0000618	WP_010943483.1	WP_015404284.1
OG0000619	WP_010943482.1	WP_015404285.1
OG0000620	WP_010943481.1	WP_015404286.1
OG0000621	WP_010943480.1	WP_015404287.1
OG0000622	WP_010941527.1	WP_015404375.1
OG0000623	WP_010943723.1	WP_015404728.1
OG0000624	WP_010943850.1	WP_015405025.1
OG0000625	WP_010943851.1	WP_015405024.1
OG0000626	WP_010940760.1	WP_015403434.1
OG0000627	WP_010942106.1	WP_015404320.1
OG0000628	WP_010942919.1	WP_015402471.1
OG0000629	WP_010941252.1	WP_015404142.1
OG0000630	WP_041914001.1	WP_015403871.1
OG0000631	WP_276524825.1	WP_015403869.1
OG0000632	WP_010943180.1	WP_015404802.1
OG0000633	WP_010942373.1	WP_015404414.1
OG0000634	WP_010943241.1	WP_015405484.1
OG0000635	WP_010942450.1	WP_015404478.1
OG0000637	WP_010942245.1	WP_015404786.1
OG0000638	WP_010942878.1	WP_015404362.1
OG0000639	WP_010942898.1	WP_015405456.1
OG0000640	WP_010942897.1	WP_015404578.1
OG0000642	WP_010940715.1	WP_015404104.1
OG0000643	WP_010941323.1	WP_015404719.1
OG0000644	WP_010941325.1	WP_015403865.1
OG0000645	WP_010943691.1	WP_153304871.1
OG0000646	WP_010943692.1	WP_015405682.1
OG0000647	WP_010943693.1	WP_015405683.1
OG0000648	WP_010943697.1	WP_015405686.1
OG0000649	WP_010941322.1	WP_015404718.1
OG0000650	WP_010943006.1	WP_015405533.1
OG0000651	WP_010943016.1	WP_015405131.1
OG0000652	WP_010942410.1	WP_015404738.1
OG0000653	WP_010941921.1	WP_041917055.1
OG0000654	WP_010942463.1	WP_015402738.1
OG0000655	WP_010941209.1	WP_015404177.1
OG0000656	WP_010942230.1	WP_015402306.1
OG0000657	WP_010942231.1	WP_015402305.1
OG0000658	WP_010942236.1	WP_015402301.1
OG0000659	WP_010942237.1	WP_015402300.1
OG0000660	WP_010943504.1	WP_015405750.1
OG0000661	WP_010943505.1	WP_015405749.1
OG0000663	WP_010943737.1	WP_015403013.1
OG0000664	WP_010943342.1	WP_015404540.1
OG0000665	WP_010943897.1	WP_015402733.1
OG0000666	WP_276524820.1	WP_015402799.1, WP_015403904.1
OG0000667	WP_010943951.1	WP_015403629.1
OG0000668	WP_010943747.1	WP_015403715.1
OG0000670	WP_010941735.1	WP_015405697.1
OG0000671	WP_010942874.1	WP_015404549.1
OG0000672	WP_010941965.1	WP_015403881.1
OG0000673	WP_010941900.1	WP_015404811.1
OG0000674	WP_010941793.1	WP_015404432.1
OG0000675	WP_010942418.1	WP_015405612.1
OG0000676	WP_010941316.1	WP_015405218.1
OG0000677	WP_010943461.1	WP_015404305.1
OG0000678	WP_010943462.1	WP_015404304.1
OG0000679	WP_164930419.1	WP_015405552.1
OG0000680	WP_010942334.1	WP_015404260.1
OG0000681	WP_010943494.1	WP_208598517.1
OG0000682	WP_010943495.1	WP_015404273.1
OG0000684	WP_010940790.1	WP_015403957.1
OG0000685	WP_010943470.1	WP_015404296.1
OG0000686	WP_010941171.1	WP_015404330.1
OG0000687	WP_010943475.1	WP_015404292.1
OG0000688	WP_010943477.1	WP_015404290.1
OG0000689	WP_010943478.1	WP_015404289.1
OG0000690	WP_010943978.1	WP_015403507.1
OG0000691	WP_010943491.1	WP_015404277.1
OG0000692	WP_010940678.1	WP_015403857.1
OG0000693	WP_010940806.1	WP_015403094.1
OG0000694	WP_010944074.1	WP_015404000.1
OG0000695	WP_010942109.1	WP_153304833.1
OG0000696	WP_010941175.1	WP_015403092.1
OG0000697	WP_010943823.1	WP_015403917.1
OG0000698	WP_010941311.1	WP_228130088.1
OG0000699	WP_010941314.1	WP_015405529.1
OG0000700	WP_010942509.1	WP_015404849.1
OG0000701	WP_010942457.1	WP_015404878.1
OG0000702	WP_010942686.1	WP_015402520.1
OG0000703	WP_010943912.1	WP_015403823.1
OG0000704	WP_010943688.1	WP_015405679.1
OG0000705	WP_010943689.1	WP_015405680.1
OG0000706	WP_010943690.1	WP_015405681.1
OG0000707	WP_010943694.1	WP_015405684.1
OG0000708	WP_010943703.1	WP_015405691.1
OG0000709	WP_010941854.1	WP_015405104.1
OG0000710	WP_010942229.1	WP_015405606.1
OG0000711	WP_010942353.1	WP_015403495.1
OG0000712	WP_010943831.1	WP_015405026.1
OG0000713	WP_010942252.1	WP_015404795.1
OG0000714	WP_010942331.1	WP_083907296.1
OG0000715	WP_010942333.1	WP_015404259.1
OG0000716	WP_010942335.1	WP_015404261.1
OG0000717	WP_010943498.1	WP_015404270.1
OG0000718	WP_010943497.1	WP_015404271.1
OG0000719	WP_010943496.1	WP_015404272.1
OG0000720	WP_010943493.1	WP_015404275.1
OG0000721	WP_010943490.1	WP_015404278.1
OG0000722	WP_010943487.1	WP_015404280.1
OG0000723	WP_010943484.1	WP_015404283.1
OG0000724	WP_010943479.1	WP_015404288.1
OG0000725	WP_010943476.1	WP_015404291.1
OG0000726	WP_010943474.1	WP_015404293.1
OG0000727	WP_010943469.1	WP_015404297.1
OG0000728	WP_010943468.1	WP_015404298.1
OG0000729	WP_010943467.1	WP_015404299.1
OG0000730	WP_010943466.1	WP_015404300.1
OG0000731	WP_010943460.1	WP_015404306.1
OG0000732	WP_010943459.1	WP_015404307.1
OG0000733	WP_010943458.1	WP_015404308.1
OG0000734	WP_010942240.1	WP_015402298.1
OG0000735	WP_010941785.1	WP_041916957.1
OG0000737	WP_010942233.1	WP_015402304.1
OG0000738	WP_010943606.1	WP_015402949.1
OG0000739	WP_010942849.1	WP_015405016.1
OG0000740	WP_010942479.1	WP_015404023.1
OG0000741	WP_010942525.1	WP_015403887.1
OG0000743	WP_010942133.1	WP_015404254.1
OG0000744	WP_010942877.1	WP_015404538.1
OG0000745	WP_010940804.1	WP_015405381.1
OG0000746	WP_010942838.1	WP_015405095.1
OG0000747	WP_010943729.1	WP_015404724.1
OG0000748	WP_010943728.1	WP_015404725.1
OG0000749	WP_010943205.1	WP_083907163.1
OG0000750	WP_010940975.1	WP_015403421.1
OG0000751	WP_010940978.1	WP_015403424.1
OG0000752	WP_010942554.1	WP_015402484.1
OG0000753	WP_010943874.1	WP_015404859.1
OG0000754	WP_010942540.1	WP_015403167.1
OG0000755	WP_010942539.1	WP_228130063.1
OG0000756	WP_010943890.1	WP_041916433.1
OG0000757	WP_010943990.1	WP_015404019.1
OG0000758	WP_010940682.1	WP_015403358.1
OG0000759	WP_010943243.1	WP_015402514.1
OG0000760	WP_010943240.1	WP_015402787.1
OG0000761	WP_010942107.1	WP_015403142.1
OG0000762	WP_010940819.1	WP_015402667.1
OG0000763	WP_010940821.1	WP_015402668.1
OG0000764	WP_010940824.1	WP_015403950.1
OG0000766	WP_010942471.1	WP_015403369.1
OG0000767	WP_010942868.1	WP_015402388.1
OG0000768	WP_193360270.1	WP_015405616.1
OG0000769	WP_010942565.1	WP_015404311.1
OG0000770	WP_010942563.1	WP_015404313.1
OG0000771	WP_010942562.1	WP_015404314.1
OG0000772	WP_010942561.1	WP_015404315.1
OG0000773	WP_010942560.1	WP_015404316.1
OG0000774	WP_010942559.1	WP_015404317.1
OG0000775	WP_010942908.1	WP_015403854.1
OG0000776	WP_010942906.1	WP_228130023.1
OG0000777	WP_010942905.1	WP_015405705.1
OG0000778	WP_010942051.1, WP_010943005.1	WP_015402473.1
OG0000779	WP_010942455.1	WP_015404446.1
OG0000780	WP_010941248.1	WP_015405473.1
OG0000781	WP_010943501.1, WP_010943424.1	WP_015404789.1
OG0000782	WP_010942467.1	WP_015403960.1
OG0000783	WP_010942350.1	WP_015405149.1
OG0000784	WP_010942835.1	WP_015402790.1
OG0000785	WP_010942834.1	WP_015402791.1
OG0000787	WP_010941674.1	WP_228130090.1
OG0000788	WP_010942131.1	WP_015404156.1
OG0000789	WP_010942247.1	WP_015405607.1
OG0000790	WP_010942870.1	WP_015403866.1
OG0000791	WP_010941878.1	WP_015402492.1, WP_015402610.1
OG0000792	WP_010942227.1	WP_015405605.1
OG0000793	WP_010942644.1	WP_015402327.1
OG0000794	WP_010941772.1	WP_015405108.1
OG0000795	WP_010942865.1	WP_015404416.1
OG0000796	WP_010942409.1	WP_015404737.1
OG0000797	WP_010942411.1	WP_015405151.1
OG0000798	WP_010943257.1, WP_010941835.1	WP_015402907.1
OG0000799	WP_010943258.1	WP_015404376.1
OG0000800	WP_010942281.1	WP_015403515.1
OG0000801	WP_010943004.1	WP_015405649.1
OG0000802	WP_010943507.1	WP_015404812.1
OG0000803	WP_010943508.1	WP_041917156.1
OG0000804	WP_010943769.1	WP_015403522.1
OG0000805	WP_010941347.1	WP_015402755.1, WP_015404212.1, WP_015403131.1
OG0000806	WP_010940684.1	WP_015403359.1
OG0000807	WP_010941324.1	WP_167320747.1
OG0000808	WP_010942568.1	WP_015404329.1
OG0000809	WP_010942688.1	WP_015402465.1
OG0000810	WP_010942940.1	WP_015404753.1
OG0000811	WP_010942581.1	WP_015402464.1
OG0000813	WP_010943976.1	WP_015404469.1
OG0000815	WP_010941271.1	WP_015405140.1
OG0000816	WP_010942438.1	WP_015403361.1
OG0000817	WP_010940708.1	WP_015403376.1
OG0000818	WP_010942733.1	WP_015404964.1
OG0000819	WP_010942277.1	WP_015405097.1
OG0000820	WP_010941062.1	WP_015403336.1
OG0000822	WP_010942723.1	WP_015404166.1
OG0000823	WP_010942720.1	WP_015404169.1
OG0000824	WP_010941241.1	WP_015403078.1
OG0000825	WP_010941242.1	WP_015404545.1
OG0000827	WP_010942167.1	WP_015405545.1
OG0000828	WP_010942166.1	WP_015405544.1
OG0000829	WP_010942165.1	WP_015405543.1
OG0000830	WP_010942164.1	WP_015405542.1
OG0000831	WP_010942163.1	WP_041916459.1
OG0000832	WP_193360261.1	WP_015405540.1
OG0000833	WP_010941018.1	WP_015405766.1
OG0000834	WP_235044855.1	WP_015402351.1
OG0000836	WP_010941899.1	WP_015404810.1
OG0000837	WP_010943725.1	WP_015404726.1
OG0000838	WP_010943895.1	WP_015402709.1
OG0000839	WP_010941321.1	WP_015404717.1
OG0000841	WP_010940957.1	WP_015403390.1
OG0000842	WP_010941268.1	WP_015404877.1
OG0000843	WP_010941329.1	WP_015405018.1
OG0000844	WP_010941307.1	WP_015405555.1
OG0000845	WP_200858943.1	WP_015405554.1
OG0000846	WP_010941303.1	WP_015405551.1
OG0000847	WP_010941608.1	WP_015404020.1
OG0000848	WP_010943828.1	WP_015405029.1
OG0000849	WP_010943181.1	WP_015402337.1
OG0000850	WP_010942529.1	WP_015403211.1
OG0000851	WP_010942532.1	WP_015402964.1
OG0000852	WP_010943721.1	WP_015405742.1
OG0000853	WP_010943719.1	WP_015405748.1
OG0000854	WP_010942178.1	WP_015405223.1
OG0000855	WP_010943503.1	WP_015405751.1
OG0000856	WP_010943641.1	WP_015405221.1
OG0000857	WP_010941275.1	WP_015404548.1
OG0000858	WP_010943026.1	WP_015403860.1
OG0000859	WP_010940944.1	WP_015404144.1
OG0000860	WP_010940788.1	WP_015403955.1
OG0000861	WP_010944072.1	WP_015405741.1
OG0000862	WP_010944073.1	WP_015403992.1
OG0000863	WP_010943343.1	WP_015405347.1
OG0000864	WP_010943985.1	WP_015403880.1
OG0000865	WP_010940832.1	WP_015402957.1
OG0000866	WP_010943896.1	WP_015403430.1
OG0000867	WP_010941005.1	WP_015403911.1
OG0000868	WP_010943265.1	WP_015405602.1
OG0000869	WP_010943492.1	WP_015404276.1
OG0000870	WP_010940695.1	WP_167320732.1
OG0000871	WP_041914012.1	WP_015402299.1
OG0000872	WP_010942918.1	WP_153304786.1
OG0000873	WP_010943758.1	WP_015405609.1
OG0000874	WP_010942555.1	WP_041916421.1
OG0000875	WP_010940803.1	WP_015405746.1
OG0000876	WP_010942402.1	WP_015405346.1
OG0000877	WP_010941776.1	WP_167320708.1
OG0000878	WP_010941797.1	WP_015403349.1
OG0000879	WP_010942567.1	WP_015405036.1
OG0000881	WP_010941168.1	WP_015404074.1
OG0000882	WP_010941800.1	WP_015404351.1
OG0000883	WP_010942727.1	WP_041916915.1
OG0000884	WP_010943256.1	WP_015402908.1
OG0000885	WP_010942273.1	WP_015403060.1
OG0000886	WP_010941176.1	WP_015402656.1
OG0000888	WP_010940920.1, WP_010942624.1	WP_015402439.1
OG0000889	WP_010941682.1	WP_015404003.1
OG0000890	WP_010942994.1	WP_015405391.1
OG0000891	WP_010944077.1	WP_041916368.1
OG0000892	WP_010941736.1	WP_265588656.1
OG0000893	WP_010943696.1	WP_015405685.1
OG0000894	WP_010942437.1	WP_015404989.1
OG0000895	WP_193360259.1	WP_015402954.1
OG0000896	WP_010942911.1	WP_015405732.1
OG0000898	WP_010940818.1	WP_015403096.1
OG0000899	WP_010940772.1	WP_208598530.1
OG0000900	WP_010942879.1	WP_015404360.1
OG0000901	WP_010942380.1, WP_010942379.1	WP_015402379.1
OG0000902	WP_010942383.1	WP_015402382.1, WP_015405273.1
OG0000903	WP_010942384.1	WP_015402383.1, WP_015405272.1
OG0000904	WP_010943253.1	WP_015402389.1
OG0000905	WP_010942398.1	WP_015402392.1, WP_015405378.1
OG0000906	WP_010943893.1	WP_015402711.1
OG0000908	WP_010941810.1	WP_015402805.1, WP_015405049.1
OG0000913	WP_010943338.1	WP_015405502.1, WP_015403521.1
OG0000917	WP_010941186.1, WP_010941729.1, WP_010942987.1, WP_010941731.1	WP_015403948.1
OG0000919	WP_010941525.1	WP_015404006.1
OG0000920	WP_274377819.1	WP_015404042.1
OG0000921	WP_010942587.1	WP_015404062.1
OG0000922	WP_010942658.1	WP_015404076.1
OG0000924	WP_010942150.1	WP_015404218.1, WP_015404632.1
OG0000927	WP_010942616.1	WP_015405331.1, WP_015404673.1, WP_015404643.1
OG0000929	WP_010941058.1	WP_015404850.1, WP_015404851.1
OG0000930	WP_010943684.1	WP_015405107.1
OG0000931	WP_010943639.1	WP_015405170.1
OG0000932	WP_010941448.1	WP_015405251.1
OG0000932	WP_010941442.1	WP_015405204.1
OG0000933	WP_010943669.1	WP_015405319.1
OG0000934	WP_010943664.1	WP_015405326.1
OG0000935	WP_010943604.1	WP_015405361.1
OG0000936	WP_010943877.1, WP_010942004.1	WP_015405470.1
OG0000937	WP_235044965.1	WP_015405491.1
OG0000940	WP_010943154.1	WP_052326950.1
OG0000941	WP_275450052.1	WP_052326989.1
OG0000943	WP_010943638.1	WP_153304907.1
OG0000944	WP_010940881.1	WP_265588652.1
OG0000963	WP_010940786.1	WP_015403953.1
OG0000964	WP_010942553.1	WP_015404814.1
OG0000966	WP_010943173.1	WP_015402855.1
OG0000968	WP_010941326.1	WP_015405021.1
OG0000970	WP_010943924.1	WP_015404174.1
OG0000971	WP_010940828.1	WP_015402959.1
OG0000972	WP_010942579.1	WP_015405054.1
OG0000974	WP_010940791.1	WP_041916461.1
OG0000976	WP_010942094.1	WP_153304895.1
OG0000978	WP_010943486.1	WP_015404281.1
OG0000979	WP_010941686.1, WP_010943869.1	WP_015403935.1
OG0000980	WP_010940742.1	WP_015405535.1
OG0000981	WP_010940783.1	WP_015403367.1
OG0000982	WP_010944067.1	WP_015403370.1
OG0000983	WP_010941478.1	WP_015405627.1
OG0000984	WP_010941114.1	WP_015403398.1
OG0000985	WP_010941008.1	WP_153304930.1
OG0000986	WP_010942803.1	WP_015405637.1
OG0000987	WP_010941925.1	WP_015405138.1
OG0000988	WP_010942336.1	WP_015402737.1
OG0000989	WP_010942846.1	WP_015405135.1
OG0000990	WP_010941742.1	WP_015403362.1
OG0000991	WP_010940836.1	WP_015402952.1
OG0000992	WP_010941737.1	WP_015405695.1
OG0000994	WP_010943463.1	WP_015404303.1
OG0000995	WP_010943472.1	WP_015404294.1
OG0000996	WP_010942478.1	WP_015404090.1
OG0000998	WP_010942692.1	WP_015404890.1
OG0001000	WP_010943471.1	WP_015404295.1
OG0001001	WP_197714222.1	WP_015403965.1
OG0001002	WP_010942234.1	WP_015402303.1
OG0001003	WP_010942706.1	WP_015404627.1
OG0001006	WP_010943952.1	WP_015403630.1
OG0001007	WP_010943757.1	WP_015405608.1
OG0001008	WP_010941108.1	WP_015404961.1
OG0001009	WP_010941109.1	WP_015404960.1
OG0001010	WP_010944060.1	WP_015402489.1
OG0001012	WP_010940916.1	WP_041916502.1
OG0001013	WP_010941123.1	WP_052326942.1
OG0001014	WP_010942282.1	WP_015405709.1
OG0001015	WP_010942436.1	WP_015404990.1
OG0001016	WP_010942435.1	WP_015404991.1
OG0001017	WP_010943812.1	WP_015405424.1
OG0001018	WP_010941240.1	WP_015402717.1
OG0001019	WP_010943423.1	WP_015404790.1
OG0001020	WP_010941605.1	WP_015402612.1
OG0001022	WP_010942226.1	WP_015404097.1
OG0001023	WP_010943862.1	WP_015403416.1
OG0001024	WP_010941469.1	WP_015404583.1
OG0001026	WP_010940973.1	WP_015405482.1
OG0001027	WP_010943098.1	WP_015404342.1
OG0001028	WP_010942244.1	WP_015404785.1
OG0001029	WP_010940773.1	WP_015405539.1
OG0001030	WP_010942303.1	WP_153304834.1
OG0001031	WP_010941319.1	WP_015404147.1
OG0001033	WP_010943014.1	WP_015405130.1
OG0001034	WP_010943991.1	WP_015403374.1
OG0001035	WP_010943994.1	WP_015403346.1
OG0001036	WP_010941667.1	WP_015403949.1
OG0001038	WP_010942280.1	WP_015403497.1
OG0001039	WP_010940814.1	WP_015405621.1
OG0001040	WP_010942558.1	WP_015404318.1
OG0001041	WP_010940776.1	WP_015404806.1
OG0001043	WP_010942271.1	WP_015403058.1
OG0001044	WP_010943500.1	WP_083907278.1
OG0001046	WP_010942079.1	WP_167320764.1
OG0001049	WP_010943554.1	WP_015404374.1
OG0001050	WP_010943584.1	WP_015402800.1
OG0001051	WP_010941971.1	WP_015404136.1
OG0001052	WP_010942180.1	WP_015402680.1
OG0001053	WP_010941289.1	WP_015404629.1
OG0001054	WP_010942612.1	WP_015405702.1
OG0001055	WP_010941926.1	WP_015403066.1
OG0001057	WP_010940846.1	WP_015403900.1
OG0001059	WP_010940872.1	WP_015403083.1
OG0001060	WP_010942549.1	WP_015405522.1
OG0001065	WP_010942474.1	WP_015404468.1
OG0001066	WP_010941738.1	WP_015405694.1
OG0001068	WP_010941152.1	WP_015405143.1
OG0001072	WP_010941057.1	WP_015402324.1
OG0001073	WP_010941065.1	WP_015402549.1
OG0001074	WP_010941886.1	WP_153304927.1, WP_015402642.1
OG0001074	WP_010940885.1	WP_015405057.1
OG0001076	WP_010943204.1	WP_015402666.1
OG0001080	WP_235045026.1	WP_015402899.1
OG0001081	WP_010943771.1	WP_015403050.1, WP_015405493.1, WP_167320715.1
OG0001083	WP_010941934.1, WP_010943634.1	WP_015403203.1
OG0001084	WP_010943632.1, WP_010941935.1	WP_015403205.1
OG0001085	WP_010943586.1	WP_015403452.1
OG0001086	WP_010943587.1	WP_015403453.1
OG0001088	WP_010943706.1	WP_015403505.1
OG0001089	WP_010940878.1	WP_015403555.1
OG0001092	WP_010943906.1	WP_015403753.1
OG0001093	WP_010941431.1	WP_015403966.1
OG0001096	WP_010942440.1	WP_015405070.1, WP_015404332.1
OG0001097	WP_010943581.1	WP_015404393.1
OG0001098	WP_010943628.1	WP_015404428.1
OG0001100	WP_010943977.1	WP_015404712.1
OG0001101	WP_010942251.1	WP_015404794.1
OG0001102	WP_010943298.1, WP_010943860.1	WP_015404831.1
OG0001103	WP_010942582.1	WP_015404903.1
OG0001104	WP_010941834.1	WP_015405022.1
OG0001105	WP_010942115.1	WP_015405112.1
OG0001106	WP_010942114.1	WP_015405113.1
OG0001108	WP_010943620.1	WP_015405167.1
OG0001109	WP_010943619.1	WP_015405168.1
OG0001110	WP_010943640.1	WP_015405171.1
OG0001111	WP_010942343.1, WP_010940704.1	WP_015405194.1
OG0001113	WP_010940774.1	WP_015405271.1, WP_015405669.1
OG0001114	WP_010941088.1	WP_015405297.1
OG0001116	WP_010941299.1	WP_015405443.1
OG0001118	WP_010941601.1	WP_015405526.1
OG0001119	WP_010942058.1	WP_015405622.1
OG0001120	WP_010941817.1	WP_015405744.1
OG0001121	WP_010943980.1	WP_041916456.1
OG0001123	WP_010943142.1	WP_153304801.1
OG0001124	WP_010942116.1	WP_228130020.1
OG0001125	WP_010941213.1	WP_228130028.1
OG0001126	WP_010943591.1	WP_228130033.1, WP_228130032.1
OG0001127	WP_010941204.1	WP_228130080.1
OG0001143	WP_010943899.1	WP_015402577.1
OG0001144	WP_010942446.1	WP_015402786.1
OG0001145	WP_010941181.1	WP_167320748.1
OG0001148	WP_010942006.1	WP_015404459.1
OG0001148	WP_010943075.1	WP_015403121.1
OG0001149	WP_010941610.1	WP_228130077.1
OG0001152	WP_041914011.1	WP_015405547.1
OG0001154	WP_010942520.1	WP_015403886.1
OG0001155	WP_010943078.1	WP_015405636.1
OG0001156	WP_010941291.1	WP_015403195.1
OG0001157	WP_010943447.1	WP_015402616.1
OG0001159	WP_010941902.1	WP_015402466.1
OG0001160	WP_010942729.1	WP_015402735.1, WP_015404667.1
OG0001161	WP_010942330.1	WP_015404796.1
OG0001163	WP_010943473.1	WP_083907279.1
OG0001165	WP_010944063.1	WP_015402362.1
OG0001166	WP_010942668.1	WP_015404513.1
OG0001169	WP_010941125.1	WP_015402417.1
OG0001171	WP_010943433.1	WP_015402630.1
OG0001172	WP_010943445.1	WP_228130030.1
OG0001173	WP_010943446.1	WP_015402619.1
OG0001174	WP_010943426.1	WP_015402632.1
OG0001175	WP_193360272.1	WP_015404151.1
OG0001178	WP_010943678.1	WP_015405308.1
OG0001179	WP_010942439.1	WP_015402373.1
OG0001182	WP_010942518.1	WP_015403519.1
OG0001183	WP_010941787.1	WP_167320739.1
OG0001185	WP_010943972.1	WP_015402400.1
OG0001189	WP_010942182.1	WP_015402678.1
OG0001191	WP_010943351.1	WP_015403063.1
OG0001192	WP_010942370.1	WP_015405571.1
OG0001194	WP_010942121.1	WP_041916847.1
OG0001197	WP_010942235.1	WP_015402302.1
OG0001198	WP_010943183.1	WP_015402329.1
OG0001199	WP_010943761.1, WP_010943762.1	WP_015402348.1
OG0001200	WP_010942381.1	WP_015402380.1
OG0001204	WP_010943052.1	WP_015402635.1
OG0001205	WP_010943051.1	WP_015402636.1
OG0001209	WP_010943158.1	WP_015402781.1
OG0001212	WP_010943175.1	WP_015402856.1
OG0001213	WP_010943174.1	WP_015402857.1
OG0001214	WP_010942387.1	WP_015402862.1, WP_015402871.1
OG0001217	WP_010942067.1	WP_015402924.1, WP_015405795.1
OG0001219	WP_010941429.1	WP_015403044.1
OG0001221	WP_010942259.1	WP_015403077.1
OG0001223	WP_010940817.1	WP_015403095.1
OG0001227	WP_010943863.1	WP_015403187.1
OG0001229	WP_010941716.1	WP_015403350.1
OG0001230	WP_010940809.1	WP_015403373.1
OG0001232	WP_235044919.1	WP_015403506.1
OG0001233	WP_041914028.1	WP_015403549.1
OG0001239	WP_010941096.1	WP_015403722.1
OG0001240	WP_010941020.1	WP_015403774.1
OG0001241	WP_010941193.1	WP_015403818.1
OG0001242	WP_010942871.1	WP_015403867.1
OG0001244	WP_193360256.1	WP_015403893.1
OG0001245	WP_010941004.1	WP_015403912.1
OG0001246	WP_010940784.1	WP_015403951.1
OG0001247	WP_010943502.1	WP_015403971.1
OG0001248	WP_010943712.1	WP_015404010.1
OG0001249	WP_010941536.1, WP_010940985.1	WP_015404079.1
OG0001252	WP_010941798.1	WP_015404350.1
OG0001253	WP_010941550.1	WP_015404353.1
OG0001254	WP_010942907.1	WP_015404357.1
OG0001255	WP_010941959.1	WP_015404406.1
OG0001256	WP_010941722.1	WP_015404430.1
OG0001257	WP_010940778.1	WP_015404435.1
OG0001258	WP_010942452.1	WP_015404476.1
OG0001259	WP_010942451.1	WP_015404477.1
OG0001262	WP_010943865.1	WP_015404543.1
OG0001264	WP_010941103.1	WP_015404628.1
OG0001268	WP_010943564.1	WP_015404809.1
OG0001269	WP_010941842.1	WP_015404954.1
OG0001273	WP_235044901.1	WP_015405065.1
OG0001274	WP_010942443.1	WP_015405102.1
OG0001276	WP_010943629.1	WP_015405165.1
OG0001277	WP_010943636.1	WP_015405166.1
OG0001278	WP_010943622.1	WP_015405173.1
OG0001279	WP_010943623.1	WP_015405174.1
OG0001281	WP_010940701.1	WP_015405196.1
OG0001282	WP_010942068.1	WP_015405197.1
OG0001284	WP_010941079.1	WP_015405287.1
OG0001285	WP_010941080.1	WP_015405288.1
OG0001286	WP_010941081.1	WP_015405289.1
OG0001287	WP_010941084.1	WP_015405292.1
OG0001288	WP_010941085.1	WP_015405293.1
OG0001289	WP_010941095.1	WP_015405304.1
OG0001290	WP_010943681.1	WP_015405305.1
OG0001293	WP_010942578.1	WP_015405348.1
OG0001295	WP_010942365.1	WP_015405445.1
