Orthogroup	Geobacter sulfurreducens PCA	Desulfotalea psychrophila LSv54
OG0000666	WP_276524820.1	WP_011190230.1
OG0000667	WP_010943951.1	WP_011187436.1
OG0000670	WP_010941735.1	WP_011190149.1
OG0000671	WP_010942874.1	WP_041277812.1
OG0000672	WP_010941965.1	WP_041277607.1
OG0000673	WP_010941900.1	WP_049785113.1
OG0000674	WP_010941793.1	WP_041278088.1
OG0000675	WP_010942418.1	WP_011189795.1
OG0000676	WP_010941316.1	WP_011189433.1
OG0000677	WP_010943461.1	WP_011188391.1
OG0000678	WP_010943462.1	WP_011188390.1
OG0000679	WP_164930419.1	WP_011190041.1
OG0000680	WP_010942334.1	WP_011188344.1
OG0000681	WP_010943494.1	WP_011188359.1
OG0000682	WP_010943495.1	WP_011188358.1
OG0000684	WP_010940790.1	WP_011188080.1
OG0000685	WP_010943470.1	WP_011188382.1
OG0000686	WP_010941171.1	WP_011188410.1
OG0000687	WP_010943475.1	WP_011188378.1
OG0000688	WP_010943477.1	WP_011188376.1
OG0000689	WP_010943478.1	WP_041277678.1
OG0000690	WP_010943978.1	WP_041278170.1
OG0000691	WP_010943491.1	WP_011188362.1
OG0000692	WP_010940678.1	WP_228130157.1
OG0000693	WP_010940806.1	WP_011187992.1
OG0000694	WP_010944074.1	WP_228130169.1
OG0000695	WP_010942109.1	WP_041277557.1
OG0000696	WP_010941175.1	WP_011187783.1
OG0000697	WP_010943823.1	WP_011188062.1
OG0000698	WP_010941311.1	WP_011190048.1
OG0000699	WP_010941314.1	WP_011188875.1
OG0000700	WP_010942509.1	WP_011189416.1
OG0000701	WP_010942457.1	WP_011189993.1
OG0000702	WP_010942686.1	WP_011190258.1
OG0000704	WP_010943688.1	WP_011190134.1
OG0000705	WP_010943689.1	WP_228130152.1
OG0000706	WP_010943690.1	WP_041278076.1
OG0000707	WP_010943694.1	WP_011190139.1
OG0000708	WP_010943703.1	WP_011190146.1
OG0000709	WP_010941854.1	WP_011189173.1
OG0000710	WP_010942229.1	WP_228130149.1
OG0000711	WP_010942353.1	WP_011187767.1
OG0000712	WP_010943831.1	WP_011189831.1
OG0000713	WP_010942252.1	WP_041277854.1
OG0000714	WP_010942331.1	WP_041278052.1
OG0000715	WP_010942333.1	WP_041277673.1
OG0000716	WP_010942335.1	WP_011188345.1
OG0000717	WP_010943498.1	WP_011188355.1
OG0000718	WP_010943497.1	WP_011188356.1
OG0000719	WP_010943496.1	WP_011188357.1
OG0000720	WP_010943493.1	WP_011188360.1
OG0000721	WP_010943490.1	WP_011188363.1
OG0000722	WP_010943487.1	WP_173362840.1
OG0000723	WP_010943484.1	WP_011188369.1
OG0000724	WP_010943479.1	WP_011188374.1
OG0000725	WP_010943476.1	WP_011188377.1
OG0000726	WP_010943474.1	WP_011188379.1
OG0000727	WP_010943469.1	WP_011188383.1
OG0000728	WP_010943468.1	WP_011188384.1
OG0000729	WP_010943467.1	WP_041277681.1
OG0000730	WP_010943466.1	WP_011188386.1
OG0000731	WP_010943460.1	WP_011188392.1
OG0000732	WP_010943459.1	WP_011188393.1
OG0000733	WP_010943458.1	WP_011188394.1
OG0000734	WP_010942240.1	WP_011189848.1
OG0000735	WP_010941785.1	WP_011188914.1
OG0000737	WP_010942233.1	WP_011189854.1
OG0000738	WP_010943606.1	WP_011187673.1
OG0000739	WP_010942849.1	WP_011189841.1
OG0000740	WP_010942479.1	WP_011188173.1
OG0000741	WP_010942525.1	WP_011188046.1
OG0000743	WP_010942133.1	WP_011188337.1
OG0000744	WP_010942877.1	WP_041277765.1
OG0000745	WP_010940804.1	WP_041278703.1
OG0000746	WP_010942838.1	WP_011189168.1
OG0000747	WP_010943729.1	WP_011189969.1
OG0000748	WP_010943728.1	WP_011189968.1
OG0000749	WP_010943205.1	WP_011190196.1
OG0000750	WP_010940975.1	WP_011187822.1
OG0000751	WP_010940978.1	WP_041277561.1
OG0000753	WP_010943874.1	WP_041278830.1
OG0000754	WP_010942540.1	WP_011188011.1
OG0000755	WP_010942539.1	WP_011188010.1
OG0000756	WP_010943890.1	WP_041277989.1
OG0000758	WP_010940682.1	WP_011187895.1
OG0000759	WP_010943243.1	WP_041278102.1
OG0000760	WP_010943240.1	WP_228130188.1
OG0000761	WP_010942107.1	WP_011187967.1
OG0000762	WP_010940819.1	WP_011190198.1
OG0000763	WP_010940821.1	WP_011190199.1
OG0000764	WP_010940824.1	WP_011188073.1
OG0000765	WP_010941053.1, WP_010940752.1	WP_011187322.1, WP_011189819.1
OG0000766	WP_010942471.1	WP_011187956.1
OG0000767	WP_010942868.1	WP_011188486.1
OG0000768	WP_193360270.1	WP_011188930.1
OG0000769	WP_010942565.1	WP_011188396.1
OG0000770	WP_010942563.1	WP_011188398.1
OG0000771	WP_010942562.1	WP_156792213.1
OG0000772	WP_010942561.1	WP_011188400.1
OG0000773	WP_010942560.1	WP_011188401.1
OG0000774	WP_010942559.1	WP_011188402.1
OG0000775	WP_010942908.1	WP_156792175.1
OG0000776	WP_010942906.1	WP_041278880.1
OG0000777	WP_010942905.1	WP_011190185.1
OG0000778	WP_010942051.1, WP_010943005.1	WP_011189054.1
OG0000779	WP_010942455.1	WP_011190173.1
OG0000781	WP_010943501.1, WP_010943424.1	WP_011190291.1
OG0000782	WP_010942467.1	WP_011188085.1
OG0000783	WP_010942350.1	WP_011189184.1
OG0000784	WP_010942835.1	WP_173362838.1
OG0000785	WP_010942834.1	WP_011188146.1
OG0000786	WP_010943073.1, WP_010943294.1, WP_010943646.1	WP_011190398.1, WP_011189336.1
OG0000787	WP_010941674.1	WP_011190159.1
OG0000788	WP_010942131.1	WP_011189147.1
OG0000789	WP_010942247.1	WP_041278010.1
OG0000790	WP_010942870.1	WP_011188029.1
OG0000791	WP_010941878.1	WP_011187571.1
OG0000792	WP_010942227.1	WP_041278009.1
OG0000793	WP_010942644.1	WP_011189207.1
OG0000794	WP_010941772.1	WP_011189176.1
OG0000795	WP_010942865.1	WP_011190180.1
OG0000796	WP_010942409.1	WP_011189940.1
OG0000797	WP_010942411.1	WP_011189186.1
OG0000799	WP_010943258.1	WP_011190084.1
OG0000800	WP_010942281.1	WP_011187504.1
OG0000801	WP_010943004.1	WP_011190119.1
OG0000802	WP_010943507.1	WP_041278047.1
OG0000803	WP_010943508.1	WP_011188525.1
OG0000804	WP_010943769.1	WP_011189007.1
OG0000806	WP_010940684.1	WP_011187896.1
OG0000807	WP_010941324.1	WP_049785110.1
OG0000808	WP_010942568.1	WP_011188409.1
OG0000809	WP_010942688.1	WP_011189037.1
OG0000810	WP_010942940.1	WP_011187914.1
OG0000811	WP_010942581.1	WP_011189036.1
OG0000812	WP_010942021.1, WP_010943943.1	WP_011188621.1
OG0000813	WP_010943976.1	WP_011190169.1
OG0000815	WP_010941271.1	WP_011188855.1
OG0000816	WP_010942438.1	WP_011187952.1
OG0000817	WP_010940708.1	WP_041277591.1
OG0000818	WP_010942733.1	WP_011189743.1
OG0000819	WP_010942277.1	WP_041277865.1
OG0000822	WP_010942723.1	WP_011188324.1
OG0000823	WP_010942720.1	WP_041277669.1
OG0000824	WP_010941241.1	WP_011187363.1
OG0000825	WP_010941242.1	WP_011188727.1
OG0000827	WP_010942167.1	WP_011188664.1
OG0000828	WP_010942166.1	WP_011188665.1
OG0000829	WP_010942165.1	WP_011188666.1
OG0000830	WP_010942164.1	WP_041277749.1
OG0000831	WP_010942163.1	WP_083818944.1
OG0000832	WP_193360261.1	WP_041278463.1
OG0000833	WP_010941018.1	WP_011188552.1
OG0000834	WP_235044855.1	WP_011190339.1
OG0000835	WP_010942522.1	WP_265588585.1, WP_228130161.1
OG0000836	WP_010941899.1	WP_011190015.1
OG0000837	WP_010943725.1	WP_011189967.1
OG0000838	WP_010943895.1	WP_011190320.1
OG0000839	WP_010941321.1	WP_011189976.1
OG0000841	WP_010940957.1	WP_011187964.1
OG0000842	WP_010941268.1	WP_011189994.1
OG0000843	WP_010941329.1	WP_011189839.1
OG0000844	WP_010941307.1	WP_011190044.1
OG0000845	WP_200858943.1	WP_041278056.1
OG0000846	WP_010941303.1	WP_041278055.1
OG0000848	WP_010943828.1	WP_049785106.1
OG0000849	WP_010943181.1	WP_011188952.1
OG0000851	WP_010942532.1	WP_041277521.1
OG0000852	WP_010943721.1	WP_011188523.1
OG0000853	WP_010943719.1	WP_011188569.1
OG0000854	WP_010942178.1	WP_011189880.1
OG0000855	WP_010943503.1	WP_011188566.1
OG0000856	WP_010943641.1	WP_011189878.1
OG0000857	WP_010941275.1	WP_011188923.1
OG0000858	WP_010943026.1	WP_011187521.1
OG0000859	WP_010940944.1	WP_011188978.1
OG0000860	WP_010940788.1	WP_011188078.1
OG0000861	WP_010944072.1	WP_011188524.1
OG0000862	WP_010944073.1	WP_041278336.1
OG0000863	WP_010943343.1	WP_228130144.1
OG0000864	WP_010943985.1	WP_011188040.1
OG0000865	WP_010940832.1	WP_011187680.1
OG0000866	WP_010943896.1	WP_011187847.1
OG0000867	WP_010941005.1	WP_011188057.1
OG0000868	WP_010943265.1	WP_011190333.1, WP_011189786.1
OG0000869	WP_010943492.1	WP_011188361.1
OG0000870	WP_010940695.1	WP_011187527.1
OG0000871	WP_041914012.1	WP_011189849.1
OG0000872	WP_010942918.1	WP_193763854.1
OG0000873	WP_010943758.1	WP_011189793.1
OG0000874	WP_010942555.1	WP_041278050.1
OG0000875	WP_010940803.1	WP_156792221.1
OG0000876	WP_010942402.1	WP_011189775.1
OG0000877	WP_010941776.1	WP_011190326.1
OG0000878	WP_010941797.1	WP_011187891.1
OG0000879	WP_010942567.1	WP_011189824.1
OG0000880	WP_010941860.1	WP_049785018.1
OG0000881	WP_010941168.1	WP_011187319.1
OG0000882	WP_010941800.1	WP_041278072.1
OG0000884	WP_010943256.1	WP_011188152.1
OG0000885	WP_010942273.1	WP_011187346.1
OG0000886	WP_010941176.1	WP_011190161.1
OG0000889	WP_010941682.1	WP_011187694.1
OG0000891	WP_010944077.1	WP_228130168.1
OG0000893	WP_010943696.1	WP_011190140.1
OG0000894	WP_010942437.1	WP_041278006.1
OG0000895	WP_193360259.1	WP_011187678.1
OG0000896	WP_010942911.1	WP_011188870.1
OG0000898	WP_010940818.1	WP_011187994.1
OG0000899	WP_010940772.1	WP_011188670.1
OG0000900	WP_010942879.1	WP_041278069.1
OG0000901	WP_010942380.1, WP_010942379.1	WP_011189435.1
OG0000902	WP_010942383.1	WP_011188506.1
OG0000903	WP_010942384.1	WP_228130176.1
OG0000904	WP_010943253.1	WP_011188485.1
OG0000905	WP_010942398.1	WP_011189445.1, WP_011189400.1
OG0000906	WP_010943893.1	WP_011190322.1
OG0000908	WP_010941810.1	WP_049785124.1
OG0000913	WP_010943338.1	WP_011187576.1
OG0000921	WP_010942587.1	WP_011187292.1, WP_011187838.1
OG0000922	WP_010942658.1	WP_011187318.1
OG0000929	WP_010941058.1	WP_011189415.1
OG0000930	WP_010943684.1	WP_041278638.1
OG0000931	WP_010943639.1	WP_011189193.1
OG0000933	WP_010943669.1	WP_011189930.1
OG0000934	WP_010943664.1	WP_011188900.1
OG0000935	WP_010943604.1	WP_041277923.1
OG0000936	WP_010943877.1, WP_010942004.1	WP_011188905.1
OG0000937	WP_235044965.1	WP_011188588.1, WP_011188587.1
OG0000940	WP_010943154.1	WP_011187514.1, WP_049785042.1
OG0000943	WP_010943638.1	WP_011189192.1
OG0000944	WP_010940881.1	WP_011187341.1
OG0000946	WP_010941361.1	WP_041277743.1
OG0000949	WP_010943353.1	WP_041277648.1, WP_011189453.1
OG0000950	WP_010942833.1, WP_010943597.1	WP_156792255.1
OG0000962	WP_010943826.1	WP_011189457.1
OG0000963	WP_010940786.1	WP_011188076.1
OG0000964	WP_010942553.1	WP_011190012.1
OG0000965	WP_010940744.1	WP_228130206.1
OG0000967	WP_010941771.1	WP_011189189.1
OG0000970	WP_010943924.1	WP_011188328.1
OG0000971	WP_010940828.1	WP_011187682.1
OG0000972	WP_010942579.1	WP_011189519.1
OG0000973	WP_010943293.1, WP_010943082.1	WP_011189337.1, WP_011190397.1
OG0000974	WP_010940791.1	WP_011190049.1
OG0000978	WP_010943486.1	WP_011188367.1
OG0000980	WP_010940742.1	WP_011188680.1
OG0000982	WP_010944067.1	WP_011188025.1
OG0000983	WP_010941478.1	WP_011190063.1
OG0000984	WP_010941114.1	WP_011187941.1
OG0000985	WP_010941008.1	WP_011188560.1
OG0000987	WP_010941925.1	WP_011188857.1
OG0000988	WP_010942336.1	WP_011188973.1
OG0000989	WP_010942846.1	WP_011188859.1
OG0000990	WP_010941742.1	WP_156792200.1
OG0000991	WP_010940836.1	WP_041277519.1
OG0000994	WP_010943463.1	WP_083818937.1
OG0000996	WP_010942478.1	WP_041277423.1
OG0000998	WP_010942692.1	WP_011189982.1
OG0001001	WP_197714222.1	WP_041277663.1
OG0001002	WP_010942234.1	WP_011189853.1
OG0001007	WP_010943757.1	WP_011189792.1
OG0001010	WP_010944060.1	WP_011187750.1, WP_049784987.1
OG0001012	WP_010940916.1	WP_041277843.1, WP_041277847.1
OG0001013	WP_010941123.1	WP_049785060.1
OG0001014	WP_010942282.1	WP_011190157.1
OG0001015	WP_010942436.1	WP_041278005.1
OG0001016	WP_010942435.1	WP_011189778.1
OG0001017	WP_010943812.1	WP_011189511.1
OG0001019	WP_010943423.1	WP_011190292.1
OG0001022	WP_010942226.1	WP_011187306.1
OG0001023	WP_010943862.1	WP_156792191.1
OG0001026	WP_010940973.1	WP_011189405.1
OG0001027	WP_010943098.1	WP_011190117.1
OG0001028	WP_010942244.1	WP_083818998.1
OG0001030	WP_010942303.1	WP_011187816.1
OG0001031	WP_010941319.1	WP_011189151.1
OG0001033	WP_010943014.1	WP_041277794.1
OG0001034	WP_010943991.1	WP_041277590.1
OG0001035	WP_010943994.1	WP_011187889.1
OG0001036	WP_010941667.1	WP_041277818.1
OG0001037	WP_010941788.1	WP_011189128.1
OG0001038	WP_010942280.1	WP_011187949.1
OG0001039	WP_010940814.1	WP_011190060.1
OG0001040	WP_010942558.1	WP_011188403.1
OG0001041	WP_010940776.1	WP_011190017.1
OG0001042	WP_010941011.1	WP_083818927.1
OG0001042	WP_010943356.1	WP_011189450.1
OG0001043	WP_010942271.1	WP_011187344.1
OG0001044	WP_010943500.1	WP_083818936.1
OG0001046	WP_010942079.1	WP_011190051.1
OG0001049	WP_010943554.1	WP_041277587.1
OG0001050	WP_010943584.1	WP_041277856.1
OG0001051	WP_010941971.1	WP_011188984.1
OG0001052	WP_010942180.1	WP_011188584.1
OG0001053	WP_010941289.1	WP_041277415.1
OG0001054	WP_010942612.1	WP_011190182.1
OG0001055	WP_010941926.1	WP_041277435.1
OG0001057	WP_010940846.1	WP_011188545.1
OG0001059	WP_010940872.1	WP_011187902.1
OG0001060	WP_010942549.1	WP_049785045.1
OG0001068	WP_010941152.1	WP_011188852.1
OG0001072	WP_010941057.1	WP_011189869.1
OG0001073	WP_010941065.1	WP_011189989.1, WP_011188204.1
OG0001074	WP_010940885.1	WP_011190341.1
OG0001076	WP_010943204.1	WP_011190197.1
OG0001081	WP_010943771.1	WP_041277700.1
OG0001083	WP_010941934.1, WP_010943634.1	WP_011188005.1
OG0001084	WP_010943632.1, WP_010941935.1	WP_011188002.1
OG0001085	WP_010943537.1	WP_011189370.1
OG0001086	WP_010943587.1	WP_011188189.1
OG0001088	WP_010943706.1	WP_011187879.1
OG0001089	WP_010940878.1	WP_041278115.1, WP_011188964.1
OG0001092	WP_010943906.1	WP_011188888.1, WP_041277802.1
OG0001093	WP_010941431.1	WP_011189705.1
OG0001096	WP_010942440.1	WP_228130173.1
OG0001097	WP_010943581.1	WP_011187452.1
OG0001098	WP_010943628.1	WP_041277489.1
OG0001100	WP_010943977.1	WP_011189979.1
OG0001101	WP_010942251.1	WP_011190028.1
OG0001102	WP_010943298.1, WP_010943860.1	WP_011190069.1
OG0001103	WP_010942582.1	WP_011189811.1
OG0001104	WP_010941834.1	WP_011189835.1
OG0001105	WP_010942115.1	WP_011189561.1
OG0001106	WP_010942114.1	WP_011189562.1
OG0001108	WP_010943620.1	WP_011189190.1
OG0001109	WP_010943619.1	WP_011189191.1
OG0001110	WP_010943640.1	WP_011189194.1
OG0001111	WP_010942343.1, WP_010940704.1	WP_011189652.1
OG0001113	WP_010940774.1	WP_011190127.1
OG0001114	WP_010941088.1	WP_011189908.1
OG0001116	WP_010941299.1	WP_011189508.1
OG0001118	WP_010941601.1	WP_011187917.1
OG0001119	WP_010942058.1	WP_011188639.1, WP_041278058.1
OG0001120	WP_010941817.1	WP_011188572.1
OG0001121	WP_010943980.1	WP_011188932.1
OG0001124	WP_010942116.1	WP_011189560.1
OG0001125	WP_010941213.1	WP_011187916.1
OG0001126	WP_010943591.1	WP_011187700.1
OG0001127	WP_010941204.1	WP_011189411.1
OG0001136	WP_010944006.1	WP_011189732.1
OG0001143	WP_010943899.1	WP_265588575.1
OG0001145	WP_010941181.1	WP_011189970.1
OG0001155	WP_010943078.1	WP_011188483.1
OG0001159	WP_010941902.1	WP_011189038.1
OG0001161	WP_010942330.1	WP_011190027.1
OG0001163	WP_010943473.1	WP_011188380.1
OG0001165	WP_010944063.1	WP_011188521.1
OG0001169	WP_010941125.1	WP_011189086.1
OG0001175	WP_193360272.1	WP_011189149.1
OG0001177	WP_010942542.1	WP_162096618.1
OG0001178	WP_010943678.1	WP_011189919.1
OG0001179	WP_010942439.1	WP_041277711.1
OG0001180	WP_010943071.1	WP_011187542.1
OG0001181	WP_010941048.1	WP_011187541.1
OG0001182	WP_010942518.1	WP_049785032.1
OG0001183	WP_010941787.1	WP_011189001.1
OG0001186	WP_010942966.1, WP_235044885.1	WP_011189391.1
OG0001189	WP_010942182.1	WP_011188586.1
OG0001190	WP_235044993.1	WP_049785029.1
OG0001191	WP_010943351.1	WP_041277434.1
OG0001192	WP_010942370.1	WP_011187771.1
OG0001197	WP_010942235.1	WP_011189852.1
OG0001198	WP_010943183.1	WP_041278650.1
OG0001200	WP_010942381.1	WP_041277710.1
OG0001204	WP_010943052.1	WP_011187324.1
OG0001209	WP_010943158.1	WP_041277637.1
OG0001217	WP_010942067.1	WP_228130211.1
OG0001221	WP_010942259.1	WP_011187362.1
OG0001223	WP_010940817.1	WP_011187993.1
OG0001227	WP_010943863.1	WP_011189818.1
OG0001230	WP_010940809.1	WP_011187958.1
OG0001232	WP_235044919.1	WP_011187878.1
OG0001233	WP_041914028.1	WP_011187456.1
OG0001239	WP_010941096.1	WP_041277965.1
OG0001240	WP_010941020.1	WP_011189039.1
OG0001241	WP_010941193.1	WP_011187365.1
OG0001242	WP_010942871.1	WP_011188030.1
OG0001244	WP_193360256.1	WP_011188050.1
OG0001245	WP_010941004.1	WP_049785003.1
OG0001246	WP_010940784.1	WP_011188074.1
OG0001247	WP_010943502.1	WP_156792206.1
OG0001248	WP_010943712.1	WP_011188158.1
OG0001249	WP_010941536.1, WP_010940985.1	WP_041277427.1
OG0001252	WP_010941798.1	WP_011190111.1
OG0001253	WP_010941550.1	WP_011190107.1
OG0001254	WP_010942907.1	WP_041278070.1
OG0001255	WP_010941959.1	WP_011190081.1
OG0001256	WP_010941722.1	WP_011190179.1
OG0001257	WP_010940778.1	WP_011190174.1
OG0001258	WP_010942452.1	WP_011188880.1
OG0001259	WP_010942451.1	WP_041277800.1
OG0001264	WP_010941103.1	WP_011190206.1
OG0001273	WP_235044901.1	WP_011187990.1
OG0001274	WP_010942443.1	WP_228130163.1
OG0001276	WP_010943629.1	WP_011187464.1
OG0001277	WP_010943636.1	WP_041277468.1
OG0001278	WP_010943622.1	WP_011187469.1
OG0001279	WP_010943623.1	WP_011187468.1
OG0001281	WP_010940701.1	WP_011189654.1
OG0001282	WP_010942068.1	WP_011189655.1
OG0001284	WP_010941079.1	WP_011189898.1
OG0001285	WP_010941080.1	WP_041278035.1
OG0001286	WP_010941081.1	WP_011189900.1
OG0001287	WP_010941084.1	WP_011189903.1
OG0001288	WP_010941085.1	WP_011189904.1
OG0001289	WP_010941095.1	WP_011189915.1
OG0001290	WP_010943681.1	WP_011189916.1
OG0001293	WP_010942578.1	WP_011189639.1
OG0001295	WP_010942365.1	WP_011189506.1, WP_265588558.1
OG0001296	WP_010943339.1	WP_011187575.1
OG0001297	WP_010943340.1	WP_011187574.1
OG0001298	WP_010941305.1	WP_011190042.1
OG0001302	WP_010940816.1	WP_011188052.1
OG0001303	WP_010943854.1	WP_011190054.1
OG0001304	WP_010942867.1	WP_011188487.1
OG0001305	WP_010943918.1	WP_011188988.1
OG0001308	WP_010940785.1	WP_011188075.1
OG0001313	WP_010943055.1, WP_010943354.1	WP_041277924.1
OG0001314	WP_010943404.1	WP_011188928.1
OG0001317	WP_010941865.1	WP_011189986.1, WP_011189306.1
OG0001318	WP_010941174.1	WP_011188259.1
OG0001324	WP_010941238.1	WP_011188518.1
OG0001327	WP_010942127.1	WP_011187399.1
OG0001330	WP_010941918.1	WP_011188919.1
OG0001333	WP_010941967.1	WP_011189294.1
OG0001336	WP_010941819.1	WP_011187561.1
OG0001339	WP_010942712.1	WP_011190118.1
OG0001341	WP_010943101.1	WP_041277703.1
OG0001344	WP_010940690.1	WP_011187522.1
OG0001350	WP_010942673.1	WP_156792166.1
OG0001351	WP_010942674.1	WP_011187354.1
OG0001354	WP_010940917.1	WP_011189092.1
OG0001356	WP_010941046.1	WP_011187543.1
OG0001357	WP_010943960.1	WP_011187805.1
OG0001361	WP_235045009.1	WP_011190037.1
OG0001367	WP_010942690.1	WP_011187892.1
OG0001368	WP_010943713.1	WP_011188122.1
OG0001379	WP_010942675.1	WP_156792165.1
OG0001382	WP_010941043.1	WP_011187546.1
OG0001384	WP_010940797.1	WP_041277560.1
OG0001389	WP_010941031.1	WP_041277825.1
OG0001390	WP_010942140.1	WP_011189963.1
OG0001393	WP_010942422.1	WP_011188776.1
OG0001395	WP_010942338.1	WP_011189860.1
OG0001397	WP_010940986.1	WP_011188549.1
OG0001398	WP_010941162.1	WP_162096645.1
OG0001399	WP_010940946.1	WP_156792316.1
OG0001402	WP_010940921.1, WP_010940879.1	WP_041277838.1
OG0001408	WP_010941752.1	WP_041278124.1
OG0001411	WP_010941021.1	WP_011187982.1
OG0001413	WP_010942174.1	WP_041277565.1
OG0001418	WP_010942847.1	WP_011188131.1
OG0001423	WP_010943456.1	WP_011189817.1
OG0001424	WP_010943609.1	WP_011187337.1
OG0001428	WP_010943707.1	WP_011187984.1
OG0001432	WP_010942957.1	WP_011189385.1
OG0001434	WP_010941197.1	WP_011187298.1
OG0001435	WP_010942956.1	WP_041277741.1
OG0001440	WP_010941351.1	WP_011187606.1
OG0001441	WP_010942482.1	WP_011189324.1
OG0001442	WP_010941964.1	WP_011188543.1
OG0001443	WP_010941381.1	WP_011188909.1
OG0001445	WP_010942337.1	WP_011187528.1
OG0001450	WP_010941243.1	WP_011188609.1, WP_011188068.1
OG0001451	WP_235044987.1	WP_011188087.1
OG0001460	WP_010941597.1	WP_041277804.1
OG0001463	WP_235044882.1	WP_011188107.1
OG0001464	WP_010941857.1	WP_011190088.1
OG0001467	WP_010942998.1	WP_011187454.1
OG0001474	WP_010943727.1	WP_041277925.1
OG0001477	WP_010941290.1	WP_041277414.1
OG0001478	WP_010942741.1	WP_011187447.1
OG0001481	WP_010941112.1	WP_011190038.1
OG0001482	WP_010942657.1	WP_049785114.1
OG0001488	WP_010941376.1	WP_011189517.1
OG0001490	WP_010941075.1	WP_011189894.1
OG0001491	WP_010941076.1	WP_011189895.1
OG0001492	WP_010941077.1	WP_011189896.1
OG0001493	WP_010941078.1	WP_162096664.1
OG0001494	WP_010941089.1	WP_011189909.1
OG0001495	WP_010941090.1	WP_011189910.1
OG0001496	WP_010941092.1	WP_011189912.1
OG0001497	WP_010941093.1	WP_011189913.1
OG0001498	WP_010941094.1	WP_011189914.1
OG0001499	WP_010943677.1	WP_011189921.1
OG0001500	WP_010943676.1	WP_011189922.1
OG0001501	WP_010943675.1	WP_011189923.1
OG0001502	WP_010943674.1	WP_011189924.1
OG0001503	WP_010943673.1	WP_011189925.1
OG0001504	WP_010943667.1	WP_011189932.1
OG0001505	WP_010943663.1	WP_083818954.1
OG0001506	WP_010941896.1, WP_010943660.1	WP_011189723.1
OG0001511	WP_010941117.1	WP_011189770.1, WP_011188610.1
OG0001512	WP_010941709.1	WP_011189771.1
OG0001514	WP_010943624.1	WP_011187467.1
OG0001515	WP_010943626.1	WP_011187466.1
OG0001516	WP_010943558.1, WP_010943394.1	WP_011189380.1
OG0001528	WP_010941132.1	WP_011189418.1
OG0001529	WP_010943627.1	WP_011187465.1
OG0001530	WP_010942220.1	WP_011188098.1
OG0001533	WP_010943767.1	WP_083818939.1
OG0001535	WP_010942914.1	WP_228130195.1
OG0001539	WP_010942084.1	WP_041277566.1
OG0001541	WP_010943775.1	WP_011187589.1
OG0001542	WP_010941437.1	WP_011190079.1
OG0001543	WP_010941775.1	WP_041277504.1
OG0001546	WP_010943708.1	WP_011190344.1
OG0001547	WP_010941783.1	WP_011188028.1
OG0001549	WP_010943748.1	WP_041277919.1, WP_011189108.1
OG0001562	WP_010943355.1	WP_011189620.1, WP_049785086.1
OG0001573	WP_010941328.1	WP_041278027.1
OG0001582	WP_010943199.1	WP_011189981.1
OG0001585	WP_010941151.1	WP_011187412.1
OG0001586	WP_010942366.1	WP_011187411.1
OG0001593	WP_010941045.1	WP_011187544.1
OG0001595	WP_010942483.1, WP_010940859.1, WP_010941145.1	WP_011188895.1
OG0001607	WP_010941400.1	WP_011188289.1
OG0001616	WP_010942894.1	WP_011189460.1
OG0001628	WP_014551636.1	WP_011189847.1
OG0001631	WP_010941230.1	WP_011187409.1
OG0001632	WP_010942378.1	WP_011188509.1
OG0001633	WP_010940912.1	WP_011189094.1
OG0001635	WP_010941195.1	WP_011187569.1
OG0001636	WP_010943197.1	WP_049785020.1
OG0001637	WP_010941113.1	WP_156792253.1
OG0001642	WP_010942008.1	WP_041277457.1
OG0001643	WP_010942948.1	WP_011189163.1
OG0001644	WP_010940888.1	WP_041278125.1
OG0001664	WP_010941194.1	WP_011189627.1
OG0001665	WP_010943607.1	WP_011187674.1
OG0001667	WP_010943965.1	WP_162096657.1
OG0001672	WP_010940770.1	WP_011187325.1
OG0001675	WP_010941760.1	WP_011189122.1
OG0001680	WP_010941190.1	WP_011188141.1
OG0001690	WP_010943588.1	WP_011188191.1
OG0001691	WP_010943589.1	WP_011188192.1
OG0001700	WP_010941234.1	WP_011187556.1
OG0001706	WP_010941003.1	WP_011188059.1
OG0001709	WP_010942397.1	WP_011188091.1
OG0001711	WP_010940751.1	WP_011188104.1
OG0001720	WP_010940830.1	WP_173362832.1
OG0001729	WP_010941848.1	WP_011187942.1
OG0001732	WP_010941850.1, WP_010941901.1	WP_011189958.1
OG0001735	WP_010940775.1	WP_011190018.1
OG0001740	WP_010940886.1	WP_011190342.1
OG0001741	WP_235044939.1	WP_198408690.1
OG0001747	WP_010941082.1	WP_011189901.1
OG0001748	WP_010943672.1	WP_011189926.1
OG0001749	WP_010943668.1	WP_011189931.1
OG0001750	WP_010943666.1	WP_011189933.1
OG0001751	WP_010943643.1	WP_011188901.1
OG0001752	WP_010941748.1	WP_041277964.1
OG0001758	WP_010943704.1	WP_011189510.1
OG0001759	WP_010941565.1	WP_011189374.1
OG0001760	WP_010941836.1	WP_011189376.1
OG0001761	WP_010941837.1	WP_011189377.1
OG0001762	WP_010941838.1	WP_011189378.1
OG0001764	WP_010941308.1	WP_041278057.1
OG0001770	WP_010943687.1	WP_011190133.1
OG0001779	WP_010940833.1	WP_011187679.1
OG0001782	WP_010941782.1	WP_011187703.1
OG0001795	WP_010942100.1	WP_011188878.1
OG0001800	WP_010943585.1	WP_011189019.1
