Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio vulgaris DP4
OG0000593	WP_011071160.1	WP_010939717.1
OG0000594	WP_164925584.1	WP_011792105.1
OG0000595	WP_011073680.1	WP_043629095.1
OG0000596	WP_011070930.1	WP_010939198.1
OG0000597	WP_011070933.1	WP_010938825.1
OG0000598	WP_011073908.1	WP_010939782.1
OG0000599	WP_006083042.1	WP_010938256.1
OG0000600	WP_011070456.1	WP_011793123.1
OG0000601	WP_011070650.1	WP_011792532.1
OG0000602	WP_011073283.1, WP_011073273.1, WP_011073768.1, WP_011073717.1	WP_010939199.1
OG0000603	WP_011071702.1	WP_010939174.1
OG0000604	WP_011073440.1	WP_223294672.1
OG0000605	WP_011073439.1	WP_011792614.1
OG0000606	WP_011072376.1	WP_010938095.1
OG0000607	WP_164925802.1	WP_043629197.1
OG0000608	WP_011071703.1	WP_010938113.1
OG0000609	WP_011072357.1	WP_010939740.1
OG0000610	WP_011073188.1	WP_043629734.1
OG0000611	WP_011071421.1	WP_010940503.1
OG0000612	WP_011071798.1	WP_011792682.1
OG0000613	WP_006080791.1	WP_010938136.1
OG0000615	WP_011071784.1	WP_010938173.1
OG0000616	WP_011071786.1	WP_010938170.1
OG0000617	WP_011070618.1	WP_010938599.1
OG0000618	WP_011070620.1	WP_010938601.1
OG0000619	WP_006083596.1	WP_010938602.1
OG0000620	WP_006083595.1	WP_010938603.1
OG0000621	WP_011070621.1	WP_010938604.1
OG0000623	WP_011073687.1	WP_011791413.1
OG0000624	WP_007650346.1	WP_010938227.1
OG0000625	WP_011073451.1	WP_010938226.1
OG0000626	WP_011073399.1	WP_011792978.1
OG0000627	WP_011073042.1	WP_011792444.1
OG0000628	WP_011071409.1	WP_011792199.1
OG0000630	WP_011073225.1	WP_010938669.1
OG0000631	WP_011073224.1	WP_010938667.1
OG0000632	WP_011073222.1	WP_010937362.1
OG0000634	WP_011073362.1	WP_011793164.1
OG0000635	WP_011071429.1	WP_010938578.1
OG0000637	WP_011072714.1	WP_010938504.1
OG0000638	WP_011070724.1	WP_010938199.1
OG0000639	WP_011072734.1	WP_043629256.1
OG0000640	WP_011072733.1	WP_010937959.1
OG0000641	WP_011073048.1	WP_010938000.1
OG0000642	WP_011072310.1	WP_011793050.1
OG0000643	WP_011072175.1	WP_010938865.1
OG0000644	WP_011071416.1	WP_011792392.1
OG0000645	WP_011072241.1	WP_011792997.1
OG0000646	WP_011070601.1	WP_011791805.1
OG0000647	WP_011073899.1	WP_010939773.1
OG0000648	WP_011073903.1	WP_010939777.1
OG0000649	WP_011073601.1	WP_010938866.1
OG0000650	WP_011072929.1	WP_011792870.1
OG0000651	WP_238560600.1	WP_011792873.1
OG0000652	WP_011071706.1	WP_010938643.1
OG0000653	WP_011071555.1	WP_043629518.1
OG0000655	WP_011074260.1	WP_011792855.1
OG0000656	WP_011071432.1	WP_010937817.1
OG0000657	WP_011071433.1	WP_010937816.1
OG0000658	WP_011071436.1	WP_011792851.1
OG0000659	WP_011071437.1	WP_181409373.1
OG0000660	WP_006083052.1	WP_010939789.1
OG0000661	WP_011073682.1	WP_010939788.1
OG0000662	WP_011074308.1	WP_011792821.1
OG0000663	WP_011070907.1	WP_010938977.1
OG0000664	WP_011074083.1	WP_223294688.1
OG0000665	WP_011073514.1	WP_010938035.1
OG0000666	WP_011073620.1	WP_010938853.1, WP_014524388.1
OG0000667	WP_011071021.1	WP_010939263.1
OG0000670	WP_011072407.1	WP_011791970.1
OG0000671	WP_006079870.1	WP_010938507.1
OG0000672	WP_011073376.1	WP_011791432.1
OG0000673	WP_011074185.1	WP_010938823.1
OG0000674	WP_011074184.1	WP_011791534.1
OG0000675	WP_011074182.1	WP_011791332.1
OG0000676	WP_011074181.1	WP_010938875.1
OG0000677	WP_006083577.1	WP_010938622.1
OG0000678	WP_011070630.1	WP_010938621.1
OG0000679	WP_011071566.1	WP_010938140.1
OG0000680	WP_011073313.1	WP_010938494.1
OG0000681	WP_007644333.1	WP_010940187.1
OG0000682	WP_011070609.1	WP_043629159.1
OG0000683	WP_011071611.1	WP_010939599.1
OG0000684	WP_011074329.1	WP_010938075.1
OG0000685	WP_011070627.1	WP_010938614.1
OG0000686	WP_011072309.1	WP_010938890.1
OG0000687	WP_011070623.1	WP_010938609.1
OG0000688	WP_011070622.1	WP_010938607.1
OG0000689	WP_007644429.1	WP_010938606.1
OG0000690	WP_011073293.1	WP_010938747.1
OG0000691	WP_011070612.1	WP_010938593.1
OG0000692	WP_011070424.1	WP_049758104.1
OG0000693	WP_011070447.1	WP_011791337.1
OG0000694	WP_011070419.1	WP_011792542.1
OG0000695	WP_011072408.1	WP_011791336.1
OG0000696	WP_011071503.1	WP_011791441.1
OG0000697	WP_011073781.1	WP_011791481.1
OG0000698	WP_011070671.1	WP_010938134.1
OG0000699	WP_011070673.1	WP_011792683.1
OG0000700	WP_011073442.1	WP_011792217.1
OG0000701	WP_011073824.1	WP_011792484.1
OG0000702	WP_011070774.1	WP_011792477.1
OG0000704	WP_011073896.1	WP_010939769.1
OG0000705	WP_011073897.1	WP_010939770.1
OG0000706	WP_011073898.1	WP_223294677.1
OG0000707	WP_011073900.1	WP_011791804.1
OG0000708	WP_011073909.1	WP_010939783.1
OG0000709	WP_011074146.1	WP_043629306.1
OG0000710	WP_011072679.1	WP_011791775.1
OG0000711	WP_011071661.1	WP_010938129.1
OG0000712	WP_011073450.1	WP_010938228.1
OG0000713	WP_011073318.1	WP_010938499.1
OG0000714	WP_011073316.1	WP_011792505.1
OG0000715	WP_011073314.1	WP_010938495.1
OG0000716	WP_011073312.1	WP_010938493.1
OG0000717	WP_011070606.1	WP_010940183.1
OG0000718	WP_011070607.1	WP_010940184.1
OG0000719	WP_011070608.1	WP_010940185.1
OG0000720	WP_011070610.1	WP_011791613.1
OG0000721	WP_011070613.1	WP_010938594.1
OG0000722	WP_011070616.1	WP_010938597.1
OG0000723	WP_037421480.1	WP_011792455.1
OG0000724	WP_006083593.1	WP_010938605.1
OG0000725	WP_006083590.1	WP_010938608.1
OG0000726	WP_011070624.1	WP_010938610.1
OG0000727	WP_007644438.1	WP_010938615.1
OG0000728	WP_006083582.1	WP_010938616.1
OG0000729	WP_011070628.1	WP_010938617.1
OG0000730	WP_011070629.1	WP_010938618.1
OG0000731	WP_011070631.1	WP_010938623.1
OG0000732	WP_011070632.1	WP_010938624.1
OG0000733	WP_007644470.1	WP_010938625.1
OG0000734	WP_011073925.1	WP_011791926.1
OG0000735	WP_011073924.1	WP_011791344.1
OG0000737	WP_011071434.1	WP_011792849.1
OG0000738	WP_011073375.1	WP_010938947.1
OG0000739	WP_011071405.1	WP_011792507.1
OG0000740	WP_011074057.1	WP_010940646.1
OG0000741	WP_011071209.1	WP_010939720.1
OG0000742	WP_011073511.1	WP_014524672.1
OG0000743	WP_011073366.1	WP_010937757.1
OG0000744	WP_007651394.1	WP_010940500.1
OG0000745	WP_011073823.1	WP_011792461.1
OG0000746	WP_011071412.1	WP_043629470.1
OG0000747	WP_011070765.1	WP_049758073.1
OG0000748	WP_011073821.1	WP_010940172.1
OG0000749	WP_011072580.1	WP_011792699.1
OG0000750	WP_164925864.1	WP_043629133.1
OG0000751	WP_011072154.1	WP_010937633.1
OG0000752	WP_011074006.1	WP_010938673.1
OG0000753	WP_011072469.1	WP_011792330.1
OG0000754	WP_011073297.1	WP_010938914.1
OG0000755	WP_011073591.1	WP_011792317.1
OG0000756	WP_011071973.1	WP_011792702.1
OG0000758	WP_011072389.1	WP_014524181.1
OG0000759	WP_011072383.1	WP_011792877.1
OG0000760	WP_011072381.1	WP_010940408.1
OG0000761	WP_011072377.1	WP_010938200.1
OG0000762	WP_011070644.1	WP_011792572.1
OG0000763	WP_011073286.1	WP_010938389.1
OG0000764	WP_011073284.1	WP_011792535.1
OG0000766	WP_011071550.1	WP_010939096.1
OG0000767	WP_011071557.1	WP_081428877.1
OG0000768	WP_011071558.1	WP_010937363.1
OG0000769	WP_011071785.1	WP_010938172.1
OG0000770	WP_011071787.1	WP_011792660.1
OG0000771	WP_011071788.1	WP_011792661.1
OG0000772	WP_011071789.1	WP_010938167.1
OG0000773	WP_011071790.1	WP_011792663.1
OG0000774	WP_011071791.1	WP_011792664.1
OG0000775	WP_011071792.1	WP_011791908.1
OG0000776	WP_011071794.1	WP_011791910.1
OG0000777	WP_011071795.1	WP_010939641.1
OG0000779	WP_011071800.1	WP_011792378.1
OG0000780	WP_011071749.1, WP_011071820.1	WP_011792658.1
OG0000782	WP_011073287.1	WP_011792254.1
OG0000783	WP_011071159.1	WP_010939719.1
OG0000784	WP_011073172.1	WP_010938343.1
OG0000785	WP_011073171.1	WP_010938342.1
OG0000787	WP_011070935.1	WP_011791423.1
OG0000788	WP_011073678.1	WP_011791827.1
OG0000789	WP_011072712.1	WP_011792483.1
OG0000790	WP_011072561.1	WP_011791446.1
OG0000792	WP_011072680.1	WP_011791774.1
OG0000793	WP_011070932.1	WP_011792862.1
OG0000794	WP_011073191.1	WP_011791622.1
OG0000795	WP_011073184.1	WP_011791453.1
OG0000796	WP_011071705.1	WP_011792441.1
OG0000797	WP_011073173.1	WP_043629431.1
OG0000798	WP_011073009.1	WP_011792740.1
OG0000799	WP_011073010.1	WP_011791345.1
OG0000800	WP_011072962.1	WP_010937472.1
OG0000801	WP_011072965.1	WP_043629175.1
OG0000802	WP_011072968.1	WP_010940307.1
OG0000803	WP_011073915.1	WP_011791590.1
OG0000806	WP_011070467.1	WP_011791474.1
OG0000807	WP_011071415.1	WP_010938864.1
OG0000808	WP_011071579.1	WP_010938952.1
OG0000809	WP_011073282.1	WP_011792736.1
OG0000811	WP_011070778.1	WP_010939094.1
OG0000813	WP_011071913.1	WP_011792341.1
OG0000815	WP_011070798.1	WP_011791424.1
OG0000816	WP_011073227.1	WP_011791479.1
OG0000817	WP_011073228.1	WP_011791536.1
OG0000818	WP_011073777.1	WP_011792705.1
OG0000819	WP_011072582.1	WP_010940202.1
OG0000822	WP_011073801.1	WP_010938089.1
OG0000823	WP_011071398.1	WP_010938086.1
OG0000824	WP_011070431.1	WP_010939184.1
OG0000825	WP_011070430.1	WP_011792161.1
OG0000827	WP_011072150.1	WP_011791788.1
OG0000828	WP_011072149.1	WP_010939804.1
OG0000829	WP_006081652.1	WP_010939805.1
OG0000830	WP_011072303.1	WP_010939806.1
OG0000831	WP_011072302.1	WP_010939807.1
OG0000832	WP_011072301.1	WP_010939808.1
OG0000834	WP_011071428.1	WP_011792463.1
OG0000835	WP_011070823.1	WP_010939342.1
OG0000836	WP_011074274.1	WP_010938824.1
OG0000837	WP_011073597.1	WP_010940174.1
OG0000838	WP_011073598.1	WP_011792377.1
OG0000839	WP_011073600.1	WP_011792343.1
OG0000840	WP_011072008.1	WP_011791360.1
OG0000841	WP_011071454.1	WP_010938881.1
OG0000842	WP_011073662.1	WP_011792613.1
OG0000843	WP_011073672.1	WP_010938257.1
OG0000844	WP_011071568.1	WP_010938137.1
OG0000845	WP_011071567.1	WP_010938138.1
OG0000846	WP_011071565.1	WP_011792681.1
OG0000848	WP_011071402.1	WP_011792139.1
OG0000849	WP_011073799.1	WP_010937833.1
OG0000850	WP_011073702.1	WP_010938922.1
OG0000851	WP_011073699.1	WP_010938919.1
OG0000852	WP_011072140.1	WP_011792704.1
OG0000853	WP_011072138.1	WP_011792566.1
OG0000854	WP_011072134.1	WP_010937424.1
OG0000855	WP_011070647.1	WP_010937798.1
OG0000856	WP_011074259.1	WP_011792247.1
OG0000858	WP_011072100.1	WP_010939912.1
OG0000859	WP_011074328.1	WP_011791709.1
OG0000860	WP_011074331.1	WP_010938077.1
OG0000861	WP_011074339.1	WP_010938546.1
OG0000862	WP_011074340.1	WP_011792201.1
OG0000863	WP_011070478.1	WP_081428900.1
OG0000864	WP_011070664.1	WP_011791790.1
OG0000865	WP_011070651.1	WP_010938393.1
OG0000866	WP_011073972.1	WP_011792165.1
OG0000867	WP_011071513.1	WP_011791469.1
OG0000869	WP_011070611.1	WP_010940189.1
OG0000870	WP_011072267.1	WP_011792158.1
OG0000871	WP_011071439.1	WP_010937809.1
OG0000872	WP_164925631.1	WP_010939147.1
OG0000873	WP_011073365.1	WP_011792149.1
OG0000874	WP_011072288.1	WP_010938672.1
OG0000875	WP_164925707.1	WP_010940499.1
OG0000876	WP_011072699.1	WP_010938699.1
OG0000877	WP_011073189.1	WP_010939186.1
OG0000878	WP_011071077.1	WP_011792977.1
OG0000879	WP_011071578.1	WP_258312757.1
OG0000881	WP_011074056.1	WP_010939506.1
OG0000882	WP_011071526.1	WP_010938252.1
OG0000883	WP_011073527.1	WP_011791339.1, WP_011793109.1
OG0000884	WP_011073008.1	WP_010939107.1
OG0000885	WP_011071212.1	WP_011791792.1
OG0000886	WP_011072563.1	WP_011791527.1
OG0000887	WP_011072458.1	WP_011793162.1, WP_011792895.1
OG0000888	WP_011073848.1	WP_010937584.1, WP_011176621.1
OG0000889	WP_011073575.1	WP_010938879.1
OG0000890	WP_164925658.1	WP_011791978.1
OG0000891	WP_011070422.1	WP_014524309.1
OG0000892	WP_011072406.1	WP_011791971.1
OG0000893	WP_011073902.1	WP_010939776.1
OG0000894	WP_011071915.1	WP_011792451.1
OG0000895	WP_011073967.1	WP_011792181.1
OG0000896	WP_011071261.1	WP_011791906.1
OG0000898	WP_011073310.1	WP_011792843.1
OG0000899	WP_011072098.1	WP_011791448.1
OG0000900	WP_011073931.1	WP_010938197.1
OG0000904	WP_011070639.1, WP_011070832.1	WP_010939849.1
OG0000906	WP_011073004.1	WP_011792375.1
OG0000907	WP_011072361.1	WP_010940042.1
OG0000912	WP_011073162.1	WP_011793160.1
OG0000913	WP_011074305.1	WP_011792729.1
OG0000917	WP_011072775.1	WP_011792886.1
OG0000918	WP_011073981.1	WP_223294588.1
OG0000921	WP_011073077.1	WP_010940434.1
OG0000922	WP_011072424.1, WP_011070816.1	WP_010939520.1
OG0000928	WP_011073038.1, WP_011073037.1	WP_011792891.1
OG0000931	WP_011071294.1	WP_011791399.1
OG0000933	WP_011073124.1	WP_011792845.1
OG0000934	WP_011073119.1	WP_011792666.1
OG0000935	WP_011073874.1	WP_010938927.1
OG0000937	WP_011073920.1	WP_011791842.1
OG0000938	WP_011073257.1	WP_011792370.1, WP_011792162.1
OG0000939	WP_011073586.1	WP_011791844.1
OG0000941	WP_011072468.1	WP_223294582.1
OG0000943	WP_011071295.1	WP_011792636.1
OG0000947	WP_011072471.1	WP_010940062.1
OG0000948	WP_011072476.1	WP_010940061.1
OG0000951	WP_238560605.1, WP_011074188.1	WP_010940476.1
OG0000952	WP_011071701.1	WP_010940285.1, WP_011791833.1
OG0000954	WP_011072585.1	WP_010937682.1
OG0000955	WP_011073794.1	WP_010940356.1
OG0000959	WP_011073083.1	WP_223294594.1
OG0000961	WP_011073616.1	WP_011792502.1
OG0000961	WP_011073878.1, WP_011073994.1	WP_010940497.1
OG0000962	WP_011071400.1	WP_010938550.1
OG0000963	WP_011074333.1	WP_010938079.1
OG0000965	WP_011071986.1	WP_010938115.1
OG0000966	WP_011071982.1	WP_011792905.1
OG0000967	WP_011072285.1	WP_010939606.1
OG0000968	WP_011073674.1	WP_010938255.1
OG0000969	WP_011071083.1	WP_010938719.1
OG0000971	WP_011070649.1	WP_010938395.1
OG0000974	WP_011073441.1	WP_081428990.1
OG0000976	WP_011072922.1	WP_011792778.1
OG0000978	WP_011070617.1	WP_010938598.1
OG0000979	WP_164925847.1	WP_011791977.1
OG0000980	WP_274544339.1	WP_011792367.1
OG0000981	WP_011074337.1	WP_011791340.1
OG0000984	WP_011071124.1	WP_011792238.1
OG0000989	WP_011073368.1	WP_010939182.1
OG0000991	WP_011071373.1	WP_010938900.1
OG0000992	WP_011072405.1	WP_011791972.1
OG0000994	WP_006083579.1	WP_010938620.1
OG0000995	WP_007644434.1	WP_010938612.1
OG0000999	WP_011073020.1	WP_011793046.1
OG0001000	WP_011070626.1	WP_010938613.1
OG0001001	WP_011072235.1	WP_043629039.1
OG0001003	WP_011073309.1	WP_010939733.1
OG0001004	WP_011072574.1	WP_011792332.1
OG0001005	WP_011072575.1	WP_010938892.1
OG0001006	WP_011071022.1	WP_010939262.1
OG0001007	WP_011073364.1	WP_010939214.1
OG0001008	WP_011070820.1	WP_011792606.1
OG0001009	WP_011073576.1	WP_010940563.1
OG0001014	WP_011073929.1	WP_010940203.1
OG0001015	WP_011071916.1	WP_010938630.1
OG0001016	WP_011071917.1	WP_010938631.1
OG0001017	WP_011073311.1	WP_011793104.1
OG0001018	WP_011071559.1	WP_010939185.1
OG0001023	WP_202950653.1	WP_011792196.1
OG0001024	WP_011072590.1	WP_010939119.1
OG0001028	WP_011072715.1	WP_010938505.1
OG0001029	WP_011072099.1	WP_010940458.1
OG0001030	WP_011073187.1	WP_011791335.1
OG0001031	WP_011073398.1	WP_011792176.1
OG0001032	WP_011071912.1	WP_011792177.1
OG0001038	WP_011073168.1	WP_010938913.1
OG0001039	WP_011071441.1	WP_010940375.1
OG0001040	WP_011072535.1	WP_011792665.1
OG0001043	WP_011071431.1	WP_010938965.1
OG0001044	WP_006079871.1	WP_010940181.1
OG0001045	WP_011073857.1	WP_011792372.1
OG0001048	WP_011072263.1	WP_010939514.1
OG0001049	WP_011070599.1	WP_010938069.1
OG0001050	WP_011070873.1	WP_011792256.1
OG0001051	WP_164925908.1	WP_011791463.1
OG0001054	WP_011073437.1	WP_011792948.1
OG0001055	WP_011071514.1	WP_011791624.1
OG0001058	WP_011073856.1	WP_010938868.1
OG0001059	WP_011073838.1, WP_011070794.1	WP_010939072.1
OG0001063	WP_011072556.1	WP_011791498.1
OG0001064	WP_202950642.1, WP_011070966.1	WP_011791726.1, WP_011792241.1
OG0001066	WP_011072404.1	WP_010939530.1
OG0001070	WP_011071408.1	WP_010939146.1
OG0001072	WP_011073547.1, WP_011071309.1	WP_010939581.1
OG0001078	WP_011073881.1	WP_011792902.1
OG0001081	WP_011071599.1	WP_010940509.1
OG0001082	WP_011072827.1	WP_011791611.1
OG0001085	WP_011070875.1	WP_011792257.1
OG0001088	WP_011072570.1	WP_011792380.1
OG0001089	WP_011072949.1	WP_043629731.1
OG0001093	WP_011071888.1	WP_011793176.1
OG0001094	WP_011072416.1	WP_011792090.1
OG0001100	WP_011071908.1	WP_011791602.1
OG0001103	WP_011070895.1	WP_011792135.1
OG0001103	WP_011072112.1	WP_011792879.1
OG0001104	WP_011073298.1	WP_011792513.1
OG0001108	WP_011071531.1	WP_011791983.1
OG0001109	WP_011071297.1	WP_011792694.1
OG0001110	WP_011071296.1	WP_010938306.1
OG0001114	WP_011070537.1, WP_011073106.1	WP_011793169.1
OG0001115	WP_011073192.1	WP_011792562.1
OG0001116	WP_011071228.1	WP_223294612.1
OG0001118	WP_011072698.1	WP_010938324.1
OG0001120	WP_011072242.1	WP_011791315.1
OG0001121	WP_011070513.1	WP_043629650.1
OG0001122	WP_164925909.1	WP_223294614.1
OG0001130	WP_011071045.1	WP_223294641.1
OG0001131	WP_164925752.1	WP_011793025.1
OG0001134	WP_011074198.1	WP_011791389.1, WP_011791996.1
OG0001136	WP_193378418.1	WP_011791366.1
OG0001142	WP_011071426.1	WP_010939535.1
OG0001144	WP_011072250.1	WP_010939197.1
OG0001147	WP_011071475.1	WP_011792541.1
OG0001149	WP_011070587.1, WP_011072272.1	WP_011792240.1
OG0001158	WP_011073505.1	WP_011791493.1
OG0001160	WP_011070670.1	WP_043629368.1
OG0001163	WP_011070625.1	WP_010938611.1
OG0001164	WP_011073767.1	WP_010938296.1
OG0001167	WP_011070739.1	WP_011792456.1
OG0001178	WP_011073095.1	WP_010940487.1
OG0001180	WP_011071393.1	WP_010938205.1
OG0001181	WP_011071392.1	WP_011792642.1
OG0001188	WP_011072572.1	WP_010938894.1
OG0001191	WP_011071164.1	WP_081428954.1
OG0001194	WP_011072273.1	WP_010940003.1
OG0001195	WP_011072177.1	WP_223294667.1
OG0001196	WP_011071411.1	WP_011792172.1
OG0001203	WP_011070468.1	WP_011791984.1
OG0001204	WP_011072832.1	WP_011792151.1
OG0001208	WP_011072519.1	WP_011792398.1, WP_011792695.1
OG0001227	WP_011073253.1	WP_010940235.1
OG0001228	WP_164925813.1	WP_011791323.1
OG0001240	WP_011073211.1	WP_010938524.1
OG0001241	WP_011074047.1	WP_010938745.1
OG0001247	WP_011070679.1	WP_011791848.1
OG0001266	WP_011070547.1	WP_081428952.1
OG0001275	WP_011073786.1	WP_010938274.1
OG0001283	WP_011072785.1	WP_011792342.1
OG0001284	WP_011073111.1	WP_011793006.1, WP_011791847.1
OG0001285	WP_011073110.1	WP_011787394.1, WP_011793007.1
OG0001286	WP_011073109.1	WP_011176697.1, WP_010937617.1
OG0001287	WP_011073107.1	WP_010938738.1
OG0001288	WP_011073131.1	WP_010938737.1
OG0001289	WP_011073099.1	WP_011787378.1, WP_010940491.1
OG0001290	WP_011073098.1	WP_011176682.1, WP_011791425.1
OG0001292	WP_011073681.1	WP_010940433.1
OG0001296	WP_011074306.1	WP_011792728.1
OG0001297	WP_011074307.1	WP_011792727.1
OG0001309	WP_011072338.1	WP_011792536.1
OG0001311	WP_011073408.1	WP_011791669.1
OG0001314	WP_011072781.1	WP_010937896.1
OG0001317	WP_011073212.1, WP_011071529.1	WP_011791708.1
OG0001329	WP_011071213.1	WP_010939420.1
OG0001331	WP_011071239.1	WP_011792692.1
OG0001336	WP_011072792.1	WP_190275056.1
OG0001343	WP_011074090.1	WP_010938287.1
OG0001356	WP_011071084.1	WP_010938717.1
OG0001358	WP_011070914.1	WP_011792890.1
OG0001368	WP_011071501.1	WP_010939079.1
OG0001372	WP_011072754.1	WP_010940207.1, WP_010937606.1
OG0001374	WP_011072453.1	WP_011791946.1
OG0001375	WP_011074280.1	WP_010938510.1
OG0001377	WP_011072137.1	WP_011793019.1
OG0001382	WP_011071082.1	WP_011792239.1
OG0001412	WP_011074297.1	WP_010937797.1
OG0001413	WP_011071607.1	WP_011792892.1
OG0001423	WP_011073251.1	WP_011793125.1
OG0001439	WP_011070923.1	WP_011793094.1
OG0001441	WP_011070959.1	WP_223294574.1
OG0001468	WP_011074225.1	WP_011791975.1
OG0001473	WP_011073140.1	WP_011792544.1
OG0001475	WP_011071389.1	WP_011791921.1
OG0001490	WP_011073133.1	WP_011793004.1
OG0001491	WP_011073132.1	WP_010937622.1
OG0001492	WP_011073113.1	WP_010937621.1
OG0001493	WP_164925897.1	WP_011793005.1
OG0001494	WP_011073105.1	WP_010938209.1
OG0001495	WP_011073104.1	WP_010937357.1
OG0001496	WP_011073102.1	WP_014524186.1
OG0001497	WP_011073101.1	WP_010937354.1
OG0001498	WP_011073100.1	WP_010940492.1
OG0001499	WP_011073129.1	WP_010937818.1
OG0001500	WP_011073128.1	WP_010937819.1
OG0001501	WP_011073136.1	WP_223294608.1
OG0001502	WP_011073127.1	WP_010937821.1
OG0001503	WP_011073126.1	WP_010937822.1
OG0001504	WP_006082602.1	WP_010937827.1
OG0001505	WP_011073117.1	WP_011792667.1
OG0001512	WP_011072462.1	WP_010937552.1
OG0001539	WP_011071371.1	WP_011791322.1
OG0001541	WP_011073711.1	WP_011792796.1
OG0001553	WP_011071148.1	WP_011792742.1
OG0001556	WP_011071535.1	WP_010938091.1
OG0001558	WP_011071894.1	WP_011792662.1
OG0001562	WP_011073665.1	WP_011792226.1, WP_010939057.1
OG0001563	WP_011073019.1, WP_011073135.1, WP_011072079.1	WP_011793163.1, WP_010938291.1, WP_010937955.1
OG0001565	WP_011071258.1, WP_011072010.1, WP_011073175.1, WP_011072413.1, WP_011072059.1, WP_011073194.1, WP_011072356.1	WP_010937616.1
OG0001568	WP_011071920.1	WP_011792712.1, WP_010937489.1
OG0001570	WP_011074203.1	WP_011792206.1
OG0001571	WP_011074202.1	WP_011792209.1
OG0001575	WP_011073383.1	WP_010937794.1
OG0001579	WP_011074361.1	WP_043629411.1, WP_011792270.1
OG0001581	WP_011072769.1	WP_011792561.1
OG0001583	WP_011072651.1	WP_011791321.1
OG0001584	WP_011072194.1	WP_010939073.1
OG0001585	WP_011072467.1	WP_010939928.1
OG0001586	WP_011072466.1	WP_011791716.1
OG0001590	WP_011074210.1	WP_011792210.1
OG0001591	WP_011073936.1, WP_011071650.1	WP_011791876.1
OG0001602	WP_011070545.1	WP_011792223.1
OG0001604	WP_011071928.1	WP_081428804.1
OG0001619	WP_011072423.1	WP_010940552.1
OG0001624	WP_164925630.1	WP_150100254.1
OG0001625	WP_011070719.1	WP_010939886.1
OG0001626	WP_011071563.1, WP_011074008.1, WP_011072744.1	WP_011792047.1
OG0001627	WP_011072765.1, WP_011070870.1, WP_164925588.1, WP_011071711.1, WP_011071626.1	WP_010938695.1
OG0001631	WP_011070432.1	WP_043629597.1
OG0001695	WP_011072495.1	WP_223294622.1
OG0001708	WP_011072773.1	WP_011792889.1
OG0001729	WP_011070591.1	WP_011792828.1
OG0001739	WP_011071016.1	WP_223294592.1
OG0001776	WP_011072078.1	WP_011792831.1
OG0001777	WP_011071366.1	WP_010940333.1
OG0001783	WP_011072265.1	WP_010938488.1
OG0001787	WP_011072782.1	WP_010937897.1
OG0001798	WP_011070830.1	WP_011791691.1
OG0001799	WP_011071037.1	WP_223294678.1
OG0001804	WP_011072262.1	WP_011792048.1
OG0001807	WP_011071489.1	WP_011793135.1
OG0001809	WP_011072070.1	WP_010939915.1
OG0001810	WP_011072747.1	WP_010937899.1
OG0001811	WP_011072746.1	WP_011792810.1
OG0001812	WP_011073996.1	WP_010938391.1
OG0001815	WP_011072474.1	WP_010940059.1
OG0001816	WP_011073911.1	WP_010940392.1
OG0001817	WP_238560610.1, WP_011071376.1	WP_011792415.1
OG0001823	WP_011073262.1, WP_011073700.1, WP_011073280.1	WP_010938920.1
OG0001827	WP_164925810.1, WP_011073964.1	WP_011792533.1
OG0001829	WP_011074360.1	WP_043629397.1
OG0001831	WP_011072743.1	WP_258312739.1
OG0001841	WP_011074205.1	WP_011792207.1
OG0001843	WP_011073938.1	WP_011791872.1
OG0001844	WP_011071169.1	WP_011791985.1
OG0001845	WP_011071765.1	WP_010938262.1
OG0001846	WP_011072427.1, WP_011071381.1	WP_011792856.1
OG0001858	WP_011071073.1	WP_010937903.1
OG0001859	WP_011073703.1, WP_011072255.1	WP_011792685.1
OG0001897	WP_011070477.1	WP_011787421.1
OG0002078	WP_011070439.1	WP_011791945.1
OG0002082	WP_011072543.1	WP_043629474.1
OG0002086	WP_011071700.1	WP_011793040.1
OG0002088	WP_011071491.1	WP_010937408.1
OG0002089	WP_011071333.1	WP_010939914.1, WP_011792127.1
OG0002091	WP_011071361.1, WP_011071463.1	WP_011792073.1
OG0002098	WP_011071322.1	WP_010937904.1
OG0002100	WP_011070758.1	WP_010940520.1
OG0002103	WP_011073820.1	WP_011792907.1
OG0002109	WP_011070855.1	WP_011792246.1
OG0002111	WP_238560510.1	WP_010939254.1
OG0002112	WP_011073528.1, WP_011072152.1	WP_011792242.1
OG0002116	WP_011074215.1	WP_011791779.1
OG0002117	WP_011072978.1, WP_011072460.1	WP_081428847.1
OG0002125	WP_011073633.1	WP_011793080.1
OG0002140	WP_011073513.1	WP_011792348.1
OG0002142	WP_011073701.1	WP_011792313.1
OG0002234	WP_011070461.1	WP_043629288.1
OG0002354	WP_011071324.1	WP_263053287.1
OG0002370	WP_011072054.1	WP_011791951.1
OG0002372	WP_011071096.1	WP_011792221.1
OG0002376	WP_011073564.1	WP_011791874.1
OG0002392	WP_011072443.1	WP_010937660.1
OG0002395	WP_011073670.1	WP_081428999.1
OG0002403	WP_011073332.1	WP_011792607.1, WP_010939821.1
OG0002411	WP_011072473.1	WP_010940058.1
OG0002413	WP_011070841.1	WP_010937691.1
