Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio ferrophilus IS5
OG0000573	WP_011070600.1	WP_126377199.1, WP_126376885.1, WP_126378211.1, WP_126376234.1, WP_126375560.1
OG0000576	WP_011073695.1	WP_126376937.1
OG0000577	WP_011071502.1	WP_126377364.1
OG0000578	WP_011070425.1	WP_126380394.1
OG0000579	WP_011072382.1	WP_126380745.1
OG0000580	WP_011071401.1	WP_232034916.1
OG0000581	WP_011070605.1	WP_126376006.1
OG0000582	WP_011072691.1	WP_126375633.1
OG0000583	WP_011072298.1, WP_011073315.1	WP_126379507.1
OG0000584	WP_011070420.1	WP_126379759.1
OG0000585	WP_011070421.1	WP_126379757.1
OG0000586	WP_011070423.1	WP_126381445.1
OG0000587	WP_011073319.1	WP_126376883.1
OG0000588	WP_011071543.1	WP_126379697.1
OG0000589	WP_011073895.1	WP_126376001.1
OG0000590	WP_011071782.1	WP_126375878.1
OG0000591	WP_011071988.1	WP_126376962.1
OG0000592	WP_011070797.1	WP_126380852.1
OG0000593	WP_011071160.1	WP_126379359.1
OG0000594	WP_164925584.1	WP_126376270.1
OG0000595	WP_011073680.1	WP_126380213.1
OG0000596	WP_011070930.1	WP_232034872.1
OG0000597	WP_011070933.1	WP_126377437.1
OG0000598	WP_011073908.1	WP_126378738.1
OG0000599	WP_006083042.1	WP_126377651.1
OG0000600	WP_011070456.1	WP_232034783.1
OG0000601	WP_011070650.1	WP_126375798.1
OG0000602	WP_011073283.1, WP_011073273.1, WP_011073768.1, WP_011073717.1	WP_126377009.1
OG0000603	WP_011071702.1	WP_172961647.1
OG0000604	WP_011073440.1	WP_172961633.1
OG0000605	WP_011073439.1	WP_172961652.1
OG0000607	WP_164925802.1	WP_126380956.1
OG0000608	WP_011071703.1	WP_126376126.1
OG0000609	WP_011072357.1	WP_126379577.1
OG0000610	WP_011073188.1	WP_126376379.1
OG0000611	WP_011071421.1	WP_126379531.1
OG0000612	WP_011071798.1	WP_126379314.1
OG0000613	WP_006080791.1	WP_126379316.1
OG0000615	WP_011071784.1	WP_126378874.1
OG0000616	WP_011071786.1	WP_126378878.1
OG0000617	WP_011070618.1	WP_126376041.1
OG0000618	WP_011070620.1	WP_126376046.1
OG0000619	WP_006083596.1	WP_126376048.1
OG0000620	WP_006083595.1	WP_126376050.1
OG0000621	WP_011070621.1	WP_126376052.1
OG0000623	WP_011073687.1	WP_126378477.1
OG0000624	WP_007650346.1	WP_126380959.1
OG0000625	WP_011073451.1	WP_126380958.1
OG0000626	WP_011073399.1	WP_126376462.1
OG0000627	WP_011073042.1	WP_126376381.1
OG0000628	WP_011071409.1	WP_126376976.1
OG0000630	WP_011073225.1	WP_126376751.1
OG0000631	WP_011073224.1	WP_126376746.1
OG0000632	WP_011073222.1	WP_126380336.1
OG0000634	WP_011073362.1	WP_126377709.1
OG0000635	WP_011071429.1	WP_126375827.1
OG0000637	WP_011072714.1	WP_126379493.1
OG0000638	WP_011070724.1	WP_126376107.1
OG0000639	WP_011072734.1	WP_126379579.1
OG0000640	WP_011072733.1	WP_126379219.1
OG0000641	WP_011073048.1	WP_126379074.1
OG0000642	WP_011072310.1	WP_126380125.1
OG0000643	WP_011072175.1	WP_126376704.1
OG0000644	WP_011071416.1	WP_126380824.1
OG0000645	WP_011072241.1	WP_126377725.1
OG0000646	WP_011070601.1	WP_126378721.1
OG0000647	WP_011073899.1	WP_126378723.1
OG0000648	WP_011073903.1	WP_126378730.1
OG0000649	WP_011073601.1	WP_126376706.1
OG0000650	WP_011072929.1	WP_126380766.1
OG0000651	WP_238560600.1	WP_126380763.1
OG0000652	WP_011071706.1	WP_126376389.1
OG0000653	WP_011071555.1	WP_126379918.1
OG0000655	WP_011074260.1	WP_126380776.1
OG0000656	WP_011071432.1	WP_126377580.1
OG0000657	WP_011071433.1	WP_126377582.1
OG0000658	WP_011071436.1	WP_126377595.1
OG0000659	WP_011071437.1	WP_126377597.1
OG0000660	WP_006083052.1	WP_126378777.1
OG0000661	WP_011073682.1	WP_126378775.1
OG0000662	WP_011074308.1	WP_126376545.1
OG0000663	WP_011070907.1	WP_232034830.1
OG0000664	WP_011074083.1	WP_126377673.1
OG0000665	WP_011073514.1	WP_126380819.1
OG0000666	WP_011073620.1	WP_126377885.1
OG0000667	WP_011071021.1	WP_126380844.1
OG0000669	WP_011072767.1, WP_011071992.1	WP_126378115.1
OG0000670	WP_011072407.1	WP_126375751.1
OG0000671	WP_006079870.1	WP_126379487.1
OG0000672	WP_011073376.1	WP_126381098.1
OG0000673	WP_011074185.1	WP_126377442.1
OG0000674	WP_011074184.1	WP_126380965.1
OG0000675	WP_011074182.1	WP_126380265.1
OG0000676	WP_011074181.1	WP_126377491.1
OG0000677	WP_006083577.1	WP_126376083.1
OG0000678	WP_011070630.1	WP_126376081.1
OG0000679	WP_011071566.1	WP_126379325.1
OG0000680	WP_011073313.1	WP_126379512.1
OG0000681	WP_007644333.1	WP_126376017.1
OG0000682	WP_011070609.1	WP_126376015.1
OG0000683	WP_011071611.1	WP_126378380.1
OG0000684	WP_011074329.1	WP_126380685.1
OG0000685	WP_011070627.1	WP_126376070.1
OG0000686	WP_011072309.1	WP_126376811.1
OG0000687	WP_011070623.1	WP_126376060.1
OG0000688	WP_011070622.1	WP_126376057.1
OG0000689	WP_007644429.1	WP_126376056.1
OG0000690	WP_011073293.1	WP_126377431.1
OG0000691	WP_011070612.1	WP_126376033.1
OG0000692	WP_011070424.1	WP_126375760.1
OG0000693	WP_011070447.1	WP_126380282.1
OG0000694	WP_011070419.1	WP_126379585.1
OG0000695	WP_011072408.1	WP_126380278.1
OG0000696	WP_011071503.1	WP_126380221.1
OG0000697	WP_011073781.1	WP_126381541.1
OG0000698	WP_011070671.1	WP_126379312.1
OG0000699	WP_011070673.1	WP_232034758.1
OG0000700	WP_011073442.1	WP_126377348.1
OG0000701	WP_011073824.1	WP_126376440.1
OG0000702	WP_011070774.1	WP_126380769.1
OG0000704	WP_011073896.1	WP_126378715.1
OG0000705	WP_011073897.1	WP_126378717.1
OG0000706	WP_011073898.1	WP_126378719.1
OG0000707	WP_011073900.1	WP_126378725.1
OG0000708	WP_011073909.1	WP_126381395.1
OG0000709	WP_011074146.1	WP_126376199.1
OG0000710	WP_011072679.1	WP_126380733.1
OG0000711	WP_011071661.1	WP_126379305.1
OG0000712	WP_011073450.1	WP_126380960.1
OG0000713	WP_011073318.1	WP_126379503.1
OG0000714	WP_011073316.1	WP_232034765.1
OG0000715	WP_011073314.1	WP_126379510.1
OG0000716	WP_011073312.1	WP_126379514.1
OG0000717	WP_011070606.1	WP_126376008.1
OG0000718	WP_011070607.1	WP_126376010.1
OG0000719	WP_011070608.1	WP_126376013.1
OG0000720	WP_011070610.1	WP_126376019.1
OG0000721	WP_011070613.1	WP_126376035.1
OG0000722	WP_011070616.1	WP_126376039.1
OG0000723	WP_037421480.1	WP_126376043.1
OG0000724	WP_006083593.1	WP_126376054.1
OG0000725	WP_006083590.1	WP_126376059.1
OG0000726	WP_011070624.1	WP_126376062.1
OG0000727	WP_007644438.1	WP_126381242.1
OG0000728	WP_006083582.1	WP_126381245.1
OG0000729	WP_011070628.1	WP_126376072.1
OG0000730	WP_011070629.1	WP_126376074.1
OG0000731	WP_011070631.1	WP_126376085.1
OG0000732	WP_011070632.1	WP_126381247.1
OG0000733	WP_007644470.1	WP_126376087.1
OG0000734	WP_011073925.1	WP_232034918.1
OG0000735	WP_011073924.1	WP_126380307.1
OG0000737	WP_011071434.1	WP_126377586.1
OG0000738	WP_011073375.1	WP_126377160.1
OG0000739	WP_011071405.1	WP_126379518.1
OG0000740	WP_011074057.1	WP_126380527.1
OG0000741	WP_011071209.1	WP_126380649.1
OG0000742	WP_011073511.1	WP_126379625.1
OG0000743	WP_011073366.1	WP_126380537.1
OG0000744	WP_007651394.1	WP_126377678.1
OG0000745	WP_011073823.1	WP_126375831.1
OG0000746	WP_011071412.1	WP_126378358.1
OG0000747	WP_011070765.1	WP_232034867.1
OG0000748	WP_011073821.1	WP_126375995.1
OG0000749	WP_011072580.1	WP_126376115.1
OG0000750	WP_164925864.1	WP_126381375.1
OG0000751	WP_011072154.1	WP_126377721.1
OG0000752	WP_011074006.1	WP_126376760.1
OG0000753	WP_011072469.1	WP_126376827.1
OG0000754	WP_011073297.1	WP_126376933.1
OG0000755	WP_011073591.1	WP_126376935.1
OG0000756	WP_011071973.1	WP_126378177.1
OG0000758	WP_011072389.1	WP_126380398.1
OG0000759	WP_011072383.1	WP_232034803.1
OG0000760	WP_011072381.1	WP_126380911.1
OG0000761	WP_011072377.1	WP_126376105.1
OG0000762	WP_011070644.1	WP_126380748.1
OG0000763	WP_011073286.1	WP_126379573.1
OG0000764	WP_011073284.1	WP_126379571.1
OG0000766	WP_011071550.1	WP_126377288.1
OG0000767	WP_011071557.1	WP_126379398.1
OG0000768	WP_011071558.1	WP_126380338.1
OG0000769	WP_011071785.1	WP_126378876.1
OG0000770	WP_011071787.1	WP_126378880.1
OG0000771	WP_011071788.1	WP_126378882.1
OG0000772	WP_011071789.1	WP_126378884.1
OG0000773	WP_011071790.1	WP_126378886.1
OG0000774	WP_011071791.1	WP_126378888.1
OG0000775	WP_011071792.1	WP_172961585.1
OG0000776	WP_011071794.1	WP_126375931.1
OG0000777	WP_011071795.1	WP_126375933.1
OG0000779	WP_011071800.1	WP_126377051.1
OG0000780	WP_011071749.1, WP_011071820.1	WP_126378872.1
OG0000782	WP_011073287.1	WP_126381297.1
OG0000783	WP_011071159.1	WP_126380651.1
OG0000784	WP_011073172.1	WP_126378393.1
OG0000785	WP_011073171.1	WP_126378391.1
OG0000787	WP_011070935.1	WP_126380223.1
OG0000788	WP_011073678.1	WP_126379581.1
OG0000789	WP_011072712.1	WP_126376442.1
OG0000790	WP_011072561.1	WP_126380747.1
OG0000791	WP_011071065.1	WP_126380754.1
OG0000792	WP_011072680.1	WP_126377846.1
OG0000793	WP_011070932.1	WP_126377658.1
OG0000794	WP_011073191.1	WP_126381500.1
OG0000795	WP_011073184.1	WP_126377541.1
OG0000796	WP_011071705.1	WP_126376391.1
OG0000797	WP_011073173.1	WP_126376385.1
OG0000798	WP_011073009.1	WP_126381370.1
OG0000799	WP_011073010.1	WP_126380311.1
OG0000800	WP_011072962.1	WP_126375951.1
OG0000801	WP_011072965.1	WP_126378492.1
OG0000802	WP_011072968.1	WP_126378225.1
OG0000803	WP_011073915.1	WP_126378234.1
OG0000806	WP_011070467.1	WP_126380721.1
OG0000807	WP_011071415.1	WP_126376702.1
OG0000808	WP_011071579.1	WP_126377189.1
OG0000809	WP_011073282.1	WP_126380818.1
OG0000811	WP_011070778.1	WP_126377284.1
OG0000813	WP_011071913.1	WP_126377433.1
OG0000815	WP_011070798.1	WP_126380225.1
OG0000816	WP_011073227.1	WP_126380913.1
OG0000817	WP_011073228.1	WP_126379259.1
OG0000818	WP_011073777.1	WP_126378183.1
OG0000819	WP_011072582.1	WP_126380450.1
OG0000820	WP_011072999.1	WP_126380865.1
OG0000822	WP_011073801.1	WP_232034801.1
OG0000823	WP_011071398.1	WP_126380692.1
OG0000824	WP_011070431.1	WP_126377036.1
OG0000825	WP_011070430.1	WP_126377038.1
OG0000826	WP_011070886.1, WP_011072282.1, WP_011072232.1	WP_126377887.1
OG0000827	WP_011072150.1	WP_126379835.1
OG0000828	WP_011072149.1	WP_126379837.1
OG0000829	WP_006081652.1	WP_126379839.1
OG0000830	WP_011072303.1	WP_126379841.1
OG0000831	WP_011072302.1	WP_126379843.1
OG0000832	WP_011072301.1	WP_126379845.1
OG0000833	WP_011071275.1	WP_126375675.1
OG0000834	WP_011071428.1	WP_126375821.1
OG0000835	WP_011070823.1	WP_126381353.1
OG0000836	WP_011074274.1	WP_126377439.1
OG0000837	WP_011073597.1	WP_126375997.1
OG0000838	WP_011073598.1	WP_126377055.1
OG0000839	WP_011073600.1	WP_126381271.1
OG0000841	WP_011071454.1	WP_232034887.1
OG0000842	WP_011073662.1	WP_126377655.1
OG0000843	WP_011073672.1	WP_126377649.1
OG0000844	WP_011071568.1	WP_126379318.1
OG0000845	WP_011071567.1	WP_126379321.1
OG0000846	WP_011071565.1	WP_126379327.1
OG0000848	WP_011071402.1	WP_126375728.1
OG0000849	WP_011073799.1	WP_126381363.1
OG0000850	WP_011073702.1	WP_126376950.1
OG0000851	WP_011073699.1	WP_126376944.1
OG0000852	WP_011072140.1	WP_126378181.1
OG0000853	WP_011072138.1	WP_126378386.1
OG0000854	WP_011072134.1	WP_126380504.1
OG0000855	WP_011070647.1	WP_126380773.1
OG0000856	WP_011074259.1	WP_126377187.1
OG0000858	WP_011072100.1	WP_126379599.1
OG0000859	WP_011074328.1	WP_126381514.1
OG0000860	WP_011074331.1	WP_126380687.1
OG0000861	WP_011074339.1	WP_126376444.1
OG0000862	WP_011074340.1	WP_126376989.1
OG0000863	WP_011070478.1	WP_232034806.1
OG0000864	WP_011070664.1	WP_126378925.1
OG0000865	WP_011070651.1	WP_126375800.1
OG0000866	WP_011073972.1	WP_126379777.1
OG0000867	WP_011071513.1	WP_172961830.1
OG0000868	WP_011072677.1	WP_172961655.1
OG0000869	WP_011070611.1	WP_126376021.1
OG0000870	WP_011072267.1	WP_126377026.1
OG0000871	WP_011071439.1	WP_126377599.1
OG0000872	WP_164925631.1	WP_126376972.1
OG0000873	WP_011073365.1	WP_126377268.1
OG0000874	WP_011072288.1	WP_126376758.1
OG0000875	WP_164925707.1	WP_126377682.1
OG0000876	WP_011072699.1	WP_126378786.1
OG0000877	WP_011073189.1	WP_126377032.1
OG0000878	WP_011071077.1	WP_172961613.1
OG0000879	WP_011071578.1	WP_126377191.1
OG0000881	WP_011074056.1	WP_126376618.1
OG0000882	WP_011071526.1	WP_126380705.1
OG0000883	WP_011073527.1	WP_126380291.1, WP_126375689.1
OG0000884	WP_011073008.1	WP_126377296.1
OG0000885	WP_011071212.1	WP_232034913.1
OG0000886	WP_011072563.1	WP_126378449.1
OG0000887	WP_011072458.1	WP_172961612.1, WP_126380828.1
OG0000888	WP_011073848.1	WP_126380615.1
OG0000889	WP_011073575.1	WP_126377483.1
OG0000890	WP_164925658.1	WP_126380941.1
OG0000891	WP_011070422.1	WP_232034770.1
OG0000892	WP_011072406.1	WP_126375752.1
OG0000893	WP_011073902.1	WP_232034746.1
OG0000894	WP_011071915.1	WP_126377527.1
OG0000895	WP_011073967.1	WP_126376964.1
OG0000896	WP_011071261.1	WP_126381232.1
OG0000898	WP_011073310.1	WP_126378339.1
OG0000899	WP_011072098.1	WP_126377535.1
OG0000900	WP_011073931.1	WP_126376111.1
OG0000906	WP_011073004.1	WP_126377059.1
OG0000907	WP_011072361.1	WP_126375775.1
OG0000912	WP_011073162.1	WP_197723439.1, WP_126380514.1, WP_126376432.1
OG0000913	WP_011074305.1	WP_126381261.1
OG0000916	WP_011071226.1	WP_126376023.1
OG0000917	WP_011072775.1	WP_126380740.1
OG0000921	WP_011073077.1	WP_126380712.1
OG0000922	WP_011072424.1, WP_011070816.1	WP_126377748.1
OG0000930	WP_011070869.1	WP_126379707.1
OG0000931	WP_011071294.1	WP_126380800.1
OG0000933	WP_011073124.1	WP_126377115.1, WP_126377562.1
OG0000934	WP_011073119.1	WP_126378896.1, WP_126377119.1
OG0000935	WP_011073874.1	WP_126376958.1
OG0000937	WP_011073920.1	WP_126379821.1
OG0000938	WP_011073257.1	WP_126379806.1, WP_126380484.1
OG0000939	WP_011073586.1	WP_126375721.1, WP_126379607.1
OG0000941	WP_011072468.1	WP_126378988.1
OG0000943	WP_011071295.1	WP_172961775.1
OG0000947	WP_011072471.1	WP_126376589.1
OG0000948	WP_011072476.1	WP_126376587.1
OG0000951	WP_238560605.1	WP_126378341.1
OG0000951	WP_011074188.1	WP_126380787.1
OG0000952	WP_011071701.1	WP_126381028.1
OG0000955	WP_011073794.1	WP_126380942.1
OG0000959	WP_011073083.1	WP_126379004.1, WP_126380963.1, WP_126378832.1, WP_126375571.1, WP_126376327.1, WP_232034922.1, WP_126378066.1, WP_126380964.1
OG0000961	WP_011073616.1	WP_126375719.1
OG0000961	WP_011073878.1, WP_011073994.1	WP_126379751.1
OG0000962	WP_011071400.1	WP_126376448.1
OG0000963	WP_011074333.1	WP_126380689.1
OG0000966	WP_011071982.1	WP_126379977.1
OG0000967	WP_011072285.1	WP_126377822.1
OG0000968	WP_011073674.1	WP_126377653.1
OG0000969	WP_011071083.1	WP_172961822.1
OG0000971	WP_011070649.1	WP_126375796.1
OG0000974	WP_011073441.1	WP_126377744.1
OG0000976	WP_011072922.1	WP_126379222.1
OG0000977	WP_011071875.1	WP_126379206.1
OG0000978	WP_011070617.1	WP_126381240.1
OG0000979	WP_164925847.1	WP_126377746.1
OG0000980	WP_274544339.1	WP_126376929.1
OG0000981	WP_011074337.1	WP_126380293.1
OG0000984	WP_011071124.1	WP_126377069.1
OG0000989	WP_011073368.1	WP_126377040.1
OG0000991	WP_011071373.1	WP_126376837.1
OG0000992	WP_011072405.1	WP_126375753.1
OG0000994	WP_006083579.1	WP_126376079.1
OG0000995	WP_007644434.1	WP_126376066.1
OG0000999	WP_011073020.1	WP_126380838.1
OG0001000	WP_011070626.1	WP_126376068.1
OG0001002	WP_011071435.1	WP_126377590.1
OG0001003	WP_011073309.1	WP_126380935.1
OG0001004	WP_011072574.1	WP_126376817.1
OG0001005	WP_011072575.1	WP_126376815.1
OG0001006	WP_011071022.1	WP_126380845.1
OG0001007	WP_011073364.1	WP_126377270.1
OG0001008	WP_011070820.1	WP_126380704.1
OG0001009	WP_011073576.1	WP_126378169.1
OG0001010	WP_011071534.1	WP_232034879.1
OG0001014	WP_011073929.1	WP_126380452.1
OG0001015	WP_011071916.1	WP_126377525.1
OG0001016	WP_011071917.1	WP_126377523.1
OG0001017	WP_011073311.1	WP_126380938.1
OG0001018	WP_011071559.1	WP_126377034.1
OG0001024	WP_011072590.1	WP_126377406.1
OG0001027	WP_011074050.1	WP_126381126.1
OG0001028	WP_011072715.1	WP_126379491.1
OG0001029	WP_011072099.1	WP_126377533.1
OG0001030	WP_011073187.1	WP_126380276.1
OG0001031	WP_011073398.1	WP_126375710.1
OG0001032	WP_011073582.1, WP_011071676.1	WP_269471686.1
OG0001037	WP_011071746.1	WP_126376422.1
OG0001038	WP_011073168.1	WP_126376931.1
OG0001040	WP_011072535.1	WP_172961699.1
OG0001043	WP_011071431.1	WP_126377088.1
OG0001044	WP_006079871.1	WP_126376004.1
OG0001045	WP_011073857.1	WP_126376692.1
OG0001048	WP_011072263.1	WP_126376301.1
OG0001049	WP_011070599.1	WP_126376533.1
OG0001050	WP_011070873.1	WP_126380894.1
OG0001051	WP_164925908.1	WP_126380709.1
OG0001054	WP_011073437.1	WP_126380173.1
OG0001055	WP_011071514.1	WP_126380500.1
OG0001057	WP_011072803.1	WP_126377209.1
OG0001058	WP_011073856.1	WP_126376694.1
OG0001059	WP_011073838.1, WP_011070794.1	WP_126375734.1
OG0001063	WP_011072556.1	WP_126376905.1
OG0001064	WP_202950642.1, WP_011070966.1	WP_126378984.1
OG0001066	WP_011072404.1	WP_126375754.1
OG0001069	WP_011071048.1	WP_126375884.1
OG0001070	WP_011071408.1	WP_126376974.1
OG0001072	WP_011073547.1, WP_011071309.1	WP_126380927.1
OG0001073	WP_164925959.1	WP_126380905.1
OG0001078	WP_011073881.1	WP_126379983.1
OG0001082	WP_011072827.1	WP_126376454.1
OG0001086	WP_011073941.1, WP_011070876.1	WP_126380887.1
OG0001088	WP_011072570.1	WP_126377429.1
OG0001093	WP_011071888.1	WP_126380901.1
OG0001094	WP_011072416.1	WP_126378087.1
OG0001100	WP_011071908.1	WP_126379955.1
OG0001103	WP_011070895.1	WP_126377946.1
OG0001103	WP_011072112.1	WP_126380752.1
OG0001104	WP_011073298.1	WP_126380743.1
OG0001108	WP_011071531.1	WP_232034854.1
OG0001109	WP_011071297.1	WP_126380846.1
OG0001110	WP_011071296.1	WP_126380778.1
OG0001114	WP_011070537.1, WP_011073106.1	WP_126380328.1
OG0001115	WP_011073192.1	WP_126378417.1
OG0001116	WP_011071228.1	WP_126379232.1
OG0001118	WP_011072698.1	WP_126378370.1
OG0001120	WP_011072242.1	WP_126380966.1
OG0001121	WP_011070513.1	WP_126378490.1
OG0001122	WP_164925909.1	WP_126377404.1
OG0001126	WP_011073623.1	WP_126378140.1
OG0001130	WP_011071045.1	WP_172961597.1, WP_126379435.1
OG0001131	WP_164925752.1	WP_232034877.1, WP_126380883.1
OG0001135	WP_011073351.1	WP_172961658.1
OG0001136	WP_193378418.1	WP_126375590.1
OG0001142	WP_011071426.1	WP_126375750.1
OG0001144	WP_011072250.1	WP_126377011.1
OG0001147	WP_011071475.1	WP_126376399.1, WP_172961700.1
OG0001149	WP_011070587.1, WP_011072272.1	WP_126377081.1
OG0001156	WP_011072515.1	WP_126378011.1, WP_126380853.1
OG0001160	WP_011070670.1	WP_126379781.1
OG0001163	WP_011070625.1	WP_126376064.1
OG0001164	WP_011073767.1	WP_126378226.1
OG0001167	WP_011070739.1	WP_126379882.1
OG0001176	WP_011072051.1	WP_126379346.1
OG0001178	WP_011073095.1	WP_126377696.1
OG0001180	WP_011071393.1	WP_126376096.1
OG0001181	WP_011071392.1	WP_126376097.1
OG0001188	WP_011072572.1	WP_126376819.1
OG0001191	WP_011071164.1	WP_126380417.1
OG0001194	WP_011072273.1	WP_126380823.1
OG0001196	WP_011071411.1	WP_126375788.1
OG0001203	WP_011070468.1	WP_126376634.1
OG0001204	WP_011072832.1	WP_232034754.1
OG0001205	WP_011072830.1	WP_126379095.1
OG0001208	WP_011072519.1	WP_126376293.1
OG0001220	WP_011073814.1	WP_172961707.1
OG0001224	WP_011072544.1	WP_126376418.1
OG0001227	WP_011073253.1	WP_126380404.1
OG0001228	WP_164925813.1	WP_126379567.1
OG0001229	WP_011070516.1	WP_126378604.1
OG0001234	WP_011072498.1	WP_126376598.1, WP_126377132.1, WP_126378668.1
OG0001238	WP_011073014.1, WP_011073570.1	WP_126376881.1
OG0001240	WP_011073211.1	WP_126380510.1
OG0001241	WP_011074047.1	WP_126379429.1
OG0001266	WP_011070547.1	WP_126379864.1
OG0001267	WP_011074089.1	WP_232034844.1
OG0001273	WP_011070810.1	WP_126377998.1
OG0001275	WP_011073786.1	WP_126378844.1
OG0001283	WP_011072785.1	WP_126376698.1
OG0001284	WP_011073111.1	WP_126380238.1
OG0001285	WP_011073110.1	WP_126380240.1
OG0001286	WP_011073109.1	WP_126381474.1
OG0001287	WP_011073107.1	WP_126379412.1
OG0001288	WP_011073131.1	WP_172961639.1, WP_126379409.1
OG0001289	WP_011073099.1	WP_126377688.1
OG0001290	WP_011073098.1	WP_126377690.1
OG0001292	WP_011073681.1	WP_126380713.1
OG0001296	WP_011074306.1	WP_126376551.1
OG0001297	WP_011074307.1	WP_126376553.1
OG0001309	WP_011072338.1	WP_126375967.1
OG0001311	WP_011073408.1	WP_126380701.1
OG0001314	WP_011072781.1	WP_126380008.1
OG0001329	WP_011071213.1	WP_126379451.1
OG0001336	WP_011072792.1	WP_126378802.1
OG0001343	WP_011074090.1	WP_126378364.1
OG0001356	WP_011071084.1	WP_126378333.1
OG0001358	WP_011070914.1	WP_126380926.1
OG0001365	WP_011072454.1	WP_126380671.1
OG0001368	WP_011071501.1	WP_126377340.1
OG0001369	WP_011073000.1	WP_126380867.1
OG0001372	WP_011072754.1	WP_126380969.1, WP_232034939.1
OG0001374	WP_011072453.1	WP_172961646.1
OG0001375	WP_011074280.1	WP_126375718.1
OG0001377	WP_011072137.1	WP_197723437.1, WP_126377666.1
OG0001382	WP_011071082.1	WP_126377073.1
OG0001392	WP_011072825.1	WP_126380816.1
OG0001409	WP_011070856.1	WP_126379876.1
OG0001412	WP_011074297.1	WP_126380903.1
OG0001413	WP_011071607.1	WP_126375914.1
OG0001423	WP_011073251.1	WP_197723467.1
OG0001428	WP_011071965.1	WP_126380425.1
OG0001432	WP_011073158.1	WP_172961684.1
OG0001439	WP_011070923.1	WP_126378295.1
OG0001449	WP_011073394.1, WP_011073193.1	WP_172961735.1
OG0001468	WP_011074225.1	WP_126379085.1
OG0001473	WP_011073140.1	WP_126376650.1
OG0001475	WP_011071389.1	WP_126380744.1, WP_126375817.1
OG0001490	WP_011073133.1	WP_126380229.1
OG0001491	WP_011073132.1	WP_126380231.1
OG0001492	WP_011073113.1	WP_126380233.1
OG0001493	WP_164925897.1	WP_126380235.1
OG0001494	WP_011073105.1	WP_126379014.1
OG0001495	WP_011073104.1	WP_126380325.1
OG0001496	WP_011073102.1	WP_126380323.1
OG0001497	WP_011073101.1	WP_126380321.1
OG0001498	WP_011073100.1	WP_126377686.1
OG0001499	WP_011073129.1	WP_126377576.1
OG0001500	WP_011073128.1	WP_126377574.1
OG0001501	WP_011073136.1	WP_126377572.1
OG0001502	WP_011073127.1	WP_126377570.1
OG0001503	WP_011073126.1	WP_126377568.1
OG0001504	WP_006082602.1	WP_126377558.1
OG0001505	WP_011073117.1	WP_126378898.1
OG0001539	WP_011071371.1	WP_126375629.1
OG0001546	WP_011072036.1	WP_126378352.1
OG0001550	WP_011070868.1	WP_126379595.1
OG0001556	WP_011071535.1	WP_126380697.1
OG0001562	WP_011073665.1	WP_126377630.1
OG0001563	WP_011073019.1, WP_011073135.1, WP_011072079.1	WP_126377711.1, WP_126377742.1
OG0001565	WP_011071258.1, WP_011072010.1, WP_011073175.1, WP_011072413.1, WP_011072059.1, WP_011073194.1, WP_011072356.1	WP_126379283.1
OG0001568	WP_011071920.1	WP_126381094.1, WP_126378134.1
OG0001570	WP_011074203.1	WP_126375600.1
OG0001571	WP_011074202.1	WP_126375603.1
OG0001575	WP_011073383.1	WP_126380851.1
OG0001581	WP_011072769.1	WP_126378419.1
OG0001583	WP_011072651.1	WP_126380340.1
OG0001584	WP_011072194.1	WP_126379101.1
OG0001590	WP_011074210.1	WP_232034827.1
OG0001602	WP_011070545.1	WP_126380962.1
OG0001604	WP_011071928.1	WP_126375596.1
OG0001605	WP_011072009.1	WP_126380672.1
OG0001619	WP_011072423.1	WP_126381305.1
OG0001622	WP_011073238.1	WP_172961805.1
OG0001625	WP_011070719.1	WP_126375741.1
OG0001629	WP_011073546.1	WP_126380928.1
OG0001631	WP_011070432.1	WP_126380897.1
OG0001695	WP_011072495.1	WP_126378966.1
OG0001708	WP_011072773.1	WP_126380738.1
OG0001722	WP_011074052.1	WP_126380640.1
OG0001725	WP_011073523.1	WP_126375908.1
OG0001726	WP_011073522.1	WP_126375912.1
OG0001736	WP_011071530.1	WP_126377842.1, WP_126380354.1
OG0001739	WP_011071016.1	WP_126378366.1
OG0001748	WP_011073125.1	WP_126377566.1
OG0001751	WP_011073120.1	WP_126379404.1
OG0001777	WP_011071366.1	WP_126377448.1
OG0001783	WP_011072265.1	WP_126379527.1
OG0001784	WP_164925781.1	WP_126376577.1
OG0001785	WP_011073748.1	WP_126378171.1
OG0001787	WP_011072782.1	WP_126380010.1
OG0001798	WP_011070830.1	WP_126375577.1
OG0001799	WP_011071037.1	WP_126375646.1
OG0001800	WP_011070874.1	WP_126380893.1
OG0001801	WP_011070956.1	WP_172961780.1
OG0001804	WP_011072262.1	WP_126379870.1
OG0001807	WP_011071489.1	WP_126380047.1
OG0001810	WP_011072747.1	WP_126375649.1
OG0001811	WP_011072746.1	WP_126375648.1
OG0001812	WP_011073996.1	WP_126379938.1
OG0001815	WP_011072474.1	WP_126376583.1
OG0001816	WP_011073911.1	WP_126380033.1
OG0001817	WP_238560610.1, WP_011071376.1	WP_126380625.1, WP_126376124.1, WP_126380736.1
OG0001820	WP_011071178.1	WP_126376375.1
OG0001821	WP_011071271.1	WP_126377435.1
