Orthogroup	Shewanella oneidensis MR-1	Desulfotalea psychrophila LSv54
OG0000657	WP_011071433.1	WP_011189855.1
OG0000658	WP_011071436.1	WP_011189851.1
OG0000659	WP_011071437.1	WP_011189850.1
OG0000660	WP_006083052.1	WP_011188567.1
OG0000661	WP_011073682.1	WP_011188568.1
OG0000662	WP_011074308.1	WP_011190083.1
OG0000663	WP_011070907.1	WP_198408692.1
OG0000664	WP_011074083.1	WP_011188724.1
OG0000665	WP_011073514.1	WP_011188975.1
OG0000666	WP_011073620.1	WP_011190230.1
OG0000667	WP_011071021.1	WP_011187436.1
OG0000670	WP_011072407.1	WP_011190149.1
OG0000671	WP_006079870.1	WP_041277812.1
OG0000672	WP_011073376.1	WP_041277607.1
OG0000673	WP_011074185.1	WP_049785113.1
OG0000674	WP_011074184.1	WP_041278088.1
OG0000675	WP_011074182.1	WP_011189795.1
OG0000676	WP_011074181.1	WP_011189433.1
OG0000677	WP_006083577.1	WP_011188391.1
OG0000678	WP_011070630.1	WP_011188390.1
OG0000679	WP_011071566.1	WP_011190041.1
OG0000680	WP_011073313.1	WP_011188344.1
OG0000681	WP_007644333.1	WP_011188359.1
OG0000682	WP_011070609.1	WP_011188358.1
OG0000683	WP_011071611.1	WP_011188711.1
OG0000684	WP_011074329.1	WP_011188080.1
OG0000685	WP_011070627.1	WP_011188382.1
OG0000686	WP_011072309.1	WP_011188410.1
OG0000687	WP_011070623.1	WP_011188378.1
OG0000688	WP_011070622.1	WP_011188376.1
OG0000689	WP_007644429.1	WP_041277678.1
OG0000690	WP_011073293.1	WP_041278170.1
OG0000691	WP_011070612.1	WP_011188362.1
OG0000692	WP_011070424.1	WP_228130157.1
OG0000693	WP_011070447.1	WP_011187992.1
OG0000694	WP_011070419.1	WP_228130169.1
OG0000695	WP_011072408.1	WP_041277557.1
OG0000696	WP_011071503.1	WP_011187783.1
OG0000697	WP_011073781.1	WP_011188062.1
OG0000698	WP_011070671.1	WP_011190048.1
OG0000699	WP_011070673.1	WP_011188875.1
OG0000700	WP_011073442.1	WP_011189416.1
OG0000701	WP_011073824.1	WP_011189993.1
OG0000702	WP_011070774.1	WP_011190258.1
OG0000704	WP_011073896.1	WP_011190134.1
OG0000705	WP_011073897.1	WP_228130152.1
OG0000706	WP_011073898.1	WP_041278076.1
OG0000707	WP_011073900.1	WP_011190139.1
OG0000708	WP_011073909.1	WP_011190146.1
OG0000709	WP_011074146.1	WP_011189173.1
OG0000710	WP_011072679.1	WP_228130149.1
OG0000711	WP_011071661.1	WP_011187767.1
OG0000712	WP_011073450.1	WP_011189831.1
OG0000713	WP_011073318.1	WP_041277854.1
OG0000714	WP_011073316.1	WP_041278052.1
OG0000715	WP_011073314.1	WP_041277673.1
OG0000716	WP_011073312.1	WP_011188345.1
OG0000717	WP_011070606.1	WP_011188355.1
OG0000718	WP_011070607.1	WP_011188356.1
OG0000719	WP_011070608.1	WP_011188357.1
OG0000720	WP_011070610.1	WP_011188360.1
OG0000721	WP_011070613.1	WP_011188363.1
OG0000722	WP_011070616.1	WP_173362840.1
OG0000723	WP_037421480.1	WP_011188369.1
OG0000724	WP_006083593.1	WP_011188374.1
OG0000725	WP_006083590.1	WP_011188377.1
OG0000726	WP_011070624.1	WP_011188379.1
OG0000727	WP_007644438.1	WP_011188383.1
OG0000728	WP_006083582.1	WP_011188384.1
OG0000729	WP_011070628.1	WP_041277681.1
OG0000730	WP_011070629.1	WP_011188386.1
OG0000731	WP_011070631.1	WP_011188392.1
OG0000732	WP_011070632.1	WP_011188393.1
OG0000733	WP_007644470.1	WP_011188394.1
OG0000734	WP_011073925.1	WP_011189848.1
OG0000735	WP_011073924.1	WP_011188914.1
OG0000737	WP_011071434.1	WP_011189854.1
OG0000738	WP_011073375.1	WP_011187673.1
OG0000739	WP_011071405.1	WP_011189841.1
OG0000740	WP_011074057.1	WP_011188173.1
OG0000741	WP_011071209.1	WP_011188046.1
OG0000743	WP_011073366.1	WP_011188337.1
OG0000744	WP_007651394.1	WP_041277765.1
OG0000745	WP_011073823.1	WP_041278703.1
OG0000746	WP_011071412.1	WP_011189168.1
OG0000747	WP_011070765.1	WP_011189969.1
OG0000748	WP_011073821.1	WP_011189968.1
OG0000749	WP_011072580.1	WP_011190196.1
OG0000750	WP_164925864.1	WP_011187822.1
OG0000751	WP_011072154.1	WP_041277561.1
OG0000753	WP_011072469.1	WP_041278830.1
OG0000754	WP_011073297.1	WP_011188011.1
OG0000755	WP_011073591.1	WP_011188010.1
OG0000756	WP_011071973.1	WP_041277989.1
OG0000758	WP_011072389.1	WP_011187895.1
OG0000759	WP_011072383.1	WP_041278102.1
OG0000760	WP_011072381.1	WP_228130188.1
OG0000761	WP_011072377.1	WP_011187967.1
OG0000762	WP_011070644.1	WP_011190198.1
OG0000763	WP_011073286.1	WP_011190199.1
OG0000764	WP_011073284.1	WP_011188073.1
OG0000766	WP_011071550.1	WP_011187956.1
OG0000767	WP_011071557.1	WP_011188486.1
OG0000768	WP_011071558.1	WP_011188930.1
OG0000769	WP_011071785.1	WP_011188396.1
OG0000770	WP_011071787.1	WP_011188398.1
OG0000771	WP_011071788.1	WP_156792213.1
OG0000772	WP_011071789.1	WP_011188400.1
OG0000773	WP_011071790.1	WP_011188401.1
OG0000774	WP_011071791.1	WP_011188402.1
OG0000775	WP_011071792.1	WP_156792175.1
OG0000776	WP_011071794.1	WP_041278880.1
OG0000777	WP_011071795.1	WP_011190185.1
OG0000779	WP_011071800.1	WP_011190173.1
OG0000781	WP_011073035.1	WP_011190291.1, WP_011190033.1
OG0000782	WP_011073287.1	WP_011188085.1
OG0000783	WP_011071159.1	WP_011189184.1
OG0000784	WP_011073172.1	WP_173362838.1
OG0000785	WP_011073171.1	WP_011188146.1
OG0000786	WP_011072331.1	WP_011190398.1, WP_011189336.1
OG0000787	WP_011070935.1	WP_011190159.1
OG0000788	WP_011073678.1	WP_011189147.1
OG0000789	WP_011072712.1	WP_041278010.1
OG0000790	WP_011072561.1	WP_011188029.1
OG0000791	WP_011071065.1	WP_011187571.1
OG0000792	WP_011072680.1	WP_041278009.1
OG0000793	WP_011070932.1	WP_011189207.1
OG0000794	WP_011073191.1	WP_011189176.1
OG0000795	WP_011073184.1	WP_011190180.1
OG0000796	WP_011071705.1	WP_011189940.1
OG0000797	WP_011073173.1	WP_011189186.1
OG0000799	WP_011073010.1	WP_011190084.1
OG0000800	WP_011072962.1	WP_011187504.1
OG0000801	WP_011072965.1	WP_011190119.1
OG0000802	WP_011072968.1	WP_041278047.1
OG0000803	WP_011073915.1	WP_011188525.1
OG0000806	WP_011070467.1	WP_011187896.1
OG0000807	WP_011071415.1	WP_049785110.1
OG0000808	WP_011071579.1	WP_011188409.1
OG0000809	WP_011073282.1	WP_011189037.1
OG0000810	WP_011071545.1	WP_011187914.1
OG0000811	WP_011070778.1	WP_011189036.1
OG0000813	WP_011071913.1	WP_011190169.1
OG0000815	WP_011070798.1	WP_011188855.1
OG0000816	WP_011073227.1	WP_011187952.1
OG0000817	WP_011073228.1	WP_041277591.1
OG0000818	WP_011073777.1	WP_011189743.1
OG0000819	WP_011072582.1	WP_041277865.1
OG0000822	WP_011073801.1	WP_011188324.1
OG0000823	WP_011071398.1	WP_041277669.1
OG0000824	WP_011070431.1	WP_011187363.1
OG0000825	WP_011070430.1	WP_011188727.1
OG0000826	WP_011070886.1, WP_011072282.1, WP_011072232.1	WP_011189633.1
OG0000827	WP_011072150.1	WP_011188664.1
OG0000828	WP_011072149.1	WP_011188665.1
OG0000829	WP_006081652.1	WP_011188666.1
OG0000830	WP_011072303.1	WP_041277749.1
OG0000831	WP_011072302.1	WP_083818944.1
OG0000832	WP_011072301.1	WP_041278463.1
OG0000833	WP_011071275.1	WP_011188552.1
OG0000834	WP_011071428.1	WP_011190339.1
OG0000835	WP_011070823.1	WP_228130161.1
OG0000836	WP_011074274.1	WP_011190015.1
OG0000837	WP_011073597.1	WP_011189967.1
OG0000838	WP_011073598.1	WP_011190320.1
OG0000839	WP_011073600.1	WP_011189976.1
OG0000841	WP_011071454.1	WP_011187964.1
OG0000842	WP_011073662.1	WP_011189994.1
OG0000843	WP_011073672.1	WP_011189839.1
OG0000844	WP_011071568.1	WP_011190044.1
OG0000845	WP_011071567.1	WP_041278056.1
OG0000846	WP_011071565.1	WP_041278055.1
OG0000848	WP_011071402.1	WP_049785106.1
OG0000849	WP_011073799.1	WP_011188952.1
OG0000851	WP_011073699.1	WP_041277521.1
OG0000852	WP_011072140.1	WP_011188523.1
OG0000853	WP_011072138.1	WP_011188569.1
OG0000854	WP_011072134.1	WP_011189880.1
OG0000855	WP_011070647.1	WP_011188566.1
OG0000856	WP_011074259.1	WP_011189878.1
OG0000858	WP_011072100.1	WP_011187521.1
OG0000859	WP_011074328.1	WP_011188978.1
OG0000860	WP_011074331.1	WP_011188078.1
OG0000861	WP_011074339.1	WP_011188524.1
OG0000862	WP_011074340.1	WP_041278336.1
OG0000863	WP_011070478.1	WP_228130144.1
OG0000864	WP_011070664.1	WP_011188040.1
OG0000865	WP_011070651.1	WP_011187680.1
OG0000866	WP_011073972.1	WP_011187847.1
OG0000867	WP_011071513.1	WP_011188057.1
OG0000868	WP_011072677.1	WP_011190333.1, WP_011189786.1
OG0000869	WP_011070611.1	WP_011188361.1
OG0000870	WP_011072267.1	WP_011187527.1
OG0000871	WP_011071439.1	WP_011189849.1
OG0000872	WP_164925631.1	WP_193763854.1
OG0000873	WP_011073365.1	WP_011189793.1
OG0000874	WP_011072288.1	WP_041278050.1
OG0000875	WP_164925707.1	WP_156792221.1
OG0000876	WP_011072699.1	WP_011189775.1
OG0000877	WP_011073189.1	WP_011190326.1
OG0000878	WP_011071077.1	WP_011187891.1
OG0000879	WP_011071578.1	WP_011189824.1
OG0000880	WP_011073529.1	WP_049785018.1
OG0000881	WP_011074056.1	WP_011187319.1
OG0000882	WP_011071526.1	WP_041278072.1
OG0000884	WP_011073008.1	WP_011188152.1
OG0000885	WP_011071212.1	WP_011187346.1
OG0000886	WP_011072563.1	WP_011190161.1
OG0000889	WP_011073575.1	WP_011187694.1
OG0000891	WP_011070422.1	WP_228130168.1
OG0000893	WP_011073902.1	WP_011190140.1
OG0000894	WP_011071915.1	WP_041278006.1
OG0000895	WP_011073967.1	WP_011187678.1
OG0000896	WP_011071261.1	WP_011188870.1
OG0000898	WP_011073310.1	WP_011187994.1
OG0000899	WP_011072098.1	WP_011188670.1
OG0000900	WP_011073931.1	WP_041278069.1
OG0000904	WP_011070639.1, WP_011070832.1	WP_011188485.1
OG0000906	WP_011073004.1	WP_011190322.1
OG0000907	WP_011072361.1	WP_011188240.1
OG0000913	WP_011074305.1	WP_011187576.1
OG0000914	WP_011074130.1, WP_011074134.1, WP_011070511.1	WP_011190229.1, WP_011189008.1
OG0000916	WP_011071226.1	WP_011190077.1, WP_041278060.1
OG0000918	WP_011073981.1	WP_228130159.1
OG0000921	WP_011073077.1	WP_011187292.1, WP_011187838.1
OG0000922	WP_011072424.1, WP_011070816.1	WP_011187318.1
OG0000928	WP_011073038.1, WP_011073037.1	WP_011188614.1, WP_011188615.1
OG0000930	WP_011070869.1	WP_041278638.1
OG0000931	WP_011071294.1	WP_011189193.1
OG0000933	WP_011073124.1	WP_011189930.1
OG0000934	WP_011073119.1	WP_011188900.1
OG0000935	WP_011073874.1	WP_041277923.1
OG0000937	WP_011073920.1	WP_011188588.1, WP_011188587.1
OG0000939	WP_011073586.1	WP_041278059.1
OG0000942	WP_011071188.1, WP_011071352.1	WP_011189048.1
OG0000942	WP_238560586.1, WP_011072394.1	WP_011188006.1
OG0000943	WP_011071295.1	WP_011189192.1
OG0000947	WP_011071351.1, WP_011071187.1	WP_011189047.1
OG0000948	WP_011071186.1, WP_011071350.1	WP_011189046.1
OG0000952	WP_011071701.1	WP_041277907.1, WP_041277650.1
OG0000954	WP_011072585.1	WP_173362830.1
OG0000958	WP_011074323.1	WP_011187497.1
OG0000962	WP_011071400.1	WP_011189457.1
OG0000963	WP_011074333.1	WP_011188076.1
OG0000967	WP_011072285.1	WP_011189189.1
OG0000969	WP_011071083.1	WP_011187545.1
OG0000970	WP_011073218.1, WP_164925680.1	WP_011188328.1
OG0000971	WP_011070649.1	WP_011187682.1
OG0000973	WP_011072330.1	WP_011189337.1, WP_011190397.1
OG0000974	WP_011073441.1	WP_011190049.1
OG0000975	WP_164925947.1	WP_011190362.1
OG0000977	WP_011071875.1	WP_011189873.1
OG0000978	WP_011070617.1	WP_011188367.1
OG0000980	WP_274544339.1	WP_011188680.1
OG0000982	WP_011071987.1	WP_011188025.1
OG0000984	WP_011071124.1	WP_011187941.1
OG0000989	WP_011073368.1	WP_011188859.1
OG0000991	WP_011071373.1	WP_041277519.1
OG0000994	WP_006083579.1	WP_083818937.1
OG0001001	WP_011072235.1	WP_041277663.1
OG0001002	WP_011071435.1	WP_011189853.1
OG0001004	WP_011072574.1	WP_011188129.1
OG0001005	WP_011072575.1	WP_011188130.1
OG0001007	WP_011073364.1	WP_011189792.1
OG0001010	WP_011071534.1	WP_011187750.1, WP_049784987.1
OG0001011	WP_011074007.1	WP_011187970.1
OG0001012	WP_011074022.1	WP_041277843.1, WP_041277847.1
OG0001013	WP_011074031.1	WP_049785060.1
OG0001014	WP_011073929.1	WP_011190157.1
OG0001015	WP_011071916.1	WP_041278005.1
OG0001016	WP_011071917.1	WP_011189778.1
OG0001017	WP_011073311.1	WP_011189511.1
OG0001019	WP_011073034.1	WP_011190292.1, WP_228130207.1
OG0001023	WP_202950653.1	WP_156792191.1
OG0001026	WP_011072549.1	WP_011189405.1
OG0001027	WP_011074050.1	WP_011190117.1
OG0001028	WP_011072715.1	WP_083818998.1
OG0001030	WP_011073187.1	WP_011187816.1
OG0001031	WP_011073398.1	WP_011189151.1
OG0001036	WP_011071067.1	WP_041277818.1
OG0001037	WP_011071746.1	WP_011189128.1
OG0001038	WP_011073168.1	WP_011187949.1
OG0001039	WP_011071441.1	WP_011190060.1
OG0001040	WP_011072535.1	WP_011188403.1
OG0001042	WP_011071282.1	WP_083818927.1, WP_011189450.1
OG0001043	WP_011071431.1	WP_011187344.1
OG0001044	WP_006079871.1	WP_083818936.1
OG0001045	WP_011073857.1	WP_011189936.1
OG0001048	WP_011072263.1	WP_049785120.1
OG0001049	WP_011070599.1	WP_041277587.1
OG0001050	WP_011070873.1	WP_041277856.1
OG0001051	WP_164925908.1	WP_011188984.1
OG0001052	WP_011072202.1	WP_011188584.1
OG0001054	WP_011073437.1	WP_011190182.1
OG0001055	WP_011071514.1	WP_041277435.1
OG0001057	WP_011072803.1	WP_011188545.1
OG0001058	WP_011073856.1	WP_041278814.1
OG0001059	WP_011073838.1, WP_011070794.1	WP_011187902.1
OG0001063	WP_011072556.1	WP_011187933.1
OG0001070	WP_011071408.1	WP_011189051.1
OG0001072	WP_011073547.1	WP_011189869.1
OG0001073	WP_164925959.1	WP_011189989.1, WP_011188204.1
OG0001078	WP_011073881.1	WP_041277736.1
OG0001081	WP_011071599.1	WP_041277700.1
OG0001082	WP_011072827.1	WP_041277998.1
OG0001085	WP_011070848.1	WP_011189370.1
OG0001086	WP_011073941.1, WP_011070876.1	WP_011188189.1
OG0001088	WP_011072570.1	WP_011187879.1
OG0001089	WP_011072949.1	WP_041278115.1, WP_011188964.1
OG0001093	WP_011071888.1	WP_011189705.1
OG0001094	WP_011072416.1	WP_011188981.1
OG0001095	WP_011071372.1, WP_011070831.1, WP_011071319.1, WP_011071597.1	WP_011188408.1
OG0001100	WP_011071908.1	WP_011189979.1
OG0001103	WP_011072112.1	WP_011189811.1
OG0001104	WP_011073298.1	WP_011189835.1
OG0001107	WP_011072442.1	WP_011189182.1
OG0001108	WP_011071531.1	WP_011189190.1
OG0001109	WP_011071297.1	WP_011189191.1
OG0001110	WP_011071296.1	WP_011189194.1
OG0001114	WP_011070537.1, WP_011073106.1	WP_011189908.1
OG0001115	WP_011073192.1	WP_011189846.1
OG0001116	WP_011071228.1	WP_011189508.1
OG0001118	WP_011072698.1	WP_011187917.1
OG0001119	WP_011071038.1	WP_011188639.1, WP_041278058.1
OG0001120	WP_011072242.1	WP_011188572.1
OG0001121	WP_011070513.1	WP_011188932.1
OG0001122	WP_164925909.1	WP_011189826.1
OG0001126	WP_011073623.1	WP_011187700.1
OG0001131	WP_164925752.1	WP_011187408.1, WP_041277636.1
OG0001134	WP_011074198.1	WP_011188603.1, WP_265588609.1
OG0001134	WP_011072133.1	WP_011188199.1
OG0001136	WP_193378418.1	WP_011189732.1
OG0001142	WP_011071426.1	WP_011190150.1
OG0001143	WP_011073641.1	WP_265588575.1
OG0001145	WP_011070773.1	WP_011189970.1
OG0001158	WP_011073505.1	WP_011189947.1, WP_011187973.1
OG0001161	WP_011073317.1	WP_011190027.1
OG0001162	WP_011073836.1	WP_162096652.1
OG0001163	WP_011070625.1	WP_011188380.1
OG0001164	WP_011073767.1	WP_011188853.1
OG0001165	WP_011070792.1	WP_011188521.1
OG0001168	WP_011074034.1	WP_041277846.1
OG0001169	WP_011074030.1	WP_011189086.1
OG0001177	WP_011073498.1	WP_162096618.1
OG0001177	WP_011071532.1	WP_041278255.1
OG0001178	WP_011073095.1	WP_011189919.1
OG0001179	WP_011073930.1	WP_041277711.1
OG0001180	WP_011071393.1	WP_011187542.1
OG0001181	WP_011071392.1	WP_011187541.1
OG0001186	WP_011073246.1	WP_011189391.1
OG0001188	WP_011072572.1	WP_041277859.1
OG0001189	WP_164925866.1	WP_011188586.1
OG0001190	WP_011070675.1	WP_049785029.1
OG0001191	WP_011071164.1	WP_041277434.1
OG0001192	WP_011072762.1	WP_011187771.1
OG0001195	WP_011072177.1	WP_228130192.1
OG0001196	WP_011071411.1	WP_041277791.1
OG0001203	WP_011070468.1	WP_011190358.1
OG0001204	WP_011072832.1	WP_011187324.1
OG0001208	WP_011072519.1	WP_011187339.1
OG0001220	WP_011073814.1	WP_011187358.1
OG0001222	WP_011073415.1	WP_041277523.1
OG0001227	WP_011073253.1	WP_011189818.1
OG0001228	WP_164925813.1	WP_265588574.1
OG0001231	WP_011072193.1	WP_011189063.1
OG0001238	WP_011073014.1, WP_011073570.1	WP_011190350.1
OG0001239	WP_164925911.1	WP_041277965.1
OG0001240	WP_011073211.1	WP_011189039.1
OG0001241	WP_011074047.1	WP_011187365.1
OG0001247	WP_011070679.1	WP_156792206.1
OG0001249	WP_011073198.1	WP_041277427.1
OG0001266	WP_011070547.1	WP_011189961.1
OG0001267	WP_011074089.1	WP_011187707.1
OG0001273	WP_011070810.1	WP_011187990.1
OG0001275	WP_011073786.1	WP_011188920.1
OG0001283	WP_011072785.1	WP_041278031.1
OG0001284	WP_011073111.1	WP_011189898.1
OG0001285	WP_011073110.1	WP_041278035.1
OG0001286	WP_011073109.1	WP_011189900.1
OG0001287	WP_011073107.1	WP_011189903.1
OG0001288	WP_011073131.1	WP_011189904.1
OG0001289	WP_011073099.1	WP_011189915.1
OG0001290	WP_011073098.1	WP_011189916.1
OG0001292	WP_011073681.1	WP_041278007.1
OG0001294	WP_011073614.1	WP_011189444.1
OG0001296	WP_011074306.1	WP_011187575.1
OG0001297	WP_011074307.1	WP_011187574.1
OG0001309	WP_011072338.1	WP_011189454.1
OG0001311	WP_011073408.1	WP_011189760.1
OG0001314	WP_011072781.1	WP_011188928.1
OG0001317	WP_011073212.1, WP_011071529.1	WP_011189986.1, WP_011189306.1
OG0001326	WP_011073190.1	WP_041277772.1
OG0001327	WP_011073764.1	WP_011187399.1
OG0001330	WP_011071425.1	WP_011188919.1
OG0001331	WP_011071239.1	WP_011190348.1
OG0001332	WP_011073438.1	WP_011190181.1
OG0001336	WP_011072792.1	WP_011187561.1
OG0001340	WP_011072573.1	WP_011190080.1
OG0001347	WP_011073577.1	WP_011190171.1
OG0001348	WP_011073331.1	WP_156792209.1
OG0001349	WP_011074001.1	WP_011188132.1
OG0001350	WP_011070655.1	WP_156792166.1
OG0001351	WP_011070654.1	WP_011187354.1
OG0001353	WP_011074021.1	WP_228130197.1
OG0001355	WP_011072388.1	WP_011189174.1
OG0001356	WP_011071084.1	WP_011187543.1
OG0001357	WP_011070560.1	WP_011187805.1
OG0001362	WP_011072176.1	WP_011188686.1
OG0001363	WP_011072373.1	WP_011190055.1
OG0001364	WP_011073584.1	WP_049785165.1
OG0001368	WP_011071501.1	WP_011188122.1
OG0001372	WP_011072754.1	WP_011187309.1
OG0001376	WP_011073149.1	WP_011190003.1
OG0001378	WP_011073216.1	WP_011189459.1
OG0001379	WP_011070653.1	WP_156792165.1
OG0001382	WP_011071082.1	WP_011187546.1
OG0001384	WP_011072161.1	WP_041277560.1
OG0001385	WP_011074023.1	WP_011189099.1
OG0001386	WP_011070746.1, WP_011070745.1, WP_011071638.1	WP_041277517.1
OG0001389	WP_164925684.1	WP_041277825.1
OG0001395	WP_011073271.1	WP_011189860.1
OG0001409	WP_011070856.1	WP_011190359.1
OG0001411	WP_011073390.1	WP_011187982.1
OG0001413	WP_011071607.1	WP_041277565.1
OG0001421	WP_011072224.1	WP_011187997.1
OG0001423	WP_011073251.1	WP_011189817.1
OG0001428	WP_011071965.1	WP_011187984.1
OG0001432	WP_011073158.1	WP_011189385.1
OG0001439	WP_011070923.1	WP_041277496.1
OG0001440	WP_011073215.1	WP_011187606.1
OG0001441	WP_011070959.1	WP_011189324.1
OG0001445	WP_011070574.1	WP_011187528.1
OG0001469	WP_011073829.1	WP_041277853.1, WP_041277446.1
OG0001473	WP_011073140.1	WP_156792301.1
OG0001481	WP_164925719.1	WP_011190038.1
OG0001490	WP_011073133.1	WP_011189894.1
OG0001491	WP_011073132.1	WP_011189895.1
OG0001492	WP_011073113.1	WP_011189896.1
OG0001493	WP_164925897.1	WP_162096664.1
OG0001494	WP_011073105.1	WP_011189909.1
OG0001495	WP_011073104.1	WP_011189910.1
OG0001496	WP_011073102.1	WP_011189912.1
OG0001497	WP_011073101.1	WP_011189913.1
OG0001498	WP_011073100.1	WP_011189914.1
OG0001499	WP_011073129.1	WP_011189921.1
OG0001500	WP_011073128.1	WP_011189922.1
OG0001501	WP_011073136.1	WP_011189923.1
OG0001502	WP_011073127.1	WP_011189924.1
OG0001503	WP_011073126.1	WP_011189925.1
OG0001504	WP_006082602.1	WP_011189932.1
OG0001505	WP_011073117.1	WP_083818954.1
OG0001511	WP_011072591.1	WP_011189770.1, WP_011188610.1
OG0001512	WP_011072462.1	WP_011189771.1
OG0001521	WP_011072384.1, WP_011072337.1	WP_011187862.1
OG0001523	WP_011072748.1	WP_265588560.1, WP_265588559.1
OG0001528	WP_011071954.1	WP_011189418.1
OG0001535	WP_011070807.1	WP_228130195.1
OG0001537	WP_011072227.1	WP_041277596.1
OG0001539	WP_011071371.1	WP_041277566.1
OG0001541	WP_011073711.1	WP_011187589.1
OG0001546	WP_011072036.1	WP_011190344.1
OG0001548	WP_011073259.1, WP_011071743.1	WP_041278042.1
OG0001550	WP_011070868.1	WP_011187591.1
OG0001553	WP_011071148.1	WP_011187951.1, WP_011188527.1, WP_011188537.1
OG0001559	WP_011070556.1, WP_011073727.1, WP_011072045.1, WP_011071202.1, WP_011073391.1	WP_011188747.1
OG0001562	WP_011073665.1	WP_011189620.1, WP_049785086.1
OG0001585	WP_011072467.1	WP_011187412.1
OG0001586	WP_011072466.1	WP_011187411.1
OG0001595	WP_011070789.1	WP_011188895.1
OG0001599	WP_011071939.1, WP_164925727.1, WP_011071993.1	WP_228130134.1
OG0001602	WP_011070545.1	WP_011187946.1
OG0001606	WP_011070466.1	WP_011187360.1
OG0001608	WP_011072018.1	WP_156792317.1
OG0001619	WP_011072423.1	WP_011189115.1
OG0001629	WP_011073546.1	WP_041278030.1
OG0001631	WP_011070432.1	WP_011187409.1
OG0001634	WP_011074026.1	WP_049785059.1
OG0001641	WP_164925720.1	WP_011190318.1
OG0001658	WP_011072410.1	WP_011190331.1
OG0001659	WP_011072411.1	WP_011190332.1
OG0001666	WP_011072225.1	WP_041277597.1
OG0001667	WP_011072824.1	WP_162096657.1
OG0001669	WP_011072375.1	WP_041278138.1
OG0001670	WP_011072990.1	WP_041277574.1
OG0001671	WP_011072988.1	WP_041277573.1
OG0001680	WP_011070767.1	WP_011188141.1
OG0001693	WP_011071358.1	WP_011187503.1
OG0001700	WP_011073447.1	WP_011187556.1
OG0001708	WP_011072773.1	WP_041278368.1
OG0001710	WP_011073819.1	WP_011187762.1
OG0001711	WP_011074261.1	WP_011188104.1
OG0001722	WP_011074052.1	WP_011187860.1
OG0001729	WP_011070591.1	WP_011187942.1
OG0001745	WP_011071877.1	WP_011189871.1
OG0001746	WP_011071876.1	WP_011189872.1
OG0001748	WP_011073125.1	WP_011189926.1
OG0001749	WP_011073123.1	WP_011189931.1
OG0001751	WP_011073120.1	WP_011188901.1
OG0001755	WP_011072251.1	WP_011189448.1
OG0001756	WP_011074252.1	WP_011189456.1
OG0001766	WP_011072006.1, WP_011072172.1	WP_011188311.1
OG0001769	WP_011071394.1	WP_011190125.1
OG0001774	WP_011070561.1	WP_011188854.1
OG0001784	WP_164925781.1	WP_011187532.1, WP_011187533.1
OG0001795	WP_011073868.1	WP_011188878.1
OG0001798	WP_011070830.1	WP_011188260.1
OG0001799	WP_011071037.1	WP_011187590.1
OG0001800	WP_011070874.1	WP_011189019.1
OG0001801	WP_011070956.1	WP_011189548.1
OG0001802	WP_011073436.1, WP_011071964.1	WP_011190474.1
OG0001804	WP_011072262.1	WP_011189427.1
OG0001805	WP_011070702.1	WP_041277532.1, WP_011189483.1
OG0001809	WP_011072070.1	WP_011188746.1, WP_041278495.1
OG0001812	WP_011073996.1	WP_041277611.1
OG0001815	WP_011072474.1	WP_041277602.1
OG0001820	WP_011071178.1	WP_011188528.1
OG0001827	WP_011073964.1	WP_011188432.1
OG0001837	WP_011070458.1	WP_041277649.1
OG0001838	WP_011070695.1	WP_011190262.1
OG0001839	WP_011072096.1	WP_011188161.1, WP_011188757.1
OG0001844	WP_011071169.1	WP_011187698.1
OG0001845	WP_011071765.1	WP_011187413.1
OG0001850	WP_011071105.1	WP_041277875.1
OG0001851	WP_011072438.1	WP_011188626.1
OG0001857	WP_011071869.1	WP_041277941.1
OG0001864	WP_164925690.1, WP_164925689.1	WP_041277507.1
OG0001873	WP_011073370.1	WP_041277500.1
OG0001893	WP_011070528.1	WP_011187455.1
OG0001895	WP_164925592.1	WP_041277622.1
OG0001896	WP_011072398.1	WP_041277641.1
OG0001902	WP_011071874.1	WP_011187986.1
OG0001908	WP_011070697.1	WP_265588610.1
OG0001913	WP_164925937.1	WP_041277831.1
OG0001917	WP_011070579.1	WP_011190155.1
OG0001961	WP_011074313.1, WP_011074157.1	WP_011187246.1
OG0002001	WP_011073103.1	WP_011189911.1
OG0002002	WP_011073097.1	WP_011189917.1
OG0002003	WP_011073086.1	WP_011189725.1
OG0002029	WP_037422212.1	WP_041277580.1
OG0002032	WP_011072173.1	WP_228130189.1
OG0002047	WP_011071689.1	WP_011187441.1
OG0002048	WP_011071348.1, WP_011071184.1	WP_011189044.1
OG0002049	WP_011071183.1, WP_011071347.1	WP_011189043.1
OG0002050	WP_164925931.1	WP_041277657.1
OG0002062	WP_011071839.1	WP_011189395.1
OG0002073	WP_164925839.1	WP_083818918.1
OG0002078	WP_011070439.1	WP_011187947.1
OG0002079	WP_011074301.1	WP_228130151.1
OG0002080	WP_011072447.1, WP_011070701.1, WP_011071272.1	WP_011188943.1
OG0002083	WP_011072196.1	WP_228130158.1, WP_041277638.1
OG0002086	WP_011071700.1	WP_011189316.1
OG0002089	WP_011071333.1	WP_011187342.1
OG0002090	WP_011071092.1	WP_011190264.1
OG0002091	WP_011071361.1, WP_011071463.1	WP_049785148.1
