Orthogroup	Shewanella oneidensis MR-1	Desulfocapsa sulfexigens DSM 10523
OG0000606	WP_011072376.1	WP_228130038.1
OG0000607	WP_164925802.1	WP_167320733.1
OG0000608	WP_011071703.1	WP_228130026.1
OG0000609	WP_011072357.1	WP_228130078.1
OG0000610	WP_011073188.1	WP_015404319.1
OG0000611	WP_011071421.1	WP_015405215.1
OG0000612	WP_011071798.1	WP_015405558.1
OG0000613	WP_006080791.1	WP_015405557.1
OG0000614	WP_011072032.1	WP_015403833.1
OG0000615	WP_011071784.1	WP_015404310.1
OG0000616	WP_011071786.1	WP_015404312.1
OG0000617	WP_011070618.1	WP_015404282.1
OG0000618	WP_011070620.1	WP_015404284.1
OG0000619	WP_006083596.1	WP_015404285.1
OG0000620	WP_006083595.1	WP_015404286.1
OG0000621	WP_011070621.1	WP_015404287.1
OG0000623	WP_011073687.1	WP_015404728.1
OG0000624	WP_007650346.1	WP_015405025.1
OG0000625	WP_011073451.1	WP_015405024.1
OG0000626	WP_011073399.1	WP_015403434.1
OG0000627	WP_011073042.1	WP_015404320.1
OG0000628	WP_011071409.1	WP_015402471.1
OG0000630	WP_011073225.1	WP_015403871.1
OG0000631	WP_011073224.1	WP_015403869.1
OG0000632	WP_011073222.1	WP_015404802.1
OG0000634	WP_011073362.1	WP_015405484.1
OG0000635	WP_011071429.1	WP_015404478.1
OG0000637	WP_011072714.1	WP_015404786.1
OG0000638	WP_011070724.1	WP_015404362.1
OG0000639	WP_011072734.1	WP_015405456.1
OG0000640	WP_011072733.1	WP_015404578.1
OG0000641	WP_011073048.1	WP_015405619.1
OG0000642	WP_011072310.1	WP_015404104.1
OG0000643	WP_011072175.1	WP_015404719.1
OG0000644	WP_011071416.1	WP_015403865.1
OG0000645	WP_011072241.1	WP_153304871.1
OG0000646	WP_011070601.1	WP_015405682.1
OG0000647	WP_011073899.1	WP_015405683.1
OG0000648	WP_011073903.1	WP_015405686.1
OG0000649	WP_011073601.1	WP_015404718.1
OG0000650	WP_011072929.1	WP_015405533.1
OG0000651	WP_238560600.1	WP_015405131.1
OG0000652	WP_011071706.1	WP_015404738.1
OG0000653	WP_011071555.1	WP_041917055.1
OG0000655	WP_011074260.1	WP_015404177.1
OG0000656	WP_011071432.1	WP_015402306.1
OG0000657	WP_011071433.1	WP_015402305.1
OG0000658	WP_011071436.1	WP_015402301.1
OG0000659	WP_011071437.1	WP_015402300.1
OG0000660	WP_006083052.1	WP_015405750.1
OG0000661	WP_011073682.1	WP_015405749.1
OG0000662	WP_011074308.1	WP_015404379.1
OG0000663	WP_011070907.1	WP_015403013.1
OG0000664	WP_011074083.1	WP_015404540.1
OG0000665	WP_011073514.1	WP_015402733.1
OG0000666	WP_011073620.1	WP_015402799.1, WP_015403904.1
OG0000667	WP_011071021.1	WP_015403629.1
OG0000668	WP_011071182.1	WP_015403715.1
OG0000669	WP_011072767.1, WP_011071992.1	WP_015402625.1
OG0000670	WP_011072407.1	WP_015405697.1
OG0000671	WP_006079870.1	WP_015404549.1
OG0000672	WP_011073376.1	WP_015403881.1
OG0000673	WP_011074185.1	WP_015404811.1
OG0000674	WP_011074184.1	WP_015404432.1
OG0000675	WP_011074182.1	WP_015405612.1
OG0000676	WP_011074181.1	WP_015405218.1
OG0000677	WP_006083577.1	WP_015404305.1
OG0000678	WP_011070630.1	WP_015404304.1
OG0000679	WP_011071566.1	WP_015405552.1
OG0000680	WP_011073313.1	WP_015404260.1
OG0000681	WP_007644333.1	WP_208598517.1
OG0000682	WP_011070609.1	WP_015404273.1
OG0000683	WP_011071611.1	WP_015404510.1
OG0000684	WP_011074329.1	WP_015403957.1
OG0000685	WP_011070627.1	WP_015404296.1
OG0000686	WP_011072309.1	WP_015404330.1
OG0000687	WP_011070623.1	WP_015404292.1
OG0000688	WP_011070622.1	WP_015404290.1
OG0000689	WP_007644429.1	WP_015404289.1
OG0000690	WP_011073293.1	WP_015403507.1
OG0000691	WP_011070612.1	WP_015404277.1
OG0000692	WP_011070424.1	WP_015403857.1
OG0000693	WP_011070447.1	WP_015403094.1
OG0000694	WP_011070419.1	WP_015404000.1
OG0000695	WP_011072408.1	WP_153304833.1
OG0000696	WP_011071503.1	WP_015403092.1
OG0000697	WP_011073781.1	WP_015403917.1
OG0000698	WP_011070671.1	WP_228130088.1
OG0000699	WP_011070673.1	WP_015405529.1
OG0000700	WP_011073442.1	WP_015404849.1
OG0000701	WP_011073824.1	WP_015404878.1
OG0000702	WP_011070774.1	WP_015402520.1
OG0000703	WP_011070854.1	WP_015403823.1
OG0000704	WP_011073896.1	WP_015405679.1
OG0000705	WP_011073897.1	WP_015405680.1
OG0000706	WP_011073898.1	WP_015405681.1
OG0000707	WP_011073900.1	WP_015405684.1
OG0000708	WP_011073909.1	WP_015405691.1
OG0000709	WP_011074146.1	WP_015405104.1
OG0000710	WP_011072679.1	WP_015405606.1
OG0000711	WP_011071661.1	WP_015403495.1
OG0000712	WP_011073450.1	WP_015405026.1
OG0000713	WP_011073318.1	WP_015404795.1
OG0000714	WP_011073316.1	WP_083907296.1
OG0000715	WP_011073314.1	WP_015404259.1
OG0000716	WP_011073312.1	WP_015404261.1
OG0000717	WP_011070606.1	WP_015404270.1
OG0000718	WP_011070607.1	WP_015404271.1
OG0000719	WP_011070608.1	WP_015404272.1
OG0000720	WP_011070610.1	WP_015404275.1
OG0000721	WP_011070613.1	WP_015404278.1
OG0000722	WP_011070616.1	WP_015404280.1
OG0000723	WP_037421480.1	WP_015404283.1
OG0000724	WP_006083593.1	WP_015404288.1
OG0000725	WP_006083590.1	WP_015404291.1
OG0000726	WP_011070624.1	WP_015404293.1
OG0000727	WP_007644438.1	WP_015404297.1
OG0000728	WP_006083582.1	WP_015404298.1
OG0000729	WP_011070628.1	WP_015404299.1
OG0000730	WP_011070629.1	WP_015404300.1
OG0000731	WP_011070631.1	WP_015404306.1
OG0000732	WP_011070632.1	WP_015404307.1
OG0000733	WP_007644470.1	WP_015404308.1
OG0000734	WP_011073925.1	WP_015402298.1
OG0000735	WP_011073924.1	WP_041916957.1
OG0000737	WP_011071434.1	WP_015402304.1
OG0000738	WP_011073375.1	WP_015402949.1
OG0000739	WP_011071405.1	WP_015405016.1
OG0000740	WP_011074057.1	WP_015404023.1
OG0000741	WP_011071209.1	WP_015403887.1
OG0000742	WP_011073511.1	WP_015404033.1
OG0000743	WP_011073366.1	WP_015404254.1
OG0000744	WP_007651394.1	WP_015404538.1
OG0000745	WP_011073823.1	WP_015405381.1
OG0000746	WP_011071412.1	WP_015405095.1
OG0000747	WP_011070765.1	WP_015404724.1
OG0000748	WP_011073821.1	WP_015404725.1
OG0000749	WP_011072580.1	WP_083907163.1
OG0000750	WP_164925864.1	WP_015403421.1
OG0000751	WP_011072154.1	WP_015403424.1
OG0000752	WP_011074006.1	WP_015402484.1
OG0000753	WP_011072469.1	WP_015404859.1
OG0000754	WP_011073297.1	WP_015403167.1
OG0000755	WP_011073591.1	WP_228130063.1
OG0000756	WP_011071973.1	WP_041916433.1
OG0000758	WP_011072389.1	WP_015403358.1
OG0000759	WP_011072383.1	WP_015402514.1
OG0000760	WP_011072381.1	WP_015402787.1
OG0000761	WP_011072377.1	WP_015403142.1
OG0000762	WP_011070644.1	WP_015402667.1
OG0000763	WP_011073286.1	WP_015402668.1
OG0000764	WP_011073284.1	WP_015403950.1
OG0000766	WP_011071550.1	WP_015403369.1
OG0000767	WP_011071557.1	WP_015402388.1
OG0000768	WP_011071558.1	WP_015405616.1
OG0000769	WP_011071785.1	WP_015404311.1
OG0000770	WP_011071787.1	WP_015404313.1
OG0000771	WP_011071788.1	WP_015404314.1
OG0000772	WP_011071789.1	WP_015404315.1
OG0000773	WP_011071790.1	WP_015404316.1
OG0000774	WP_011071791.1	WP_015404317.1
OG0000775	WP_011071792.1	WP_015403854.1
OG0000776	WP_011071794.1	WP_228130023.1
OG0000777	WP_011071795.1	WP_015405705.1
OG0000779	WP_011071800.1	WP_015404446.1
OG0000780	WP_011071749.1, WP_011071820.1	WP_015405473.1
OG0000781	WP_011073035.1	WP_015404789.1
OG0000782	WP_011073287.1	WP_015403960.1
OG0000783	WP_011071159.1	WP_015405149.1
OG0000784	WP_011073172.1	WP_015402790.1
OG0000785	WP_011073171.1	WP_015402791.1
OG0000787	WP_011070935.1	WP_228130090.1
OG0000788	WP_011073678.1	WP_015404156.1
OG0000789	WP_011072712.1	WP_015405607.1
OG0000790	WP_011072561.1	WP_015403866.1
OG0000791	WP_011071065.1	WP_015402492.1, WP_015402610.1
OG0000792	WP_011072680.1	WP_015405605.1
OG0000793	WP_011070932.1	WP_015402327.1
OG0000794	WP_011073191.1	WP_015405108.1
OG0000795	WP_011073184.1	WP_015404416.1
OG0000796	WP_011071705.1	WP_015404737.1
OG0000797	WP_011073173.1	WP_015405151.1
OG0000798	WP_011073009.1	WP_015402907.1
OG0000799	WP_011073010.1	WP_015404376.1
OG0000800	WP_011072962.1	WP_015403515.1
OG0000801	WP_011072965.1	WP_015405649.1
OG0000802	WP_011072968.1	WP_015404812.1
OG0000803	WP_011073915.1	WP_041917156.1
OG0000805	WP_202950643.1	WP_015404212.1, WP_015403131.1
OG0000806	WP_011070467.1	WP_015403359.1
OG0000807	WP_011071415.1	WP_167320747.1
OG0000808	WP_011071579.1	WP_015404329.1
OG0000809	WP_011073282.1	WP_015402465.1
OG0000810	WP_011071545.1	WP_015404753.1
OG0000811	WP_011070778.1	WP_015402464.1
OG0000813	WP_011071913.1	WP_015404469.1
OG0000815	WP_011070798.1	WP_015405140.1
OG0000816	WP_011073227.1	WP_015403361.1
OG0000817	WP_011073228.1	WP_015403376.1
OG0000818	WP_011073777.1	WP_015404964.1
OG0000819	WP_011072582.1	WP_015405097.1
OG0000820	WP_011072999.1	WP_015403336.1
OG0000822	WP_011073801.1	WP_015404166.1
OG0000823	WP_011071398.1	WP_015404169.1
OG0000824	WP_011070431.1	WP_015403078.1
OG0000825	WP_011070430.1	WP_015404545.1
OG0000826	WP_011070886.1, WP_011072282.1, WP_011072232.1	WP_015402880.1
OG0000827	WP_011072150.1	WP_015405545.1
OG0000828	WP_011072149.1	WP_015405544.1
OG0000829	WP_006081652.1	WP_015405543.1
OG0000830	WP_011072303.1	WP_015405542.1
OG0000831	WP_011072302.1	WP_041916459.1
OG0000832	WP_011072301.1	WP_015405540.1
OG0000833	WP_011071275.1	WP_015405766.1
OG0000834	WP_011071428.1	WP_015402351.1
OG0000836	WP_011074274.1	WP_015404810.1
OG0000837	WP_011073597.1	WP_015404726.1
OG0000838	WP_011073598.1	WP_015402709.1
OG0000839	WP_011073600.1	WP_015404717.1
OG0000841	WP_011071454.1	WP_015403390.1
OG0000842	WP_011073662.1	WP_015404877.1
OG0000843	WP_011073672.1	WP_015405018.1
OG0000844	WP_011071568.1	WP_015405555.1
OG0000845	WP_011071567.1	WP_015405554.1
OG0000846	WP_011071565.1	WP_015405551.1
OG0000848	WP_011071402.1	WP_015405029.1
OG0000849	WP_011073799.1	WP_015402337.1
OG0000850	WP_011073702.1	WP_015403211.1
OG0000851	WP_011073699.1	WP_015402964.1
OG0000852	WP_011072140.1	WP_015405742.1
OG0000853	WP_011072138.1	WP_015405748.1
OG0000854	WP_011072134.1	WP_015405223.1
OG0000855	WP_011070647.1	WP_015405751.1
OG0000856	WP_011074259.1	WP_015405221.1
OG0000858	WP_011072100.1	WP_015403860.1
OG0000859	WP_011074328.1	WP_015404144.1
OG0000860	WP_011074331.1	WP_015403955.1
OG0000861	WP_011074339.1	WP_015405741.1
OG0000862	WP_011074340.1	WP_015403992.1
OG0000863	WP_011070478.1	WP_015405347.1
OG0000864	WP_011070664.1	WP_015403880.1
OG0000865	WP_011070651.1	WP_015402957.1
OG0000866	WP_011073972.1	WP_015403430.1
OG0000867	WP_011071513.1	WP_015403911.1
OG0000868	WP_011072677.1	WP_015405602.1
OG0000869	WP_011070611.1	WP_015404276.1
OG0000870	WP_011072267.1	WP_167320732.1
OG0000871	WP_011071439.1	WP_015402299.1
OG0000872	WP_164925631.1	WP_153304786.1
OG0000873	WP_011073365.1	WP_015405609.1
OG0000874	WP_011072288.1	WP_041916421.1
OG0000875	WP_164925707.1	WP_015405746.1
OG0000876	WP_011072699.1	WP_015405346.1
OG0000877	WP_011073189.1	WP_167320708.1
OG0000878	WP_011071077.1	WP_015403349.1
OG0000879	WP_011071578.1	WP_015405036.1
OG0000880	WP_011071574.1	WP_015404455.1
OG0000881	WP_011074056.1	WP_015404074.1
OG0000882	WP_011071526.1	WP_015404351.1
OG0000883	WP_011073527.1	WP_015404359.1, WP_041916915.1
OG0000884	WP_011073008.1	WP_015402908.1
OG0000885	WP_011071212.1	WP_015403060.1
OG0000886	WP_011072563.1	WP_015402656.1
OG0000888	WP_011073848.1	WP_015402439.1
OG0000889	WP_011073575.1	WP_015404003.1
OG0000890	WP_164925658.1	WP_015405391.1
OG0000891	WP_011070422.1	WP_041916368.1
OG0000892	WP_011072406.1	WP_265588656.1
OG0000893	WP_011073902.1	WP_015405685.1
OG0000894	WP_011071915.1	WP_015404989.1
OG0000895	WP_011073967.1	WP_015402954.1
OG0000896	WP_011071261.1	WP_015405732.1
OG0000898	WP_011073310.1	WP_015403096.1
OG0000899	WP_011072098.1	WP_208598530.1
OG0000900	WP_011073931.1	WP_015404360.1
OG0000904	WP_011070639.1, WP_011070832.1	WP_015402389.1
OG0000906	WP_011073004.1	WP_015402711.1
OG0000907	WP_011072361.1	WP_015402730.1
OG0000912	WP_011073162.1	WP_015403511.1
OG0000913	WP_011074305.1	WP_015405502.1, WP_015403521.1
OG0000914	WP_011074130.1, WP_011074134.1, WP_011070511.1	WP_015403535.1
OG0000916	WP_011071226.1	WP_015403614.1
OG0000917	WP_011072775.1	WP_015403948.1
OG0000918	WP_011073981.1	WP_015403988.1
OG0000921	WP_011073077.1	WP_015404062.1
OG0000922	WP_011072424.1, WP_011070816.1	WP_015404076.1
OG0000928	WP_011073038.1, WP_011073037.1	WP_015404804.1
OG0000930	WP_011070869.1	WP_015405107.1
OG0000931	WP_011071294.1	WP_015405170.1
OG0000933	WP_011073124.1	WP_015405319.1
OG0000934	WP_011073119.1	WP_015405326.1
OG0000935	WP_011073874.1	WP_015405361.1
OG0000937	WP_011073920.1	WP_015405491.1
OG0000938	WP_011073257.1	WP_015405506.1
OG0000939	WP_011073586.1	WP_015405631.1
OG0000941	WP_011072468.1	WP_052326989.1
OG0000942	WP_011071188.1, WP_011071352.1, WP_238560586.1, WP_011072394.1	WP_153304905.1
OG0000943	WP_011071295.1	WP_153304907.1
OG0000963	WP_011074333.1	WP_015403953.1
OG0000966	WP_011071982.1	WP_015402855.1
OG0000968	WP_011073674.1	WP_015405021.1
OG0000970	WP_011073218.1, WP_164925680.1	WP_015404174.1
OG0000971	WP_011070649.1	WP_015402959.1
OG0000974	WP_011073441.1	WP_041916461.1
OG0000975	WP_011072741.1, WP_011073201.1	WP_015405779.1, WP_015403443.1
OG0000976	WP_011072922.1	WP_153304895.1
OG0000977	WP_011071875.1	WP_015405209.1
OG0000978	WP_011070617.1	WP_015404281.1
OG0000979	WP_164925847.1	WP_015403935.1
OG0000980	WP_274544339.1	WP_015405535.1
OG0000981	WP_011074337.1	WP_015403367.1
OG0000982	WP_011071987.1	WP_015403370.1
OG0000984	WP_011071124.1	WP_015403398.1
OG0000989	WP_011073368.1	WP_015405135.1
OG0000991	WP_011071373.1	WP_015402952.1
OG0000992	WP_011072405.1	WP_015405695.1
OG0000994	WP_006083579.1	WP_015404303.1
OG0000995	WP_007644434.1	WP_015404294.1
OG0000999	WP_011073020.1	WP_015404871.1, WP_153304944.1
OG0001000	WP_011070626.1	WP_015404295.1
OG0001001	WP_011072235.1	WP_015403965.1
OG0001002	WP_011071435.1	WP_015402303.1
OG0001003	WP_011073309.1	WP_015404627.1
OG0001004	WP_011072574.1	WP_015402764.1
OG0001005	WP_011072575.1	WP_015402765.1
OG0001006	WP_011071022.1	WP_015403630.1
OG0001007	WP_011073364.1	WP_015405608.1
OG0001008	WP_011070820.1	WP_015404961.1
OG0001009	WP_011073576.1	WP_015404960.1
OG0001010	WP_011071534.1	WP_015402489.1
OG0001011	WP_011074007.1	WP_015402483.1
OG0001012	WP_011074022.1	WP_041916502.1
OG0001013	WP_011074031.1	WP_052326942.1
OG0001014	WP_011073929.1	WP_015405709.1
OG0001015	WP_011071916.1	WP_015404990.1
OG0001016	WP_011071917.1	WP_015404991.1
OG0001017	WP_011073311.1	WP_015405424.1
OG0001018	WP_011071559.1	WP_015402717.1
OG0001019	WP_011073034.1	WP_015404790.1
OG0001023	WP_202950653.1	WP_015403416.1
OG0001024	WP_011072590.1	WP_015404583.1
OG0001026	WP_011072549.1	WP_015405482.1
OG0001027	WP_011074050.1	WP_015404342.1
OG0001028	WP_011072715.1	WP_015404785.1
OG0001029	WP_011072099.1	WP_015405539.1
OG0001030	WP_011073187.1	WP_153304834.1
OG0001031	WP_011073398.1	WP_015404147.1
OG0001036	WP_011071067.1	WP_015403949.1
OG0001038	WP_011073168.1	WP_015403497.1
OG0001039	WP_011071441.1	WP_015405621.1
OG0001040	WP_011072535.1	WP_015404318.1
OG0001043	WP_011071431.1	WP_015403058.1
OG0001044	WP_006079871.1	WP_083907278.1
OG0001045	WP_011073857.1	WP_015404741.1
OG0001048	WP_011072263.1	WP_052327029.1
OG0001049	WP_011070599.1	WP_015404374.1
OG0001050	WP_011070873.1	WP_015402800.1
OG0001051	WP_164925908.1	WP_015404136.1
OG0001052	WP_011072202.1	WP_015402680.1
OG0001054	WP_011073437.1	WP_015405702.1
OG0001055	WP_011071514.1	WP_015403066.1
OG0001057	WP_011072803.1	WP_015403900.1
OG0001058	WP_011073856.1	WP_015404740.1
OG0001059	WP_011073838.1, WP_011070794.1	WP_015403083.1
OG0001063	WP_011072556.1	WP_015404826.1
OG0001066	WP_011072404.1	WP_015405694.1
OG0001069	WP_011071048.1	WP_015404898.1
OG0001070	WP_011071408.1	WP_015402470.1
OG0001072	WP_011073547.1	WP_015402324.1
OG0001073	WP_164925959.1	WP_015402549.1
OG0001078	WP_011073881.1	WP_015402853.1
OG0001081	WP_011071599.1	WP_015403050.1, WP_015405493.1, WP_167320715.1
OG0001082	WP_011072827.1	WP_015403197.1
OG0001085	WP_011070875.1	WP_015403452.1
OG0001086	WP_011073941.1, WP_011070876.1	WP_015403453.1
OG0001088	WP_011072570.1	WP_015403505.1
OG0001089	WP_011072949.1	WP_015403555.1
OG0001093	WP_011071888.1	WP_015403966.1
OG0001094	WP_011072416.1	WP_015404140.1
OG0001095	WP_011071372.1, WP_011070831.1, WP_011071319.1, WP_011071597.1	WP_015404324.1
OG0001100	WP_011071908.1	WP_015404712.1
OG0001103	WP_011072112.1	WP_015404903.1
OG0001104	WP_011073298.1	WP_015405022.1
OG0001107	WP_011072442.1	WP_015405147.1
OG0001108	WP_011071531.1	WP_015405167.1
OG0001109	WP_011071297.1	WP_015405168.1
OG0001110	WP_011071296.1	WP_015405171.1
OG0001114	WP_011070537.1, WP_011073106.1	WP_015405297.1
OG0001115	WP_011073192.1	WP_015405341.1
OG0001116	WP_011071228.1	WP_015405443.1
OG0001118	WP_011072698.1	WP_015405526.1
OG0001119	WP_011071038.1	WP_015405622.1
OG0001120	WP_011072242.1	WP_015405744.1
OG0001121	WP_011070513.1	WP_041916456.1
OG0001122	WP_164925909.1	WP_041916785.1
OG0001126	WP_011073623.1	WP_228130033.1, WP_228130032.1
OG0001142	WP_011071426.1	WP_015405698.1
OG0001143	WP_011073641.1	WP_015402577.1
OG0001144	WP_011072250.1	WP_015402786.1
OG0001145	WP_011070773.1	WP_167320748.1
OG0001148	WP_011074236.1	WP_015404459.1
OG0001149	WP_011070587.1	WP_228130077.1
OG0001156	WP_011072515.1	WP_015403195.1
OG0001160	WP_011070670.1	WP_015402735.1
OG0001161	WP_011073317.1	WP_015404796.1
OG0001163	WP_011070625.1	WP_083907279.1
OG0001164	WP_011073767.1	WP_015405142.1
OG0001165	WP_011070792.1	WP_015402362.1
OG0001166	WP_011070659.1	WP_015404513.1
OG0001167	WP_011070739.1	WP_167320694.1
OG0001168	WP_011074034.1	WP_015402423.1
OG0001169	WP_011074030.1	WP_015402417.1
OG0001176	WP_238560541.1	WP_015404381.1
OG0001178	WP_011073095.1	WP_015405308.1
OG0001179	WP_011073930.1	WP_015402373.1
OG0001188	WP_011072572.1	WP_015404159.1
OG0001189	WP_164925866.1	WP_015402678.1
OG0001191	WP_011071164.1	WP_015403063.1
OG0001192	WP_011072762.1	WP_015405571.1
OG0001194	WP_011072273.1	WP_041916847.1
OG0001195	WP_011072177.1	WP_167320742.1
OG0001196	WP_011071411.1	WP_015404987.1
OG0001203	WP_011070468.1	WP_015402569.1
OG0001204	WP_011072832.1	WP_015402635.1
OG0001205	WP_011072830.1	WP_015402636.1
OG0001208	WP_011072519.1	WP_015402705.1
OG0001217	WP_011073625.1	WP_015405795.1
OG0001218	WP_238560547.1	WP_041916470.1, WP_015403005.1
OG0001220	WP_011073814.1	WP_015403073.1
OG0001222	WP_011073213.1	WP_015403081.1
OG0001224	WP_011072544.1	WP_015403129.1, WP_015405488.1, WP_015403478.1, WP_015403147.1
OG0001227	WP_011073253.1	WP_015403187.1
OG0001228	WP_164925813.1	WP_015403300.1, WP_015403737.1
OG0001229	WP_011070516.1	WP_015403350.1
OG0001231	WP_011072193.1	WP_015403441.1
OG0001234	WP_011072498.1	WP_015403554.1
OG0001238	WP_011073014.1, WP_011073570.1	WP_015403638.1
OG0001239	WP_164925911.1	WP_015403722.1
OG0001240	WP_011073211.1	WP_015403774.1
OG0001241	WP_011074047.1	WP_015403818.1
OG0001247	WP_011070679.1	WP_015403971.1
OG0001249	WP_011073198.1	WP_015404079.1
OG0001266	WP_011070547.1	WP_015404731.1
OG0001267	WP_011074089.1	WP_015404755.1
OG0001273	WP_011070810.1	WP_015405065.1
OG0001275	WP_011073786.1	WP_015405144.1
OG0001283	WP_011072785.1	WP_015405206.1
OG0001284	WP_011073111.1	WP_015405287.1
OG0001285	WP_011073110.1	WP_015405288.1
OG0001286	WP_011073109.1	WP_015405289.1
OG0001287	WP_011073107.1	WP_015405292.1
OG0001288	WP_011073131.1	WP_015405293.1
OG0001289	WP_011073099.1	WP_015405304.1
OG0001290	WP_011073098.1	WP_015405305.1
OG0001292	WP_011073681.1	WP_015405345.1
OG0001294	WP_011073614.1	WP_015405377.1
OG0001296	WP_011074306.1	WP_015405503.1
OG0001297	WP_011074307.1	WP_015405504.1
OG0001309	WP_011072338.1	WP_208598477.1
OG0001331	WP_011071239.1	WP_167320709.1
OG0001332	WP_011073438.1	WP_052326998.1
OG0001336	WP_011072792.1	WP_015404620.1
OG0001340	WP_011072573.1	WP_015404407.1
OG0001347	WP_011073577.1	WP_015404452.1
OG0001348	WP_011073331.1	WP_015402882.1
OG0001349	WP_011074001.1	WP_015403139.1
OG0001350	WP_011070655.1	WP_015403070.1
OG0001351	WP_011070654.1	WP_015403069.1
OG0001353	WP_011074021.1	WP_015402407.1
OG0001355	WP_011072388.1	WP_015405106.1
OG0001358	WP_011070914.1	WP_015403757.1
OG0001362	WP_011072176.1	WP_015404426.1
OG0001363	WP_011072373.1	WP_153304920.1
OG0001364	WP_011073584.1	WP_015404470.1
OG0001365	WP_011072454.1	WP_015402601.1
OG0001369	WP_011073000.1	WP_015403939.1
OG0001374	WP_011072453.1	WP_015402596.1
OG0001377	WP_011072137.1	WP_015404675.1
OG0001378	WP_011073216.1	WP_015405390.1
OG0001379	WP_011070653.1	WP_015403068.1
OG0001384	WP_011072161.1	WP_015403420.1
OG0001385	WP_011074023.1	WP_015402409.1
OG0001386	WP_011070746.1, WP_011070745.1, WP_011071638.1	WP_015402937.1
OG0001389	WP_164925684.1	WP_015404135.1
OG0001391	WP_011074319.1	WP_015403664.1
OG0001392	WP_011072825.1	WP_015403848.1
OG0001395	WP_011073271.1	WP_015402310.1
OG0001409	WP_011070856.1	WP_015402572.1
OG0001411	WP_011073390.1	WP_015402634.1
OG0001412	WP_011074297.1	WP_015402655.1
OG0001413	WP_011071607.1	WP_015402663.1
OG0001421	WP_011072224.1	WP_015402984.1
OG0001423	WP_011073251.1	WP_015403191.1
OG0001426	WP_164925867.1	WP_015403288.1
OG0001428	WP_011071965.1	WP_015403329.1
OG0001432	WP_011073158.1	WP_015403410.1
OG0001439	WP_011070923.1	WP_015403727.1
OG0001440	WP_011073215.1	WP_015403730.1
OG0001441	WP_011070959.1	WP_015403739.1
OG0001445	WP_011070574.1	WP_015403852.1
OG0001449	WP_011073394.1, WP_011073193.1, WP_011072087.1	WP_015403927.1
OG0001468	WP_011074225.1	WP_015404403.1
OG0001469	WP_011073829.1	WP_015404419.1
OG0001472	WP_011074256.1	WP_083907333.1, WP_015404561.1
OG0001473	WP_011073140.1	WP_015404570.1
OG0001475	WP_011071389.1	WP_015404593.1
OG0001481	WP_164925719.1	WP_015404775.1
OG0001490	WP_011073133.1	WP_015405283.1
OG0001491	WP_011073132.1	WP_015405284.1
OG0001492	WP_011073113.1	WP_015405285.1
OG0001493	WP_164925897.1	WP_015405286.1
OG0001494	WP_011073105.1	WP_015405298.1
OG0001495	WP_011073104.1	WP_015405299.1
OG0001496	WP_011073102.1	WP_015405301.1
OG0001497	WP_011073101.1	WP_015405302.1
OG0001498	WP_011073100.1	WP_015405303.1
OG0001499	WP_011073129.1	WP_015405310.1
OG0001500	WP_011073128.1	WP_015405311.1
OG0001501	WP_011073136.1	WP_015405312.1
OG0001502	WP_011073127.1	WP_015405313.1
OG0001503	WP_011073126.1	WP_015405314.1
OG0001504	WP_006082602.1	WP_015405321.1
OG0001505	WP_011073117.1	WP_015405325.1
OG0001511	WP_011072591.1	WP_015405401.1
OG0001512	WP_011072462.1	WP_015405403.1
OG0001521	WP_011072384.1, WP_011072337.1	WP_015405753.1
OG0001523	WP_011072748.1	WP_041916362.1
OG0001528	WP_011071954.1	WP_041917081.1
OG0001535	WP_011070807.1	WP_228130052.1
OG0001537	WP_011072227.1	WP_265588648.1
OG0001575	WP_011073383.1	WP_015405270.1
OG0001581	WP_011072769.1	WP_015405052.1
OG0001585	WP_011072467.1	WP_015403064.1
OG0001586	WP_011072466.1	WP_015405446.1
OG0001591	WP_011073936.1, WP_011071650.1	WP_015403486.1
OG0001594	WP_011070768.1, WP_011072220.1	WP_015402917.1
OG0001603	WP_011073926.1	WP_015403052.1, WP_015403042.1
OG0001605	WP_011072009.1	WP_015403596.1
OG0001606	WP_011070466.1	WP_015403075.1
OG0001608	WP_011072018.1	WP_015402365.1
OG0001609	WP_011072683.1	WP_228130002.1
OG0001615	WP_011072114.1	WP_015402761.1
OG0001625	WP_011070719.1	WP_015402554.1
OG0001629	WP_011073546.1	WP_015402325.1
OG0001631	WP_011070432.1	WP_015402369.1
OG0001634	WP_011074026.1	WP_015402425.1
OG0001641	WP_164925720.1	WP_015402528.1
OG0001648	WP_011074054.1	WP_015402605.1
OG0001658	WP_011072410.1	WP_015402721.1
OG0001659	WP_011072411.1	WP_015402722.1
OG0001666	WP_011072225.1	WP_015402973.1
OG0001667	WP_011072824.1	WP_015402985.1
OG0001669	WP_011072375.1	WP_015403007.1
OG0001670	WP_011072990.1	WP_015403017.1
OG0001671	WP_011072988.1	WP_015403019.1
OG0001680	WP_011070767.1	WP_015403226.1
OG0001688	WP_011073840.1	WP_015403435.1
OG0001692	WP_011074017.1, WP_011071633.1, WP_011074126.1	WP_015403466.1
OG0001693	WP_011071358.1	WP_015403508.1
OG0001695	WP_011072495.1	WP_015403553.1
OG0001700	WP_011073447.1	WP_015403741.1
OG0001708	WP_011072773.1	WP_015403946.1
OG0001710	WP_011073819.1, WP_011073982.1, WP_011072470.1	WP_015403987.1
