Orthogroup	Species	Geobacter sulfurreducens PCA	Orthologs
OG0000180	Desulfosediminicola ganghwensis IMCC35004	WP_010941864.1	WP_267314032.1, WP_136798149.1, WP_136799735.1
OG0000180	Desulfosediminicola flagellatus IMCC35005	WP_010941864.1	WP_153307152.1, WP_136808735.1
OG0000180	Desulfocapsa_13_biocide	WP_010941864.1	Utg859236_79
OG0000180	Desulfocapsa_06_corrosive	WP_010941864.1	Utg323262_181, Utg323262_184
OG0000181	Desulfovibrio vulgaris DP4	WP_010942627.1	WP_043629990.1
OG0000181	Desulfotalea psychrophila LSv54	WP_010942627.1	WP_049785176.1, WP_011190443.1
OG0000181	Desulforhopalus vacuolatus DSM 9700	WP_010942627.1	WP_205218461.1, WP_205219295.1
OG0000181	Desulfosediminicola ganghwensis IMCC35004	WP_010942627.1	WP_136799823.1, WP_136795143.1
OG0000181	Desulfosediminicola flagellatus IMCC35005	WP_010942627.1	WP_136805363.1, WP_136809823.1, WP_136808696.1, WP_136807981.1
OG0000181	Desulfocapsa sulfexigens DSM 10523	WP_010942627.1	WP_015404063.1, WP_015405574.1
OG0000181	Desulfocapsa_13_biocide	WP_010942627.1	Utg857046_168, Utg860814_302
OG0000181	Desulfocapsa_06_corrosive	WP_010942627.1	Utg323316_243
OG0000181	Desulfovibrio ferrophilus IS5	WP_010942627.1	WP_126380072.1, WP_172961740.1, WP_126380100.1
OG0000183	Desulfovibrio ferrophilus IS5	WP_010941007.1	WP_126380586.1, WP_126375665.1
OG0000183	Desulfovibrio vulgaris DP4	WP_010941007.1	WP_010937739.1, WP_011791957.1
OG0000183	Desulfosediminicola ganghwensis IMCC35004	WP_010941007.1	WP_136797010.1, WP_228721515.1
OG0000183	Desulfosediminicola flagellatus IMCC35005	WP_010941007.1	WP_136810194.1, WP_228723410.1
OG0000183	Desulfocapsa_13_biocide	WP_010941007.1	Utg859982_223, Utg862138_16
OG0000183	Desulforhopalus vacuolatus DSM 9700	WP_010941007.1	WP_205218585.1, WP_240191953.1
OG0000183	Desulfotalea psychrophila LSv54	WP_010941007.1	WP_041277717.1
OG0000183	Desulfocapsa_06_corrosive	WP_010941007.1	Utg323632_25
OG0000183	Desulfocapsa sulfexigens DSM 10523	WP_010941007.1	WP_208598531.1
OG0000183	Shewanella oneidensis MR-1	WP_010941007.1	WP_011071285.1
OG0000183	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941007.1	WP_009566651.1, WP_009561179.1
OG0000184	Shewanella oneidensis MR-1	WP_010943067.1	WP_011073828.1
OG0000184	Desulfosediminicola ganghwensis IMCC35004	WP_010943067.1	WP_136799103.1
OG0000184	Desulfosediminicola flagellatus IMCC35005	WP_010943067.1	WP_228723354.1
OG0000184	Desulfocapsa_13_biocide	WP_010943067.1	Utg859388_167
OG0000184	Desulfocapsa_06_corrosive	WP_010943067.1	Utg323392_66
OG0000184	Desulfocapsa sulfexigens DSM 10523	WP_010943067.1	WP_015403677.1
OG0000184	Desulforhopalus vacuolatus DSM 9700	WP_010943067.1	WP_205219494.1
OG0000184	Desulfovibrio ferrophilus IS5	WP_010943067.1	WP_126380301.1
OG0000184	Desulfovibrio vulgaris DP4	WP_010943067.1	WP_010940610.1
OG0000185	Desulfovibrio vulgaris DP4	WP_041914029.1	WP_011791484.1
OG0000185	Acidithiobacillus ferrooxidans YNTRS-40	WP_041914029.1	WP_009562658.1
OG0000185	Desulfotalea psychrophila LSv54	WP_041914029.1	WP_041277828.1
OG0000185	Desulfocapsa sulfexigens DSM 10523	WP_041914029.1	WP_015404124.1
OG0000185	Desulfocapsa_06_corrosive	WP_041914029.1	Utg323316_113
OG0000185	Desulfovibrio ferrophilus IS5	WP_041914029.1	WP_126378072.1
OG0000185	Desulfosediminicola ganghwensis IMCC35004	WP_041914029.1	WP_167495634.1
OG0000185	Desulfosediminicola flagellatus IMCC35005	WP_041914029.1	WP_167506014.1
OG0000185	Desulforhopalus vacuolatus DSM 9700	WP_041914029.1	WP_205218823.1
OG0000186	Desulfotalea psychrophila LSv54	WP_010940745.1, WP_010942944.1	WP_041277626.1
OG0000186	Shewanella oneidensis MR-1	WP_010940745.1, WP_010942944.1	WP_011072441.1
OG0000186	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940745.1, WP_010942944.1	WP_009562903.1
OG0000186	Desulfovibrio vulgaris DP4	WP_010942944.1	WP_011792222.1
OG0000186	Desulfovibrio ferrophilus IS5	WP_010941475.1, WP_010942088.1	WP_126376620.1
OG0000186	Desulfocapsa sulfexigens DSM 10523	WP_010941475.1, WP_010942088.1	WP_015403116.1, WP_015403686.1
OG0000186	Desulfotalea psychrophila LSv54	WP_010941475.1, WP_010942088.1	WP_011188095.1
OG0000186	Desulforhopalus vacuolatus DSM 9700	WP_010941475.1, WP_010942088.1	WP_205217642.1
OG0000186	Desulfocapsa_13_biocide	WP_010941475.1, WP_010942088.1	Utg859236_122, Utg857994_70
OG0000186	Desulfosediminicola ganghwensis IMCC35004	WP_010941475.1, WP_010942088.1	WP_136795139.1, WP_136796574.1
OG0000186	Desulfosediminicola flagellatus IMCC35005	WP_010941475.1, WP_010942088.1	WP_136807977.1
OG0000186	Desulfocapsa_06_corrosive	WP_010941475.1, WP_010942088.1	Utg323392_251
OG0000187	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943488.1	WP_009566505.1
OG0000187	Shewanella oneidensis MR-1	WP_010943488.1	WP_011070604.1, WP_011070615.1
OG0000187	Desulfocapsa_06_corrosive	WP_010943488.1	Utg323448_60, Utg323448_47
OG0000187	Desulfocapsa_13_biocide	WP_010943488.1	Utg858494_144, Utg858494_131
OG0000187	Desulfocapsa sulfexigens DSM 10523	WP_010943488.1	WP_015404268.1
OG0000187	Desulfosediminicola ganghwensis IMCC35004	WP_010943488.1	WP_136798096.1, WP_136798084.1
OG0000187	Desulfosediminicola flagellatus IMCC35005	WP_010943488.1	WP_136810561.1, WP_136810573.1
OG0000187	Desulfotalea psychrophila LSv54	WP_010943488.1	WP_011188352.1, WP_011188365.1
OG0000187	Desulforhopalus vacuolatus DSM 9700	WP_010943488.1	WP_205217955.1, WP_205217942.1
OG0000187	Desulfovibrio vulgaris DP4	WP_010943488.1	WP_010940180.1
OG0000187	Desulfovibrio ferrophilus IS5	WP_010943488.1	WP_126376003.1
OG0000188	Desulfocapsa sulfexigens DSM 10523	WP_010942212.1, WP_193360263.1, WP_010941847.1	WP_015403875.1
OG0000188	Desulfocapsa_13_biocide	WP_010942212.1, WP_193360263.1, WP_010941847.1	Utg857152_35
OG0000188	Desulfocapsa_06_corrosive	WP_010942212.1, WP_193360263.1, WP_010941847.1	Utg323300_307
OG0000188	Desulfovibrio vulgaris DP4	WP_010942212.1, WP_193360263.1	WP_011791809.1
OG0000188	Desulfovibrio ferrophilus IS5	WP_010942212.1, WP_193360263.1	WP_126380802.1
OG0000188	Desulfosediminicola flagellatus IMCC35005	WP_010941847.1	WP_136806774.1
OG0000188	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941847.1	WP_009567117.1
OG0000189	Desulfovibrio ferrophilus IS5	WP_010943971.1, WP_010942239.1, WP_010941595.1, WP_010941596.1	WP_126379679.1
OG0000189	Shewanella oneidensis MR-1	WP_010943971.1, WP_010942239.1	WP_011072980.1
OG0000189	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943971.1, WP_010942239.1	WP_012536119.1
OG0000189	Desulfovibrio vulgaris DP4	WP_010941595.1, WP_010941596.1	WP_011792391.1
OG0000189	Shewanella oneidensis MR-1	WP_010941595.1	WP_011074152.1
OG0000189	Shewanella oneidensis MR-1	WP_010941596.1	WP_011073532.1, WP_011073389.1, WP_011074151.1
OG0000190	Desulfovibrio ferrophilus IS5	WP_010943251.1	WP_126377864.1
OG0000190	Desulfovibrio vulgaris DP4	WP_010943251.1	WP_010939066.1, WP_011793101.1
OG0000190	Desulfotalea psychrophila LSv54	WP_010943251.1	WP_041277447.1
OG0000190	Desulfosediminicola flagellatus IMCC35005	WP_010943251.1	WP_136807401.1
OG0000190	Desulfosediminicola ganghwensis IMCC35004	WP_010943251.1	WP_136795971.1
OG0000190	Shewanella oneidensis MR-1	WP_010943251.1	WP_011074103.1
OG0000190	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943251.1	WP_012536152.1
OG0000190	Desulforhopalus vacuolatus DSM 9700	WP_010943251.1	WP_205218562.1
OG0000190	Desulfocapsa_13_biocide	WP_010943251.1	Utg864866_78
OG0000190	Desulfocapsa_06_corrosive	WP_010943251.1	Utg323140_75
OG0000191	Shewanella oneidensis MR-1	WP_010940707.1	WP_011073796.1
OG0000191	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940707.1	WP_012536198.1
OG0000191	Desulfotalea psychrophila LSv54	WP_010940707.1	WP_011188792.1
OG0000191	Desulfosediminicola flagellatus IMCC35005	WP_010940707.1	WP_136807662.1
OG0000191	Desulfosediminicola ganghwensis IMCC35004	WP_010940707.1	WP_136799623.1
OG0000191	Desulfocapsa_06_corrosive	WP_010940707.1	Utg323180_105
OG0000191	Desulfocapsa_13_biocide	WP_010940707.1	Utg857152_179
OG0000191	Desulfocapsa sulfexigens DSM 10523	WP_010940707.1	WP_228130031.1
OG0000191	Desulforhopalus vacuolatus DSM 9700	WP_010940707.1	WP_205220111.1
OG0000191	Desulfovibrio ferrophilus IS5	WP_010941690.1	WP_172961744.1
OG0000191	Desulfosediminicola ganghwensis IMCC35004	WP_010941690.1	WP_136798957.1
OG0000191	Desulfosediminicola flagellatus IMCC35005	WP_010941690.1	WP_136808229.1
OG0000191	Desulfovibrio vulgaris DP4	WP_010941690.1	WP_010938461.1
OG0000191	Desulfocapsa sulfexigens DSM 10523	WP_010941690.1	WP_015403618.1
OG0000191	Desulfocapsa_06_corrosive	WP_010941690.1	Utg323266_48
OG0000191	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941690.1	WP_225487193.1
OG0000192	Shewanella oneidensis MR-1	WP_010940935.1, WP_010941861.1, WP_010943387.1	WP_011071668.1
OG0000192	Desulfotalea psychrophila LSv54	WP_010940935.1, WP_010941861.1	WP_049785055.1
OG0000192	Desulforhopalus vacuolatus DSM 9700	WP_010940935.1, WP_010941861.1	WP_205220299.1
OG0000192	Desulfovibrio ferrophilus IS5	WP_010940935.1	WP_232034818.1
OG0000192	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940935.1	WP_012536361.1
OG0000192	Desulfocapsa_06_corrosive	WP_010940935.1	Utg323180_399
OG0000192	Desulfovibrio ferrophilus IS5	WP_010941861.1	WP_126379340.1
OG0000192	Desulfovibrio vulgaris DP4	WP_010941861.1	WP_011791950.1
OG0000192	Desulfosediminicola flagellatus IMCC35005	WP_010941861.1	WP_136809039.1
OG0000192	Desulfotalea psychrophila LSv54	WP_010943387.1	WP_011189154.1
OG0000192	Desulfosediminicola flagellatus IMCC35005	WP_010943387.1	WP_136806034.1
OG0000192	Desulfosediminicola ganghwensis IMCC35004	WP_010943387.1	WP_136797191.1
OG0000192	Desulforhopalus vacuolatus DSM 9700	WP_010943387.1	WP_205219236.1, WP_205219235.1
OG0000196	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941009.1	WP_012537302.1
OG0000196	Desulfovibrio vulgaris DP4	WP_010941009.1	WP_010937737.1, WP_011791954.1
OG0000196	Desulfovibrio ferrophilus IS5	WP_010941009.1	WP_126380588.1, WP_126375667.1
OG0000196	Desulforhopalus vacuolatus DSM 9700	WP_010941009.1	WP_205217764.1
OG0000196	Desulfosediminicola flagellatus IMCC35005	WP_010941009.1	WP_136806898.1
OG0000196	Desulfosediminicola ganghwensis IMCC35004	WP_010941009.1	WP_136798543.1
OG0000196	Desulfocapsa_06_corrosive	WP_010941009.1	Utg323632_23
OG0000196	Desulfocapsa_13_biocide	WP_010941009.1	Utg862138_14
OG0000196	Desulfocapsa sulfexigens DSM 10523	WP_010941009.1	WP_015405758.1
OG0000196	Desulfotalea psychrophila LSv54	WP_010941009.1	WP_011188559.1
OG0000196	Desulfocapsa_13_biocide	WP_010944054.1	Utg859982_222
OG0000196	Desulfosediminicola flagellatus IMCC35005	WP_010944054.1	WP_136810195.1
OG0000196	Desulfosediminicola ganghwensis IMCC35004	WP_010944054.1	WP_228721391.1
OG0000196	Desulforhopalus vacuolatus DSM 9700	WP_010944054.1	WP_205218584.1
OG0000196	Shewanella oneidensis MR-1	WP_010944054.1	WP_011071284.1
OG0000197	Shewanella oneidensis MR-1	WP_010941767.1	WP_011072025.1
OG0000197	Desulfocapsa_06_corrosive	WP_010941767.1	Utg323448_28
OG0000197	Desulfocapsa_13_biocide	WP_010941767.1	Utg857490_20
OG0000197	Desulfocapsa sulfexigens DSM 10523	WP_010941767.1	WP_015404178.1
OG0000197	Desulfosediminicola flagellatus IMCC35005	WP_010941767.1	WP_136810539.1, WP_136808973.1, WP_136807376.1
OG0000197	Desulfosediminicola ganghwensis IMCC35004	WP_010941767.1	WP_136798116.1, WP_136795984.1
OG0000197	Desulfotalea psychrophila LSv54	WP_010941767.1	WP_011188331.1, WP_011187639.1
OG0000197	Desulforhopalus vacuolatus DSM 9700	WP_010941767.1	WP_205218369.1
OG0000198	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942442.1	WP_012537705.1
OG0000198	Desulforhopalus vacuolatus DSM 9700	WP_010942442.1	WP_240192026.1, WP_275888971.1
OG0000198	Desulfocapsa sulfexigens DSM 10523	WP_010942442.1	WP_015405101.1
OG0000198	Desulfocapsa_06_corrosive	WP_010942442.1	Utg323152_174
OG0000198	Desulfocapsa_13_biocide	WP_010942442.1	Utg859098_241
OG0000198	Desulfosediminicola flagellatus IMCC35005	WP_010942442.1	WP_136806413.1
OG0000198	Desulfosediminicola ganghwensis IMCC35004	WP_010942442.1	WP_167495725.1
OG0000198	Desulfotalea psychrophila LSv54	WP_010942442.1	WP_156792257.1
OG0000199	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940692.1, WP_010943043.1	WP_012537596.1
OG0000199	Desulfovibrio vulgaris DP4	WP_010940692.1, WP_010943043.1	WP_011792175.1
OG0000199	Desulfovibrio ferrophilus IS5	WP_010940692.1, WP_010943043.1	WP_126375709.1
OG0000199	Desulfotalea psychrophila LSv54	WP_010940692.1	WP_041277873.1
OG0000199	Desulfocapsa_13_biocide	WP_010940692.1	Utg859098_216
OG0000199	Desulfocapsa_06_corrosive	WP_010940692.1	Utg323152_198
OG0000199	Desulfocapsa sulfexigens DSM 10523	WP_010940692.1	WP_015405043.1
OG0000199	Desulfosediminicola ganghwensis IMCC35004	WP_010940692.1	WP_136799295.1
OG0000199	Desulfosediminicola flagellatus IMCC35005	WP_010940692.1	WP_136806350.1
OG0000199	Desulforhopalus vacuolatus DSM 9700	WP_010940692.1	WP_205218113.1
OG0000199	Desulfosediminicola ganghwensis IMCC35004	WP_010943043.1	WP_136799491.1
OG0000199	Desulforhopalus vacuolatus DSM 9700	WP_010943043.1	WP_205217464.1
OG0000200	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940782.1	WP_012537660.1
OG0000200	Desulfosediminicola flagellatus IMCC35005	WP_010940782.1	WP_136809135.1
OG0000200	Desulfosediminicola ganghwensis IMCC35004	WP_010940782.1	WP_136796236.1
OG0000200	Desulfovibrio ferrophilus IS5	WP_010940782.1	WP_126376251.1, WP_126381637.1, WP_126380297.1
OG0000200	Desulfovibrio vulgaris DP4	WP_010940782.1	WP_010939353.1, WP_011176580.1, WP_011791341.1
OG0000200	Shewanella oneidensis MR-1	WP_010940782.1	WP_011073090.1, WP_011074346.1, WP_202950646.1, WP_011074338.1
OG0000200	Desulfocapsa sulfexigens DSM 10523	WP_010940782.1	WP_015405573.1, WP_015403368.1
OG0000200	Desulfocapsa_06_corrosive	WP_010940782.1	Utg323160_40, Utg323074_145
OG0000200	Desulfocapsa_13_biocide	WP_010940782.1	Utg861744_45
OG0000201	Desulfovibrio ferrophilus IS5	WP_010942481.1, WP_010941167.1	WP_126377684.1
OG0000201	Desulfocapsa sulfexigens DSM 10523	WP_010942481.1, WP_010941167.1	WP_015402726.1
OG0000201	Desulfocapsa_06_corrosive	WP_010942481.1, WP_010941167.1	Utg323180_6
OG0000201	Desulfocapsa_13_biocide	WP_010942481.1, WP_010941167.1	Utg859750_26
OG0000201	Desulfotalea psychrophila LSv54	WP_010942481.1, WP_010941167.1	WP_011188242.1
OG0000201	Desulfosediminicola flagellatus IMCC35005	WP_010942481.1, WP_010941167.1	WP_136805810.1
OG0000201	Desulfosediminicola ganghwensis IMCC35004	WP_010942481.1, WP_010941167.1	WP_167495912.1
OG0000201	Desulforhopalus vacuolatus DSM 9700	WP_010942481.1, WP_010941167.1	WP_205217441.1
OG0000201	Shewanella oneidensis MR-1	WP_010942481.1, WP_010941167.1	WP_011073893.1
OG0000201	Desulfovibrio vulgaris DP4	WP_010942481.1, WP_010941167.1	WP_011792846.1
OG0000202	Desulfovibrio vulgaris DP4	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_011793009.1
OG0000202	Desulfocapsa sulfexigens DSM 10523	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_015403041.1, WP_015403516.1
OG0000202	Desulfosediminicola ganghwensis IMCC35004	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_136796191.1
OG0000202	Desulfocapsa_06_corrosive	WP_010944059.1, WP_010943805.1, WP_010941512.1	Utg325220_64, Utg323140_270, Utg323300_104
OG0000202	Desulfocapsa_13_biocide	WP_010944059.1, WP_010943805.1, WP_010941512.1	Utg857682_175, Utg857300_47
OG0000202	Desulfosediminicola flagellatus IMCC35005	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_136805949.1, WP_136808168.1
OG0000202	Desulfotalea psychrophila LSv54	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_011189106.1
OG0000202	Desulforhopalus vacuolatus DSM 9700	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_205219316.1, WP_205220037.1
OG0000202	Desulfovibrio ferrophilus IS5	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_126376358.1, WP_126375680.1
OG0000205	Shewanella oneidensis MR-1	WP_275450049.1	WP_011072292.1
OG0000205	Desulfovibrio vulgaris DP4	WP_275450049.1	WP_010937341.1
OG0000205	Desulfovibrio ferrophilus IS5	WP_275450049.1	WP_172961692.1, WP_126380899.1
OG0000205	Desulfosediminicola ganghwensis IMCC35004	WP_275450049.1	WP_136796816.1
OG0000205	Desulfosediminicola flagellatus IMCC35005	WP_275450049.1	WP_136806602.1
OG0000205	Desulfocapsa_13_biocide	WP_275450049.1	Utg857682_46
OG0000205	Desulfocapsa_06_corrosive	WP_275450049.1	Utg323266_99
OG0000205	Desulfocapsa sulfexigens DSM 10523	WP_275450049.1	WP_052326952.1
OG0000207	Shewanella oneidensis MR-1	WP_010942266.1	WP_011071697.1
OG0000207	Desulfosediminicola flagellatus IMCC35005	WP_010942266.1	WP_136809257.1, WP_167505868.1, WP_136809059.1, WP_167506005.1
OG0000207	Desulfovibrio ferrophilus IS5	WP_010942266.1	WP_126380263.1, WP_126381038.1
OG0000207	Desulfosediminicola ganghwensis IMCC35004	WP_010942266.1	WP_136795970.1, WP_136798652.1
OG0000207	Desulforhopalus vacuolatus DSM 9700	WP_010942266.1	WP_205218036.1, WP_205219126.1, WP_205218366.1
OG0000207	Desulfovibrio vulgaris DP4	WP_010942266.1	WP_011792220.1, WP_010940291.1
OG0000207	Desulfotalea psychrophila LSv54	WP_010942266.1	WP_011190248.1, WP_011188263.1
OG0000207	Desulfocapsa_13_biocide	WP_010942266.1	Utg857682_58
OG0000207	Desulfocapsa_06_corrosive	WP_010942266.1	Utg323266_113
OG0000208	Shewanella oneidensis MR-1	WP_010942265.1	WP_011071698.1
OG0000208	Desulfotalea psychrophila LSv54	WP_010942265.1	WP_011188262.1
OG0000208	Desulfocapsa_06_corrosive	WP_010942265.1	Utg323266_114
OG0000208	Desulfocapsa_13_biocide	WP_010942265.1	Utg857682_59
OG0000208	Desulfovibrio ferrophilus IS5	WP_010942265.1	WP_126381041.1
OG0000208	Desulfovibrio vulgaris DP4	WP_010942265.1	WP_011791552.1
OG0000208	Desulforhopalus vacuolatus DSM 9700	WP_010942265.1	WP_205218367.1
OG0000208	Desulfosediminicola ganghwensis IMCC35004	WP_010942265.1	WP_136798653.1
OG0000208	Desulfosediminicola flagellatus IMCC35005	WP_010942265.1	WP_136809058.1, WP_136809431.1
OG0000209	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942186.1	WP_012536003.1
OG0000209	Shewanella oneidensis MR-1	WP_010942186.1	WP_011072940.1
OG0000209	Desulfotalea psychrophila LSv54	WP_010942096.1	WP_011189657.1
OG0000209	Desulforhopalus vacuolatus DSM 9700	WP_010942096.1	WP_205219630.1
OG0000209	Desulfosediminicola ganghwensis IMCC35004	WP_010942096.1	WP_136795947.1
OG0000209	Desulfosediminicola flagellatus IMCC35005	WP_010942096.1	WP_136806115.1
OG0000209	Desulfocapsa_13_biocide	WP_010942096.1	Utg857046_253
OG0000209	Desulfocapsa_06_corrosive	WP_010942096.1	Utg323316_339
OG0000209	Desulfocapsa sulfexigens DSM 10523	WP_010942096.1	WP_015403972.1
OG0000209	Desulfovibrio vulgaris DP4	WP_010942096.1	WP_011792598.1
OG0000209	Desulfovibrio ferrophilus IS5	WP_010942096.1	WP_126378432.1
OG0000209	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942096.1	WP_009560794.1
OG0000210	Shewanella oneidensis MR-1	WP_010941518.1	WP_011070824.1
OG0000210	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941518.1	WP_012536485.1, WP_009560819.1
OG0000210	Desulfocapsa_13_biocide	WP_010941518.1	Utg857300_1
OG0000210	Desulfocapsa_06_corrosive	WP_010941518.1	Utg323300_167
OG0000210	Desulfosediminicola flagellatus IMCC35005	WP_010941518.1	WP_136809249.1, WP_228723260.1
OG0000210	Desulfosediminicola ganghwensis IMCC35004	WP_010941518.1	WP_136796173.1, WP_228721446.1
OG0000210	Desulfotalea psychrophila LSv54	WP_010941518.1	WP_011188475.1, WP_011187438.1
OG0000210	Desulforhopalus vacuolatus DSM 9700	WP_010941518.1	WP_205220183.1, WP_205218604.1
OG0000210	Desulfocapsa sulfexigens DSM 10523	WP_010941518.1	WP_153304845.1
OG0000210	Desulfovibrio vulgaris DP4	WP_010941518.1	WP_010937439.1, WP_014524330.1
OG0000210	Desulfovibrio ferrophilus IS5	WP_010941518.1	WP_126379481.1
OG0000211	Desulfocapsa_13_biocide	WP_010940834.1	Utg859432_43
OG0000211	Desulfocapsa_06_corrosive	WP_010940834.1	Utg323140_182
OG0000211	Desulfocapsa sulfexigens DSM 10523	WP_010940834.1	WP_015402955.1
OG0000211	Shewanella oneidensis MR-1	WP_010940834.1	WP_011073968.1, WP_011073834.1
OG0000211	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940834.1	WP_009560875.1
OG0000211	Desulfovibrio ferrophilus IS5	WP_010940834.1	WP_126378828.1, WP_197723434.1, WP_126377139.1
OG0000211	Desulfovibrio vulgaris DP4	WP_010940834.1	WP_011791766.1, WP_011787346.1, WP_011792255.1
OG0000211	Desulforhopalus vacuolatus DSM 9700	WP_010940834.1	WP_205219629.1, WP_205219339.1
OG0000211	Desulfotalea psychrophila LSv54	WP_010940834.1	WP_011190201.1
OG0000211	Desulfosediminicola flagellatus IMCC35005	WP_010940834.1	WP_136806117.1
OG0000211	Desulfosediminicola ganghwensis IMCC35004	WP_010940834.1	WP_136795944.1
OG0000212	Shewanella oneidensis MR-1	WP_010940796.1, WP_010941451.1	WP_011072160.1
OG0000212	Desulfocapsa_13_biocide	WP_010940796.1	Utg859982_111
OG0000212	Desulfovibrio vulgaris DP4	WP_010940796.1	WP_011792153.1
OG0000212	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940796.1	WP_009560877.1
OG0000212	Desulforhopalus vacuolatus DSM 9700	WP_010940796.1	WP_205219475.1
OG0000212	Desulforhopalus vacuolatus DSM 9700	WP_010941451.1	WP_205219027.1
OG0000212	Desulfocapsa sulfexigens DSM 10523	WP_010941451.1	WP_015403425.1
OG0000212	Desulfocapsa_06_corrosive	WP_010941451.1	Utg324810_52
OG0000212	Desulfocapsa_13_biocide	WP_010941451.1	Utg857046_231, Utg861744_127
OG0000212	Desulfotalea psychrophila LSv54	WP_010941451.1	WP_011187826.1
OG0000212	Desulfosediminicola ganghwensis IMCC35004	WP_010941451.1	WP_136795445.1
OG0000212	Desulfosediminicola flagellatus IMCC35005	WP_010941451.1	WP_136808629.1
OG0000213	Desulfovibrio vulgaris DP4	WP_010942048.1	WP_223294656.1
OG0000213	Desulfovibrio ferrophilus IS5	WP_010942048.1	WP_126379561.1
OG0000213	Desulfosediminicola flagellatus IMCC35005	WP_010942048.1	WP_136809857.1, WP_136808224.1
OG0000213	Desulfosediminicola ganghwensis IMCC35004	WP_010942048.1	WP_136799586.1
OG0000213	Desulfocapsa_06_corrosive	WP_010942048.1	Utg323180_404
OG0000213	Desulfocapsa sulfexigens DSM 10523	WP_010942048.1	WP_015402864.1, WP_015404619.1
OG0000213	Shewanella oneidensis MR-1	WP_010943935.1	WP_011073715.1, WP_011072039.1
OG0000213	Desulforhopalus vacuolatus DSM 9700	WP_010943935.1	WP_205219979.1
OG0000213	Desulfovibrio vulgaris DP4	WP_010943935.1	WP_010939854.1
OG0000213	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943935.1	WP_012537665.1, WP_009566393.1, WP_009560966.1, WP_009560967.1
OG0000214	Desulfocapsa_13_biocide	WP_010943452.1, WP_010943323.1, WP_010943453.1	Utg862138_34
OG0000214	Desulfocapsa_06_corrosive	WP_010943452.1, WP_010943323.1, WP_010943453.1	Utg323632_45
OG0000214	Shewanella oneidensis MR-1	WP_010943452.1, WP_010943323.1, WP_010943453.1	WP_011071851.1
OG0000214	Desulfocapsa sulfexigens DSM 10523	WP_010943452.1, WP_010943323.1, WP_010943453.1	WP_015403656.1
OG0000214	Desulfovibrio vulgaris DP4	WP_010943452.1	WP_011793117.1
OG0000214	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943452.1	WP_009562639.1
OG0000214	Desulfotalea psychrophila LSv54	WP_010943452.1	WP_041277773.1
OG0000214	Desulforhopalus vacuolatus DSM 9700	WP_010943452.1	WP_205220148.1
OG0000214	Desulfosediminicola flagellatus IMCC35005	WP_010943452.1	WP_136805223.1
OG0000214	Desulfotalea psychrophila LSv54	WP_010943323.1, WP_010943453.1	WP_011188783.1
OG0000214	Desulfovibrio vulgaris DP4	WP_010943323.1, WP_010943453.1	WP_011793116.1
OG0000214	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943323.1, WP_010943453.1	WP_012537439.1
OG0000214	Desulforhopalus vacuolatus DSM 9700	WP_010943323.1	WP_205218051.1
OG0000214	Desulforhopalus vacuolatus DSM 9700	WP_010943453.1	WP_205220149.1
OG0000214	Desulfosediminicola flagellatus IMCC35005	WP_010943453.1	WP_136805224.1
OG0000215	Desulfovibrio ferrophilus IS5	WP_010942713.1	WP_126379387.1
OG0000215	Desulfovibrio vulgaris DP4	WP_010942713.1	WP_010937992.1
OG0000215	Shewanella oneidensis MR-1	WP_010942713.1	WP_011072513.1
OG0000215	Desulforhopalus vacuolatus DSM 9700	WP_010942713.1	WP_240192049.1
OG0000215	Desulfosediminicola ganghwensis IMCC35004	WP_010942713.1	WP_136797400.1
OG0000215	Desulfosediminicola flagellatus IMCC35005	WP_010942713.1	WP_136805888.1
OG0000215	Desulfotalea psychrophila LSv54	WP_010942713.1	WP_041278351.1
OG0000215	Desulfocapsa_13_biocide	WP_010942713.1	Utg861744_111
OG0000215	Desulfocapsa_06_corrosive	WP_010942713.1	Utg324810_67
