Orthogroup	Species	Shewanella oneidensis MR-1	Orthologs
OG0000389	Desulfocapsa_06_corrosive	WP_011072489.1, WP_011070448.1	Utg325220_115
OG0000389	Geobacter sulfurreducens PCA	WP_011072489.1, WP_011070448.1	WP_010940805.1
OG0000389	Desulfovibrio vulgaris DP4	WP_011072489.1, WP_011070448.1	WP_010940621.1
OG0000389	Desulfovibrio ferrophilus IS5	WP_011072489.1, WP_011070448.1	WP_126380280.1
OG0000389	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072489.1, WP_011070448.1	WP_009562205.1
OG0000390	Desulfotalea psychrophila LSv54	WP_011071396.1	WP_011189231.1
OG0000390	Desulfosediminicola flagellatus IMCC35005	WP_011071396.1	WP_167505877.1
OG0000390	Desulfosediminicola ganghwensis IMCC35004	WP_011071396.1	WP_136799223.1
OG0000390	Desulfocapsa sulfexigens DSM 10523	WP_011071396.1	WP_015405129.1
OG0000390	Desulfocapsa_13_biocide	WP_011071396.1	Utg859098_259
OG0000390	Desulfocapsa_06_corrosive	WP_011071396.1	Utg323152_156
OG0000390	Desulforhopalus vacuolatus DSM 9700	WP_011071396.1	WP_240192167.1
OG0000390	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071396.1	WP_012537476.1, WP_009562421.1
OG0000390	Desulfovibrio vulgaris DP4	WP_011071396.1	WP_010937704.1, WP_010937714.1
OG0000390	Desulfovibrio ferrophilus IS5	WP_011071396.1	WP_126380496.1
OG0000390	Geobacter sulfurreducens PCA	WP_011071396.1	WP_010941122.1
OG0000391	Desulfocapsa sulfexigens DSM 10523	WP_011074277.1	WP_015405595.1
OG0000391	Desulfocapsa_13_biocide	WP_011074277.1	Utg859388_80
OG0000391	Desulfocapsa_06_corrosive	WP_011074277.1	Utg323392_139
OG0000391	Desulfosediminicola ganghwensis IMCC35004	WP_011074277.1	WP_136798011.1
OG0000391	Desulfosediminicola flagellatus IMCC35005	WP_011074277.1	WP_136805305.1
OG0000391	Geobacter sulfurreducens PCA	WP_011074277.1	WP_010942461.1
OG0000391	Desulfovibrio vulgaris DP4	WP_011074277.1	WP_010939193.1
OG0000391	Desulfovibrio ferrophilus IS5	WP_011074277.1	WP_126377020.1
OG0000391	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074277.1	WP_009562662.1
OG0000392	Desulfotalea psychrophila LSv54	WP_011070947.1	WP_011187683.1
OG0000392	Desulfovibrio ferrophilus IS5	WP_011070947.1	WP_126377803.1
OG0000392	Desulfovibrio vulgaris DP4	WP_011070947.1	WP_011791927.1
OG0000392	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070947.1	WP_009562813.1
OG0000392	Geobacter sulfurreducens PCA	WP_011070947.1	WP_010940827.1
OG0000392	Desulforhopalus vacuolatus DSM 9700	WP_011070947.1	WP_205218215.1
OG0000392	Desulfocapsa sulfexigens DSM 10523	WP_011070947.1	WP_015403130.1
OG0000393	Desulfocapsa_06_corrosive	WP_011070464.1	Utg323392_115
OG0000393	Desulfocapsa_13_biocide	WP_011070464.1	Utg859388_122
OG0000393	Desulfocapsa sulfexigens DSM 10523	WP_011070464.1	WP_015405397.1
OG0000393	Desulforhopalus vacuolatus DSM 9700	WP_011070464.1	WP_205218954.1
OG0000393	Desulfotalea psychrophila LSv54	WP_011070464.1	WP_011189713.1
OG0000393	Desulfosediminicola flagellatus IMCC35005	WP_011070464.1	WP_136807487.1
OG0000393	Desulfosediminicola ganghwensis IMCC35004	WP_011070464.1	WP_217907665.1, WP_136799201.1
OG0000393	Geobacter sulfurreducens PCA	WP_011070464.1	WP_010943825.1
OG0000393	Desulfovibrio vulgaris DP4	WP_011070464.1	WP_011792321.1
OG0000393	Desulfovibrio ferrophilus IS5	WP_011070464.1	WP_126377464.1
OG0000393	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070464.1	WP_009563800.1
OG0000394	Desulforhopalus vacuolatus DSM 9700	WP_011073054.1, WP_011073075.1	WP_205218909.1
OG0000394	Desulfovibrio ferrophilus IS5	WP_011073054.1, WP_011073075.1	WP_126376132.1
OG0000394	Desulfovibrio vulgaris DP4	WP_011073054.1, WP_011073075.1	WP_011792428.1
OG0000394	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073054.1, WP_011073075.1	WP_009566268.1
OG0000394	Geobacter sulfurreducens PCA	WP_011073054.1, WP_011073075.1	WP_010943002.1
OG0000394	Desulfotalea psychrophila LSv54	WP_011073054.1, WP_011073075.1	WP_041278134.1
OG0000394	Desulfosediminicola flagellatus IMCC35005	WP_011073054.1, WP_011073075.1	WP_136805334.1
OG0000395	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072444.1	WP_009566884.1
OG0000395	Geobacter sulfurreducens PCA	WP_011072444.1	WP_010942541.1
OG0000395	Desulfocapsa sulfexigens DSM 10523	WP_011072444.1	WP_015405385.1
OG0000395	Desulfocapsa_13_biocide	WP_011072444.1	Utg859388_134
OG0000395	Desulfocapsa_06_corrosive	WP_011072444.1	Utg323392_102
OG0000395	Desulfosediminicola ganghwensis IMCC35004	WP_011072444.1	WP_136795845.1
OG0000395	Desulfosediminicola flagellatus IMCC35005	WP_011072444.1	WP_136806288.1
OG0000395	Desulforhopalus vacuolatus DSM 9700	WP_011072444.1	WP_205218155.1
OG0000396	Desulfosediminicola flagellatus IMCC35005	WP_011073074.1	WP_136805336.1
OG0000396	Desulfotalea psychrophila LSv54	WP_011073074.1	WP_011187289.1
OG0000397	Desulfovibrio ferrophilus IS5	WP_011072925.1	WP_126380761.1
OG0000397	Desulfovibrio vulgaris DP4	WP_011072925.1	WP_010937773.1
OG0000397	Desulfocapsa sulfexigens DSM 10523	WP_011072925.1	WP_153305021.1
OG0000397	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070943.1	WP_009567142.1
OG0000397	Geobacter sulfurreducens PCA	WP_011070943.1	WP_010943018.1
OG0000397	Desulfocapsa_13_biocide	WP_011070943.1	Utg859098_263
OG0000397	Desulfocapsa_06_corrosive	WP_011070943.1	Utg323152_152
OG0000397	Desulfocapsa sulfexigens DSM 10523	WP_011070943.1	WP_015405133.1
OG0000397	Desulfosediminicola flagellatus IMCC35005	WP_011070943.1	WP_136807554.1
OG0000397	Desulfosediminicola ganghwensis IMCC35004	WP_011070943.1	WP_136799219.1
OG0000397	Desulfotalea psychrophila LSv54	WP_011070943.1	WP_041277793.1
OG0000397	Desulforhopalus vacuolatus DSM 9700	WP_011070943.1	WP_205220277.1
OG0000398	Desulfotalea psychrophila LSv54	WP_011071816.1	WP_173362835.1, WP_011190427.1
OG0000398	Desulforhopalus vacuolatus DSM 9700	WP_011071816.1	WP_205219765.1
OG0000398	Desulfosediminicola ganghwensis IMCC35004	WP_011071816.1	WP_136797241.1
OG0000398	Desulfosediminicola flagellatus IMCC35005	WP_011071816.1	WP_136805873.1
OG0000398	Desulfocapsa_13_biocide	WP_011071816.1	Utg859388_138, Utg857046_187
OG0000398	Desulfocapsa sulfexigens DSM 10523	WP_011071816.1	WP_015404034.1
OG0000398	Desulfocapsa_06_corrosive	WP_011071816.1	Utg323316_283
OG0000398	Desulfovibrio vulgaris DP4	WP_011071816.1	WP_011792462.1
OG0000398	Desulfovibrio ferrophilus IS5	WP_011071816.1	WP_126375829.1
OG0000398	Geobacter sulfurreducens PCA	WP_011071816.1	WP_010941523.1
OG0000398	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071816.1	WP_009567323.1
OG0000399	Desulfosediminicola ganghwensis IMCC35004	WP_011074310.1, WP_164925796.1	WP_136796872.1
OG0000399	Desulfosediminicola flagellatus IMCC35005	WP_011074310.1, WP_164925796.1	WP_136809940.1
OG0000399	Desulfovibrio vulgaris DP4	WP_011074310.1, WP_164925796.1	WP_010937883.1
OG0000399	Desulfovibrio ferrophilus IS5	WP_011074310.1, WP_164925796.1	WP_126376541.1
OG0000399	Desulfocapsa_06_corrosive	WP_011074310.1, WP_164925796.1	Utg323074_27
OG0000399	Desulfocapsa_13_biocide	WP_011074310.1, WP_164925796.1	Utg857994_19
OG0000399	Desulfocapsa sulfexigens DSM 10523	WP_011074310.1, WP_164925796.1	WP_015404853.1
OG0000399	Desulfotalea psychrophila LSv54	WP_011074310.1, WP_164925796.1	WP_041277921.1, WP_011190232.1
OG0000399	Desulforhopalus vacuolatus DSM 9700	WP_011074310.1, WP_164925796.1	WP_240192074.1
OG0000399	Geobacter sulfurreducens PCA	WP_011074310.1, WP_164925796.1	WP_010943768.1
OG0000399	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074310.1, WP_164925796.1	WP_009567484.1
OG0000400	Geobacter sulfurreducens PCA	WP_011072977.1, WP_011073596.1	WP_010943724.1
OG0000400	Desulfovibrio ferrophilus IS5	WP_011072977.1, WP_011073596.1	WP_126375999.1
OG0000400	Desulfovibrio vulgaris DP4	WP_011072977.1, WP_011073596.1	WP_011791616.1
OG0000400	Desulforhopalus vacuolatus DSM 9700	WP_011072977.1, WP_011073596.1	WP_205219816.1
OG0000400	Desulfosediminicola ganghwensis IMCC35004	WP_011072977.1, WP_011073596.1	WP_136797743.1
OG0000400	Desulfosediminicola flagellatus IMCC35005	WP_011072977.1, WP_011073596.1	WP_136805430.1
OG0000400	Desulfocapsa_06_corrosive	WP_011072977.1, WP_011073596.1	Utg323074_129
OG0000400	Desulfocapsa_13_biocide	WP_011072977.1, WP_011073596.1	Utg857994_148
OG0000400	Desulfocapsa sulfexigens DSM 10523	WP_011072977.1, WP_011073596.1	WP_015404727.1
OG0000400	Desulfotalea psychrophila LSv54	WP_011072977.1, WP_011073596.1	WP_011189966.1
OG0000400	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072977.1	WP_012536000.1
OG0000400	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073596.1	WP_009567581.1
OG0000401	Desulfotalea psychrophila LSv54	WP_011072333.1	WP_011189767.1
OG0000401	Desulfosediminicola ganghwensis IMCC35004	WP_011072333.1	WP_136798295.1
OG0000401	Desulfosediminicola flagellatus IMCC35005	WP_011072333.1	WP_136808491.1
OG0000401	Geobacter sulfurreducens PCA	WP_011072333.1	WP_010940699.1
OG0000401	Desulfocapsa_13_biocide	WP_011072333.1	Utg857490_22, Utg859098_281
OG0000401	Desulfocapsa_06_corrosive	WP_011072333.1	Utg323448_26, Utg323152_132
OG0000401	Desulfocapsa sulfexigens DSM 10523	WP_011072333.1	WP_015404176.1
OG0000401	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072333.1	WP_012535766.1
OG0000401	Desulfovibrio ferrophilus IS5	WP_011072333.1	WP_126377286.1
OG0000401	Desulfovibrio vulgaris DP4	WP_011072333.1	WP_010939095.1
OG0000401	Desulforhopalus vacuolatus DSM 9700	WP_011072333.1	WP_205219368.1
OG0000402	Desulfosediminicola flagellatus IMCC35005	WP_011073147.1	WP_167505952.1, WP_136808692.1, WP_136808683.1
OG0000402	Desulfocapsa_13_biocide	WP_011073147.1	Utg860814_307
OG0000402	Desulfocapsa_06_corrosive	WP_011073147.1	Utg323990_13, Utg323074_201
OG0000402	Geobacter sulfurreducens PCA	WP_011073147.1	WP_223106389.1, WP_010942160.1, WP_010943148.1
OG0000402	Desulfocapsa sulfexigens DSM 10523	WP_011073147.1	WP_015404482.1, WP_015404651.1
OG0000402	Desulfovibrio vulgaris DP4	WP_011073147.1	WP_011791561.1
OG0000402	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073147.1	WP_012535777.1
OG0000403	Desulfovibrio ferrophilus IS5	WP_011073692.1	WP_232034756.1
OG0000403	Desulforhopalus vacuolatus DSM 9700	WP_011073692.1	WP_205217733.1
OG0000403	Desulfosediminicola flagellatus IMCC35005	WP_011073692.1	WP_136805283.1
OG0000403	Desulfosediminicola ganghwensis IMCC35004	WP_011073692.1	WP_136797989.1
OG0000403	Desulfocapsa sulfexigens DSM 10523	WP_011073692.1	WP_015404778.1
OG0000403	Desulfocapsa_06_corrosive	WP_011073692.1	Utg323392_161
OG0000403	Desulfocapsa_13_biocide	WP_011073692.1	Utg859388_57
OG0000403	Geobacter sulfurreducens PCA	WP_011073692.1	WP_010941483.1, WP_010941592.1, WP_010942545.1
OG0000403	Desulfovibrio vulgaris DP4	WP_011073692.1	WP_011792485.1
OG0000403	Desulfotalea psychrophila LSv54	WP_011073692.1	WP_011189529.1
OG0000403	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073692.1	WP_012535991.1
OG0000404	Desulfovibrio ferrophilus IS5	WP_011071509.1	WP_126380502.1, WP_232034883.1
OG0000404	Desulfovibrio vulgaris DP4	WP_011071509.1	WP_010940163.1
OG0000404	Geobacter sulfurreducens PCA	WP_011071509.1	WP_010941863.1, WP_010942824.1
OG0000404	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071509.1	WP_012536024.1
OG0000404	Desulforhopalus vacuolatus DSM 9700	WP_011071509.1	WP_205217616.1
OG0000404	Desulfocapsa sulfexigens DSM 10523	WP_011071509.1	WP_015405699.1
OG0000404	Desulfocapsa_13_biocide	WP_011071509.1	Utg858432_29
OG0000404	Desulfocapsa_06_corrosive	WP_011071509.1	Utg323632_90
OG0000404	Desulfotalea psychrophila LSv54	WP_011071509.1	WP_162096667.1
OG0000404	Desulfosediminicola ganghwensis IMCC35004	WP_011071509.1	WP_167495839.1
OG0000404	Desulfosediminicola flagellatus IMCC35005	WP_011071509.1	WP_167505717.1
OG0000405	Desulfotalea psychrophila LSv54	WP_011071613.1	WP_011189762.1
OG0000405	Desulfosediminicola flagellatus IMCC35005	WP_011071613.1	WP_136809596.1
OG0000405	Desulfosediminicola ganghwensis IMCC35004	WP_011071613.1	WP_167495637.1
OG0000405	Desulfovibrio ferrophilus IS5	WP_011071613.1	WP_126379002.1
OG0000405	Desulfotalea psychrophila LSv54	WP_011070770.1	WP_041277937.1
OG0000405	Desulfosediminicola ganghwensis IMCC35004	WP_011070770.1	WP_136796328.1, WP_136796426.1
OG0000405	Desulfovibrio vulgaris DP4	WP_011070770.1	WP_010940310.1
OG0000405	Desulfovibrio ferrophilus IS5	WP_011070770.1	WP_232034904.1
OG0000405	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070770.1	WP_012536030.1
OG0000406	Desulfovibrio ferrophilus IS5	WP_011073884.1	WP_126380117.1
OG0000406	Geobacter sulfurreducens PCA	WP_011073884.1	WP_010941749.1
OG0000406	Desulfocapsa sulfexigens DSM 10523	WP_011073884.1	WP_228130050.1, WP_015403479.1
OG0000406	Desulfocapsa_06_corrosive	WP_011073884.1	Utg323300_304, Utg323632_208
OG0000406	Desulfocapsa_13_biocide	WP_011073884.1	Utg858432_101
OG0000406	Desulforhopalus vacuolatus DSM 9700	WP_011073884.1	WP_205217506.1
OG0000406	Desulfosediminicola ganghwensis IMCC35004	WP_011073884.1	WP_136795200.1
OG0000406	Desulfosediminicola flagellatus IMCC35005	WP_011073884.1	WP_136808044.1, WP_136809579.1
OG0000406	Desulfotalea psychrophila LSv54	WP_011073884.1	WP_011188036.1
OG0000406	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073884.1	WP_012536078.1
OG0000407	Desulfovibrio vulgaris DP4	WP_007647520.1	WP_011792056.1
OG0000407	Desulfovibrio ferrophilus IS5	WP_007647520.1	WP_126375697.1
OG0000407	Geobacter sulfurreducens PCA	WP_007647520.1	WP_010941720.1
OG0000407	Desulfocapsa sulfexigens DSM 10523	WP_007647520.1	WP_015403831.1
OG0000407	Desulfocapsa_06_corrosive	WP_007647520.1	Utg323300_231
OG0000407	Desulforhopalus vacuolatus DSM 9700	WP_007647520.1	WP_205217713.1
OG0000407	Desulfosediminicola ganghwensis IMCC35004	WP_007647520.1	WP_136798289.1, WP_136798499.1
OG0000407	Desulfosediminicola flagellatus IMCC35005	WP_007647520.1	WP_136810663.1, WP_136808484.1, WP_136806995.1
OG0000407	Desulfotalea psychrophila LSv54	WP_007647520.1	WP_011187531.1
OG0000407	Acidithiobacillus ferrooxidans YNTRS-40	WP_007647520.1	WP_012536131.1
OG0000408	Desulfovibrio vulgaris DP4	WP_238560562.1, WP_011073864.1	WP_011792429.1
OG0000408	Desulfovibrio ferrophilus IS5	WP_238560562.1, WP_011073864.1	WP_126376130.1
OG0000408	Geobacter sulfurreducens PCA	WP_238560562.1, WP_011073864.1	WP_010943001.1
OG0000408	Desulfotalea psychrophila LSv54	WP_238560562.1, WP_011073864.1	WP_011189463.1
OG0000408	Desulfosediminicola flagellatus IMCC35005	WP_238560562.1	WP_136805335.1
OG0000408	Acidithiobacillus ferrooxidans YNTRS-40	WP_238560562.1	WP_012536140.1
OG0000408	Desulfosediminicola ganghwensis IMCC35004	WP_011073864.1	WP_136795748.1
OG0000408	Desulfosediminicola flagellatus IMCC35005	WP_011073864.1	WP_136807941.1
OG0000408	Desulforhopalus vacuolatus DSM 9700	WP_011073864.1	WP_205218451.1
OG0000408	Desulfocapsa sulfexigens DSM 10523	WP_011073864.1	WP_015404015.1
OG0000408	Desulfocapsa_13_biocide	WP_011073864.1	Utg857046_206
OG0000408	Desulfocapsa_06_corrosive	WP_011073864.1	Utg323316_309
OG0000409	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071363.1	WP_012536144.1
OG0000409	Desulfosediminicola ganghwensis IMCC35004	WP_011071363.1	WP_136795796.1
OG0000409	Desulfosediminicola flagellatus IMCC35005	WP_011071363.1	WP_136806338.1
OG0000409	Desulfocapsa sulfexigens DSM 10523	WP_011071363.1	WP_015405028.1
OG0000409	Desulfocapsa_13_biocide	WP_011071363.1	Utg859098_197, Utg859098_196
OG0000409	Desulfocapsa_06_corrosive	WP_011071363.1	Utg323152_214, Utg323152_215
OG0000409	Desulfotalea psychrophila LSv54	WP_011071363.1	WP_173362847.1
OG0000409	Desulforhopalus vacuolatus DSM 9700	WP_011071363.1	WP_205218129.1
OG0000409	Desulfovibrio vulgaris DP4	WP_011071363.1	WP_011792140.1
OG0000409	Desulfovibrio ferrophilus IS5	WP_011071363.1	WP_126375727.1
OG0000409	Geobacter sulfurreducens PCA	WP_011071363.1	WP_010943829.1
OG0000410	Geobacter sulfurreducens PCA	WP_011071375.1	WP_010941931.1
OG0000410	Desulfovibrio ferrophilus IS5	WP_011071375.1	WP_126375949.1
OG0000410	Desulfovibrio vulgaris DP4	WP_011071375.1	WP_010937473.1
OG0000410	Desulfosediminicola ganghwensis IMCC35004	WP_011071375.1	WP_136796803.1
OG0000410	Desulfosediminicola flagellatus IMCC35005	WP_011071375.1	WP_136806612.1
OG0000410	Desulfocapsa sulfexigens DSM 10523	WP_011071375.1	WP_015405264.1, WP_015402353.1
OG0000410	Desulfocapsa_13_biocide	WP_011071375.1	Utg860814_206, Utg860814_207
OG0000410	Desulfocapsa_06_corrosive	WP_011071375.1	Utg323180_618
OG0000410	Desulfotalea psychrophila LSv54	WP_011071375.1	WP_011190337.1
OG0000410	Desulforhopalus vacuolatus DSM 9700	WP_011071375.1	WP_205217356.1
OG0000410	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071375.1	WP_012536254.1
OG0000411	Desulfovibrio ferrophilus IS5	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_126380543.1
OG0000411	Desulforhopalus vacuolatus DSM 9700	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_240192044.1
OG0000411	Desulfotalea psychrophila LSv54	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_041277604.1
OG0000411	Desulfosediminicola ganghwensis IMCC35004	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_136795653.1
OG0000411	Desulfocapsa_06_corrosive	WP_164925601.1, WP_011074142.1	Utg323180_184
OG0000411	Geobacter sulfurreducens PCA	WP_164925601.1, WP_011074142.1	WP_010940979.1
OG0000411	Desulfovibrio vulgaris DP4	WP_164925601.1, WP_011074142.1	WP_043629982.1
OG0000411	Desulfosediminicola flagellatus IMCC35005	WP_164925601.1	WP_136809092.1, WP_136808186.1
OG0000411	Desulfosediminicola flagellatus IMCC35005	WP_011074142.1	WP_136808185.1
OG0000411	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072756.1	WP_012536280.1
OG0000412	Desulfovibrio vulgaris DP4	WP_011070563.1	WP_223294696.1
OG0000412	Desulfovibrio ferrophilus IS5	WP_011070563.1	WP_126379030.1
OG0000412	Geobacter sulfurreducens PCA	WP_011070563.1	WP_010940997.1
OG0000412	Desulfosediminicola flagellatus IMCC35005	WP_011070563.1	WP_167505827.1
OG0000412	Desulfosediminicola ganghwensis IMCC35004	WP_011070563.1	WP_136796474.1
OG0000412	Desulfocapsa_13_biocide	WP_011070563.1	Utg866558_8
OG0000412	Desulfocapsa_06_corrosive	WP_011070563.1	Utg323632_307
OG0000412	Desulfocapsa_13_biocide	WP_011070657.1	Utg859388_117
OG0000412	Desulfovibrio vulgaris DP4	WP_011070657.1	WP_011792467.1
OG0000412	Desulfovibrio ferrophilus IS5	WP_011070657.1	WP_172961686.1
OG0000412	Geobacter sulfurreducens PCA	WP_011070657.1	WP_010942671.1
OG0000412	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070657.1	WP_012536319.1
OG0000413	Desulfocapsa_06_corrosive	WP_011073296.1	Utg323632_56
OG0000413	Desulfocapsa_13_biocide	WP_011073296.1	Utg862138_42
OG0000413	Desulfocapsa sulfexigens DSM 10523	WP_011073296.1	WP_015403446.1
OG0000413	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073296.1	WP_012536392.1
OG0000413	Geobacter sulfurreducens PCA	WP_011073296.1	WP_010942923.1
OG0000413	Desulfotalea psychrophila LSv54	WP_011073296.1	WP_011189040.1
OG0000413	Desulfosediminicola ganghwensis IMCC35004	WP_011073296.1	WP_136799397.1, WP_136798200.1
OG0000413	Desulforhopalus vacuolatus DSM 9700	WP_011073296.1	WP_205217469.1
OG0000413	Desulfovibrio ferrophilus IS5	WP_011073296.1	WP_126379336.1
OG0000413	Desulfovibrio vulgaris DP4	WP_011073296.1	WP_010937629.1
OG0000413	Desulfosediminicola flagellatus IMCC35005	WP_011073296.1	WP_136806020.1, WP_136808203.1
OG0000414	Geobacter sulfurreducens PCA	WP_011071865.1	WP_010941756.1
OG0000414	Desulfovibrio ferrophilus IS5	WP_011071865.1	WP_126380931.1
OG0000414	Desulfovibrio vulgaris DP4	WP_011071865.1	WP_010938768.1, WP_011792538.1
OG0000414	Desulfocapsa_13_biocide	WP_011071865.1	Utg864866_32
OG0000414	Desulfocapsa_06_corrosive	WP_011071865.1	Utg323140_130
OG0000414	Desulfocapsa sulfexigens DSM 10523	WP_011071865.1	WP_015403280.1, WP_015403160.1
OG0000414	Desulforhopalus vacuolatus DSM 9700	WP_011071865.1	WP_205217875.1
OG0000414	Desulfosediminicola flagellatus IMCC35005	WP_011071865.1	WP_136810059.1
OG0000414	Desulfosediminicola ganghwensis IMCC35004	WP_011071865.1	WP_136796979.1
OG0000414	Desulfotalea psychrophila LSv54	WP_011071865.1	WP_011189125.1
OG0000414	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071865.1	WP_012536519.1
OG0000415	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073705.1, WP_011074080.1, WP_011073621.1	WP_012536558.1
OG0000415	Desulfovibrio vulgaris DP4	WP_011073705.1, WP_011074080.1, WP_011073621.1	WP_011793093.1
OG0000415	Geobacter sulfurreducens PCA	WP_011073705.1, WP_011074080.1	WP_010943593.1
OG0000415	Desulfocapsa sulfexigens DSM 10523	WP_011073705.1	WP_015402809.1
OG0000415	Desulfovibrio ferrophilus IS5	WP_011074080.1	WP_126378136.1
OG0000415	Desulfotalea psychrophila LSv54	WP_011074080.1	WP_011187702.1
OG0000417	Desulfocapsa_06_corrosive	WP_011071995.1	Utg323316_134
OG0000417	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071995.1	WP_012536902.1
OG0000417	Desulfocapsa sulfexigens DSM 10523	WP_011071995.1	WP_015403699.1
OG0000417	Desulfosediminicola ganghwensis IMCC35004	WP_011071995.1	WP_136795336.1
OG0000417	Desulfocapsa sulfexigens DSM 10523	WP_011074187.1	WP_015402701.1
OG0000417	Desulfocapsa_13_biocide	WP_011074187.1	Utg857994_91
OG0000417	Desulfosediminicola flagellatus IMCC35005	WP_011074187.1	WP_136810311.1, WP_136806255.1
OG0000417	Desulfosediminicola ganghwensis IMCC35004	WP_011074187.1	WP_136799378.1, WP_136799719.1
OG0000417	Desulfovibrio ferrophilus IS5	WP_011074187.1	WP_126380786.1
OG0000418	Geobacter sulfurreducens PCA	WP_011072966.1	WP_010943506.1
OG0000418	Desulfovibrio ferrophilus IS5	WP_011072966.1	WP_126380654.1
OG0000418	Desulfovibrio vulgaris DP4	WP_011072966.1	WP_011792638.1
OG0000418	Desulforhopalus vacuolatus DSM 9700	WP_011072966.1	WP_205217768.1
OG0000418	Desulfotalea psychrophila LSv54	WP_011072966.1	WP_011189597.1, WP_011188565.1
OG0000418	Desulfosediminicola flagellatus IMCC35005	WP_011072966.1	WP_136806903.1, WP_167505773.1
OG0000418	Desulfosediminicola ganghwensis IMCC35004	WP_011072966.1	WP_136798538.1
OG0000418	Desulfocapsa_06_corrosive	WP_011072966.1	Utg323632_29
OG0000418	Desulfocapsa_13_biocide	WP_011072966.1	Utg862138_20
OG0000418	Desulfocapsa sulfexigens DSM 10523	WP_011072966.1	WP_015405752.1
OG0000418	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072966.1	WP_012536949.1
OG0000419	Desulfovibrio ferrophilus IS5	WP_011072397.1	WP_232034936.1, WP_126376652.1
OG0000419	Desulfovibrio vulgaris DP4	WP_011072397.1	WP_011791482.1
OG0000419	Geobacter sulfurreducens PCA	WP_011072397.1	WP_010941890.1, WP_010941487.1
OG0000419	Acidithiobacillus ferrooxidans YNTRS-40	WP_011072397.1	WP_012536955.1
OG0000419	Desulforhopalus vacuolatus DSM 9700	WP_011072397.1	WP_205219837.1
OG0000419	Desulfotalea psychrophila LSv54	WP_011072397.1	WP_011189440.1
OG0000419	Desulfosediminicola flagellatus IMCC35005	WP_011072397.1	WP_136806185.1
OG0000419	Desulfosediminicola ganghwensis IMCC35004	WP_011072397.1	WP_136795869.1
OG0000419	Desulfocapsa sulfexigens DSM 10523	WP_011072397.1	WP_015404566.1
OG0000419	Desulfocapsa_06_corrosive	WP_011072397.1	Utg323990_112
OG0000419	Desulfocapsa_13_biocide	WP_011072397.1	Utg860006_86
OG0000420	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073084.1	WP_012536981.1
OG0000420	Desulfovibrio vulgaris DP4	WP_011073084.1	WP_011791475.1, WP_011792487.1
OG0000420	Geobacter sulfurreducens PCA	WP_011073084.1	WP_010943328.1
OG0000420	Desulfotalea psychrophila LSv54	WP_011073084.1	WP_011187900.1, WP_011189525.1
OG0000420	Desulforhopalus vacuolatus DSM 9700	WP_011073084.1	WP_240191999.1, WP_205217661.1
OG0000420	Desulfocapsa_06_corrosive	WP_011073084.1	Utg323392_158
OG0000420	Desulfocapsa_13_biocide	WP_011073084.1	Utg859388_60
OG0000420	Desulfocapsa sulfexigens DSM 10523	WP_011073084.1	WP_167320749.1
OG0000420	Desulfosediminicola flagellatus IMCC35005	WP_011073084.1	WP_136805286.1
OG0000420	Desulfosediminicola ganghwensis IMCC35004	WP_011073084.1	WP_136797992.1
OG0000421	Desulfotalea psychrophila LSv54	WP_011074212.1	WP_011188876.1
OG0000421	Desulfocapsa_06_corrosive	WP_011074212.1	Utg323300_89
OG0000421	Desulfovibrio vulgaris DP4	WP_011074212.1	WP_011792174.1
OG0000421	Geobacter sulfurreducens PCA	WP_011074212.1	WP_010943179.1
OG0000421	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074212.1	WP_012537025.1
OG0000421	Desulfovibrio ferrophilus IS5	WP_011074212.1	WP_126380975.1
